SPK_SPKC03a (excited),SPK_SPKC09a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10c (no effect)
45.6134,13.947975,5.540275,50.59185
46.922325,14.37085,5.568825,50.937125
46.960175,14.5021,5.583275,51.951425
47.19335,14.543575,5.600175,52.164925
47.252375,14.560175,5.6471,52.244575
47.47865,14.64705,5.66485,52.59785
47.6056,14.767725,5.720125,52.9854
48.12845,14.8167,5.757825,53.10035
48.133775,14.8998,5.77705,53.1959
48.15845,15.07935,5.79185,53.400175
48.392325,15.08575,5.8099,54.0228
48.62555,15.162225,5.8516,54.368475
48.931575,15.17185,5.872825,54.439275
50.124875,15.204425,5.8842,55.7933
50.1278,15.3291,5.9047,56.4467
50.138925,15.34575,5.934925,56.526825
50.180625,15.3639,5.999475,56.975575
50.189325,15.412025,6.018275,57.543575
50.8319,15.5236,6.10055,57.7897
51.529375,15.5779,6.131325,57.829425
51.534625,15.618275,6.160875,57.9575
51.5752,15.679625,6.2003,57.984425
51.5773,15.736625,6.21515,58.443025
51.617725,15.75075,6.230575,58.74105
51.68635,15.953225,6.27195,58.78765
51.79085,15.96805,6.2979,58.933875
52.1772,15.980825,6.311875,59.2463
52.33835,16.037175,6.387425,59.265025
52.3498,16.06685,6.42325,59.765325
52.69125,16.09075,6.448725,59.79345
52.7199,16.270825,6.45965,59.987875
52.9257,16.303575,6.47725,60.0702
53.230525,16.3261,6.529225,60.0927
53.37335,16.343775,6.56395,60.2207
55.222675,16.472825,6.5744,60.463725
55.310325,16.479025,6.608275,61.180375
55.501025,16.5205,6.64215,61.411175
55.603025,16.646775,6.667025,61.885525
55.613,16.68855,6.709025,61.971425
55.7449,16.747225,6.7227,62.242775
56.407875,16.759525,6.757725,62.345175
56.9116,16.92765,6.812525,62.580625
57.044175,16.955,6.82575,62.691325
57.2735,17.00845,6.839725,63.22855
57.3458,17.104825,6.858875,63.403725
57.34935,17.205825,6.925725,64.60465
57.5141,17.416,6.975925,65.469525
57.545,17.439275,7.0211,65.735675
