SPK_SPKC04a (inhibited),SPK_SPKC16a (short excitation)
22.772875,10.181275
22.782025,10.204775
22.851275,10.244775
22.8736,10.272775
22.894425,10.300175
22.9785,10.321325
23.000725,10.35815
23.033375,10.382625
23.138675,10.39295
23.2348,10.409575
23.286075,10.42285
23.345525,10.44805
23.3813,10.46165
23.453425,10.508875
23.480775,10.519725
23.505425,10.5407
23.530075,10.553575
23.579675,10.581475
23.71385,10.60675
23.7778,10.662275
23.8231,10.679
23.8651,10.730175
23.9304,10.78015
23.9616,10.793525
23.9952,10.795775
24.016575,10.813975
24.14925,10.859275
24.211,10.868425
24.25505,10.8836
24.295075,10.897675
24.396975,10.9065
24.44525,10.922375
24.5275,10.963775
24.5613,11.057225
24.6205,11.0849
24.649725,11.1146
24.6871,11.13035
24.722175,11.145125
24.757575,11.170275
24.820825,11.195425
24.843575,11.212675
24.902725,11.239325
24.939,11.288975
24.969775,11.3547
25.063475,11.397875
25.1212,11.499975
25.16455,11.54925
25.239725,11.601375
25.25185,11.632375
25.261225,11.803825
25.2876,11.83665
25.3019,11.885075
25.3229,12.01345
25.392575,12.110575
25.447675,12.2498
25.4759,12.2904
25.513425,12.335225
25.55635,12.404875
25.575175,12.446775
25.60395,12.47975
25.643275,12.599625
25.665875,12.722075
25.692475,12.757375
25.849925,12.80415
25.8806,12.874
25.93715,12.89355
25.9714,12.932925
25.979325,12.992125
26.001975,13.021475
26.031325,13.034025
26.052525,13.050825
26.07245,13.06665
26.2195,13.083175
26.2885,13.113525
26.3374,13.142075
26.428425,13.181025
26.446725,13.317575
26.4769,13.3579
26.535975,13.40735
26.6136,13.4469
26.65255,13.508
26.713675,13.579825
26.737175,13.615125
26.799225,13.631725
26.816975,13.6506
26.880025,13.677475
26.92215,13.6914
26.949225,13.727025
27.024025,13.771675
27.0576,13.82035
27.128925,13.8516
27.26275,13.88435
27.340675,13.923075
27.3766,13.952975
27.3958,13.970525
27.489875,13.99155
27.585,14.1096
27.6133,14.140675
27.689325,14.16585
27.717525,14.223975
27.752075,14.243475
27.91345,14.258075
27.934975,14.292125
27.9585,14.313025
28.011525,14.323875
28.040775,14.34
28.063425,14.342875
28.103,14.349225
28.132875,14.364675
28.15725,14.376825
28.19825,14.399325
28.25305,14.438375
28.269975,14.471225
28.299275,14.487975
28.3371,14.519475
28.364525,14.54105
28.406225,14.564925
28.502625,14.618
28.5766,14.6389
28.608825,14.680625
28.64045,14.71705
28.663775,14.726925
28.708475,14.742025
28.7353,14.771575
28.75615,14.82205
28.79515,14.8399
28.824625,14.87215
28.87895,14.903825
28.906525,14.935375
28.945825,14.95985
28.95915,14.993075
29.0096,15.03095
29.039825,15.061125
29.21665,15.13215
29.23055,15.2168
29.264,15.2381
29.298,15.285125
29.36395,15.3178
29.418725,15.336775
29.46155,15.3784
29.5082,15.44565
29.54505,15.474525
29.572475,15.5181
29.599,15.548925
29.6187,15.583525
29.63725,15.629325
29.679725,15.6693
29.72175,15.68195
29.7765,15.7158
29.835125,15.797325
29.858575,15.8377
29.94425,15.8551
29.9811,15.879975
30.021825,15.895225
30.090425,15.92155
30.108575,15.9514
30.16,15.9771
30.194175,16.0108
30.2462,16.037225
30.268125,16.0719
30.307125,16.182525
30.3544,16.225525
30.37295,16.2608
30.402625,16.284575
30.421925,16.293025
30.4793,16.30775
30.5041,16.338625
30.555175,16.372575
30.581675,16.424825
30.617625,16.4466
30.659325,16.48045
30.685475,16.670875
30.76625,16.695725
30.8024,16.71845
30.874225,16.761325
30.92015,16.7721
30.9689,16.79755
31.0103,16.8367
31.054225,16.846625
31.0953,16.920175
31.126975,16.93695
31.225725,16.952325
31.3398,16.97135
31.398625,16.99475
31.432375,17.027725
31.476875,17.0392
31.518175,17.06295
31.5429,17.080725
31.558475,17.116625
31.5872,17.121275
31.609675,17.129775
31.63995,17.154375
31.6791,17.162025
31.71895,17.211775
31.743175,17.226875
31.769875,17.247375
31.795075,17.25745
31.945825,17.265975
32.0196,17.30215
32.094925,17.332
32.1406,17.3615
32.16635,17.47415
32.184475,17.486175
32.208475,17.54795
32.26045,17.570575
32.30895,17.5965
32.3453,17.6267
32.392975,17.651275
32.452425,17.696325
32.4799,17.72705
32.516075,17.76135
32.545325,17.815625
32.57325,17.858175
32.634925,17.876925
32.640925,17.900925
32.654525,17.940975
32.69115,17.997575
32.73455,18.00845
32.756,18.022725
32.792375,18.069575
32.822,18.1233
32.824675,18.150675
32.8499,18.228
32.885675,18.375725
32.90995,18.4179
32.95765,18.47695
33.0548,18.52065
33.070875,18.53945
33.14025,18.578025
33.1651,18.6737
33.385075,18.7814
33.4192,18.839675
33.510575,18.862325
33.543275,18.962475
33.5794,19.0397
33.5954,19.0875
33.647775,19.128
33.6797,19.182525
33.80575,19.26375
33.91005,19.320775
33.939825,19.363975
33.966875,19.390675
34.0118,19.418975
34.0353,19.47405
34.11075,19.5197
34.137925,19.55325
34.322325,19.674475
34.35695,19.72185
34.418525,19.775175
34.4562,19.805175
34.49335,19.872375
34.524,19.9576
34.55835,19.98835
34.587025,20.009125
34.613575,20.0429
34.636075,20.078575
34.669025,20.159925
34.711775,20.2076
34.734525,20.25295
34.807525,20.30785
34.9284,20.339825
34.95455,20.38195
34.983575,20.445575
35.0119,20.4683
35.04975,20.5189
35.140325,20.55585
35.200825,20.57725
35.2688,20.60515
35.43505,20.63865
35.458375,20.676325
35.510925,20.743525
35.623975,20.759925
35.64275,20.777075
35.705575,20.802725
35.72615,20.83645
35.75195,20.853125
35.810375,20.86755
35.84275,20.871925
35.848125,20.9633
35.9111,20.985975
35.9331,21.024325
36.02425,21.046
36.070625,21.0942
36.0998,21.118175
36.12615,21.128225
36.156625,21.158
36.1954,21.17795
36.22,21.19225
36.25725,21.211525
36.28395,21.22325
36.305775,21.251625
36.33175,21.2949
36.3681,21.362275
36.4095,21.376225
36.4419,21.399325
36.469975,21.447375
36.52475,21.526525
36.564175,21.54455
36.602325,21.60375
36.671175,21.638
36.823775,21.69225
36.877175,21.7366
36.91455,21.829125
36.936975,21.8422
37.030725,21.86005
37.07945,21.933725
37.14835,21.9868
37.168425,22.057125
37.222675,22.077075
37.28045,22.11305
37.32045,22.14905
37.379125,22.33665
37.4279,22.404825
37.4675,22.4624
37.530425,22.4824
37.578725,22.724525
37.597975,22.746875
37.61945,22.762675
37.6607,22.77635
37.719375,22.79665
37.76865,22.831925
37.79835,22.85275
37.882625,22.88265
37.939075,22.972875
37.96595,23.029625
38.0207,23.114
38.03945,23.292925
38.04145,23.34355
38.053275,23.39025
38.0768,23.45275
38.093575,23.497
38.124625,23.530375
38.15045,23.558275
38.20215,23.584225
38.21905,23.5983
38.25215,23.644975
38.2753,23.66925
38.292775,23.708025
38.32255,23.73085
38.3357,23.7516
38.36445,23.79005
38.4011,23.792775
38.42845,23.818575
38.441175,23.8485
38.473875,23.92555
38.54235,23.95215
38.5653,24.24295
38.595825,24.262225
38.62175,24.313875
38.648575,24.355125
38.682975,24.39105
38.718025,24.446075
38.745125,24.571625
38.761225,24.584475
38.776875,24.598625
38.8393,24.6144
38.89795,24.624675
38.91435,24.6437
38.9407,24.6712
38.973225,24.7197
38.98325,24.7798
39.0561,24.787075
39.071675,24.8041
39.086475,24.82325
39.121075,24.85065
39.16595,24.86945
39.195975,24.8862
39.2313,24.910975
39.317425,24.95515
39.369125,24.972575
39.391025,24.9891
39.427275,24.99585
39.5028,25.0168
39.538075,25.0523
39.556975,25.060175
39.584425,25.08585
39.628425,25.10575
39.67165,25.12075
39.70585,25.153375
39.737375,25.1674
39.77995,25.18465
39.8164,25.214725
39.840225,25.224225
39.899925,25.239175
39.985775,25.269975
40.02455,25.288825
40.054,25.367575
40.0783,25.392125
40.169375,25.395375
40.20425,25.485875
40.232125,25.5117
40.27755,25.531225
40.401425,25.5754
40.46925,25.593525
40.61975,25.6097
40.671,25.625425
40.698875,25.64655
40.733525,25.664675
40.75465,25.682675
40.82425,25.70765
