SPK_SPKC01a (no effect),SPK_SPKC09a (no effect),SPK_SPKC09b (no effect),SPK_SPKC12a (excited)
32.705925,54.273225,59.1913,195.083325
32.729825,54.306125,59.21205,195.200475
32.7363,54.339025,59.30975,195.372825
32.75445,54.37355,59.3446,195.415425
32.75905,54.41025,59.371825,195.5289
32.794775,54.4876,59.4003,195.6777
32.81865,54.6211,59.430475,195.9075
32.8536,54.6336,59.48925,196.402825
32.862225,54.6585,59.518525,196.8045
32.886025,54.6779,59.553275,197.07525
32.933625,54.694725,59.59185,197.1335
32.9669,54.7098,59.73445,197.368475
32.989125,54.73255,59.750325,197.613325
33.0032,54.763125,59.7572,197.9041
33.011375,54.804125,59.847175,198.122025
33.036,54.86125,59.893725,198.18645
33.0558,54.88545,59.926,198.210075
33.069475,54.914425,59.971575,198.36965
33.10945,54.95645,60.0448,198.45875
33.124825,55.018225,60.194325,198.5075
33.2157,55.233975,60.2302,198.733825
33.243325,55.2895,60.3018,198.84275
33.2496,55.30795,60.344575,198.9899
33.2569,55.337525,60.375425,199.203375
33.315925,55.358,60.417475,199.38365
33.3496,55.401275,60.44485,199.624825
33.367525,55.478075,60.474525,199.746375
33.38325,55.5102,60.610525,199.979775
33.4074,55.61,60.667975,200.017275
33.4307,55.7516,60.6746,200.38525
33.4469,55.7637,60.75495,200.429375
33.483175,55.770575,60.7841,200.54955
33.52515,55.778175,60.8052,200.654625
33.5508,55.7864,60.8594,200.887875
33.6138,55.794225,60.93315,200.95135
33.6275,55.80285,60.943175,201.0133
33.6411,55.80945,60.95155,201.48635
33.666625,55.816675,60.96175,201.647775
33.685,55.83405,60.98665,202.259125
33.709,55.880825,60.99215,202.4415
33.716475,55.927825,61.017375,202.876
33.727775,55.949625,61.0254,202.886725
33.75325,55.9718,61.0553,203.1919
33.765125,56.012875,61.082175,203.361125
33.79065,56.107225,61.134025,203.5371
33.7994,56.131825,61.198025,203.696575
33.814475,56.145225,61.2934,203.7286
33.87285,56.161025,61.315525,203.795475
33.90555,56.1796,61.380625,204.068725
33.9211,56.20585,61.422575,204.178275
33.9531,56.229025,61.516,204.45215
33.96695,56.2618,61.52295,204.469875
33.98475,56.28565,61.538775,204.6425
34.0003,56.300075,61.586125,204.798475
34.027175,56.312575,61.7204,204.867375
34.06045,56.339875,61.74845,204.963075
34.0936,56.36985,61.7645,205.00175
34.1343,56.3839,61.785525,205.247625
34.158825,56.463575,61.86055,205.40865
34.1772,56.53105,61.97665,205.467275
34.200175,56.560975,62.2414,205.4867
34.2319,56.5793,62.268825,205.540925
34.279775,56.606275,62.33265,205.874175
34.29185,56.652175,62.343625,206.74435
34.3229,56.67565,62.3697,206.933325
34.368875,56.70005,62.388125,207.249175
34.4484,56.7424,62.414675,207.3853
34.487325,56.766825,62.419475,207.4059
34.5179,56.7919,62.52445,207.5691
34.52205,56.8297,62.548275,207.8462
34.525325,56.852325,62.591125,207.997675
34.5483,56.8725,62.6049,208.144175
34.572025,56.892425,62.612075,208.23725
34.57755,56.908725,62.668625,208.2803
34.6005,56.983925,62.68115,208.655925
34.616425,57.005125,62.73465,208.687825
34.65,57.0173,62.76265,209.131325
34.659375,57.03405,62.803825,209.22155
34.6835,57.0465,62.901525,209.41685
34.7076,57.05445,62.908225,209.433975
34.724875,57.064175,62.935025,209.83475
34.778825,57.079475,62.963275,210.098475
34.81,57.101975,63.0288,210.1272
34.8299,57.168625,63.041325,210.264425
34.84255,57.202025,63.1061,210.294425
34.8616,57.228225,63.11585,210.3207
34.88155,57.243075,63.136775,210.344925
34.93125,57.26495,63.153725,210.482275
34.972925,57.296725,63.200675,210.9257
34.9888,57.3263,63.253925,210.96995
35.019475,57.412325,63.28925,211.080275
35.023675,57.460275,63.339825,211.1752
35.051975,57.4755,63.342275,211.4236
35.1887,57.49215,63.343775,211.5189
35.206525,57.511925,63.362375,211.634325
35.21565,57.5283,63.377475,211.679875
35.218925,57.564775,63.3923,211.867475
35.2213,57.6866,63.463875,211.88615
35.260175,57.711025,63.470875,212.027275
35.2675,57.721875,63.516375,212.190475
35.27725,57.73285,63.541625,212.303325
35.304725,57.7463,63.60885,212.313825
35.366625,57.7826,63.647775,212.416675
35.399925,57.819575,63.66235,212.4888
35.4093,57.8476,63.678275,212.541925
35.434525,57.8697,63.7165,212.898025
35.45665,57.92275,63.749675,213.144625
35.476075,58.032175,63.7667,213.18245
35.52155,58.05795,63.849275,213.32485
35.542375,58.07135,63.902,213.502725
35.56695,58.087625,63.941225,213.560575
35.614575,58.12035,63.9832,213.578625
35.625225,58.1472,64.0194,213.780875
35.640125,58.1771,64.04205,214.12045
35.666025,58.227625,64.062775,214.2727
35.720075,58.273425,64.220775,214.77705
35.733725,58.2963,64.23855,214.833075
35.7571,58.3197,64.24925,214.92395
35.7767,58.3422,64.27615,214.98145
35.7871,58.367875,64.280825,214.99875
35.81035,58.52145,64.427975,215.361225
35.8355,58.544025,64.4634,215.62655
35.847125,58.56295,64.50795,215.64265
35.8679,58.60865,64.542675,215.697675
35.891075,58.67125,64.653625,215.716575
35.923925,58.910075,64.693625,215.751225
35.952075,58.9336,64.721375,215.837975
35.984975,58.94405,64.75745,216.025925
36.037125,58.958625,64.794,216.0682
36.065375,58.967475,64.8319,216.2579
36.09605,59.013625,64.891625,216.43755
36.10165,59.051875,64.921125,216.717675
36.147875,59.093225,64.977175,217.26795
36.16435,59.12305,65.002225,217.3888
36.19755,59.1486,65.0606,217.458675
36.222425,59.1668,65.078775,217.678275
36.2678,59.184625,65.1286,218.0145
36.306675,59.214625,65.21305,218.1142
36.320375,59.259125,65.247425,218.143125
36.389675,59.312675,65.271175,218.47005
36.408,59.3543,65.2998,218.8667
36.427775,59.411975,65.32665,219.200975
36.474175,59.45605,65.3581,219.578475
36.49535,59.4964,65.413975,219.607425
36.50265,59.5385,65.4791,219.66755
36.51545,59.55445,65.50325,220.043475
36.53,59.5899,65.50555,220.077625
36.575025,59.619525,65.526625,220.3793
36.58745,59.66635,65.544775,220.477075
36.615175,59.7015,65.58845,220.723275
36.66275,59.725725,65.7018,220.81285
36.727625,59.7518,65.73595,220.84925
36.813175,59.776725,65.7819,220.8896
36.823425,59.8283,65.79845,221.3684
36.837175,59.848225,65.833425,221.42065
36.842275,59.870825,65.88175,221.627875
36.893525,59.92805,65.998125,221.686725
36.89845,60.0392,66.001375,221.86225
36.901275,60.05625,66.044875,222.024525
36.950525,60.0861,66.082825,222.15665
36.9634,60.113525,66.117475,222.301875
37.013525,60.13935,66.135825,222.329775
37.039875,60.178625,66.145975,222.522325
37.0536,60.206775,66.26025,222.57795
37.0699,60.2399,66.295275,222.953625
37.121725,60.2866,66.33155,223.007175
37.152825,60.342875,66.333525,223.0422
37.194175,60.377175,66.3655,223.277
37.2135,60.47835,66.47395,223.46025
37.2677,60.506575,66.537775,223.85435
37.316275,60.56775,66.54605,224.271825
37.325375,60.659075,66.57755,224.289475
37.33085,60.69565,66.61285,224.32835
37.34965,60.743425,66.6534,224.336125
37.413225,60.77565,66.67455,224.355725
37.435175,60.794075,66.8263,224.372775
37.49375,60.844725,66.8506,224.4625
37.52895,60.87,66.92335,224.54835
37.557125,60.91075,66.959675,224.73895
37.588075,60.99075,66.99245,224.900475
37.600975,61.047175,67.016925,225.0075
37.62905,61.069025,67.0706,225.03475
37.657025,61.08315,67.11085,225.0888
37.68245,61.149675,67.216125,225.3134
37.69505,61.1552,67.278825,225.870075
37.84415,61.21915,67.306125,226.0973
37.88375,61.266925,67.3359,226.1243
37.896675,61.3116,67.363525,226.7624
37.901025,61.3469,67.384375,226.985275
37.9192,61.37575,67.4191,227.06675
37.94445,61.3881,67.45775,227.235725
37.966925,61.3961,67.46415,227.289625
37.992825,61.421475,67.506,227.330875
38.0277,61.44885,67.60655,227.356025
38.050375,61.455175,67.657575,227.464175
38.065775,61.477375,67.69035,227.585125
38.0716,61.518175,67.7701,227.939875
38.14595,61.547275,67.798875,228.051775
38.178925,61.59155,67.84105,228.172425
38.204325,61.62245,67.895275,228.19575
38.2352,61.667925,67.905875,228.438075
38.2394,61.71505,67.976825,228.453875
38.277925,61.7746,68.08665,228.66515
38.325675,61.848625,68.134025,228.728075
38.335025,61.87485,68.1742,228.912275
38.375475,61.964275,68.2145,229.242825
38.40465,62.058625,68.255225,229.295275
38.4658,62.076875,68.344225,229.536975
38.522525,62.099225,68.38565,229.773875
38.579725,62.134175,68.41755,229.90725
38.609725,62.20525,68.4622,229.9763
38.6517,62.2765,68.576275,230.0679
38.69425,62.29975,68.603325,230.151
38.7351,62.322075,68.622075,230.580775
38.77425,62.339025,68.631275,230.823775
38.7961,62.3809,68.668575,231.0091
38.811175,62.399375,68.70205,231.090575
38.84315,62.443225,68.7699,231.339375
38.8652,62.521025,68.864575,231.632875
38.880325,62.55695,68.89795,231.684075
38.881675,62.61445,68.999725,232.57335
38.902025,62.825775,69.00995,232.618575
38.918175,62.838575,69.06875,232.708125
38.9509,62.8526,69.10415,233.598075
38.9785,62.8625,69.15035,233.780425
39.001325,62.889375,69.27215,233.945075
39.021025,62.90415,69.3828,234.0197
39.0306,62.9126,69.431475,234.11355
39.07455,62.928025,69.46955,234.411875
39.0993,62.937925,69.487775,234.623375
39.1149,62.953875,69.5603,234.678525
39.15615,62.9662,69.5893,234.8065
39.167075,62.995175,69.6075,235.019675
39.193,63.01055,69.627075,235.045075
39.208,63.030875,69.6311,235.14855
39.245,63.0568,69.695025,235.53305
39.25405,63.093975,69.738825,235.715975
39.278025,63.118,69.776525,235.8342
39.2988,63.13925,69.81135,236.3104
39.320875,63.147875,69.893425,236.498525
39.348225,63.1604,69.935775,236.733675
39.37735,63.178475,69.975075,236.8434
39.4012,63.18965,69.9948,236.941
39.41115,63.22565,70.06495,237.0932
39.426425,63.27835,70.08955,237.192875
39.43625,63.2943,70.096275,237.358475
39.448725,63.31205,70.1367,237.43705
39.4574,63.334175,70.21275,237.4818
39.464175,63.360675,70.2248,237.71915
39.483825,63.3959,70.25765,237.922525
39.527475,63.417875,70.277825,237.994675
39.5389,63.442775,70.303975,238.159475
39.565925,63.490925,70.32555,238.458325
39.58025,63.513475,70.397475,238.760725
39.605975,63.5521,70.43285,238.878225
39.6237,63.602975,70.47045,239.023775
39.64065,63.64985,70.50965,239.177975
39.6577,63.6901,70.552875,239.37995
39.667025,63.719975,70.645075,239.5476
39.691925,63.7544,70.67485,239.579275
39.712425,63.78695,70.720375,239.813175
39.7412,63.816275,70.78955,239.964425
39.7541,63.854475,70.870625,240.03395
39.789125,63.884225,70.879775,240.1497
39.80995,63.93255,70.923125,240.172125
39.832225,63.973775,70.9266,240.1923
39.8518,64.0549,70.973925,240.265525
39.891275,64.0961,70.992625,240.36525
39.91935,64.117425,71.078225,240.4266
39.961775,64.14365,71.1181,240.44825
39.982525,64.197775,71.13865,240.4808
40.0248,64.22645,71.219825,240.6568
40.04825,64.272925,71.2472,240.9374
40.09895,64.300025,71.29725,241.07425
40.120975,64.317225,71.309475,241.13875
40.13445,64.3602,71.356525,241.429175
40.144075,64.410475,71.391525,241.5924
40.182,64.446575,71.52275,241.631725
40.206125,64.477575,71.619425,241.848475
40.248325,64.513325,71.640425,242.09965
40.281325,64.5297,71.65345,242.266475
40.295875,64.55685,71.69065,242.316325
40.357375,64.57255,71.719925,242.9029
40.37865,64.583275,71.73165,243.12165
40.4377,64.603375,71.75155,243.1344
40.46695,64.63915,71.818575,243.480225
40.477875,64.668775,71.87995,243.653375
40.497125,64.7061,71.883575,243.72275
40.5283,64.7286,71.922575,243.831475
40.5576,64.76435,71.9425,243.880075
40.581975,64.780925,71.9452,244.2443
40.637675,64.84795,72.004925,244.3945
40.66445,64.950575,72.0269,244.677125
40.681625,65.011775,72.12655,244.75795
40.702825,65.024375,72.203975,244.8708
40.718675,65.041825,72.240775,245.045325
40.7574,65.074475,72.27645,245.3804
40.80145,65.1116,72.31805,245.571875
40.8378,65.157025,72.3518,245.58305
40.857875,65.228,72.4056,245.8066
40.896175,65.2689,72.44345,245.877725
40.9096,65.2901,72.4516,245.96445
40.9509,65.295725,72.492075,246.371975
40.992575,65.301425,72.5229,246.378575
41.055475,65.304725,72.54265,246.383275
41.0824,65.3094,72.5479,246.78275
41.10875,65.313175,72.589825,246.96885
41.12265,65.3196,72.625875,247.223575
41.146175,65.323625,72.733675,247.303075
41.174825,65.330525,72.760175,247.600875
41.20885,65.338025,72.804525,247.63605
41.257975,65.3594,72.913175,247.6776
41.28275,65.370775,72.92955,247.796825
41.31165,65.39285,72.952525,247.9989
41.32425,65.42095,72.953725,248.246175
41.340075,65.445,73.04835,248.25015
41.357725,65.467675,73.15305,248.308775
41.388025,65.5008,73.19275,248.548775
41.408275,65.535375,73.231525,248.728825
41.4171,65.57615,73.289675,249.0085
41.467025,65.616075,73.30465,249.085475
41.481525,65.6418,73.40575,249.2505
41.517275,65.6746,73.494875,249.3218
41.534375,65.6992,73.498225,249.41175
41.56,65.715625,73.54465,249.458575
41.5997,65.7277,73.563875,249.6139
41.62725,65.74765,73.5848,249.992425
41.6681,65.7806,73.696625,250.057825
41.68475,65.796825,73.76815,250.0656
41.7061,65.8227,73.79565,250.0838
41.73725,65.8621,73.82605,250.1299
41.76675,65.886925,73.859875,250.30375
41.801325,65.9092,73.888175,250.35505
41.8239,65.934225,73.924525,250.679875
41.8485,65.95175,73.95795,250.904775
41.88125,66.000025,73.98615,251.272675
41.910275,66.057075,74.097825,251.80765
41.986925,66.063225,74.152475,251.9356
42.0604,66.1122,74.1638,252.453725
42.088925,66.16625,74.262875,252.604525
42.098675,66.202575,74.2916,252.75785
42.1413,66.2368,74.319775,253.0125
42.157225,66.268375,74.333825,253.054075
42.20095,66.29805,74.367775,253.17415
42.20825,66.382,74.3961,253.32295
42.236925,66.43105,74.442075,253.9085
42.241375,66.45635,74.481525,254.032525
42.292275,66.502775,74.508175,254.115775
42.345,66.523525,74.509325,254.180275
42.365375,66.574275,74.556075,254.5692
42.3788,66.620075,74.625775,254.599725
42.3879,66.6524,74.70605,254.644
42.420225,66.690675,74.730025,254.95505
42.44965,66.730425,74.768075,254.965475
42.477725,66.7694,74.776775,254.969975
42.49145,66.81155,74.871875,255.275725
42.503825,66.860025,74.90855,255.314075
42.508575,66.89805,74.944025,255.7649
42.532325,66.9976,74.972925,255.8347
42.5402,67.038275,75.0141,256.18185
42.5777,67.063775,75.0923,256.266275
42.616125,67.0755,75.1274,256.9242
42.6529,67.13685,75.15525,256.933025
42.667725,67.2047,75.188875,257.011825
42.6782,67.331375,75.220675,257.276075
42.7013,67.414275,75.261975,257.40175
42.713375,67.477075,75.286525,257.511775
42.729725,67.5284,75.330425,257.925325
42.75075,67.553625,75.3786,258.14335
42.7911,67.66195,75.417225,258.283775
42.845525,67.687425,75.453175,258.34195
42.877975,67.75655,75.49265,258.44495
42.895175,67.782925,75.523925,258.55015
42.904375,67.8281,75.5321,258.714275
42.954525,67.8486,75.582425,258.940125
42.979225,67.903525,75.58605,259.3651
42.98735,67.91185,75.66785,259.3746
43.031575,67.9228,75.70285,259.547975
43.0536,67.93485,75.7121,259.753975
43.0689,67.954625,75.775025,259.876975
43.08025,67.97415,75.798225,260.46695
43.09365,68.009175,75.83375,260.49985
43.10025,68.19475,75.86115,260.5176
43.1315,68.25195,75.93485,260.590925
43.23055,68.295175,76.00415,260.6652
43.248675,68.347,76.0645,260.874825
43.25815,68.382875,76.1015,261.124
43.27195,68.4046,76.13555,261.25725
43.303,68.43615,76.173575,261.320975
43.32,68.470575,76.20355,261.34325
43.3434,68.50485,76.2308,261.559575
43.358425,68.586525,76.35655,261.5896
43.401025,68.605075,76.37005,261.719725
43.432325,68.619525,76.3904,261.800075
43.45125,68.635575,76.41775,262.091275
43.47255,68.6454,76.428425,262.280775
43.499675,68.672725,76.46665,262.30815
43.5284,68.7091,76.48815,262.4621
43.540225,68.732225,76.555225,262.55365
43.562775,68.74275,76.59405,262.58115
43.589475,68.747975,76.630875,262.794575
43.664275,68.753075,76.64945,262.88925
43.6919,68.759525,76.697475,262.90235
43.700625,68.7718,76.761375,263.142375
43.70915,68.779675,76.87105,263.18565
43.745875,68.793125,76.94005,263.284325
43.776075,68.822825,76.967575,263.2905
43.819875,68.84675,77.020825,263.301225
43.845975,68.875,77.0313,263.40205
43.858325,68.92755,77.128075,263.66805
43.886725,68.943625,77.129975,263.907625
43.901975,68.97675,77.176975,264.160825
43.911775,69.007675,77.2127,264.36645
43.9283,69.0369,77.272575,264.598875
43.956925,69.0674,77.31045,264.731225
43.97535,69.08295,77.413725,264.745825
44.013225,69.108625,77.52735,264.768375
44.0468,69.136525,77.588975,264.917675
44.0921,69.175325,77.618325,264.94915
44.119525,69.294925,77.69545,265.05745
44.1457,69.344075,77.738925,265.27065
44.1637,69.37425,77.931425,265.320075
44.1824,69.424025,77.988925,265.83615
44.2144,69.471475,78.064525,266.08745
44.2249,69.515075,78.161375,266.129275
44.253375,69.5326,78.236525,266.1453
44.288,69.58625,78.263375,266.2099
44.32175,69.618275,78.3277,266.34895
44.33825,69.645125,78.36065,266.390275
44.36855,69.66125,78.406475,266.623025
44.390025,69.6797,78.45045,266.8937
44.431175,69.70555,78.464425,266.9193
44.480325,69.7239,78.496725,266.943275
44.501575,69.741825,78.522825,267.1001
44.521875,69.78245,78.551375,267.187175
44.5329,69.804925,78.595175,267.260125
44.54655,69.8274,78.711425,267.31115
44.557675,69.89565,78.749025,267.3901
44.5783,69.920425,78.775775,267.431175
44.596625,69.960375,78.836575,267.94845
44.63135,69.985825,78.908875,268.17845
44.64295,70.0103,78.94225,268.4097
44.6663,70.04185,79.0267,268.546375
44.6852,70.0781,79.062675,268.807025
44.75285,70.12555,79.189525,269.092375
44.76405,70.174125,79.217375,269.208825
44.7725,70.2161,79.25865,269.35675
44.802425,70.249125,79.284525,269.372575
44.821325,70.288225,79.322375,269.387025
44.844625,70.3104,79.36365,269.682925
44.854025,70.337925,79.423425,269.975375
44.8724,70.36085,79.4942,270.03235
44.8938,70.3822,79.5305,270.047875
44.91165,70.404475,79.531775,270.41915
44.9201,70.439425,79.55525,270.442625
44.954975,70.460475,79.57285,270.54715
44.9827,70.492775,79.69605,270.553375
45.0111,70.526825,79.889725,270.6957
45.058475,70.573575,79.91805,270.7198
45.078,70.621025,80.000875,270.7714
45.1024,70.652775,80.046825,270.779425
45.139725,70.7063,80.097325,270.784975
45.145875,70.7397,80.162475,271.12885
45.19085,70.84415,80.221375,271.267875
45.213,70.897925,80.25405,271.280825
45.227875,70.969675,80.2645,271.30875
45.2497,71.0084,80.27305,271.46425
45.2982,71.108275,80.352475,271.59215
45.330425,71.166525,80.3864,271.735925
45.35925,71.217225,80.42295,271.795425
45.390675,71.251675,80.499075,272.400325
45.411525,71.31365,80.534125,272.44825
45.456325,71.375325,80.5443,272.4951
45.5341,71.436875,80.611425,272.777225
45.575825,71.472475,80.652375,272.886375
45.6231,71.53155,80.687625,272.919825
45.652075,71.5711,80.7167,273.52665
45.662525,71.65135,80.718675,274.065175
45.701625,71.7104,80.750875,274.3933
45.7251,71.767375,80.87885,274.4225
45.7515,71.86855,80.98205,274.481675
45.759,71.891325,81.03135,274.8046
45.76435,71.92965,81.036075,274.823175
45.779125,71.9975,81.07805,274.856675
45.860425,72.023075,81.100325,275.064675
45.90105,72.1,81.117,275.093
45.9132,72.164775,81.14595,275.106275
45.953425,72.270375,81.170925,275.35785
46.015775,72.392675,81.1985,275.412825
46.04915,72.539025,81.2676,275.6483
46.0963,72.583525,81.328425,275.871225
46.11825,72.6387,81.3296,275.936425
46.184525,72.663575,81.38875,276.06715
46.2251,72.742625,81.411025,276.297075
46.251525,72.825475,81.430425,276.378125
46.268,72.86315,81.438,276.495375
46.2907,72.898975,81.509825,276.91665
46.3044,72.981175,81.514775,276.926275
46.327675,73.01835,81.573025,277.327725
46.350475,73.054325,81.575175,277.64415
46.380975,73.110775,81.603375,277.688
46.4166,73.15425,81.626275,277.784975
46.46055,73.191725,81.648225,278.2173
46.470825,73.222725,81.70165,278.338825
46.501625,73.26125,81.7343,278.465825
46.5194,73.319775,81.85505,278.605
46.551425,73.38365,81.863225,278.63255
46.5727,73.4121,81.971075,278.7391
46.5924,73.4541,81.99265,278.975575
46.619175,73.491525,82.063475,279.0788
46.65615,73.524975,82.087625,279.086975
46.69615,73.603575,82.1067,279.508575
46.71235,73.69785,82.1676,279.881175
46.75735,73.7358,82.24605,279.912725
46.782075,73.7707,82.271,279.952075
46.80935,73.8538,82.290475,280.04275
46.8244,73.8965,82.30135,280.1377
46.8591,73.9488,82.37705,280.35005
46.8904,73.9639,82.397925,280.396825
46.8993,73.983225,82.4313,280.562375
46.934525,74.023725,82.452675,280.6011
46.953475,74.067275,82.485275,280.61665
46.9763,74.095575,82.511225,280.796375
46.991825,74.1558,82.58865,280.899675
47.00345,74.199025,82.647675,280.9653
47.029925,74.2465,82.763975,281.13405
47.0557,74.27715,82.840325,281.153175
47.0727,74.326375,82.88315,281.27565
47.095475,74.3563,82.9208,281.932725
47.14955,74.4753,82.961225,282.568125
47.161425,74.498025,82.976875,282.96375
47.181925,74.54135,82.99255,283.2326
47.211625,74.68435,83.048575,283.249925
47.270375,74.6983,83.119675,283.61725
47.291675,74.72385,83.136575,283.69755
47.3415,74.747,83.1427,284.288675
47.384125,74.76155,83.1716,284.4928
47.402475,74.79645,83.2203,284.5178
47.436275,74.82175,83.229175,284.7084
47.45805,74.8867,83.259875,285.090025
47.476925,74.917675,83.31385,285.18715
47.496175,74.9374,83.32475,285.39735
47.57845,74.94765,83.407425,285.49715
47.597125,74.9782,83.43715,285.6074
47.610525,75.0184,83.602375,285.66335
47.645275,75.100275,83.6324,285.76315
47.688,75.12305,83.639025,285.9962
47.7089,75.244925,83.7001,286.091675
47.7144,75.25395,83.73725,286.1422
47.723025,75.2603,83.77285,286.3295
47.729925,75.269775,83.8129,286.353
47.761525,75.332775,83.9476,286.38505
47.787675,75.35805,83.97075,286.85975
47.807925,75.4155,84.0072,286.9115
47.822425,75.4285,84.01865,287.308675
47.867375,75.441725,84.1465,287.363575
47.895375,75.45705,84.17225,287.7293
47.92975,75.47935,84.355575,288.13535
47.947,75.512,84.4006,288.16485
48.02555,75.52995,84.422,288.4807
48.049375,75.551,84.436925,289.22395
48.096875,75.565475,84.46505,289.244725
48.114025,75.598025,84.4735,289.573475
48.145475,75.6314,84.5103,289.6801
48.175175,75.677225,84.543725,289.81815
48.19095,75.72035,84.577875,289.907125
48.201125,75.74305,84.5887,289.923275
48.218125,75.759825,84.658925,289.95455
48.227425,75.822175,84.7373,289.985575
48.2525,75.875175,84.748325,290.02065
48.27775,75.958425,84.8633,290.1525
48.312625,76.028,84.871775,290.416925
48.338075,76.0744,84.952225,290.427275
48.36085,76.1178,84.977775,290.690025
48.364875,76.1467,84.992925,290.7188
48.390075,76.187925,85.033025,290.77605
48.432875,76.234325,85.083725,290.92
48.452525,76.27855,85.129675,291.155825
48.4789,76.343275,85.155425,291.389075
48.548425,76.397225,85.16955,291.428175
48.5661,76.4641,85.270375,291.50225
48.641775,76.5413,85.32935,291.896725
48.647075,76.632275,85.333,292.384475
48.65965,76.79985,85.422175,292.675325
48.686475,76.875025,85.442925,292.714275
48.7225,76.938625,85.4503,292.73195
48.751875,76.965925,85.480475,292.849625
48.77595,76.99045,85.51,293.1927
48.7915,77.118825,85.54,293.334925
48.817875,77.146825,85.549625,293.527075
48.835,77.22765,85.713625,293.5441
48.865725,77.4976,85.752075,293.569875
48.89125,77.69395,85.79905,293.58155
48.905875,77.797625,85.82905,293.6041
48.9345,77.986825,85.898425,294.065325
48.9492,78.042725,85.935075,294.098675
48.9734,78.117,85.9522,294.215875
48.995175,78.28195,85.967925,294.25395
49.0179,78.362825,86.036875,294.7507
49.048125,78.537125,86.04785,294.966875
49.054075,78.56705,86.0827,295.370825
49.099025,78.59275,86.21465,295.401925
49.122675,78.628875,86.268175,295.416625
49.151125,78.657575,86.295475,295.633475
49.1741,78.69275,86.3014,295.64525
49.20655,78.7875,86.470375,295.7296
49.2181,78.827775,86.518325,296.028775
49.241975,78.890125,86.542425,296.1566
49.266,78.999,86.57095,296.2529
49.28375,79.117725,86.59945,296.4443
49.3215,79.20575,86.665075,296.643325
49.3773,79.2789,86.679,297.115125
49.421475,79.389825,86.701175,297.22235
49.445175,79.481725,86.742275,297.488475
49.46775,79.593525,86.834775,297.587
49.4831,79.60085,86.86895,297.888975
49.49545,79.6068,86.9092,297.96835
49.51085,79.613275,86.97355,298.034325
49.5471,79.622325,87.010125,298.153875
49.607275,79.6421,87.051075,298.24895
49.647075,79.652925,87.077525,298.3761
49.664825,79.697375,87.114225,298.398175
49.68865,79.7317,87.150475,298.842175
49.711575,79.754175,87.154625,299.022925
49.762425,79.769625,87.188925,299.063525
49.784825,79.785275,87.2849,299.089625
49.789375,79.82365,87.365025,299.18245
49.83825,79.878875,87.4912,299.475375
49.91445,79.943075,87.536075,299.594925
49.95835,79.98225,87.55785,299.6452
49.981675,80.028025,87.577675,299.66115
50.00725,80.059325,87.63445,299.96645
50.02485,80.0963,87.662225,300.113275
50.030825,80.1464,87.825375,300.452675
50.05095,80.1798,87.90725,300.470825
50.088375,80.20985,87.941325,
50.112775,80.2428,87.9771,
50.14335,80.284725,88.04135,
50.15935,80.3888,88.080925,
50.192075,80.448225,88.111075,
50.236225,80.497575,88.1186,
50.2699,80.584,88.218225,
50.319025,80.639925,88.28275,
50.3364,80.710675,88.29005,
50.353675,80.7567,88.313925,
50.38315,80.798525,88.4754,
50.41645,80.844875,88.539175,
50.4281,80.873225,88.5968,
50.484275,80.930375,88.6788,
50.5541,81.009375,88.78165,
50.56375,81.103075,88.81675,
50.612875,81.1544,88.822975,
50.7105,81.205225,88.850275,
50.7603,81.259575,88.8853,
50.79145,81.310675,88.895775,
50.833225,81.3384,88.948225,
50.8599,81.409825,88.9747,
50.9012,81.4228,88.9887,
50.90985,81.445175,89.014425,
50.96505,81.490125,89.05975,
51.0088,81.600775,89.133575,
51.03025,81.66435,89.276125,
51.0768,81.709025,89.3433,
51.11585,81.8101,89.479125,
51.1467,81.873825,89.517025,
51.180125,81.8969,89.6202,
51.184125,81.93025,89.692125,
51.19365,82.0893,89.715525,
51.200575,82.101825,89.8157,
51.21865,82.115725,89.9205,
51.249425,82.132175,89.99175,
51.2589,82.164275,90.026575,
51.271275,82.211125,90.05765,
51.288375,82.2375,90.131975,
51.314975,82.249975,90.18025,
51.341525,82.25845,90.186975,
51.4024,82.2815,90.2771,
51.4231,82.2955,90.3031,
51.43235,82.3115,90.331825,
51.453525,82.322725,90.3679,
51.4639,82.333825,90.3867,
51.491625,82.3454,90.441725,
51.531225,82.393925,90.825925,
51.544425,82.404125,90.897025,
51.5507,82.4124,90.922,
51.569975,82.420925,90.94515,
51.574875,82.43535,90.975,
51.58285,82.459775,91.03395,
51.608875,82.481225,91.05495,
51.644775,82.5344,91.08035,
51.6578,82.61155,91.11175,
51.676,82.628925,91.1236,
51.6973,82.640875,91.156925,
51.7439,82.65345,91.18365,
51.786975,82.678925,91.2177,
51.8053,82.7063,91.2538,
51.828525,82.74685,91.285975,
51.83585,82.785675,91.31035,
51.858225,82.789625,91.402075,
51.937825,82.824675,91.492175,
51.968225,82.853975,91.526575,
51.98035,82.89665,91.55965,
51.995875,82.93705,91.588625,
52.02125,82.96585,91.6264,
52.05175,82.999575,91.6594,
52.079425,83.0176,91.692525,
52.131475,83.03765,91.727875,
52.1613,83.05375,91.7782,
52.198025,83.07075,91.80975,
52.2302,83.08615,91.824125,
52.256675,83.103175,91.8367,
52.27395,83.126625,91.976125,
52.30175,83.163725,91.985475,
52.314525,83.19335,92.0066,
52.329325,83.2401,92.059075,
52.356125,83.2785,92.153025,
