SPK_SPKC01a (no effect),SPK_SPKC09a (no effect),SPK_SPKC09b (no effect),SPK_SPKC12a (excited)
4.131425,6.714275,7.7697,20.591375
4.228125,6.761325,7.786225,20.848425
4.2581,6.813175,7.791125,20.96755
4.2882,6.837175,7.842775,21.470525
4.354025,6.851575,7.914425,21.645125
4.37365,6.889475,7.929825,21.65735
4.379625,6.929325,7.96515,21.849125
4.4124,6.96305,8.035075,22.1118
4.432175,6.993975,8.0588,22.548875
4.453175,7.04175,8.0863,22.957125
4.4776,7.126325,8.113575,23.016525
4.546225,7.168875,8.16905,23.0751
4.55865,7.344,8.245525,23.3201
4.562675,7.3614,8.28035,23.73415
4.584525,7.373475,8.2924,23.852125
4.67155,7.40385,8.335325,24.09335
4.68405,7.455,8.513325,24.116225
4.71055,7.530025,8.520675,24.163375
4.717975,7.5561,8.545,24.27805
4.74425,7.561,8.570025,24.7355
4.7648,7.5684,8.5914,25.0099
4.794075,7.579825,8.62215,25.063375
4.842525,7.611475,8.66505,25.25915
4.8603,7.62115,8.732375,25.296025
4.888025,7.6269,8.860325,25.371175
4.906925,7.63075,8.888875,25.45735
4.943825,7.64065,8.999225,25.636325
4.966125,7.6855,9.02865,25.666025
4.977225,7.7035,9.198175,25.7088
5.0109,7.7124,9.23215,25.7512
5.047925,7.7261,9.315,25.8641
5.062425,7.741225,9.370875,25.972075
5.098275,7.782675,9.428,26.07145
5.114475,7.83695,9.5664,26.1272
5.126375,7.873825,9.65,26.1626
5.16755,7.91025,9.6541,26.210975
5.2228,7.950175,9.679925,26.33775
5.2629,7.98255,9.728325,26.6235
5.27755,7.989225,9.76685,27.080475
5.28905,8.009325,9.77065,27.1618
5.301725,8.132925,9.823025,27.34705
5.327125,8.14995,9.871225,28.32025
5.332675,8.201425,9.932925,28.444525
5.345525,8.2274,9.986975,28.47275
5.35965,8.26995,9.989625,28.624475
5.375875,8.29385,10.0619,28.84355
5.38795,8.345525,10.082325,28.931475
5.391675,8.3675,10.15525,29.19165
5.425175,8.391575,10.21955,29.56885
5.4471,8.426625,10.238725,29.611925
5.450025,8.4687,10.25925,29.706725
5.47735,8.5399,10.35,29.9208
5.48215,8.582425,10.437,30.060925
5.52775,8.614425,10.4862,30.4208
5.56325,8.6637,10.532225,30.482625
5.596775,8.68155,10.617375,30.883375
5.6011,8.7211,10.66495,30.955125
5.6186,8.8707,10.673525,30.9616
5.633825,8.9492,10.6901,31.157675
5.641525,9.0131,10.752425,31.1844
5.647475,9.0391,10.79665,31.86325
5.69655,9.06875,10.907075,32.495075
5.71075,9.1002,10.977425,32.553075
5.7203,9.18655,11.04265,32.627725
5.744875,9.212425,11.091025,32.88625
5.774375,9.23865,11.13365,32.913475
5.806125,9.275625,11.162175,33.161125
5.818425,9.30245,11.187475,33.246
5.843925,9.349525,11.21295,33.249825
5.861925,9.379075,11.29605,33.349775
5.891475,9.4224,11.346625,33.6644
5.9115,9.435625,11.4941,33.9057
5.932825,9.45505,11.499125,33.9213
5.955875,9.46905,11.523775,34.280075
5.982125,9.4884,11.56705,34.323
5.996375,9.51785,11.60885,34.5255
6.0258,9.542325,11.655,34.68375
6.063225,9.557875,11.729125,34.7078
6.069375,9.594675,11.7567,34.72515
6.10365,9.638325,11.78165,34.8818
6.124675,9.731525,11.787,35.052175
6.182125,9.752325,11.83165,35.260375
6.2044,9.7618,11.9634,35.267675
6.23545,9.772875,11.965775,35.304925
6.253475,9.78135,12.000525,35.3423
6.2943,9.800225,12.02115,35.690875
6.326225,9.8246,12.042575,35.776875
6.368375,9.9616,12.073325,35.810525
6.401275,9.968025,12.090825,35.8473
6.442075,9.974025,12.168725,35.985175
6.45385,9.977775,12.22595,36.495525
6.45865,9.9849,12.265225,36.502825
6.472375,9.99885,12.28845,36.727775
6.4996,10.029075,12.32085,36.813425
6.505725,10.051775,12.337975,36.82365
6.56645,10.08055,12.356575,37.15305
6.5929,10.10415,12.4078,37.33105
6.623275,10.1264,12.432175,37.435425
6.63125,10.16685,12.4651,37.6572
6.67265,10.278675,12.499,37.84435
6.68715,10.30105,12.584,37.883925
6.7125,10.316525,12.6276,37.91945
6.73415,10.33685,12.650225,38.2396
6.78735,10.355875,12.673275,38.3259
6.81545,10.394575,12.70395,38.49735
6.84195,10.4298,12.813425,38.522725
6.9286,10.46235,12.991,38.557025
6.9596,10.499275,13.003875,38.79635
6.965075,10.55065,13.0167,38.811375
6.9805,10.6408,13.0746,39.0308
7.0045,10.744775,13.1313,39.2452
7.02495,10.7838,13.2244,39.27825
7.040625,10.80995,13.2719,39.4014
7.0498,10.8261,13.3017,39.51125
7.0634,10.8349,13.4121,39.60625
7.12655,10.843525,13.44935,39.7894
7.1511,10.865,13.46665,39.81015
7.1731,10.889675,13.48295,39.852
7.186475,10.921025,13.497775,40.09915
7.1983,10.9513,13.537825,40.182225
7.32625,11.001725,13.5408,40.2515
7.334725,11.030225,13.552625,40.281525
7.3376,11.17505,13.60285,40.296075
7.344225,11.24575,13.693225,40.4974
7.3584,11.337525,13.753375,40.858125
7.40345,11.371125,13.8343,40.896375
7.4066,11.3859,13.848575,40.992775
7.41475,11.40695,13.90555,41.064975
7.421575,11.4202,14.0166,41.68495
7.432875,11.424525,14.023825,41.766975
7.445875,11.436175,14.059275,41.80155
7.5333,11.45095,14.06405,41.824075
7.53735,11.46355,14.12205,41.848725
7.558625,11.505575,14.147,41.987125
7.576125,11.53275,14.17375,42.0607
7.621375,11.557975,14.2068,42.08915
7.625575,11.5846,14.240575,42.1415
7.6448,11.597925,14.330525,42.250625
7.68325,11.6109,14.38855,42.491675
7.6935,11.710325,14.43455,42.5779
7.700675,11.739225,14.538875,42.678425
7.718125,11.7529,14.565425,42.9716
7.7268,11.790425,14.5893,42.987525
7.7486,11.864775,14.595775,43.143625
7.76475,11.897375,14.613475,43.3032
7.78805,11.89895,14.6192,43.8462
7.801575,11.944575,14.667325,44.0923
7.805575,12.095925,14.69735,44.124025
7.822475,12.1393,14.7264,44.1459
7.85005,12.223625,14.742125,44.64315
7.89265,12.298,14.7511,44.894075
7.91785,12.3359,14.766525,44.911925
7.9296,12.502575,14.91055,45.146125
7.96105,12.666425,14.971725,45.2132
8.029825,12.733525,15.039625,45.2281
8.03585,12.85135,15.084775,45.6233
8.072375,12.8847,15.11165,46.118525
8.0999,12.93145,15.183625,46.1848
8.115125,13.0114,15.21805,46.29095
8.161,13.08435,15.239325,46.35065
8.192575,13.1341,15.272575,46.57295
8.22965,13.148275,15.2917,46.656325
8.3011,13.16855,15.3173,47.291875
8.323775,13.202625,15.4032,47.30615
8.34855,13.233,15.420875,47.578625
8.37665,13.3119,15.453975,47.723275
8.3865,13.375875,15.582275,47.945825
8.41215,13.3866,15.62235,48.097075
8.43595,13.4321,15.65425,48.2527
8.450325,13.4768,15.77365,48.3383
8.4768,13.50445,15.838275,49.048325
8.4952,13.5684,15.8839,49.1514
8.524675,13.595225,15.93945,49.283975
8.55745,13.638125,15.971825,49.46795
8.642675,13.6821,16.0192,49.60755
8.6579,13.730725,16.08785,49.73665
8.682075,13.803075,16.093575,49.914675
8.695425,13.88285,16.17975,50.0886
8.710725,13.932375,16.24995,50.113075
8.720975,13.996825,16.27735,50.14355
8.74605,14.085475,16.32995,50.527
8.7637,14.11435,16.355475,51.03045
8.791975,14.150225,16.493475,51.115975
8.835425,14.267025,16.5809,51.184325
8.88485,14.339225,16.65325,51.27155
8.914575,14.46255,16.6967,51.40255
8.937775,14.525025,16.7999,51.550975
8.959325,14.614525,16.821525,51.70695
8.979575,14.71255,16.88885,52.161525
8.993675,14.755625,17.0049,52.25685
9.011325,14.826825,17.0447,52.375425
9.04745,14.848,17.112525,52.568
9.07465,14.879525,17.142675,52.684225
9.091425,14.977275,17.19175,52.7512
9.137225,15.004025,17.21045,52.9717
9.163675,15.0411,17.236375,52.9752
9.17615,15.103,17.29315,53.047975
9.211075,15.121875,17.319875,53.085625
9.2217,15.13775,17.3835,53.22895
9.25935,15.152975,17.420475,53.250275
9.3006,15.203575,17.447025,53.796775
9.332675,15.2332,17.482175,54.180075
9.3746,15.246775,17.5115,54.294
9.3831,15.26665,17.515575,54.4847
9.398875,15.3024,17.563225,54.642125
9.4285,15.344475,17.6028,54.710125
9.439575,15.38215,17.68715,54.741525
9.467075,15.427225,17.76545,54.79715
9.5269,15.473025,17.8272,55.064
9.535975,15.5228,17.8587,55.30765
9.547625,15.630625,17.9114,55.324725
9.57015,15.674775,17.9452,55.44225
9.5849,15.70115,18.0153,55.514425
9.610425,15.7272,18.0452,55.806375
9.643125,15.763625,18.065675,55.824925
9.6943,15.810925,18.168175,55.83855
9.7289,15.8597,18.201275,55.874925
9.73975,15.87855,18.2363,55.8899
9.7572,15.9681,18.264875,56.1461
9.781925,15.985525,18.298025,56.176775
9.805325,15.99855,18.301675,56.435925
9.8577,16.011875,18.33345,56.71005
9.882,16.021325,18.33575,56.832375
9.9021,16.031725,18.396325,57.07885
9.928725,16.0605,18.43215,57.115825
9.934175,16.1119,18.4466,57.227325
9.96215,16.147475,18.571025,57.505375
9.966225,16.2215,18.59615,57.6575
9.969925,16.26375,18.63625,57.682025
9.981725,16.3213,18.70145,57.9757
10.002275,16.428775,18.806225,58.0542
10.037375,16.486675,18.8129,58.12875
10.0658,16.55855,18.84305,58.937775
10.10955,16.58635,19.00505,58.96145
10.14525,16.6132,19.042075,59.154225
10.18475,16.71245,19.084575,59.19865
10.23245,16.746725,19.125275,59.2148
10.2397,16.804275,19.1535,59.305975
10.252675,16.844375,19.23955,59.343125
10.2709,16.884,19.2689,59.432675
10.301775,16.8987,19.294525,59.5474
10.333225,16.9082,19.363425,59.57525
10.34175,16.918875,19.3919,59.83805
10.3647,16.9313,19.466075,59.872625
10.424025,16.944675,19.56665,60.26685
10.4546,16.96725,19.590875,60.28225
10.508825,16.984475,19.627375,60.426925
10.5567,17.018325,19.77225,60.48285
10.570475,17.0405,19.863725,60.5284
10.602875,17.05425,19.885,60.59405
10.6125,17.074575,20.04055,60.955525
10.651275,17.102225,20.0778,61.14865
10.67965,17.14445,20.1086,61.23955
10.6994,17.196425,20.171,61.277275
10.70925,17.2883,20.211525,61.316875
10.733925,17.3545,20.256825,61.495525
10.789225,17.4184,20.3913,61.547075
10.82665,17.4314,20.418525,61.639775
10.836475,17.443325,20.45945,62.064775
10.86985,17.459575,20.4763,62.234725
10.91395,17.4782,20.491225,62.6049
10.958225,17.506075,20.508525,62.6743
10.973075,17.5464,20.55835,62.843275
11.000375,17.591925,20.6248,62.87645
11.0367,17.6405,20.67115,62.9034
11.056175,17.736875,20.698275,63.02265
11.084975,17.7775,20.793275,63.087775
11.1972,17.82435,20.817575,63.137875
11.22485,17.892525,20.926025,63.246575
11.245875,17.938825,20.94795,63.63465
11.264025,17.9557,20.979575,63.7025
11.304625,18.013325,21.0294,63.771625
11.319275,18.071725,21.031775,63.952475
11.3576,18.115875,21.06935,64.08975
11.3837,18.17055,21.1128,64.269
11.390625,18.2002,21.335075,64.345425
11.415925,18.23775,21.36745,64.457375
11.4289,18.26385,21.4273,64.558
11.4457,18.2969,21.4985,64.618525
11.4842,18.3446,21.544925,64.780625
11.509225,18.414375,21.6782,65.02615
11.538375,18.436125,21.72785,65.114625
11.545675,18.46165,21.7809,65.1221
11.5606,18.511275,21.88605,65.2554
11.57415,18.539925,21.931025,65.3342
11.609925,18.56855,21.9519,65.460625
11.62875,18.6058,21.97445,65.830375
11.6579,18.75415,22.060325,66.016625
11.671475,18.79295,22.109025,66.11845
11.702875,18.923225,22.14005,66.4625
11.743775,18.983925,22.1776,66.4893
11.7577,19.000125,22.2538,66.5162
11.7971,19.03915,22.291225,66.955225
11.820125,19.138,22.3243,67.1741
11.833925,19.208975,22.370125,67.199575
11.86465,19.369225,22.42385,67.44005
11.87795,19.4158,22.45545,67.479225
11.8982,19.4513,22.478975,67.519175
11.927975,19.494525,22.497825,67.54505
11.95565,19.5555,22.6555,67.672325
11.97335,19.65405,22.732675,67.73535
11.999425,19.725575,22.774,67.839325
12.020275,19.89645,22.808875,68.047475
12.043025,19.90805,22.882525,68.468675
12.0791,19.918475,22.9086,68.515725
12.100825,19.9593,22.917375,68.68505
12.11695,20.126475,22.94845,68.766025
12.13545,20.145175,23.023625,68.7945
12.159775,20.156225,23.0667,69.20325
12.2078,20.180025,23.0976,69.3189
12.227725,20.2385,23.1308,69.568225
12.25975,20.26615,23.26605,69.923775
12.28385,20.30375,23.2882,69.9417
12.313325,20.327625,23.299475,70.105825
12.334475,20.3475,23.3457,70.688175
12.3592,20.38505,23.4101,71.101575
12.375525,20.403375,23.4605,71.616975
12.386525,20.4277,23.4848,71.711875
12.42025,20.450375,23.5489,71.80675
12.44735,20.54505,23.587125,72.01755
12.501825,20.592125,23.612925,72.0653
12.5371,20.6075,23.671125,72.347525
12.5489,20.623075,23.73825,72.37865
12.596775,20.67395,23.772075,72.842525
12.635825,20.692175,23.78705,72.933575
12.697375,20.737,23.819225,73.201425
12.718725,20.74995,23.849325,73.26285
12.735525,20.77545,23.885575,73.28505
12.747875,20.798975,23.9158,73.50685
12.758175,20.830825,23.951625,73.58725
12.79255,20.848275,23.972475,74.131425
12.82285,20.878125,23.981625,74.372525
12.834825,20.893825,24.007825,74.4633
12.8678,20.918225,24.061,74.7107
12.884075,20.934425,24.07965,75.269575
12.900825,20.9681,24.141575,75.370225
12.928825,20.9929,24.241325,75.488125
13.02175,21.02585,24.30335,75.558375
13.032175,21.065,24.336825,75.592675
13.05075,21.087975,24.3743,75.623875
13.0568,21.12945,24.39795,75.809925
13.065125,21.189875,24.54155,76.0777
13.09855,21.2469,24.54985,76.1032
13.136775,21.26665,24.581125,76.705625
13.1399,21.313175,24.58425,76.7701
13.1568,21.366325,24.586325,76.94075
13.180175,21.484225,24.651525,76.951975
13.2226,21.5219,24.679525,77.176275
13.233225,21.5361,24.71095,77.262675
13.239625,21.598525,24.71355,77.45825
13.25165,21.617875,24.79055,77.490775
13.29095,21.68605,24.89195,77.6272
13.313525,21.729825,24.894725,77.69035
13.332575,21.77605,24.9241,77.874575
13.356425,21.8113,24.97455,77.9169
13.387125,21.8582,25.050875,78.074325
13.4106,21.967075,25.084,78.57805
13.41765,21.9978,25.099525,78.8763
13.45435,22.0169,25.108225,78.99955
13.4722,22.0435,25.14785,79.0716
13.49215,22.0707,25.20235,79.62795
13.498325,22.11825,25.238475,79.811225
13.5209,22.1703,25.3647,79.93615
13.533325,22.183275,25.37055,80.0443
13.547075,22.197825,25.39195,80.05485
13.552375,22.2218,25.419825,80.293675
13.556675,22.3174,25.52315,80.297225
13.63285,22.346375,25.537375,80.377675
13.663425,22.38275,25.640625,80.52685
13.673725,22.444,25.65075,80.8832
13.6887,22.495625,25.760925,80.910725
13.71135,22.598,25.7919,81.002725
13.7301,22.618,25.816425,81.205425
13.75225,22.647675,25.961,81.28775
13.764025,22.668125,25.984725,81.639875
13.7978,22.697225,26.0074,81.832125
13.831425,22.771625,26.151225,81.877025
13.8556,22.820025,26.227825,82.035275
13.94605,22.968075,26.248475,82.1324
13.979525,22.989875,26.35395,82.204225
14.00335,23.031875,26.43565,82.5957
14.01285,23.0945,26.43685,82.5997
14.0285,23.179675,26.500175,82.66575
14.054575,23.244075,26.505825,82.729475
14.08455,23.3159,26.54735,82.887325
14.1076,23.3543,26.594825,83.14675
14.12525,23.39285,26.639025,83.4813
14.163725,23.4365,26.66775,83.8909
14.180425,23.50015,26.688125,84.026975
14.1888,23.650475,26.71495,84.145175
14.2066,23.66075,26.7464,84.408575
14.2207,23.667325,26.7685,84.636075
14.24465,23.67235,26.833275,84.665625
14.274275,23.680775,26.8636,84.848225
14.299975,23.690175,26.9197,84.947825
14.307925,23.69675,26.958025,84.9797
14.358775,23.711,26.993,85.095025
14.3746,23.720825,27.0828,85.281675
14.400075,23.74755,27.173825,85.3555
14.406425,23.79785,27.20585,85.48655
14.432175,23.82885,27.2096,86.048375
14.449925,23.866675,27.249925,86.1092
14.48265,23.902375,27.293075,86.3015
14.49285,23.923275,27.383025,86.35505
14.5166,23.9629,27.44835,86.551875
14.533525,24.086675,27.52335,86.580725
14.5497,24.12805,27.59955,87.24435
14.58305,24.145075,27.6789,87.4239
14.6211,24.1648,27.69955,87.567125
14.645775,24.1992,27.735775,87.768775
14.660975,24.236375,27.81125,87.97595
14.692325,24.27115,27.846,88.214225
14.708975,24.316925,27.860475,88.29
14.74155,24.384225,27.878175,88.5868
14.757625,24.472425,27.8858,88.671075
14.823925,24.4916,27.965525,88.687825
14.8483,24.50585,28.01295,89.032675
14.869,24.516525,28.04325,89.32225
14.873075,24.52655,28.07915,89.559975
14.91675,24.552325,28.102975,89.625225
14.929525,24.577125,28.126975,89.84225
14.963775,24.643775,28.13525,89.929675
15.024175,24.7092,28.177075,90.1005
15.04455,24.810125,28.188325,90.145575
15.0774,24.820975,28.217725,90.200325
15.10705,24.832425,28.256525,90.27155
15.136375,24.8476,28.27995,90.585225
15.1504,24.8653,28.3178,90.70165
15.153375,24.8796,28.329675,90.85155
15.2,24.9182,28.39535,90.9448
15.204925,24.955,28.466025,91.1129
15.23755,25.0446,28.530525,91.197125
15.260675,25.11205,28.57185,91.42575
15.2734,25.173625,28.591525,91.613375
15.296275,25.212875,28.611175,91.782525
15.3322,25.294775,28.655775,91.811225
15.35525,25.42485,28.691625,91.88725
15.393175,25.447175,28.778775,91.95695
15.408325,25.5842,28.83105,91.9646
15.42075,25.6327,28.85925,91.996525
15.43315,25.70125,28.88325,92.049025
15.4619,25.927375,28.910425,92.656475
15.485825,25.970525,28.940675,92.773175
15.503575,26.004825,29.017575,93.1057
15.549325,26.265925,29.061675,93.434675
15.5639,26.3199,29.1793,93.470475
15.58425,26.44595,29.1941,93.558825
15.6539,26.529975,29.21255,93.622825
15.676425,26.660875,29.224675,93.706175
15.681075,26.699125,29.373375,93.7351
15.720725,26.7798,29.4557,93.87695
15.74375,26.810125,29.4853,94.3049
15.762325,26.852375,29.5325,94.462525
15.792,26.98725,29.553225,94.613
15.80425,27.0049,29.6836,94.641075
15.8279,27.03715,29.8115,94.86775
15.8625,27.06215,29.86455,94.970975
15.87875,27.1329,29.911025,94.982275
15.942375,27.2023,30.080375,95.131825
15.960725,27.26015,30.103375,95.20955
16.00475,27.343575,30.118875,95.25765
16.0169,27.425575,30.133625,95.30625
16.03235,27.4716,30.1752,95.35745
16.0418,27.630825,30.206875,95.408275
16.047225,27.66375,30.237175,95.470775
16.0749,27.816875,30.2715,95.574075
16.1189,27.91975,30.29445,96.00295
16.1273,27.941375,30.300725,96.089725
16.1483,27.98135,30.3253,96.1228
16.1924,28.185725,30.376875,96.140075
16.206375,28.204975,30.401125,96.2118
16.2308,28.331225,30.5579,96.604875
16.281775,28.342225,30.571625,96.6458
16.33615,28.418725,30.574225,96.74435
16.393825,28.4416,30.591925,96.81545
16.416075,28.452425,30.601975,96.990825
16.421725,28.463075,30.644075,97.0746
16.447225,28.473325,30.686625,97.332075
16.4882,28.491075,30.717975,97.3889
16.500375,28.50885,30.7579,97.5847
16.542,28.5291,30.798075,97.8258
16.558375,28.55735,30.826875,98.03985
16.566075,28.5845,30.934825,98.0924
16.596375,28.626025,30.954725,98.13085
16.645875,28.664125,30.98705,98.17845
16.677625,28.72025,31.052275,98.224175
16.68645,28.9428,31.06885,98.350975
16.69155,28.9547,31.088275,98.4011
16.73495,28.962075,31.1482,98.645375
16.754275,28.9813,31.215875,98.729225
16.77275,29.001375,31.26395,98.915275
16.820525,29.021675,31.43595,98.96975
16.8386,29.062975,31.53275,99.121425
16.8576,29.08455,31.6885,99.142175
16.8916,29.1137,31.7237,99.1906
16.921075,29.26505,31.7637,99.24585
16.932,29.275975,31.8096,99.28955
16.949275,29.2848,31.8332,99.315475
16.98085,29.2951,31.84935,99.50575
17.00035,29.30445,31.942525,99.705475
17.00845,29.31645,31.97685,99.78505
17.03425,29.383375,32.028425,100.045725
17.056925,29.4071,32.055375,100.09235
17.1017,29.423075,32.057375,100.61275
17.1238,29.60515,32.09545,100.722875
17.173675,29.61745,32.1392,100.894225
17.196725,29.6273,32.168575,101.200025
17.219075,29.635775,32.17685,101.259925
17.25475,29.648675,32.21075,101.3071
17.291,29.67995,32.2419,101.344375
17.3345,29.709775,32.252475,101.41995
17.36955,29.736375,32.31205,101.52675
17.39105,29.7916,32.56675,101.6131
17.425525,29.809625,32.673575,101.926075
17.439975,29.829425,32.7061,102.110275
17.46175,29.85045,32.787225,102.37505
17.4786,29.87675,32.81255,102.548525
17.485325,29.915725,32.826125,102.806575
17.502125,29.95845,32.882825,102.957025
17.5113,30.000675,32.917225,102.993725
17.550375,30.056325,32.922225,103.131475
17.570525,30.091,32.96795,103.3669
17.59055,30.109875,33.0623,103.476025
17.609875,30.124,33.076475,103.80975
17.6407,30.15795,33.087275,103.939175
17.651675,30.176725,33.09545,104.331175
17.673375,30.2161,33.1348,104.571225
17.6776,30.2851,33.1693,104.742125
17.720025,30.31975,33.27605,104.776625
17.731,30.342825,33.34905,105.175675
17.750025,30.356825,33.4276,105.251975
17.7832,30.37575,33.429325,105.6735
17.796425,30.417175,33.527975,105.91215
17.855,30.4735,33.5493,106.202925
17.87725,30.5096,33.574975,106.33155
17.9173,30.5407,33.6909,106.34995
17.955775,30.563025,33.796525,106.62365
17.9673,30.584275,33.8102,106.7952
17.980825,30.613725,33.828675,106.885025
18.01485,30.64215,33.873175,106.967975
