SPK_SPKC03a (exci),SPK_SPKC09a (exc),SPK_SPKC12a (inhi),SPK_SPKC15a (inhi)
4.97945,14.6204,6.8416,7.53605
5.00715,14.825,6.867075,7.5543
5.0269,14.92005,6.898375,7.581425
5.034975,14.959,6.92,7.65555
5.0372,15.07425,6.98425,7.68865
5.06865,15.1207,7.028525,7.718925
5.082975,15.15955,7.055775,7.758175
5.10395,15.221325,7.115375,7.768125
5.118725,15.240875,7.18645,7.7845
5.167,15.5923,7.20525,7.81425
5.209125,15.59585,7.250175,7.836825
5.224125,15.659125,7.380475,7.852975
5.242,15.7048,7.4136,7.888525
5.2856,15.787,7.4396,7.9204
5.292775,15.908725,7.465875,7.9567
5.308525,15.9346,7.5028,7.9755
5.33375,15.96605,7.5227,7.999775
5.35925,15.978725,7.5525,8.02855
5.391975,15.9911,7.606,8.069625
5.4086,16.07965,7.686725,8.15295
5.42535,16.342275,7.730175,8.175275
5.4648,16.3928,7.7623,8.18595
5.49485,16.4535,7.81695,8.2377
5.560475,16.702775,7.823825,8.262475
5.5895,16.72455,7.87655,8.3157
5.611775,16.73505,7.917225,8.3355
5.678225,16.747,7.931675,8.442725
5.71005,16.754325,7.948325,8.454125
5.736825,16.760125,7.963925,8.52545
5.760525,16.807975,7.981525,8.54865
5.795575,16.852275,8.0373,8.6422
5.82705,16.8997,8.07555,8.6624
5.846575,16.9251,8.106425,8.665425
5.917825,17.024725,8.1303,8.7804
5.956225,17.221375,8.160825,8.82205
5.976675,17.245125,8.170275,8.852425
5.99295,17.290475,8.195525,8.906125
6.00205,17.390075,8.21165,8.9311
6.0129,17.441825,8.22535,9.0463
6.0261,17.5037,8.240125,9.074475
6.040275,17.53685,8.28805,9.08655
6.078,17.5577,8.30045,9.096325
6.1003,17.59745,8.328625,9.120925
6.128425,17.603825,8.367075,9.1592
6.152525,17.919825,8.3999,9.1896
6.18325,18.14695,8.475725,9.20935
6.197525,18.187625,8.577025,9.22575
6.2526,18.211925,8.59955,9.3381
6.271425,18.226925,8.64545,9.3849
6.3237,18.293275,8.691475,9.4185
6.348625,18.40165,8.7162,9.4738
6.3918,18.44715,8.73765,9.4816
6.42075,18.675025,8.7631,9.52305
6.471075,18.703825,8.8044,9.5785
6.5008,18.7232,8.86105,9.6644
6.52125,18.728575,8.88675,9.69535
6.5402,18.7423,8.915775,9.69665
6.56615,18.765475,8.951625,9.731425
6.5769,18.778625,8.983,9.782425
6.60655,18.782375,9.0091,9.80155
6.6489,18.791,9.05405,9.89475
6.688775,18.933,9.094975,9.90725
6.709425,18.9921,9.115375,10.0091
6.727075,19.100275,9.15285,10.021575
6.74765,19.1827,9.18765,10.03755
6.765975,19.3475,9.245,10.13505
6.797725,19.46515,9.271025,10.176775
6.8352,19.493375,9.301875,10.241125
6.868925,19.526525,9.340825,10.273275
6.90525,19.54445,9.415825,10.2992
6.932975,19.562525,9.45485,10.31325
7.015475,19.567175,9.480575,10.338375
7.053,19.593675,9.510525,10.339725
7.090675,19.6434,9.5434,10.364125
7.115575,19.700375,9.5973,10.452325
7.13075,19.8319,9.64965,10.483575
7.1585,20.27675,9.675,10.523425
7.188675,20.290325,9.71265,10.563725
7.22165,20.3002,9.745175,10.6318
7.24375,20.316725,9.7822,10.7039
7.28595,20.3918,9.80825,10.73215
7.32455,20.436275,9.8289,10.77745
7.377375,20.4887,9.837225,10.811075
7.40875,20.559725,9.96315,10.829175
7.429525,20.626775,10.008,10.83075
7.446075,20.63665,10.046675,10.867575
7.46575,20.66455,10.095625,10.888225
7.4874,20.6882,10.138625,10.93785
7.49565,20.734375,10.196675,10.966875
7.5089,20.759025,10.221875,11.022
7.53095,20.774975,10.248325,11.046175
7.5614,20.781325,10.26875,11.092475
7.58265,20.872025,10.300775,11.209825
7.60555,20.9647,10.365275,11.231325
7.6243,20.98445,10.43385,11.263275
7.6468,21.20095,10.43805,11.294725
7.6788,21.32475,10.476825,11.362025
7.6971,21.340825,10.526825,11.4408
7.723225,21.40715,10.5579,11.514825
7.737675,21.414275,10.570175,11.547925
7.7716,21.461525,10.595625,11.551825
7.790925,21.498175,10.62015,11.634025
7.810475,21.5241,10.686175,11.6573
7.850025,21.548425,10.721675,11.676225
7.875525,21.576375,10.742475,11.69255
7.894825,21.6199,10.7947,11.703975
7.914025,21.659,10.81465,11.70865
7.934325,21.695925,10.835375,11.7406
7.961125,21.747525,10.870525,11.760125
7.9801,21.833775,10.89545,11.814025
8.000275,21.89555,10.915625,11.827275
8.020675,21.997275,10.92695,11.855975
8.03375,22.037225,10.9495,11.873075
8.05935,22.084975,10.969525,11.9259
8.085225,22.15545,11.053075,11.963525
8.100825,22.19195,11.094125,11.99375
8.119675,22.4149,11.1164,12.0893
8.144725,22.491075,11.14625,12.115
8.1856,22.537575,11.17435,12.138825
8.195775,22.54845,11.227875,12.2684
8.2063,22.5666,11.2434,12.337425
8.21895,22.847225,11.3744,12.39695
8.231575,22.91575,11.4036,12.468325
8.243075,22.93785,11.416075,12.504625
8.257675,22.961525,11.4397,12.520075
8.2721,23.0267,11.4581,12.593625
8.310625,23.057225,11.5017,12.630475
8.330525,23.079,11.546275,12.664275
8.361225,23.1361,11.60025,12.723125
8.382725,23.46705,11.6535,12.800175
8.403575,23.48815,11.6809,12.84015
8.42295,23.5195,11.77485,12.865675
8.468275,23.571425,11.798925,12.90185
8.493425,23.61195,11.819225,12.9762
8.5153,23.679025,11.85285,13.0122
8.5399,24.207875,11.893675,13.046325
8.5605,24.324675,11.922,13.0981
8.593575,24.41165,11.9518,13.16405
8.61995,24.649175,12.03915,13.19265
8.6426,24.672625,12.06895,13.2304
8.6929,24.68615,12.0939,13.25775
8.72965,24.703875,12.130825,13.27915
8.84335,24.9653,12.15945,13.298875
8.871125,24.9805,12.2237,13.344975
8.894375,25.014425,12.242375,13.408575
8.923575,25.024175,12.276,13.4706
8.941925,25.0306,12.292125,13.547775
8.9566,25.0501,12.332625,13.5857
8.98855,25.217675,12.366225,13.6295
9.003625,25.548675,12.465875,13.676675
9.02235,25.56205,12.489125,13.712225
9.050675,25.57335,12.529375,13.730325
9.0731,25.607625,12.5658,13.83425
9.094475,25.661125,12.5788,13.856625
9.135575,25.76025,12.61075,13.892475
9.16145,25.76795,12.62415,13.928575
9.182375,25.838475,12.752375,13.951325
9.199725,25.91965,12.79595,13.9871
9.22975,26.01495,12.833525,14.024625
9.2584,26.0489,12.8471,14.07415
9.2984,26.0745,12.88505,14.095875
9.337925,26.24455,12.920825,14.17385
9.399175,27.081425,12.93745,14.199225
9.44515,27.799925,12.98445,14.293675
9.47195,27.865275,13.025175,14.3109
9.49925,28.562325,13.070475,14.323425
9.5183,29.096725,13.1084,14.372425
9.5358,30.352775,13.139075,14.418275
9.55645,30.44805,13.15635,14.452475
9.578025,30.4759,13.1995,14.497225
9.609975,30.96395,13.23075,14.527525
9.6304,31.29565,13.275325,14.53775
9.651025,32.412,13.318475,14.667875
9.667825,33.05665,13.345125,14.69115
9.690525,34.00085,13.380525,14.740225
9.767475,34.4009,13.425375,14.795025
9.7993,34.598825,13.5152,14.82295
9.832275,34.7043,13.538775,14.893325
9.8827,35.525625,13.581875,14.91875
9.91215,35.563725,13.61005,14.95095
9.950375,35.67005,13.6479,14.985575
10.0043,36.316925,13.690075,15.050975
10.054525,36.342875,13.7186,15.082575
10.089325,36.354925,13.7572,15.10845
10.123125,36.41145,13.79435,15.13395
10.140075,36.428725,13.81265,15.23225
10.1665,37.11145,13.874225,15.27625
10.19385,37.561575,13.89075,15.38175
10.226575,37.58905,13.926875,15.391025
10.256,37.625575,13.960425,15.3964
10.28685,37.757,13.97475,15.484775
10.321025,38.259775,14.05315,15.533225
10.368775,38.52135,14.073725,15.583075
10.418475,38.786775,14.111875,15.61115
10.4326,39.019425,14.13675,15.664725
10.44495,39.05405,14.1636,15.70065
10.452675,39.399975,14.2136,15.769525
10.45665,39.560375,14.282775,15.9255
10.464425,39.9877,14.319975,15.946175
10.4748,40.34635,14.39895,16.016975
10.48465,40.366575,14.42265,16.04555
10.49215,40.449575,14.436725,16.19875
10.525175,40.993225,14.51575,16.2278
10.553675,41.083575,14.5538,16.2495
10.5939,41.522125,14.5731,16.30725
10.634675,41.55495,14.62135,16.34095
10.66925,42.073625,14.650925,16.36745
10.713825,42.0848,14.687375,16.415825
10.765825,42.0949,14.726425,16.45195
10.814075,42.1128,14.78425,16.546925
10.842775,42.16555,14.799125,16.583575
10.867,43.3327,14.844325,16.630875
10.890725,43.345475,14.898175,16.6655
10.9099,44.2131,14.91795,16.707675
10.9278,44.2798,14.984475,16.799975
10.94275,44.4012,15.02,16.87925
10.958575,45.212675,15.0707,16.9126
10.97095,45.22545,15.101325,17.003575
10.987025,45.231075,15.128125,17.0432
11.02215,45.255975,15.17425,17.066075
11.03605,45.296775,15.21015,17.092875
11.057975,45.401475,15.254475,17.11755
11.0907,45.450875,15.289125,17.162775
11.12505,45.8496,15.326525,17.1864
11.1557,45.871675,15.352475,17.2666
11.195,45.9099,15.39005,17.332125
11.21965,45.93335,15.4043,17.41965
11.249725,46.06095,15.45275,17.432525
11.286825,46.53505,15.5546,17.462175
11.31585,46.621225,15.5955,17.4938
11.3489,46.6808,15.618675,17.5483
11.37045,46.726775,15.700625,17.59065
11.389875,47.023025,15.7294,17.5918
11.411225,47.0535,15.738,17.628925
11.42465,47.075425,15.766425,17.7332
11.4443,47.106575,15.808675,17.786
11.46525,47.1435,15.87915,17.808925
11.48635,47.206225,15.931575,17.9588
11.521775,47.5012,15.960375,17.960825
11.545275,47.54055,15.989875,17.9973
11.5593,47.566025,16.04445,18.05275
11.58305,47.58595,16.079125,18.101
11.616275,47.602,16.106375,18.1319
11.658075,47.619575,16.14145,18.1603
11.68265,47.640125,16.158525,18.1841
11.717825,47.695675,16.187275,18.19975
11.7428,47.765625,16.194825,18.251625
11.76305,47.7835,16.2011,18.2905
11.7847,47.811275,16.296775,18.341775
11.81365,47.862775,16.332625,18.48065
11.84365,47.906325,16.36165,18.502125
11.86995,47.93485,16.4193,18.528225
11.910325,48.048525,16.460275,18.60605
11.9443,48.252775,16.48555,18.72645
11.970375,48.4762,16.514275,18.750575
11.994525,48.513425,16.5668,18.806275
12.0274,48.549425,16.6037,18.937525
12.0488,48.5862,16.6417,18.973075
12.06625,48.667625,16.6953,18.9925
12.09455,48.80615,16.732775,19.013775
12.1145,48.9175,16.75135,19.02295
12.13455,48.960825,16.775525,19.0578
12.157,48.982625,16.804175,19.088725
12.175625,48.99825,16.86135,19.1247
12.201175,49.007425,16.87715,19.1511
12.224075,49.012975,16.924725,19.176825
12.26065,49.01905,16.9382,19.2132
12.288575,49.025725,16.967725,19.23085
12.32735,49.031625,16.982175,19.23585
12.35795,49.04185,17.02745,19.389
12.3834,49.048175,17.08605,19.4859
12.415075,49.065825,17.10245,19.527825
12.451375,49.11335,17.13295,19.613075
12.477425,49.2091,17.16935,19.6486
12.498975,49.5531,17.217775,19.6765
12.5198,49.5694,17.250475,19.765075
12.543475,49.574175,17.270425,19.793275
12.5779,49.57685,17.30305,19.81975
12.60285,49.5872,17.3284,19.853075
12.636975,49.59885,17.352375,19.9246
12.6738,49.61845,17.36775,19.953125
12.70905,49.631875,17.3874,19.97625
12.736775,49.6659,17.430675,20.065525
12.76115,49.721525,17.4771,20.11135
12.793675,49.75955,17.516675,20.1338
12.8215,49.889075,17.580575,20.23585
12.847425,49.985175,17.593975,20.390825
12.8955,50.20425,17.621325,20.42045
12.917575,50.220025,17.65645,20.491125
12.959975,50.2341,17.703625,20.5388
12.989475,50.252475,17.7314,20.56
13.02955,50.291225,17.757825,20.612575
13.103075,50.33465,17.790875,20.61865
13.128825,50.3974,17.827975,20.6405
13.157175,50.538525,17.8481,20.668225
13.190275,50.682775,17.86315,20.7482
13.22325,50.703,17.90215,20.8228
13.24775,50.71435,17.96365,20.853325
13.270625,50.730025,17.9956,20.878525
13.3109,50.742325,18.03725,20.92185
13.33565,50.75745,18.084075,20.9392
13.365125,50.766025,18.113525,20.9781
13.417275,50.77495,18.145475,21.01855
13.442075,50.780025,18.183175,21.049775
13.49025,50.78775,18.213575,21.08795
13.523975,50.7967,18.23195,21.170575
13.5574,50.8071,18.25825,21.1751
13.585975,50.821075,18.2945,21.1998
13.6105,50.83605,18.325125,21.2082
13.641875,50.8813,18.36045,21.233775
13.671225,50.9494,18.38815,21.280025
13.712175,50.9838,18.4236,21.3081
13.747675,51.01375,18.442975,21.3606
13.789275,51.09335,18.47165,21.383925
13.829925,51.13895,18.50355,21.433975
13.86645,51.302125,18.543175,21.454325
13.895425,51.43245,18.571625,21.460775
13.9335,51.476375,18.648575,21.4779
13.970825,51.586625,18.6697,21.496275
14.01235,51.64115,18.72655,21.528875
14.0381,51.68385,18.750475,21.53355
14.062125,51.712025,18.800375,21.590375
14.096875,51.7351,18.836275,21.644975
14.14815,51.757225,18.86355,21.661625
14.195475,51.787275,18.87905,21.68075
14.253225,51.8474,18.896925,21.683775
14.3163,51.92035,18.95685,21.703075
14.349825,51.974925,18.9785,21.7236
14.390325,52.032075,19.00195,21.765175
14.413625,52.0713,19.016875,21.848325
14.47505,52.089825,19.05935,21.92505
14.50845,52.10535,19.088825,21.938875
14.54855,52.115025,19.093275,21.9733
14.5833,52.12575,19.106725,22.0049
14.633575,52.1359,19.1213,22.033075
14.6742,52.1467,19.153075,22.042275
14.721075,52.1516,19.20235,22.074775
14.759175,52.156675,19.242475,22.1338
14.7856,52.169525,19.2613,22.162975
14.83085,52.1785,19.304275,22.17015
14.865575,52.1931,19.323275,22.20205
14.90395,52.212475,19.3722,22.263675
14.944875,52.267575,19.38765,22.3039
14.99515,52.3001,19.45115,22.325175
15.033225,52.34325,19.48615,22.353125
15.065175,52.388825,19.518625,22.3629
15.087775,52.446275,19.54985,22.385975
15.120475,52.648575,19.584825,22.403025
15.150475,52.706125,19.637975,22.446025
15.187575,52.73305,19.6584,22.4778
15.22705,52.77765,19.703875,22.50885
15.271575,52.81495,19.74595,22.57135
15.309575,52.8629,19.773875,22.60525
15.345325,52.9028,19.7905,22.63565
15.3763,52.93655,19.82685,22.650125
15.4301,52.984,19.86785,22.686075
15.491975,53.0679,19.9019,22.7274
15.53215,53.132775,19.965125,22.742425
15.563225,53.187,19.99845,22.788225
15.597675,53.240025,20.063475,22.8407
15.63415,53.28775,20.090825,22.871925
15.659,53.395525,20.123,22.907675
15.688225,53.4897,20.156575,22.944125
15.70945,53.511575,20.202775,22.98245
15.737875,53.56005,20.26155,23.012675
15.762125,53.6008,20.28495,23.101675
15.783525,53.619625,20.31285,23.15355
15.813175,53.64195,20.34875,23.18725
15.85845,53.668525,20.387675,23.20445
15.88465,53.7016,20.402275,23.2296
15.91405,53.724575,20.427875,23.252775
15.921875,53.75775,20.45815,23.27645
15.958575,53.774,20.4827,23.299625
15.9738,53.807375,20.5171,23.307425
15.990725,53.907,20.54905,23.320825
16.017825,53.9125,20.5747,23.38535
16.057,54.0153,20.602625,23.480925
16.0699,54.032175,20.621725,23.50455
16.105475,54.05815,20.630075,23.53555
16.1397,54.06865,20.669325,23.575675
16.173875,54.081175,20.708075,23.64845
16.229825,54.089525,20.7456,23.6774
16.260275,54.09975,20.765,23.67935
