SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC07a
2.78755,2.48815,2.8124,11.2033,3.454725
2.79945,2.510075,2.833825,11.252125,3.504425
2.8137,2.523625,2.855725,11.265175,3.5685
2.826475,2.56135,2.923725,11.5271,3.5997
2.8519,2.578675,2.94215,11.5945,3.63175
2.9536,2.598875,2.957,11.64345,3.646625
3.05305,2.6164,2.981675,11.672975,3.667125
3.070125,2.63225,3.000475,11.718175,3.695425
3.075825,2.652075,3.01185,11.742525,3.735575
3.090175,2.689125,3.0701,11.858375,3.757225
3.097475,2.702975,3.080925,11.938425,3.779575
3.1055,2.757175,3.128625,11.957825,3.812875
3.114525,2.782025,3.140325,11.9772,3.83745
3.11755,2.792475,3.153875,12.14115,3.86525
3.130525,2.809125,3.174925,12.2856,3.8942
3.157275,2.82495,3.18935,12.330775,3.926525
3.2631,2.8399,3.24205,12.50545,3.9432
3.31055,2.843525,3.258375,12.581225,3.982075
3.352125,2.856325,3.289725,12.62645,4.0001
3.4372,2.872575,3.317675,12.671775,4.02025
3.46725,2.88935,3.321625,12.86305,4.071
3.511775,2.947025,3.336625,12.88365,4.09855
3.573825,2.96805,3.359775,12.9481,4.12885
3.586525,2.984925,3.4758,13.162425,4.1712
3.599425,3.001375,3.506575,13.235975,4.194725
3.61085,3.01575,3.5208,13.26705,4.203075
3.62235,3.0339,3.53375,13.607025,4.21285
3.654025,3.068125,3.56645,13.631625,4.224975
3.75055,3.0916,3.592325,13.6715,4.26365
3.861275,3.119325,3.606875,13.677825,4.29625
3.909625,3.13425,3.6161,13.710925,4.317875
3.939225,3.155725,3.652975,13.733925,4.345475
3.957675,3.1846,3.665725,13.82045,4.372175
3.988825,3.205025,3.7287,13.918575,4.440725
4.067525,3.225775,3.77225,14.0472,4.475825
4.1116,3.247575,3.7876,14.29835,4.499275
4.1373,3.26355,3.804425,14.33275,4.548775
4.138725,3.28655,3.832625,14.346775,4.564475
4.14615,3.308975,3.86115,14.4147,4.58775
4.158925,3.3436,3.8688,14.42595,4.630775
4.23315,3.366225,3.886775,14.438325,4.6518
4.255375,3.38695,3.90085,14.45415,4.671375
4.265925,3.4065,3.916975,14.49745,4.690125
4.2744,3.4263,3.93515,14.556525,4.708475
4.282125,3.436875,3.94625,14.837725,4.774175
4.2938,3.4398,3.97565,14.8434,4.77755
4.31855,3.44685,3.989525,14.854775,4.850675
4.338325,3.456725,4.02125,14.8969,4.893525
4.393975,3.467175,4.05415,15.1609,4.9309
4.517025,3.474675,4.083425,15.197675,4.958475
4.6281,3.483375,4.109225,15.24215,4.992475
4.684975,3.51445,4.14465,15.391525,4.99795
4.70595,3.5259,4.163225,15.556375,5.0273
4.730025,3.53825,4.184525,15.9564,5.08315
4.738925,3.548325,4.205625,16.0501,5.099775
4.744175,3.560875,4.22,16.052925,5.115025
4.750575,3.59265,4.232675,16.210375,5.183025
4.75815,3.610075,4.2347,16.2684,5.2057
4.761025,3.634625,4.2485,16.400625,5.237625
4.763925,3.6487,4.26285,16.607875,5.2725
4.7685,3.6598,4.272725,16.619225,5.296975
4.7719,3.691175,4.2811,16.621,5.3431
4.77575,3.729475,4.308075,16.6345,5.3797
4.783175,3.749525,4.317475,16.678775,5.407275
4.8281,3.77075,4.327575,17.064825,5.4281
4.858425,3.77375,4.339775,17.087225,5.44715
4.90015,3.78745,4.36055,17.202675,5.461775
4.92605,3.82805,4.38495,17.22795,5.4822
4.94445,3.8502,4.3952,17.2657,5.496875
4.98455,3.86795,4.40455,17.35855,5.514575
4.99685,3.891325,4.417175,17.3763,5.528575
5.008675,3.91475,4.442475,17.53315,5.54745
5.021525,3.938125,4.4739,17.64305,5.58595
5.03845,3.95835,4.4919,17.767025,5.60935
5.0618,3.981125,4.527275,17.770175,5.641125
5.098475,3.999675,4.543075,17.820375,5.67255
5.255675,4.01695,4.57575,17.8337,5.707525
5.275175,4.03845,4.592,17.8542,5.753575
5.285325,4.055475,4.6049,17.918675,5.775375
5.306275,4.080075,4.617375,17.93475,5.8033
5.32765,4.096975,4.665125,18.071025,5.834375
5.334025,4.139475,4.679675,18.1999,5.851325
5.34035,4.161025,4.6966,18.491,5.86345
5.34985,4.182175,4.731275,18.555375,5.87905
5.353225,4.20295,4.7444,18.614425,5.906075
5.3601,4.223625,4.74565,18.64015,5.9228
5.367675,4.2467,4.75555,18.649125,5.934425
5.394375,4.267925,4.760375,18.7478,5.956075
5.526125,4.282125,4.768575,18.92515,5.971175
5.61325,4.3118,4.7734,18.9483,6.0009
5.625875,4.323625,4.7785,19.01835,6.016325
5.632175,4.3495,4.7838,19.07525,6.029275
5.645825,4.3664,4.800025,19.17205,6.048325
5.656775,4.386025,4.8187,19.234725,6.063325
5.6652,4.417825,4.8298,19.291875,6.088175
5.671375,4.435225,4.846175,19.32375,6.171825
5.675375,4.454625,4.8631,19.3943,6.197975
5.69525,4.471,4.87475,19.5296,6.240525
5.712575,4.493225,4.922625,19.614375,6.303375
5.7379,4.509075,4.9349,19.70015,6.332075
5.752975,4.533225,4.945525,19.853825,6.351575
5.835175,4.547775,4.982025,19.8847,6.366375
5.8749,4.567325,4.99895,20.01775,6.39415
5.912675,4.6154,5.006525,20.120625,6.43575
5.980375,4.6316,5.026175,20.23355,6.45545
6.009725,4.653925,5.03395,20.272425,6.495425
6.02895,4.6722,5.067925,20.29195,6.52415
6.0375,4.696,5.1005,20.3516,6.548425
6.048175,4.71505,5.118725,20.423825,6.568
6.0567,4.739525,5.1544,20.438725,6.597825
6.0677,4.754,5.1741,20.443025,6.62245
6.07385,4.761175,5.196475,20.45665,6.67585
6.096425,4.784,5.21605,20.471,6.69765
6.128875,4.7917,5.2353,20.48665,6.72955
6.178,4.7933,5.251675,20.719525,6.76255
6.23685,4.796375,5.3019,20.820825,6.7819
6.25105,4.801725,5.3133,20.833325,6.8196
6.258425,4.806075,5.325675,21.273175,6.8607
6.262575,4.818625,5.3402,21.32905,6.893575
6.2692,4.8598,5.3603,21.43295,6.9102
6.288675,4.870725,5.3733,21.45135,6.92105
6.325325,4.881175,5.3941,21.608375,6.933275
6.3399,4.8903,5.4223,21.6356,6.95345
6.3628,4.90565,5.4728,21.6627,7.0354
6.37935,4.93045,5.4889,21.67535,7.06695
6.403625,4.9565,5.524475,21.676625,7.126575
6.431975,4.96995,5.540975,21.7005,7.150075
6.457375,4.9858,5.559475,21.96085,7.17865
6.66415,4.9996,5.576575,22.0307,7.20815
6.682825,5.03615,5.59115,22.049225,7.23195
6.6919,5.051625,5.62285,22.051,7.247225
6.6997,5.072,5.6282,22.07965,7.2598
6.709175,5.097625,5.653375,22.081375,7.291375
6.7152,5.11795,5.6788,22.1252,7.326025
6.724425,5.13865,5.689075,22.142375,7.3497
6.728325,5.161175,5.734175,22.180175,7.38915
6.7383,5.18485,5.744425,22.274475,7.435525
6.74455,5.204675,5.751275,22.284825,7.4915
6.74885,5.222975,5.7594,22.2969,7.5753
6.752575,5.241625,5.767775,22.389625,7.614125
6.756,5.260875,5.783,22.448925,7.64755
6.763525,5.283125,5.827625,22.7252,7.674125
6.767575,5.300075,5.840825,22.8237,7.707975
6.76895,5.3447,5.877025,22.883675,7.7428
6.7716,5.359975,5.9196,22.887975,7.75875
6.791075,5.36775,5.933175,23.10635,7.7862
6.8042,5.37125,5.954425,23.14515,7.8021
6.826025,5.3824,5.9645,23.235825,7.848875
6.840375,5.3967,5.98335,23.25355,7.891575
6.8982,5.4009,6.0027,23.261375,7.934325
6.983275,5.4092,6.051075,23.31485,7.9889
6.990025,5.426925,6.066175,23.316,8.00795
6.993575,5.443025,6.079625,23.3252,8.026475
6.99755,5.480325,6.089,23.3263,8.045975
7.00235,5.49765,6.1,23.43195,8.065525
7.005175,5.5789,6.115,23.60875,8.1446
7.0087,5.599275,6.1275,23.651775,8.17125
7.013225,5.616,6.143725,23.68615,8.1928
7.018225,5.679575,6.1566,23.8053,8.21425
7.026525,5.693325,6.17,23.9684,8.247725
7.0343,5.705475,6.187875,24.00875,8.3044
7.051275,5.709775,6.20205,24.057875,8.334875
7.0827,5.7298,6.223975,24.212925,8.35445
7.097925,5.76755,6.2352,24.2561,8.416125
7.11305,5.785325,6.24605,24.559725,8.4442
7.126775,5.803025,6.258775,24.7158,8.466475
7.148775,5.845375,6.2604,24.759975,8.494125
7.1675,5.865775,6.263775,24.779875,8.567025
7.19125,5.88245,6.284325,24.8428,8.5819
7.2135,5.91445,6.30885,24.85545,8.604225
7.2372,5.9159,6.321975,25.09815,8.639575
7.27665,5.929225,6.3308,25.10005,8.66285
7.326425,5.943775,6.3614,25.15575,8.6962
7.3946,5.95805,6.389,25.307275,8.730475
7.41095,5.975675,6.4064,25.32405,8.792625
7.41525,5.987525,6.42665,25.54825,8.828025
7.42225,6.003575,6.443825,25.552925,8.853175
7.42735,6.01875,6.489075,25.80535,8.871975
7.441275,6.034175,6.506675,25.95075,8.8979
7.45495,6.0437,6.519825,26.007375,8.935825
7.462525,6.052275,6.5336,26.049175,8.96055
7.464875,6.068825,6.54695,26.0977,8.979975
7.473575,6.09355,6.589875,26.262525,9.00705
7.480425,6.106925,6.61215,26.45145,9.055375
7.48165,6.125,6.62475,26.687625,9.088475
7.487625,6.133275,6.64285,26.6964,9.111925
7.493175,6.137525,6.65385,26.7018,9.1407
7.4979,6.142325,6.695375,26.735225,9.172975
7.506175,6.160375,6.700675,26.79235,9.238325
7.5105,6.179475,6.718125,26.835625,9.26145
7.52375,6.1933,6.72665,27.0654,9.306575
7.5352,6.201875,6.733575,27.1979,9.329125
7.5426,6.21015,6.7412,27.373275,9.3581
7.549475,6.236875,6.755175,27.737225,9.371
7.555675,6.2456,6.76305,27.747375,9.389
7.562225,6.255925,6.76765,27.781675,9.41075
7.569375,6.28775,6.77075,27.8642,9.43155
7.575275,6.303625,6.774675,27.91995,9.46115
7.581525,6.318825,6.77965,28.1174,9.4743
7.5879,6.350225,6.783075,28.12555,9.493775
7.591775,6.365725,6.789825,28.14505,9.5195
7.611775,6.38225,6.82705,28.2148,9.551525
7.620325,6.395625,6.850875,28.66595,9.6139
7.630525,6.4058,6.892175,28.72245,9.647325
7.637025,6.41685,6.941425,28.7361,9.66905
7.64245,6.434125,6.957675,29.01465,9.708
7.650275,6.452,7.0053,29.0399,9.715175
7.665225,6.4639,7.084225,29.04915,9.77095
7.672525,6.47705,7.0963,29.056425,9.7872
7.680425,6.49115,7.11315,29.076875,9.841125
7.6872,6.506025,7.121075,29.147075,9.879925
7.695175,6.51955,7.132,29.18475,9.904
7.7284,6.5349,7.150375,29.20185,9.919675
7.82925,6.559325,7.15665,29.406925,9.93505
7.87225,6.564525,7.171025,29.452425,9.956825
7.883925,6.57805,7.192675,29.5856,9.979925
7.889025,6.59805,7.201625,29.755825,10.00565
7.893925,6.609425,7.2289,29.796475,10.0708
7.89985,6.6514,7.252625,29.817175,10.0735
7.9043,6.657,7.275825,29.839825,10.09555
7.908875,6.673175,7.2917,29.987875,10.169575
7.9134,6.68705,7.30295,30.27535,10.1952
7.922125,6.6998,7.314375,30.339525,10.2105
8.0856,6.721825,7.3508,30.389675,10.237
8.103525,6.733675,7.393175,30.49265,10.25915
8.125125,6.752525,7.4047,30.846325,10.28755
8.137475,6.766375,7.42015,31.161175,10.322825
8.1495,6.77895,7.429625,31.1724,10.3738
8.16555,6.7888,7.44075,31.192625,10.445475
8.174675,6.7979,7.447175,31.216425,10.475775
8.18575,6.7991,7.463225,31.23465,10.507125
8.19425,6.8047,7.472125,31.2407,10.54515
8.202,6.809675,7.479125,31.279925,10.571625
8.209525,6.8127,7.48555,31.340325,10.6008
8.2216,6.82055,7.495675,31.5252,10.62205
8.226975,6.826775,7.5009,31.6151,10.661475
8.235325,6.8279,7.5136,31.8302,10.688875
8.2867,6.832275,7.521075,31.8847,10.7121
8.340025,6.84105,7.5578,31.94155,10.7477
8.406475,6.8807,7.562275,32.14745,10.794
8.45975,6.901875,7.5822,32.166525,10.84535
8.49015,6.916275,7.58915,32.462625,10.859225
8.5025,6.926,7.59085,32.4861,10.8778
8.514,6.939725,7.596775,32.57835,10.903275
8.523125,6.9523,7.60805,32.614875,10.9267
8.52845,6.966175,7.61885,32.661325,10.951925
8.535,6.9914,7.6223,32.8609,10.966425
8.54115,7.00805,7.62615,32.947525,10.9852
8.552025,7.022325,7.6306,32.95705,11.00625
8.559,7.03335,7.63795,33.11225,11.025875
8.567225,7.045275,7.6597,33.211025,11.046925
8.58395,7.077825,7.7089,33.245625,11.06265
8.602775,7.099475,7.716275,33.26075,11.10015
8.625325,7.109175,7.724275,33.422825,11.115175
8.687725,7.15215,7.76775,33.48745,11.154925
8.714675,7.179125,7.807075,33.578325,11.188675
8.7368,7.192425,7.8329,33.82715,11.24
8.7457,7.2048,7.87055,33.997025,11.2518
8.757075,7.233475,7.88035,34.02385,11.273125
8.782625,7.2511,7.885625,34.033975,11.291425
8.7931,7.2888,7.8891,34.116525,11.3152
8.8088,7.30745,7.892875,34.466175,11.3385
8.821725,7.358875,7.90395,34.504075,11.355
8.84805,7.374725,7.91435,34.5143,11.379225
8.892325,7.390125,7.9229,34.5245,11.41855
8.994075,7.437,7.96,34.5728,11.430175
9.010775,7.449,7.97675,34.58045,11.464125
9.016375,7.45375,8.006075,34.6221,11.478075
9.021275,7.458025,8.021025,34.75665,11.48865
9.02565,7.48395,8.042675,34.761825,11.5074
9.03075,7.490175,8.0853,34.8011,11.52235
9.03425,7.4975,8.098975,34.813925,11.539325
9.03765,7.527225,8.1244,34.929975,11.5413
9.041475,7.54525,8.1495,35.011925,11.546375
9.0495,7.58185,8.160075,35.0442,11.56745
9.05265,7.591925,8.16805,35.507775,11.59255
9.0557,7.6155,8.178375,35.6644,11.640725
9.0638,7.6207,8.1884,35.843075,11.6957
9.071075,7.627,8.19585,35.89885,11.710875
9.08835,7.631925,8.207425,35.9187,11.72365
9.2461,7.6416,8.21485,35.967,11.737225
9.3196,7.67445,8.22695,36.140075,11.78055
9.326725,7.679475,8.2575,36.205875,11.817875
9.33315,7.692575,8.277525,36.234325,11.82265
9.3465,7.716875,8.3347,36.29345,11.841275
9.359525,7.73285,8.3537,36.356025,11.880125
9.441325,7.7392,8.3655,36.385525,11.948075
9.55475,7.822925,8.3932,36.50085,11.961275
9.58515,7.85985,8.407325,37.11385,11.98645
9.5988,7.872125,8.44295,37.132925,11.996925
9.6052,7.897275,8.4802,37.1558,12.00775
9.61235,7.914925,8.49465,37.1927,12.0645
9.6214,7.928475,8.50605,37.325175,12.0871
9.639375,7.94115,8.510425,37.541575,12.1255
9.70165,7.953975,8.515325,37.688625,12.17045
9.7484,7.965925,8.520225,37.7519,12.19575
9.77365,7.981025,8.5426,37.7739,12.22675
9.792975,7.99325,8.5716,37.8124,12.242975
9.805225,8.02165,8.5912,37.8235,12.268175
9.812975,8.0365,8.615375,37.923275,12.304075
9.82235,8.041475,8.627325,37.970125,12.321025
9.8288,8.0958,8.637625,37.99985,12.337875
9.8389,8.13645,8.6781,38.016225,12.374675
9.84915,8.142825,8.7116,38.052875,12.442125
9.8594,8.145175,8.719875,38.078,12.464975
9.968075,8.153825,8.7346,38.38085,12.4844
9.9803,8.167825,8.7411,38.403025,12.503775
10.02405,8.178225,8.778525,38.488375,12.52535
10.0476,8.205825,8.787425,38.570975,12.5498
10.05685,8.224275,8.805025,38.59485,12.5707
10.07045,8.24865,8.840275,38.667225,12.586075
10.0852,8.26495,8.89195,38.7207,12.6179
10.113625,8.286975,8.9291,38.855775,12.646475
10.12805,8.300125,8.961975,38.862375,12.666175
10.14815,8.3098,8.978125,38.9802,12.7467
10.168675,8.322675,8.989775,39.002325,12.77545
10.348425,8.335425,9.002825,39.05165,12.817775
10.378025,8.346525,9.013325,39.08665,12.84285
10.40805,8.358575,9.017875,39.1581,12.87045
10.4219,8.3763,9.021075,39.1773,12.88675
10.442125,8.405425,9.02715,39.211125,12.913525
10.481325,8.42005,9.03355,39.239425,12.92805
10.610975,8.43885,9.036575,39.642025,12.96975
10.639425,8.451675,9.039725,39.82155,12.99345
10.660175,8.4697,9.042675,39.9251,13.052475
10.683775,8.4827,9.0479,39.940225,13.078975
10.705,8.499975,9.06225,40.1964,13.1174
10.724825,8.513375,9.067125,40.2054,13.1452
10.73905,8.523225,9.0769,40.711925,13.168575
10.75175,8.558425,9.087075,40.9544,13.1979
10.7627,8.5724,9.0957,41.00455,13.214775
10.777225,8.58295,9.109825,41.0083,13.218225
10.7898,8.610175,9.1344,41.014525,13.244275
10.808025,8.62485,9.1834,41.037925,13.2793
10.835925,8.6409,9.233325,41.045325,13.3039
10.89305,8.655425,9.253225,41.0674,13.32345
10.967075,8.671325,9.267975,41.117625,13.341575
11.005525,8.687175,9.283775,41.331875,13.3555
11.107725,8.70225,9.30395,41.33475,13.376775
11.1212,8.7213,9.33525,41.5083,13.403375
11.125375,8.733725,9.342325,41.547025,13.42415
11.12825,8.784075,9.358675,41.702175,13.46655
11.1312,8.7982,9.378025,41.7786,13.482575
11.134075,8.807675,9.4581,41.78495,13.49945
11.13665,8.82425,9.47725,41.79605,13.513725
11.139775,8.864325,9.490175,41.831175,13.5355
11.142975,8.883275,9.51215,41.899575,13.5514
11.146525,8.92425,9.525525,41.96905,13.57495
11.147825,8.952325,9.5443,42.132525,13.5907
11.1581,8.968975,9.558725,42.211475,13.60945
11.167125,8.988325,9.576275,42.378525,13.627125
11.18115,9.00595,9.59605,42.63805,13.642525
11.19195,9.018375,9.601375,42.668825,13.662075
11.210975,9.0363,9.605575,42.703275,13.72075
11.233,9.049925,9.610875,42.707,13.74115
11.2487,9.0712,9.62075,42.7583,13.78285
11.256675,9.0793,9.6337,42.833675,13.802075
11.26855,9.105825,9.706225,42.844025,13.832725
11.28205,9.13565,9.745225,43.0865,13.873875
11.29925,9.15015,9.774225,43.23915,13.9201
11.319025,9.18015,9.789725,43.280425,13.94215
11.33205,9.200475,9.800525,43.30095,13.967225
11.35315,9.21785,9.805575,43.4346,13.985575
11.472825,9.23455,9.815525,43.489125,13.9989
11.539175,9.2502,9.827775,43.554875,14.018525
11.596975,9.2616,9.836575,43.575975,14.0497
11.610325,9.29435,9.843425,43.60985,14.074725
11.623425,9.30925,9.852025,43.834925,14.100425
11.6442,9.324375,9.853425,43.8434,14.13875
