SPK_SPKC01a (late excitation),SPK_SPKC01b (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC08b (inhibited),SPK_SPKC09a (excited)
2.340125,38.6889,28.5953,14.744125,24.8823,16.045825
2.34555,38.889925,28.61565,14.78385,25.3036,16.0751
2.3568,39.444225,28.914025,14.875275,25.3471,16.11295
2.36505,39.97525,29.037775,14.932275,25.89695,16.1254
2.4317,41.61635,29.739,15.093225,25.91435,16.212125
2.4371,41.910525,30.2047,15.622525,26.257925,16.519725
2.4401,42.0266,30.3014,15.6444,26.32655,16.607125
2.44535,42.721075,30.7229,15.650875,26.651325,16.65805
2.470425,42.788575,30.8206,15.6828,26.6978,16.923225
2.514975,46.2879,31.208875,15.792425,27.007575,16.9452
2.5315,46.355625,33.395025,15.79925,27.8645,16.96475
2.561975,46.516175,33.4947,15.82655,27.956975,16.9848
2.5816,47.75465,33.589625,15.862325,28.333625,17.01745
2.587175,47.9208,34.544,15.9595,28.4486,17.02595
2.606525,48.3195,35.4521,16.015375,28.483325,17.215475
2.6148,48.842525,35.586175,16.15365,28.91345,17.2206
2.631775,48.87945,36.04565,16.30345,29.16715,17.259425
2.63985,49.34945,36.2213,16.460725,29.223625,17.266275
2.645275,49.900125,36.487375,16.503075,29.3789,17.29755
2.656525,50.820825,36.5724,16.5457,29.62605,17.303175
2.673175,50.990725,37.300775,16.555825,29.965475,17.33275
2.7149,51.517375,37.695975,16.5646,30.171475,17.4151
2.739975,51.831175,39.82205,16.58165,30.716075,17.506975
2.745375,52.1436,40.468325,16.706425,31.3744,17.529375
2.756625,52.5755,40.8058,16.84175,31.4059,17.5413
2.78155,53.9437,41.039525,16.84885,31.515475,17.5439
2.8112,54.08575,41.092225,16.897825,31.660725,17.592925
2.814675,54.391575,41.616275,16.942775,31.846125,17.6095
2.82325,54.411025,41.8438,16.95265,31.93415,17.6482
2.848175,54.413875,42.04085,16.966275,32.199875,17.72745
2.856575,55.13755,45.211025,17.036225,32.4121,17.763325
2.864825,55.274625,46.608075,17.255325,32.59485,17.7746
2.881675,55.5456,48.547875,17.30485,32.685375,17.82565
2.885025,56.050175,48.961825,17.354525,32.753875,17.8361
2.9453,56.71645,49.224,17.473325,33.201,17.909375
2.948125,56.75035,49.47635,17.60055,33.27905,17.93645
2.9618,57.36125,49.5198,17.646125,33.4184,18.00795
2.981425,57.63075,49.7421,17.802075,33.605625,18.0344
2.98985,58.852425,49.8572,17.97895,33.741,18.05295
3.00635,59.0427,49.86215,18.2191,34.300875,18.1589
3.01195,59.707825,50.134225,18.27535,35.221875,18.245675
3.0146,60.718475,51.5879,18.316825,35.771575,18.299975
3.031425,60.752375,51.784225,18.344875,36.357425,18.3033
3.03985,60.927775,52.4854,18.7195,36.387225,18.313775
3.0565,61.24425,52.782725,18.74875,36.618625,18.31945
3.061925,61.979275,53.121,18.950075,36.72945,18.35785
3.07315,62.346075,54.16225,19.2379,37.178125,18.436425
3.0784,62.42115,54.26225,19.35945,37.701525,18.507825
3.1063,62.6276,54.332175,19.407875,38.455025,18.714325
3.120125,63.776425,55.32805,19.461825,38.886925,18.71635
3.136975,63.923475,55.599525,19.6015,39.20075,18.729825
3.147875,63.939575,56.03335,19.79835,39.293275,18.767575
3.161875,64.751375,56.2249,19.93565,39.611025,18.76885
3.1647,65.472825,56.6304,20.08785,39.6391,18.791775
3.1731,65.861725,56.671125,20.09655,39.8494,18.808225
3.175475,67.338575,56.75325,20.120225,40.06945,18.827425
3.189775,67.4148,56.9318,20.1237,41.173125,18.920775
3.198025,67.810175,57.3268,20.65335,41.28245,19.039025
3.20625,67.9673,57.6923,20.66285,41.3454,19.13795
3.2145,68.488175,59.16145,20.671975,41.36335,19.170425
3.23975,68.729375,60.057475,20.740875,41.413825,19.173275
3.245175,69.9682,60.1851,20.82875,41.5647,19.17695
3.24995,69.993975,60.283875,20.9323,41.89195,19.2484
3.264675,70.313775,60.819,20.99265,42.428025,19.27715
3.2813,70.3357,61.638625,20.99845,42.57565,19.28165
3.306375,70.672175,62.92895,21.032,43.482625,19.28555
3.320025,71.094675,63.04435,21.150925,44.143625,19.292025
3.328775,71.305175,63.50425,21.194825,44.1582,19.332225
3.37845,71.33945,63.6203,21.3997,44.273325,19.4238
3.387175,71.8446,64.176375,21.502225,44.696125,19.44835
3.3897,72.4013,64.206025,21.5219,45.24815,19.516825
3.406325,72.935775,65.181775,21.64245,45.311075,19.730675
3.413225,73.232975,65.393225,21.693175,45.6688,19.739525
3.464425,73.286875,65.58295,21.814475,45.822275,19.751125
3.481225,73.8226,65.701275,21.821575,45.848225,19.75265
3.4949,74.0576,65.887475,21.92765,46.1966,20.002975
3.5063,76.74375,66.768575,22.055925,47.067325,20.036475
3.539625,77.161275,67.00235,22.09535,47.5798,20.085975
3.57295,77.70055,67.876975,22.25355,48.215175,20.092775
3.595025,77.760425,68.08795,22.653375,48.68825,20.1262
3.606275,77.77215,68.39005,22.72705,49.234675,20.127425
3.6201,78.12995,69.022125,22.787025,49.790325,20.36125
3.631175,78.41765,69.434075,23.0176,49.871225,20.644375
3.63675,78.535475,70.738125,23.086475,50.375175,20.670775
3.66465,78.6097,70.75335,23.305,50.937825,20.67605
3.678125,78.75315,71.004025,23.497075,51.1886,20.699025
3.68955,78.886325,71.346575,23.5082,51.519825,20.714175
3.711475,78.987775,72.398275,23.519925,51.67885,20.741925
3.739375,79.0157,72.921775,23.524675,52.131775,20.771275
3.744775,79.896725,73.0057,23.5776,52.445775,20.892125
3.78125,80.42715,73.083,23.877,53.354175,21.0028
3.79475,80.52615,73.312075,24.25555,53.459425,21.017775
3.82285,81.317975,74.409775,24.296075,53.9334,21.03925
3.831275,81.366325,74.442725,24.3231,54.2862,21.1453
3.861575,81.67025,74.50215,24.47935,54.3872,21.1702
3.869975,82.1824,76.027425,24.637825,54.7893,21.29095
3.88105,82.413325,76.110225,24.7183,57.0164,21.363675
3.93895,82.41515,76.74675,24.822325,58.12535,21.369225
3.9531,82.56555,77.126175,24.973775,59.064725,21.406275
3.986575,82.84045,77.127425,24.98285,59.392325,21.5684
3.99765,82.8958,77.251775,25.0278,60.3631,21.603575
4.028125,82.956075,77.72325,25.08965,62.4558,21.677825
4.030975,83.02,78.44165,25.156975,62.779375,21.681975
4.07255,83.2427,79.355875,25.214175,63.26305,21.708675
4.080975,83.311625,79.385925,25.288475,63.3695,21.71355
4.127925,84.119475,79.876125,25.3753,63.533125,21.801575
4.130925,84.150425,79.900375,25.53085,63.596925,22.0219
4.164425,84.3079,80.68765,25.6206,65.531975,22.14505
4.172675,84.383675,82.98385,25.838625,66.38825,22.250975
4.178075,84.5669,83.95895,25.8611,67.227975,22.2639
4.180925,84.59365,84.072625,25.86435,67.645475,22.299525
4.189325,84.649375,84.247275,25.873925,67.70765,22.34335
4.197425,84.7545,86.647925,25.89535,68.28815,22.551325
4.28085,85.040475,89.863075,25.9446,68.29535,22.56275
4.297525,85.05175,90.346525,26.016125,68.600675,22.6598
4.3531,85.089775,91.378,26.073775,69.17335,22.758475
4.389225,85.525025,94.387975,26.13105,70.293125,22.80385
4.402875,85.566525,94.403375,26.3924,70.338575,22.8942
4.4059,85.58115,95.96865,26.4522,70.474075,22.89625
4.41415,86.286625,96.9923,26.598925,70.6089,22.90135
4.46395,86.96045,97.013925,26.6088,70.772675,22.914225
4.472575,87.037,97.509875,26.62255,71.431425,22.941225
4.5111,87.3654,97.523625,26.62405,71.54825,23.017575
4.5141,87.48605,97.582225,26.671525,71.62175,23.120675
4.522525,87.6854,98.108025,26.69125,72.0894,23.177475
4.527925,89.02295,98.11435,26.942925,72.42135,23.5173
4.544425,89.372225,98.191125,27.0306,72.536275,23.5502
4.552825,89.389825,98.20815,27.0462,73.03605,23.600025
4.564075,89.87805,98.66385,27.0615,73.075625,23.674
4.5711,90.756775,98.85395,27.165925,73.56675,23.688325
4.5841,91.0071,99.2303,27.178875,73.622425,23.962925
4.630725,91.83095,99.794025,27.20855,73.64185,23.9672
4.66405,91.980925,99.934575,27.343525,74.656675,24.014375
4.6807,92.563175,100.589475,27.396475,74.683625,24.156225
4.7056,93.7466,100.8007,27.486475,74.8099,24.2471
4.722425,94.291225,101.513,27.6228,75.5402,24.28235
4.731175,94.51965,102.1269,27.803175,76.035575,24.300075
4.7391,94.99435,102.22665,27.894575,76.07405,24.3675
4.763825,95.8029,102.52945,27.999025,76.3414,24.395475
4.7724,96.340675,102.65355,28.039225,76.467875,24.5413
4.777825,97.11525,102.786025,28.08595,76.474375,24.5741
4.80555,97.2067,103.2642,28.33575,76.8878,24.6267
4.8222,97.20935,103.278475,28.656925,77.1603,24.64945
4.834325,97.448725,103.812675,28.9319,78.36525,24.752875
4.836225,97.532925,103.94435,28.938,78.720625,24.920475
4.86935,97.6394,104.70275,28.9603,78.959875,25.0167
4.889025,97.735075,104.8576,28.96195,78.992275,25.20415
4.897275,97.92545,104.86455,29.019525,79.54505,25.41095
4.936175,98.39055,105.18755,29.0652,80.81755,25.473775
4.944425,98.795025,107.10495,29.07715,80.907825,25.50915
4.988975,99.1949,107.54045,29.17695,80.977975,25.5433
4.9944,99.4115,107.830675,29.390725,81.470525,25.63335
4.997225,99.594825,108.635275,29.443725,82.192375,25.6702
5.02755,100.144475,108.687175,29.547025,82.2179,25.800025
5.03055,100.383,109.897625,29.60475,82.2955,25.848525
5.0721,100.988525,110.0517,29.735425,82.417375,25.90135
5.080675,101.1554,110.288825,29.89245,82.7758,26.040025
5.088925,102.942125,110.378975,29.945725,82.856125,26.351525
5.135925,103.0812,110.929575,29.9805,82.989325,26.403325
5.15275,103.451775,110.957825,30.322175,83.010475,26.40905
5.154175,103.762425,111.98455,30.515025,83.220075,26.423925
5.1556,104.46085,112.4187,30.547425,83.263425,26.446275
5.163825,104.5828,112.6299,30.573925,84.0131,26.488925
5.197125,104.626125,113.0531,30.6751,84.238775,26.495425
5.2527,105.0194,113.63405,30.727975,84.266375,26.542975
5.25555,105.950775,115.038875,30.733275,84.55295,26.606775
5.28605,106.9212,116.2861,30.8244,84.643675,26.783925
5.3055,107.358525,116.424525,30.85055,84.885725,26.942925
5.31375,108.124225,116.889475,30.947775,85.451175,26.953725
5.36355,109.705825,116.894325,31.0079,85.658675,27.032475
5.413725,109.73035,117.01095,31.048625,85.70285,27.131125
5.43035,110.15165,118.011925,31.126475,86.30815,27.13525
5.488775,110.43645,118.43455,31.172225,86.613075,27.241175
5.50525,111.39695,119.13845,31.2528,87.713475,27.3155
5.5135,112.4496,119.613175,31.3889,88.9011,27.3309
5.54415,112.5678,120.106825,31.487775,89.0409,27.43285
5.55255,113.27835,120.396625,31.54845,89.690825,27.538675
5.588725,113.335925,121.627225,31.6016,91.416275,27.5618
5.63805,117.383475,121.838575,31.646025,91.5026,27.695425
5.67085,117.551375,121.981175,31.736225,92.0461,27.725575
5.68025,117.59605,123.0681,31.772025,92.060625,27.8209
5.693925,117.949925,123.0906,31.9943,92.43225,27.8355
5.6969,118.8914,123.917225,32.06155,92.556625,27.870875
5.705325,121.2246,124.396625,32.12305,92.695275,28.008575
5.71055,121.4946,124.895475,32.13025,92.82495,28.037275
5.735475,121.56345,125.282925,32.1425,93.02105,28.14285
5.7385,122.766425,125.461625,32.171825,93.8525,28.289575
5.8135,124.050775,125.48995,32.26955,94.7342,28.339525
5.819075,124.78675,125.588525,32.464325,94.904225,28.37965
5.844,125.227675,125.647675,32.49815,94.991975,28.5153
5.863525,125.2599,126.30215,32.626125,95.049275,28.567075
5.888425,126.477225,126.38195,32.653425,95.219125,28.722175
5.894,126.735575,126.987375,32.663325,95.68015,28.987125
5.9303,126.936875,127.33905,32.7631,95.838075,29.00395
5.9524,127.4045,128.0323,32.992675,95.949725,29.08195
5.96885,129.0956,128.054,33.050275,96.4092,29.3674
6.01345,130.1282,128.60645,33.28375,96.625225,29.444625
6.035675,130.2234,129.254525,33.375025,96.9116,29.714425
6.0385,130.555925,129.51835,33.4607,97.220825,30.014625
6.05455,130.8122,129.7121,33.722525,97.29835,30.158825
6.0634,132.363775,130.3339,33.7528,97.589475,30.1723
6.08005,132.386625,130.481025,34.302325,97.754675,30.4048
6.0885,132.50715,130.50365,34.420975,97.96225,30.417075
6.1381,133.3396,130.853275,34.497225,98.323925,30.4292
6.15515,133.6843,131.620875,34.515625,98.334875,30.448975
6.18845,134.7243,132.457275,34.550525,98.507625,30.743675
6.193875,135.118975,133.133175,34.59835,98.60255,30.768675
6.196675,135.719375,133.888225,34.90855,98.841925,30.80205
6.235425,136.34565,134.343775,34.98105,98.8989,31.2657
6.2521,136.5817,135.06205,35.031425,98.91895,31.306875
6.27155,136.58995,136.20225,35.095,98.9762,31.330175
6.33555,136.939475,136.381625,35.13555,99.114,31.588525
6.338375,137.382475,136.445475,35.24325,99.1247,31.77565
6.3466,137.41295,136.512375,35.266625,99.138225,32.11095
6.38425,138.544975,136.828375,35.389,99.1922,32.13375
6.38535,138.647675,137.27745,35.467375,99.488425,32.1382
6.38835,138.75915,137.28425,35.60045,99.54485,32.171825
6.393775,138.80875,137.407825,35.654,99.607725,32.2398
