SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC13a,SPK_SPKC13b,SPK_SPKC15a
401.32755,401.773025,404.7176,401.59595,411.120375
401.345775,401.780925,404.754775,401.6134,411.14915
401.358,401.7928,404.775825,401.6316,411.1616
401.36965,401.8029,404.804975,401.649625,411.1708
401.37815,401.8198,404.8445,401.68875,411.17865
401.384475,401.852625,404.8561,401.7153,411.1979
401.391275,401.8627,404.932575,401.72975,411.27945
401.39915,401.8884,404.96415,401.752825,411.672175
401.4021,401.949225,405.02945,401.7705,411.728675
401.411175,402.008825,405.0612,401.80735,411.7666
401.4209,402.0206,405.0877,401.83485,411.785175
401.4303,402.029575,405.113125,401.85825,411.81195
401.442525,402.039375,405.155275,401.880875,411.864375
401.454525,402.049825,405.189375,401.9113,412.167925
401.4611,402.0552,405.220925,401.928825,412.19065
401.471225,402.082725,405.240675,401.941525,412.21085
401.477425,402.089775,405.253625,401.95675,412.2537
401.481675,402.097975,405.266,401.964075,412.568
401.487425,402.204325,405.29545,401.969325,412.797925
401.49225,402.246525,405.4,401.97805,413.1924
401.50115,402.2891,405.42225,401.993925,413.211
401.508725,402.309975,405.4394,402.013475,413.237275
401.521225,402.3209,405.4621,402.046775,413.43665
401.5378,402.358225,405.48975,402.05755,413.49175
401.552275,402.373425,405.51625,402.071975,413.56885
401.56175,402.3808,405.539675,402.086475,413.6404
401.56715,402.390825,405.56815,402.100025,414.0071
401.575175,402.4038,405.58005,402.1184,414.0423
401.596925,402.421675,405.59855,402.133875,414.056275
401.6097,402.43525,405.606625,402.155075,414.094575
401.615775,402.442775,405.6291,402.171575,414.122825
401.622075,402.461625,405.813025,402.195775,414.143975
401.62855,402.4755,405.869175,402.2212,414.16725
401.6334,402.4899,405.890175,402.27095,414.2086
401.641325,402.49585,405.9207,402.297125,414.357275
401.6458,402.50735,405.9632,402.33815,414.382025
401.649575,402.53565,406.041475,402.36285,414.457875
401.6671,402.56205,406.073675,402.3866,414.5365
401.68,402.579425,406.134375,402.418225,414.607725
401.6863,402.585025,406.187775,402.432875,414.6483
401.6965,402.6024,406.227,402.4478,414.6816
401.7019,402.6081,406.322025,402.463975,414.7277
401.71025,402.615525,406.461,402.4789,414.84635
401.717575,402.623825,406.48045,402.497375,414.891775
401.7261,402.631275,406.501125,402.51315,414.9386
401.729525,402.6439,406.63295,402.531275,414.958575
401.7333,402.66445,406.662975,402.55255,414.986925
401.7369,402.6751,406.72085,402.56915,415.017125
401.741825,402.7007,406.770425,402.58425,415.03555
401.7585,402.703975,406.8168,402.598925,415.062125
401.76265,402.716475,406.8285,402.612675,415.07455
401.769925,402.719825,406.86175,402.624275,415.087425
401.781125,402.7365,406.892675,402.633925,415.0978
401.784775,402.763925,406.9187,402.64705,415.10975
401.78985,402.773325,406.956675,402.664275,415.707125
401.79525,402.802575,407.021525,402.6753,415.996675
401.80555,402.815925,407.123125,402.690275,416.07875
401.8385,402.83695,407.197475,402.704325,416.1107
401.849175,402.847975,407.23025,402.719675,416.154
401.8581,402.854825,407.314625,402.737325,416.1707
401.8655,402.878575,407.3528,402.7721,416.19445
401.86885,402.912175,407.38085,402.782675,416.21825
401.8888,402.925975,407.4217,402.795875,416.60555
401.90235,402.932725,407.458225,402.808825,416.741475
401.906475,402.955175,407.51835,402.818275,416.773575
401.916525,402.96615,407.54115,402.826675,416.81675
401.929225,402.974825,407.587825,402.83465,416.8366
401.951225,402.9807,407.619125,402.86435,416.8581
401.9583,402.9908,407.650375,402.877425,416.892175
401.980825,402.99895,407.7071,402.88795,416.9035
401.9823,403.0134,407.79215,402.898375,416.990225
402.006,403.02075,407.816025,402.905,417.6522
402.0149,403.035275,407.855225,402.915875,418.2235
402.0203,403.0416,407.89715,402.924625,418.247325
402.03685,403.04935,407.980825,402.93175,418.3346
402.044675,403.067675,408.010825,402.9422,418.8766
402.058075,403.088925,408.10385,402.9508,418.96025
402.0956,403.098575,408.17115,402.958625,418.9893
402.161325,403.116075,408.227425,402.967475,419.021725
402.1911,403.12525,408.259625,402.97535,419.043175
402.2686,403.1598,408.333125,402.987975,419.055975
402.29915,403.215775,408.465075,403.0014,419.3498
402.304575,403.23695,408.4954,403.0119,419.372025
402.316275,403.2473,408.556125,403.041425,419.472075
402.32995,403.2637,408.612,403.06665,419.605775
402.3392,403.268975,408.631475,403.0817,419.834225
402.351125,403.32255,408.646725,403.098025,419.864175
402.3563,403.3759,408.679275,403.11665,419.88875
402.3606,403.405,408.693725,403.1363,419.899175
402.366025,403.411625,408.712925,403.1529,419.91605
402.38115,403.419775,408.78735,403.193925,419.9332
402.38685,403.4301,408.843525,403.205325,419.945575
402.42815,403.444475,408.86535,403.2201,419.957975
402.44245,403.454925,408.925,403.24465,420.3789
402.48875,403.4606,409.011175,403.26325,420.457
402.52505,403.48965,409.05395,403.280175,420.536925
402.560775,403.497075,409.10475,403.32085,420.712825
402.584775,403.498425,409.138,403.338525,421.295925
402.62205,403.517425,409.2079,403.36475,421.332325
402.655925,403.54975,409.242275,403.396,421.35615
402.692125,403.5841,409.38365,403.42825,421.381675
402.712875,403.59405,409.45115,403.45685,421.507575
402.738075,403.6046,409.59745,403.49305,421.5264
