SPK_SPKC03a (inhibited),SPK_SPKC08a (no effect),SPK_SPKC11a (inhibited)
11.967475,36.7037,10.145725
12.0418,36.8177,10.1884
12.21625,37.1701,10.259675
12.255925,37.249725,10.348225
12.3146,37.55725,10.383425
12.408625,37.610025,10.410275
12.465,37.656825,10.53285
12.49485,38.274675,10.5568
12.51785,38.622925,10.620525
12.553425,38.813,10.681975
12.59125,38.963675,10.721525
12.8882,38.9943,10.749325
12.9496,39.043,10.805675
13.04435,39.470975,10.862475
13.091875,39.91355,10.89185
13.13255,40.265275,10.994725
13.19215,40.57775,11.03805
13.2042,40.670975,11.0663
13.4894,40.73695,11.092925
13.522325,41.173575,11.20005
13.55185,41.504075,11.21595
13.59985,41.579275,11.2695
13.6296,41.675725,11.3423
13.69465,41.8665,11.3696
13.933575,41.98165,11.39875
14.0796,42.09155,11.4259
14.09795,42.4146,11.455875
14.121275,42.93535,11.46965
14.163875,43.1885,11.5966
14.180625,43.28315,11.607175
14.197575,43.7654,11.637925
14.223475,43.8169,11.6829
14.274175,43.8559,11.724525
14.313975,44.000275,11.769225
14.49505,44.0937,11.9211
14.55765,44.506275,11.9386
14.614325,44.528125,11.98
14.7051,44.9856,12.06995
14.7458,45.34705,12.1003
14.783425,45.693125,12.139925
14.8191,45.766375,12.208425
14.93115,45.803675,12.2387
14.9497,45.8511,12.328675
15.033725,45.890825,12.35205
15.065325,45.967825,12.40835
15.149725,46.0086,12.450725
15.181925,46.0524,12.488625
15.2856,46.4815,12.547725
15.472125,46.512825,12.584075
15.5424,46.67695,12.596975
15.6401,47.008575,12.62895
15.6625,47.03305,12.67055
15.7134,47.069775,12.708825
15.7388,47.465325,12.716025
15.773575,47.495325,12.747175
15.83815,47.50375,12.79575
15.856575,47.5139,12.896025
16.1189,47.553625,12.89995
16.1338,47.85515,12.950425
16.1497,48.290525,12.96585
16.196925,48.353975,12.9962
16.211575,48.37855,13.0145
16.228175,48.506025,13.08905
16.2459,48.7144,13.131825
16.2729,48.836925,13.14595
16.3108,49.524675,13.215075
16.3566,49.7703,13.2406
16.37755,49.855825,13.3021
16.5183,50.121775,13.396225
16.568275,50.145,13.434125
16.60465,50.19615,13.471075
16.6596,50.3007,13.487625
16.705975,50.618875,13.543575
16.729825,50.6496,13.57815
16.7568,51.007875,13.632725
16.8217,51.092875,13.667525
16.83785,51.51465,13.6951
16.8621,51.592025,13.72165
16.959775,52.0824,13.776775
17.1095,52.43095,13.88175
17.1469,52.47765,13.92905
17.23865,52.8608,13.96435
17.254575,52.983125,14.048075
17.27275,53.1273,14.125125
17.2771,53.325425,14.142425
17.35985,53.37255,14.162825
17.396275,53.7847,14.181425
17.4291,53.892675,14.211775
17.4852,54.372125,14.3164
17.604525,54.500675,14.32875
17.666925,54.5522,14.3682
17.68835,54.8399,14.424925
17.702925,54.9373,14.466425
17.718975,55.17335,14.504175
17.733975,55.4671,14.646725
17.777025,55.484075,14.67355
17.804,55.731875,14.720575
17.8363,55.746775,14.7462
17.908125,55.77175,14.785375
17.951825,55.8136,14.813375
18.1777,56.3264,14.851525
18.250325,56.3794,14.8781
18.276525,56.413875,14.908925
18.300975,56.4834,14.945375
18.427025,56.507475,15.0104
18.46785,56.567,15.094575
18.7043,56.8709,15.129875
18.727425,56.904675,15.15465
18.732175,56.988175,15.167325
18.74495,57.060575,15.18375
18.75635,57.40485,15.2869
18.76065,57.515675,15.319725
18.7761,57.9328,15.347175
18.7844,58.351325,15.40255
18.885275,58.372725,15.444425
18.928525,58.572125,15.48685
18.949775,59.02205,15.535125
19.0454,59.052175,15.59115
19.072975,59.193825,15.624175
19.092875,59.59355,15.649025
19.119375,60.033175,15.703475
19.1675,60.362175,15.7307
19.176975,60.373525,15.7759
19.21555,60.388375,15.8333
19.267525,60.593975,15.88905
19.29355,60.792075,15.9376
19.336575,60.8212,15.974225
19.338175,60.8937,16.040625
19.39505,60.9341,16.0856
19.46055,61.3927,16.112325
