SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
472.707625,421.56755,434.33895,468.4783
472.772225,421.58605,434.360575,468.528175
472.824675,421.5994,434.40395,468.705275
472.835875,421.626525,434.4263,468.72945
472.8379,421.642725,434.453925,468.869675
473.037225,421.66205,434.488275,468.9515
473.0617,421.680525,434.52945,468.976475
473.229,421.695275,434.561725,468.994275
473.238475,421.712725,434.641725,469.04765
473.26785,421.738075,434.686475,469.073025
473.276575,421.765525,434.731025,469.11255
473.30515,421.79195,434.806825,469.162075
473.51775,421.824025,434.904025,469.17935
474.185225,421.847725,434.987,469.30635
474.223525,421.87395,435.02375,469.45655
474.5416,421.89915,435.07125,469.57795
474.55665,421.93695,435.0925,469.582225
474.563675,421.9884,435.125025,469.730775
474.57905,422.021175,435.15905,469.87985
474.5983,422.06235,435.295375,469.9456
474.624225,422.104775,435.415025,469.976725
