SPK_SPKC03a (no effect),SPK_SPKC10a (inhibited)
101.7452,25.4258
101.7835,25.442075
101.795775,25.4547
102.679325,25.4586
103.1518,25.471175
103.15845,25.48655
103.191775,25.4996
103.7141,25.5336
104.765575,25.539325
104.848975,25.55025
104.86955,25.554525
105.268225,25.5637
105.327925,25.584675
105.7951,25.61385
105.803525,25.6446
105.965025,25.673225
106.105,25.691025
106.32555,25.704175
106.9395,25.71245
106.984475,25.726925
107.02955,25.730775
107.34835,25.755575
107.38455,25.77115
107.72435,25.79475
107.759975,25.803975
108.075775,25.837175
108.119975,25.85705
108.129525,25.884825
108.19655,25.897
108.21845,25.910275
108.354825,25.9213
108.93075,25.935125
108.98365,25.94685
109.4995,25.958625
109.6385,25.9777
109.691925,26.050925
109.712125,26.0567
109.810525,26.0614
110.143375,26.06825
110.2128,26.079225
110.326875,26.0961
110.4569,26.140825
110.587225,26.149325
111.027225,26.203325
111.0397,26.2742
111.124025,26.284725
111.1302,26.3202
111.18175,26.3904
111.19685,26.4132
111.7737,26.4199
111.846325,26.42885
111.875025,26.44355
111.971175,26.47555
112.0607,26.508925
112.19065,26.5229
112.26845,26.542675
112.280975,26.5566
112.326775,26.560775
112.346075,26.57135
112.401475,26.58145
112.4199,26.593875
112.65665,26.604175
112.798325,26.621075
112.8755,26.63355
112.94985,26.6588
112.973375,26.66925
113.0072,26.686625
113.080725,26.7424
113.18255,26.7607
113.220875,26.7947
113.260725,26.8024
113.291225,26.80405
113.306875,26.809025
113.427275,26.8165
113.4442,26.845425
113.46535,26.8479
113.51505,26.895725
113.692725,26.9133
113.7285,26.93645
113.755825,26.956425
113.795225,26.963675
113.88105,27.000975
113.92845,27.0141
114.0668,27.018725
114.090675,27.061125
114.105325,27.1056
114.111325,27.1136
114.127675,27.124625
114.157775,27.142475
114.273325,27.150225
114.275525,27.17515
114.43355,27.1958
114.6759,27.199525
114.78565,27.204825
114.911925,27.211675
114.949425,27.218575
114.9617,27.225025
115.140325,27.239675
115.23605,27.254825
115.277675,27.259525
115.2978,27.267125
115.387025,27.279875
115.594525,27.292475
115.65475,27.306925
115.84625,27.319825
115.940275,27.33055
116.0621,27.335525
116.091875,27.342575
116.100625,27.3536
116.190075,27.366475
116.19815,27.381525
116.244025,27.391825
116.354175,27.3984
116.432625,27.42585
116.543525,27.449425
116.750375,27.461575
116.81005,27.475875
116.8588,27.48265
116.99975,27.49015
117.1708,27.5028
117.194275,27.515925
117.3077,27.5225
117.33435,27.5345
117.3455,27.5393
117.471025,27.54335
117.53585,27.5698
117.5586,27.582475
117.5641,27.614825
117.5942,27.63045
117.6961,27.64065
117.822525,27.666375
117.8695,27.69045
117.895675,27.725425
117.91105,27.740775
117.97315,27.774075
118.017675,27.78525
118.0988,27.8025
118.1346,27.81335
118.275225,27.84325
118.3778,27.86845
118.4143,27.8916
118.47625,27.936275
118.535,27.9614
118.608175,27.98495
118.61455,27.999075
118.678125,28.00475
118.69565,28.012725
118.717275,28.019325
118.86645,28.056575
119.023825,28.0758
119.268825,28.113775
119.28605,28.159175
119.32575,28.188325
119.34715,28.2005
119.65425,28.2301
119.68115,28.254725
119.685275,28.2697
119.773775,28.283425
119.946525,28.295525
120.02235,28.300275
120.0367,28.34385
120.0515,28.365675
120.071025,28.41935
120.1161,28.462525
120.32625,28.4965
120.384225,28.555375
120.41445,28.57835
120.41795,28.59635
120.4264,28.605125
120.605375,28.66815
120.816225,28.701175
120.827825,28.70895
120.856475,28.743675
120.87545,28.762275
120.930125,28.775225
120.974725,28.803325
121.0589,28.805175
121.10335,28.810325
121.142825,28.818875
121.20225,28.84105
121.21325,28.848225
121.23075,28.887125
121.25005,28.89755
121.33395,28.900425
121.4122,28.932625
121.43855,28.945175
121.463175,28.969625
121.477325,28.982275
121.49305,29.0235
121.51885,29.03615
121.553225,29.0389
121.60405,29.040675
121.680975,29.073775
121.806175,29.08125
121.868875,29.085825
121.892475,29.09125
121.936825,29.1068
121.943575,29.134075
122.027925,29.143375
122.119975,29.198225
122.1583,29.236075
122.392075,29.321225
122.4422,29.33125
122.541825,29.34185
122.63175,29.361375
122.658925,29.4603
122.72255,29.47555
122.909275,29.49975
123.049,29.5128
123.14805,29.556925
123.2782,29.61965
123.4525,29.6284
123.769875,29.66825
123.8118,29.671225
123.8485,29.67655
124.041225,29.68415
124.748475,29.7247
124.7562,29.749325
124.76525,29.760075
124.813525,29.80625
124.829875,29.8131
125.07765,29.83155
125.2264,29.8532
125.54675,29.874725
125.6152,29.88035
125.643825,29.9121
125.862325,29.944025
126.150125,29.961475
126.20965,30.000625
126.440425,30.0633
126.659975,30.094275
126.73435,30.11035
126.775425,30.12955
126.872825,30.15365
127.184475,30.18915
127.2957,30.194025
127.582025,30.203
127.95565,30.205725
128.04585,30.2265
128.130075,30.25465
128.17215,30.3279
128.226875,30.350925
128.247775,30.3796
128.26155,30.440475
128.3282,30.5023
128.40195,30.53485
128.48,30.5582
128.58335,30.578525
128.7017,30.586
128.92925,30.598075
128.976925,30.624225
128.986275,30.6391
129.18285,30.690075
129.3198,30.701375
129.34355,30.7235
129.4051,30.725275
129.46815,30.748475
129.542625,30.769125
129.6504,30.794475
129.7063,30.807
129.7133,30.837225
129.7633,30.8387
129.800525,30.84895
129.8133,30.861675
129.872625,30.86625
129.917725,30.87195
130.36525,30.908075
130.6396,30.911475
130.716125,30.913475
130.984725,30.932875
131.14755,30.93665
131.221175,30.94005
131.391775,30.953275
131.413125,30.959025
131.48285,30.99205
131.70305,31.0059
131.70425,31.021225
131.73345,31.029275
131.8706,31.057075
132.04325,31.111775
132.092075,31.1262
132.151325,31.144675
132.21525,31.146025
132.251875,31.166875
132.388725,31.191525
132.4941,31.213125
132.516125,31.220775
132.6052,31.2238
132.66015,31.2389
132.688925,31.272475
133.113025,31.2735
133.1344,31.30365
133.167725,31.311775
133.2563,31.33075
133.269975,31.4328
133.30575,31.435775
133.431775,31.438825
133.58495,31.510275
133.655475,31.5475
133.7042,31.636775
133.743425,31.689075
133.831025,31.713075
133.89005,31.715275
134.004125,31.73225
134.019775,31.759325
134.06205,31.76885
134.071775,31.7841
134.0899,31.821925
134.366175,31.8312
134.467,31.85825
134.507325,31.862875
134.539025,31.903725
134.695025,31.915575
134.74765,31.938075
134.8291,31.97715
134.8784,31.989725
134.903175,31.997925
135.127525,32.1099
135.207675,32.14065
135.3349,32.15785
135.590375,32.202025
135.631525,32.22535
135.744,32.2432
135.74755,32.362175
135.78655,32.395025
135.8326,32.46055
135.9235,32.481
136.012,32.4961
136.0486,32.57385
136.10025,32.597125
136.1757,32.6068
136.41755,32.6196
136.479475,32.64975
136.54695,32.6666
136.6966,32.674425
136.790025,32.789225
136.8215,32.84945
136.8442,32.951275
136.87795,32.9724
136.9857,32.979675
136.99945,33.032475
137.040075,33.08675
137.0565,33.11245
137.0919,33.191775
137.104725,33.19785
137.123325,33.211875
137.255525,33.241225
137.604325,33.24455
137.6849,33.424
137.84255,33.46685
137.970675,33.473625
138.06595,33.48825
138.178225,33.4969
138.19505,33.563875
138.221925,33.578525
138.389625,33.6271
138.40475,33.65475
138.464825,33.660525
138.485375,33.6625
138.81175,33.668825
138.833575,33.698425
138.8481,33.7096
138.980525,33.73875
138.992575,33.79155
139.15325,33.80495
139.20985,33.8129
139.22845,33.837575
139.244675,33.92115
139.2556,33.934
139.28325,33.9482
139.3525,33.970675
139.374475,33.99155
139.609575,34.0133
139.619675,34.023975
139.621575,34.0481
139.799625,34.0655
139.80085,34.10075
139.8076,34.116
139.835675,34.1186
139.850025,34.13895
139.93625,34.142425
139.962475,34.18195
140.050925,34.1926
140.101675,34.21955
140.24825,34.26205
140.39775,34.304325
140.431425,34.322225
140.47655,34.34435
140.4867,34.379575
140.598375,34.4004
140.62405,34.430675
140.64805,34.4354
140.67845,34.446275
140.767475,34.468625
140.908725,34.499275
140.935125,34.509375
140.966725,34.527575
141.015025,34.542225
141.1129,34.553675
141.1573,34.5969
141.219475,34.61175
141.228625,34.6219
141.2711,34.6288
141.2858,34.713375
141.311725,34.727125
141.313875,34.74295
141.42085,34.825025
141.44795,34.831325
141.45605,34.8737
141.48495,34.887625
141.49035,34.8991
141.55895,34.93315
141.576575,34.963675
141.603475,34.9728
141.63985,34.98045
141.75545,34.993975
141.76475,35.01385
141.896275,35.017425
141.90045,35.03485
141.960975,35.085325
141.96745,35.13395
141.9982,35.153475
142.10315,35.2534
142.1163,35.270675
142.15035,35.28685
142.15465,35.30805
142.224725,35.3176
142.433825,35.366675
142.44525,35.409025
142.507725,35.437025
142.552675,35.47055
142.70795,35.476075
142.83275,35.493075
142.891175,35.55525
142.8964,35.62675
143.11175,35.6636
143.1163,35.684925
143.14945,35.701425
143.2152,35.704925
143.22975,35.7271
143.3036,35.7339
143.32705,35.735775
143.4028,35.793825
143.422275,35.798275
143.5368,35.82475
143.54705,35.86465
143.575425,35.94895
143.6495,35.998225
143.662175,36.00345
143.68855,36.008925
143.987075,36.020225
144.039575,36.0254
144.074425,36.065325
144.12595,36.088
144.16335,36.133575
144.3204,36.14035
144.33345,36.163625
144.345575,36.165275
144.453475,36.1767
144.58175,36.1832
144.72985,36.2044
144.7396,36.230925
144.841575,36.262275
144.9569,36.299625
144.9804,36.3134
144.98865,36.325175
145.0061,36.3572
145.0965,36.476125
145.173725,36.48795
145.184125,36.49205
145.3982,36.519275
145.412875,36.572325
145.4288,36.57585
145.530725,36.5927
145.576275,36.624875
145.658175,36.641475
145.71025,36.65085
145.74165,36.6583
145.792725,36.69125
145.89975,36.764975
146.138425,36.782725
146.21885,36.813325
146.329425,36.90515
146.420275,36.910625
146.537675,36.9335
146.621825,36.946925
146.734325,36.95295
146.793,36.967275
147.397975,37.032875
147.444525,37.038775
147.48955,37.049625
147.557225,37.1418
147.738375,37.158975
147.761925,37.21105
147.7842,37.254825
147.972275,37.285675
147.9854,37.391075
148.08255,37.43375
148.152325,37.583275
148.155775,37.7301
148.335275,38.009625
148.38765,38.054775
148.397025,38.13795
148.548575,38.172475
148.6062,38.193275
148.6419,38.240725
148.712075,38.271075
148.81905,38.285025
148.927475,38.308725
149.167725,38.48195
149.193775,38.48925
149.22165,38.739475
149.265025,39.101975
149.30215,39.1365
149.515525,39.933025
149.59105,40.05335
149.759375,40.238025
149.8633,40.33455
149.909125,40.392725
149.998275,41.106425
150.038725,41.121175
150.0546,41.128125
150.072675,41.473275
150.12885,41.490975
150.16405,41.514225
150.188725,41.695125
150.224575,41.7151
150.27985,41.75445
150.292375,41.80935
150.455425,41.828825
150.477825,41.92245
150.651175,41.92915
150.663275,41.945475
150.929625,41.97755
151.1266,41.993175
151.775775,42.028075
151.8268,42.041925
151.95565,42.068425
151.968325,42.0779
152.022125,42.126225
152.0459,42.189525
152.063325,42.28745
152.065025,42.492175
152.315675,42.542575
152.3624,42.574175
152.364875,42.582175
152.40015,42.6011
152.582325,42.631625
152.632125,42.643025
152.9077,42.908875
152.963225,43.164925
153.017725,43.471075
153.07315,43.476625
153.12915,44.00965
153.27935,44.07945
153.5152,44.0899
153.5519,44.106
153.64895,44.1242
153.6865,44.1304
153.758575,44.150875
153.78285,44.1622
154.32695,44.170025
154.364275,44.173325
154.561475,44.176225
154.7361,44.1799
154.928125,44.235075
155.058275,44.249325
155.12825,44.2848
155.23285,44.354425
155.287625,44.36795
155.3256,44.4086
155.4386,44.414925
155.590825,44.431675
155.743875,44.43955
155.773325,44.460425
155.8389,44.4842
155.8569,44.507325
155.907025,44.520925
155.9613,44.5292
156.13375,44.552675
156.169575,44.568725
156.312875,44.604075
156.658475,44.65955
156.659775,44.6901
156.702575,44.7484
156.8492,44.80665
157.0383,44.924825
157.062475,44.93905
157.073975,44.959625
157.08985,44.963425
157.13695,44.99675
157.15015,45.22465
157.27565,45.29875
157.30865,45.318425
157.357475,45.3358
157.382325,45.56865
157.45185,45.597025
157.526125,46.099675
157.7191,46.47105
157.81915,46.4793
157.896925,46.5145
157.95015,46.6042
158.09135,46.64615
158.103475,46.652475
158.13175,46.6611
158.215725,46.702275
158.35455,46.70815
158.4338,46.714025
158.489625,46.733425
158.511225,46.738725
158.51305,46.767275
158.544875,46.79415
158.616325,46.813625
158.65675,46.82235
158.7439,46.830075
158.766025,46.846475
158.780975,46.860175
159.046275,46.868875
159.06685,46.87965
159.10275,46.9053
159.2533,46.918
159.2929,46.928525
159.39355,46.943925
159.511075,46.951575
159.554975,46.954425
159.613625,46.960875
159.626625,47.011225
159.649625,47.061175
159.98295,47.091
160.0721,47.10545
160.307975,47.109125
160.38415,47.12475
160.475,47.144375
160.4967,47.148675
160.842925,47.150375
161.107475,47.168
161.344975,47.1819
161.354925,47.18485
161.514675,47.188375
161.623325,47.201025
161.7656,47.217075
162.4367,47.24615
162.73015,47.270275
164.60435,47.281775
164.879175,47.316825
164.926225,47.352325
164.9395,47.39165
165.114375,47.4171
165.255675,47.47225
165.346575,47.50835
165.493825,47.53955
165.697525,47.552725
167.3806,47.611775
167.6407,47.6211
167.8363,47.63115
167.907675,47.65815
167.96075,47.6727
167.9765,47.6788
168.06305,47.68845
168.164225,47.712925
168.339425,47.7345
168.536575,47.7495
168.59245,47.762325
168.84485,47.798075
168.942075,47.8055
168.9906,47.816625
169.023825,47.842475
169.557475,47.8546
169.576125,47.86625
169.73255,47.88815
169.81865,47.931475
169.8245,47.936625
169.8591,47.97365
170.468975,47.98315
170.48055,48.015325
170.534625,48.043425
170.5924,48.064775
170.615425,48.09335
170.631425,48.110275
170.696075,48.1622
171.1313,48.177825
171.4699,48.18475
171.513175,48.196425
171.592625,48.21355
171.7406,48.222225
171.791675,48.22565
171.8941,48.271075
172.071,48.31305
172.196425,48.32995
172.23795,48.356325
172.266225,48.3667
172.325775,48.385125
172.410425,48.403325
172.4621,48.418825
172.46345,48.423975
172.674575,48.473275
172.7352,48.4918
173.0303,48.4963
173.075275,48.51675
173.095475,48.532125
173.122625,48.555725
173.313825,48.5642
173.33165,48.581475
173.43325,48.614275
173.466225,48.642025
173.548725,48.692325
173.75515,48.70065
173.99445,48.7469
174.04015,48.816875
174.110575,48.939325
174.218625,48.95565
174.254825,48.9717
174.3373,48.994825
174.482575,48.99825
174.50305,49.01665
174.518025,49.054525
174.537825,49.070225
174.591725,49.09315
174.649225,49.1129
174.673925,49.139275
174.8423,49.170325
174.876775,49.191775
174.95805,49.23215
174.994675,49.254475
175.057875,49.2929
175.135275,49.389
175.201575,49.4497
175.223025,49.457525
175.23025,49.489625
175.3108,49.512575
175.40245,49.670975
175.442175,49.9326
175.529075,49.93685
175.621675,49.9456
175.777175,49.97075
175.784025,49.9758
175.844025,49.983675
175.884075,50.00325
175.891075,50.232825
175.962975,50.782
176.120625,51.79435
176.23775,51.80565
176.2749,51.837075
176.3151,52.079775
176.527575,52.0954
176.640025,52.141325
176.674975,52.25975
176.72025,53.4241
176.72935,53.54045
176.740275,53.543425
176.74435,53.8452
176.7852,53.91315
176.85455,53.926025
176.968675,54.701725
177.03845,54.703025
177.076675,54.727025
177.088025,54.76065
177.089575,54.77005
177.164375,54.802375
177.21765,54.818525
177.23485,55.200925
177.261825,55.2531
