SPK_SPKC01a (excited),SPK_SPKC08b (excited),SPK_SPKC09a (excited),SPK_SPKC11a (no effect)
10.334,66.6012,4.214125,56.4882
10.37435,66.81115,4.248475,56.611575
10.400675,67.059975,4.266575,56.672375
10.43845,67.0977,4.2954,56.749825
10.45025,68.09305,4.328825,56.81035
10.465225,68.1165,4.3464,56.91145
10.516775,68.146,4.373275,57.0165
10.534825,68.293325,4.412925,57.058025
10.572775,68.994,4.436325,57.217375
10.590025,69.361075,4.47685,57.289275
10.59795,69.6449,4.509075,57.654875
10.605725,70.546375,4.53865,57.835275
10.621925,71.3556,4.585075,61.237275
10.63375,71.39495,4.624425,61.288975
10.653775,71.52875,4.688225,61.351075
10.674625,71.591225,4.7299,61.394525
10.704275,71.9623,4.7771,61.448825
10.720875,72.63525,4.80655,61.5425
10.74205,72.685675,4.8703,61.60765
10.755925,72.9184,4.9052,61.6802
10.7662,73.38305,4.949425,61.7583
10.784875,73.9078,4.98025,61.804175
10.797975,74.28715,5.0468,61.84455
10.808625,74.87625,5.081675,61.9158
10.823375,74.892825,5.122525,61.952125
10.8352,75.29815,5.19755,61.98195
10.850975,75.68215,5.2075,62.04585
10.881325,76.4972,5.21265,62.094925
10.8912,76.5446,5.243275,62.149925
10.921625,76.807525,5.259925,62.19935
10.963425,76.882725,5.280625,62.251225
10.97345,77.265475,5.3021,62.350475
10.9793,77.473925,5.3318,62.4374
11.023975,77.8152,5.34755,62.511025
11.043875,78.1557,5.39355,62.68605
11.069675,78.500275,5.42805,62.7626
11.07545,78.6654,5.4566,62.858275
11.079225,78.8841,5.479925,63.16365
11.0977,79.563825,5.51115,63.2113
11.132175,79.852425,5.534625,63.439475
11.14445,79.9418,5.5734,63.850925
11.173075,80.1607,5.624925,64.020525
11.20375,80.83925,5.662925,64.171325
11.234525,81.017125,5.676275,65.3454
11.2502,81.1623,5.725025,66.54365
11.257925,81.4861,5.75285,66.688575
11.3043,81.601025,5.80515,67.654675
11.335625,81.76055,5.831125,80.09635
11.40485,81.891525,5.849575,81.79945
11.4394,81.947425,5.873525,89.515325
11.462625,82.368575,5.890325,89.660575
11.520475,82.470625,5.9126,89.765825
11.561525,83.32335,5.934925,89.84195
11.615425,83.397725,5.965525,90.0403
11.794275,83.65555,5.986125,90.0898
11.866475,84.4042,6.01015,90.128325
12.036425,84.5344,6.044175,90.23
12.072675,84.7508,6.06335,90.31565
12.245475,85.543075,6.10655,90.354275
12.46025,86.829,6.13565,90.4025
12.55965,86.96695,6.172575,90.44545
12.63345,86.977975,6.199875,90.49425
12.64575,87.386425,6.241475,90.536125
12.709425,87.9474,6.2616,90.561875
12.834125,88.705825,6.298825,90.629775
13.009525,88.93295,6.3283,90.6934
13.0511,89.188225,6.351425,90.733275
13.083925,90.000475,6.3872,90.883875
13.165075,90.20805,6.41325,90.938025
13.17805,90.73665,6.44225,91.20205
13.2486,91.55745,6.475125,91.2825
13.3156,92.7286,6.5023,91.33325
13.35,94.044775,6.52355,109.1564
13.398475,94.107475,6.56235,120.027225
13.420175,94.314425,6.589475,120.0727
13.481425,94.321125,6.6129,120.755325
13.582275,94.917675,6.6477,120.90495
13.594175,94.994875,6.686575,121.114875
13.68175,95.87735,6.740475,121.20885
13.7331,96.197375,6.780975,121.275475
13.760125,96.496975,6.8099,121.46665
13.8655,96.604625,6.849025,121.560025
13.8952,97.703325,6.928675,121.59165
13.972975,97.80465,6.969125,121.744375
14.003525,98.452675,6.979675,121.93895
14.036525,98.60195,6.995175,122.151025
14.14805,98.735375,7.010825,122.454675
14.2421,98.935275,7.021925,122.578275
14.311625,99.0682,7.03815,122.6573
14.33075,99.299925,7.059475,122.832775
14.394925,99.67885,7.0793,126.3107
14.427725,100.1883,7.103325,126.582475
14.48415,100.594175,7.126725,127.268125
14.527325,101.7107,7.160325,127.38315
14.53495,102.356475,7.181725,127.442325
14.541125,102.720625,7.2158,127.50775
14.605,103.039525,7.247,127.677075
14.622275,103.243975,7.28495,139.872375
14.6389,103.534725,7.333525,139.93735
14.755975,105.2181,7.35755,140.021575
14.8219,105.390025,7.382025,140.046775
14.82915,105.568625,7.40865,140.11455
14.8558,105.650025,7.42455,140.1872
14.9481,105.816375,7.44865,140.271825
14.969475,106.00235,7.4903,140.370575
14.999925,106.12485,7.5156,140.400825
15.142625,107.2076,7.5939,140.451075
15.163525,107.415275,7.643575,140.519425
15.1959,107.48415,7.677675,140.575925
15.2114,107.78445,7.6886,140.66065
15.223125,107.840075,7.698875,140.69495
15.234925,108.523375,7.70625,140.756725
15.246375,108.604475,7.722425,140.78925
15.249325,108.72355,7.73955,140.83165
15.258025,108.930475,7.763075,140.88765
15.2713,109.0748,7.77335,140.943325
15.277025,109.243275,7.789475,141.0058
15.3366,109.442675,7.799425,141.073525
15.370475,109.668725,7.806475,141.131975
15.4534,109.9862,7.8137,141.183075
15.485925,110.538775,7.819675,141.22335
15.501225,110.54,7.82535,141.271875
15.511075,111.494,7.834175,141.31455
15.525825,111.699725,7.840675,141.34555
15.536425,111.79515,7.846525,141.3998
15.5514,111.8809,7.8546,141.446275
15.5618,111.899625,7.86695,141.500375
15.580675,112.083625,7.881325,141.70925
15.59195,112.123275,7.89385,145.422675
15.5988,112.3425,7.919425,145.62855
15.699575,112.41735,7.933225,145.9309
15.722725,112.4956,7.9504,146.099525
15.73725,112.75065,7.9743,146.281625
15.757625,113.0835,7.9947,146.549325
15.77705,113.10315,8.0322,158.394275
15.791325,113.15175,8.0875,158.8915
15.815775,113.928325,8.113925,158.9436
15.847725,113.9854,8.132375,159.03615
15.943975,114.079425,8.163225,159.082375
15.989475,114.251025,8.18375,159.2593
16.0387,114.393775,8.209175,159.36385
16.07635,114.737,8.22685,159.556625
16.10105,115.104325,8.250575,159.647525
16.111775,115.122325,8.266425,159.699725
16.11595,115.687,8.2859,159.917325
16.1524,115.728125,8.35915,159.966125
16.182825,115.942775,8.376525,160.029725
16.203,116.259425,8.405475,160.0959
16.23865,116.261425,8.4338,160.1855
16.25875,117.5612,8.47245,160.234575
16.273775,117.92265,8.492625,160.313875
16.29405,118.03205,8.50375,160.469875
16.308225,118.4048,8.521575,161.0323
16.32205,118.46155,8.550525,179.84935
16.3695,118.78555,8.576025,182.6057
16.401275,119.37395,8.59815,205.156525
16.4915,119.79485,8.611525,205.63215
16.543525,119.9638,8.623075,205.654025
16.595875,120.048425,8.6304,205.70585
16.675,120.161575,8.637825,205.794875
16.7016,120.1962,8.658225,205.8665
16.744075,120.268025,8.668425,205.90845
16.76405,120.37395,8.683475,205.9461
16.798775,120.444575,8.72975,205.979025
16.80925,120.502475,8.7531,206.00645
16.823925,120.5271,8.764725,206.049125
16.8381,120.53055,8.771525,206.168675
16.8394,120.558175,8.783325,206.286025
16.869825,120.710025,8.815875,206.3648
16.9558,120.7428,8.831925,206.3994
16.997775,120.90875,8.850325,206.458425
17.12985,120.9141,8.861375,206.5275
17.151775,121.058675,8.872025,206.568825
17.2987,121.149375,8.9043,206.677975
17.3507,121.3053,8.921975,206.803975
17.54325,121.572225,8.932775,206.87955
17.595075,122.021625,8.939275,206.9427
17.647225,122.281175,8.957175,207.1323
17.733275,122.7297,8.977025,207.278375
17.804025,124.032525,8.990975,207.3372
17.813175,124.339575,9.002425,207.401
17.857325,124.653725,9.018425,207.4391
18.00715,124.72725,9.02825,207.590125
18.0246,125.74125,9.046375,207.692625
18.154,126.36425,9.053775,207.858375
18.186875,126.3952,9.0648,208.506425
18.200675,126.449225,9.07715,208.660475
18.242625,126.563,9.09265,208.71235
18.273475,126.7668,9.11355,208.86155
18.282225,127.287575,9.137525,210.630025
18.294925,127.484275,9.1564,210.63785
18.309275,127.665575,9.200175,210.673825
18.322075,127.7309,9.212625,210.744175
18.33535,128.242675,9.2244,210.806925
18.34915,128.6715,9.239275,210.911125
18.358,128.970475,9.256525,210.9408
18.3889,129.651175,9.2692,211.0747
18.413225,130.949675,9.2809,211.62015
18.445475,132.10895,9.29125,211.716225
18.503575,132.463775,9.3295,211.780825
18.52225,132.5399,9.42735,211.915475
18.530675,132.7198,9.47385,212.379375
18.54025,133.20545,9.48915,212.42165
18.54685,133.275775,9.505625,212.503675
18.5514,133.4478,9.53735,212.625175
18.56395,133.551075,9.595525,212.677075
18.580675,133.725075,9.618,212.7818
18.6061,133.734075,9.63275,212.85195
18.614975,134.979025,9.644,212.9652
18.645325,135.284575,9.650225,213.21905
