SPK_SPKC09a (no effect),SPK_SPKC12a (short inhibition),SPK_SPKC14a (inhibited)
84.90045,216.323025,5.4912
85.49315,216.929125,5.530625
85.76645,216.966525,5.647425
86.669275,217.418525,5.720025
87.08705,217.5142,5.736925
87.874925,217.853775,5.753125
88.3315,217.96445,5.7637
88.6032,218.0295,5.776525
89.51785,218.52255,5.7915
89.548325,219.425,5.801775
89.565025,219.891175,5.825775
89.820925,219.912975,5.8449
90.30605,220.790975,5.893025
90.36895,222.215525,5.934525
90.85395,222.2794,5.9987
91.124925,222.721275,6.041925
91.4577,223.938575,6.1404
91.880725,224.390075,6.15675
91.98325,224.626825,6.195125
91.99835,225.398125,6.218775
92.077875,225.659875,6.24035
92.523375,226.034475,6.281725
92.544875,226.273,6.351175
92.961225,226.895225,6.452275
93.024675,227.060625,6.476525
93.20095,227.417875,6.5046
93.339525,228.09785,6.5262
93.66295,229.0484,6.545875
94.07805,230.979925,6.559725
94.1807,230.9921,6.581975
94.466725,231.83445,6.60595
94.477525,231.9605,6.63095
94.56625,232.3798,6.83385
95.0287,232.433,6.860525
95.773925,232.4829,6.873
95.875025,232.864075,6.883975
95.891925,233.125225,6.8984
95.9653,233.30715,6.9157
96.275425,234.2283,6.9347
96.878725,234.824675,6.9532
97.6901,234.856425,6.977875
98.570075,235.3057,7.000775
99.082,236.0692,7.0302
99.4256,236.35625,7.062175
99.51555,237.296375,7.093525
100.252925,239.929175,7.1599
100.266575,241.943225,7.2267
100.335625,242.0388,7.278
100.601175,242.573,7.296575
100.6833,243.362375,7.31965
101.192825,244.94885,7.332825
101.5313,245.5473,7.349675
101.815225,245.559425,7.36435
102.79075,245.632375,7.37525
103.6169,246.562525,7.387625
103.841425,246.68875,7.404225
104.119425,247.047925,7.419875
104.1338,248.553,7.454025
104.168625,248.665125,7.485775
104.231425,249.90125,7.5203
104.695875,250.431125,7.5507
104.733125,250.4694,7.57865
105.373025,250.6157,7.620525
105.3997,250.724425,7.676225
105.47925,250.9863,7.79965
106.3449,251.13015,7.857425
106.36705,251.20435,7.8734
107.573175,251.425725,7.88265
108.278475,252.64185,7.891375
108.9571,253.3851,7.903575
109.2299,253.45025,7.918075
109.47745,253.49365,7.92845
109.6456,254.161375,7.93825
110.00835,254.61565,7.945025
110.021625,254.77125,7.95535
110.064325,255.325475,7.9653
110.5004,255.64755,7.977875
111.83595,255.960325,7.98905
112.462575,256.072825,8.0099
112.980025,256.747175,8.031425
113.02165,257.433775,8.09345
113.299125,257.48835,8.160625
113.350825,258.271175,8.206425
113.873525,259.77015,8.293725
113.95685,259.8355,8.313225
114.023275,259.9137,8.3245
114.903125,260.426775,8.366675
115.308475,260.644025,8.38275
115.330575,260.793525,8.3964
115.726925,,8.4204
115.86145,,8.498375
116.14745,,8.712075
116.4752,,8.7609
116.553575,,8.7746
116.68055,,8.78435
116.724925,,8.7955
117.180125,,8.806925
117.24585,,8.8273
117.35445,,8.836925
117.576675,,8.863175
117.6712,,8.88525
117.72025,,8.9113
117.84365,,8.9451
118.319725,,8.980975
118.383375,,8.99775
118.43065,,9.026275
118.7817,,9.0475
119.268325,,9.102175
119.4588,,9.217375
119.473025,,9.345675
120.62455,,9.38895
120.64435,,9.4055
121.53795,,9.415475
121.74415,,9.424225
121.87505,,9.43615
122.0463,,9.4528
122.4577,,9.457725
122.594425,,9.471575
122.819,,9.498825
122.9088,,9.554975
122.9451,,9.5702
123.2972,,9.58835
123.394325,,9.616875
123.570575,,9.64885
123.7984,,9.681475
123.87265,,9.709725
123.95875,,9.740125
124.69075,,9.76635
124.7197,,9.793875
124.79755,,9.81205
125.03475,,9.830275
125.450175,,9.85225
125.8556,,9.8759
125.99715,,9.914075
126.234175,,9.967825
126.322825,,10.042225
127.311775,,10.06215
128.425375,,10.07945
128.500975,,10.0943
128.752125,,10.112025
128.83275,,10.13315
128.8522,,10.1517
129.192525,,10.1715
129.53695,,10.195775
129.87675,,10.213775
130.2814,,10.241525
130.2992,,10.269325
130.319525,,10.288675
130.851575,,10.306725
130.93185,,10.3307
131.111325,,10.35715
131.761625,,10.41265
132.03845,,10.47175
132.61625,,10.50155
132.89995,,10.525775
133.0872,,10.546725
133.16475,,10.55965
133.314525,,10.58545
133.640475,,10.61045
134.127,,10.642225
134.47095,,10.6858
134.58085,,10.718525
134.82955,,10.74445
135.653975,,10.7601
135.6708,,10.77415
136.332225,,10.7852
137.3735,,10.795675
137.68495,,10.80985
138.2867,,10.825875
138.347725,,10.843275
138.42015,,10.863275
138.564925,,10.8955
138.983625,,10.949125
139.4476,,10.98915
139.750375,,11.044575
139.781525,,11.08865
140.3199,,11.123875
141.23985,,11.14945
141.516275,,11.16045
142.10005,,11.173925
142.478475,,11.20655
142.555225,,11.2229
142.95255,,11.254575
143.411475,,11.272225
143.770825,,11.294025
144.262975,,11.326525
144.819325,,11.353725
145.06185,,11.3747
145.286725,,11.396525
145.306,,11.422225
145.388725,,11.4395
145.808025,,11.45605
146.295625,,11.468175
146.89445,,11.48415
147.45405,,11.500275
148.156875,,11.520625
148.417225,,11.534825
149.5801,,11.547
149.676175,,11.566675
149.694125,,11.58715
149.79345,,11.6061
149.97295,,11.6336
150.28455,,11.69475
150.81215,,11.726625
150.8961,,11.76435
151.35485,,11.814225
151.827075,,11.848675
151.880325,,11.895725
151.989975,,11.922775
152.27325,,11.94605
152.644525,,12.002675
152.698175,,12.016375
152.93405,,12.031275
153.057,,12.063175
153.084425,,12.08245
153.139525,,12.116325
154.077175,,12.155575
154.26225,,12.219975
154.652675,,12.312675
155.3463,,12.35315
155.485375,,12.40485
156.060275,,12.428875
156.1318,,12.446625
156.40665,,12.46045
156.455925,,12.472125
156.858075,,12.499175
156.87495,,12.531725
156.912875,,12.554275
156.935825,,12.57865
157.38985,,12.604
157.41625,,12.627425
157.432225,,12.642975
157.782075,,12.653825
157.833175,,12.6708
158.354775,,12.6806
158.4381,,12.69065
158.487175,,12.69915
158.5643,,12.709125
158.8672,,12.720625
159.1588,,12.737675
159.314625,,12.7537
159.34335,,12.77175
159.603525,,12.789925
159.764775,,12.81555
160.077825,,12.861275
161.0071,,12.89755
161.12225,,12.9111
161.191875,,12.930625
161.96,,12.94215
162.17305,,12.96405
162.60925,,12.98395
162.732875,,13.00375
163.1526,,13.02295
163.651575,,13.065475
164.3369,,13.104225
164.3909,,13.13645
164.600175,,13.16055
164.858575,,13.1888
164.877075,,13.2055
165.435275,,13.222025
165.7764,,13.245975
166.079675,,13.264375
166.098575,,13.277975
166.481525,,13.3036
166.588825,,13.315
166.9822,,13.325375
167.335125,,13.339775
167.381925,,13.352775
167.4791,,13.36425
167.5044,,13.376
168.249175,,13.390825
169.327425,,13.40535
169.916025,,13.4202
169.9425,,13.434875
170.6696,,13.460825
170.74525,,13.500525
170.818325,,13.514625
171.019525,,13.539425
171.071325,,13.5676
171.156225,,13.58965
172.388825,,13.6449
173.64105,,13.683925
173.697675,,13.7297
173.7932,,13.787175
174.046475,,13.8017
174.6677,,13.81505
174.8924,,13.844925
175.1865,,13.85505
175.2669,,13.8692
175.76915,,13.88165
176.1462,,13.90485
176.937325,,13.925575
177.111275,,13.9488
177.421525,,13.9733
178.454625,,14.0001
179.371575,,14.042525
180.20175,,14.069025
180.212725,,14.090525
182.239,,14.115625
182.26695,,14.163725
182.727975,,14.202975
182.757025,,14.216975
182.953825,,14.233075
183.0478,,14.2469
183.4581,,14.259275
183.55005,,14.2694
184.47635,,14.290125
185.060925,,14.304675
185.32535,,14.31745
185.759375,,14.3493
185.84595,,14.36475
188.98615,,14.389425
189.171325,,14.410275
189.435875,,14.427275
190.501475,,14.4482
192.8384,,14.479225
193.140975,,14.515375
194.25955,,14.53635
