SPK_SPKC05c (inhi),SPK_SPKC08a (no opto-tagging),SPK_SPKC09a (no response),SPK_SPKC13a (exc)
262.0256,256.4423,258.38245,256.582875
262.237075,256.483175,258.60435,256.6133
262.244875,256.607925,258.762875,256.655125
262.2969,256.698775,258.779925,256.6856
262.3154,256.723,258.80685,256.726275
262.622825,256.74995,258.854,256.7843
262.711875,256.75615,258.942925,256.881425
262.787125,256.7917,259.0185,256.9074
262.819475,256.9908,259.05745,256.939825
262.880125,257.012825,259.105475,256.971475
262.882675,257.039525,259.12005,257.057575
262.97925,257.082525,259.198525,257.099375
263.036175,257.099125,259.205925,257.1622
263.0665,257.101125,259.24465,257.21955
263.207675,257.11855,259.25865,257.2404
263.229475,257.207875,259.27395,257.271975
263.2854,257.26145,259.28875,257.3185
263.31695,257.2924,259.300175,257.374575
263.36135,257.352675,259.306925,257.4682
263.452725,257.365675,259.3447,257.48545
263.502675,257.395075,259.35385,257.56925
263.555575,257.641275,259.369075,257.62685
263.634375,257.650625,259.405575,257.655075
263.678275,257.690175,259.418925,257.677775
263.705025,257.72535,259.44,257.73265
263.751975,257.779825,259.4481,257.785525
263.767375,257.8183,259.478775,257.804925
263.779875,257.8795,259.488125,257.828175
263.8534,257.881525,259.5445,257.85095
263.87445,258.1197,259.5957,257.85795
263.9313,258.384,259.616075,257.880975
264.03295,258.436,259.721875,257.93655
264.086375,258.453075,259.831325,258.0084
264.10695,258.5152,259.8432,258.114425
264.1583,258.55395,259.854575,258.142125
264.174725,258.6577,259.9886,258.166975
264.205675,258.695525,259.999925,258.23385
264.335925,258.79585,260.0363,258.262725
264.4864,258.807475,260.0687,258.3153
264.489375,258.89035,260.078225,258.3212
264.506625,259.00185,260.088425,258.34175
264.509725,259.1864,260.18785,258.366125
264.552625,259.1912,260.25905,258.414475
264.685375,259.20775,260.2964,258.42945
264.69685,259.30805,260.330975,258.4713
264.794025,259.33005,260.339925,258.49075
264.8532,259.4631,260.34835,258.650875
264.8764,259.48105,260.360475,258.675925
264.8798,259.62665,260.3837,258.707775
264.9129,259.771575,260.413875,258.7981
264.956675,259.9167,260.4541,258.8217
265.061025,260.06985,260.5523,258.83195
265.098225,260.101325,260.608225,258.890525
265.123275,260.2124,260.681375,258.947675
265.280175,260.231725,260.8217,258.988525
265.34405,260.256625,260.881475,259.0174
265.38445,260.277325,260.9757,259.04115
265.395725,260.31055,261.00905,259.049825
265.4133,260.37145,261.033075,259.089275
265.4372,260.3727,261.114175,259.120575
265.604525,260.390325,261.2546,259.161925
265.633875,260.43385,261.30825,259.17245
265.7158,260.4505,261.444225,259.212175
265.722725,260.4927,261.6313,259.259325
265.774025,260.594425,261.65785,259.2731
265.797225,260.6321,261.769825,259.30465
265.80355,260.68335,261.782525,259.360875
265.994225,260.745975,261.813875,259.454825
266.14325,260.8028,262.009525,259.571325
266.148425,260.8959,262.036925,259.6261
266.20475,260.91725,262.28275,259.763025
266.2653,261.0041,262.356925,259.84055
266.290975,261.092675,262.409925,259.846725
266.299875,261.135425,262.425875,259.874125
266.406075,261.277425,262.438125,259.90895
266.486375,261.288775,262.451825,259.9653
266.51275,261.3288,262.473225,259.99525
266.595325,261.423375,262.503525,260.00345
266.640025,261.46195,262.58115,260.0352
266.689825,261.5664,262.622475,260.066225
266.827575,261.691175,262.6547,260.106225
266.85315,261.807525,262.767925,260.1656
266.854175,261.838725,262.830225,260.2238
266.888875,261.877175,262.9885,260.2891
266.977225,262.041625,262.996675,260.38205
267.041525,262.064225,263.0245,260.444975
267.06775,262.096425,263.082,260.472375
267.13075,262.2063,263.098675,260.5139
267.183025,262.262775,263.178075,260.636125
