SPK_SPKC02a (no response),SPK_SPKC09a (no response)
55.7187,55.3614
55.7204,55.4766
55.726875,55.553025
55.87905,55.55985
56.12645,55.601625
56.166225,55.6545
56.264525,55.71295
56.529025,55.7187
56.540225,55.72685
56.5947,55.879025
56.727025,56.089
56.749125,56.12645
56.9968,56.1662
57.008075,56.2645
57.2205,56.529025
57.2317,56.5402
57.24065,56.59465
57.28185,56.727
57.344325,56.9968
57.390275,57.00805
57.4049,57.01075
57.457975,57.034625
57.475825,57.22045
57.4819,57.231675
57.5973,57.2406
57.788025,57.281825
58.427425,57.344325
58.4486,57.39025
58.458775,57.404875
58.715375,57.457975
58.743925,57.475775
58.75725,57.59725
58.80805,57.788
59.131125,58.427375
59.16365,58.448575
59.682,58.71535
59.83935,58.743875
59.868975,58.752075
59.909375,58.757225
59.921875,58.808025
60.192525,59.1279
60.2091,59.131125
60.223325,59.163625
60.24675,59.682025
60.256225,59.8393
60.2653,59.86895
60.358575,59.90935
60.6152,59.921875
60.640275,59.925625
60.650675,60.1925
60.6561,60.209075
60.8188,60.223175
60.823525,60.246725
60.8293,60.2562
60.843925,60.265275
61.2088,60.2704
61.924675,60.615175
63.1249,60.6371
63.133875,60.64025
63.1688,60.650625
63.17695,60.81875
63.7052,61.20265
64.074825,61.20875
64.60695,61.459375
65.1451,61.924675
65.2297,61.9467
65.243225,63.124825
65.47275,63.13385
65.4859,63.168775
65.487325,63.176925
65.4922,63.395725
65.50235,63.705175
65.51555,64.074775
65.522525,64.613275
65.5297,64.6779
65.541725,65.145075
65.556025,65.47275
65.55855,65.5024
65.570275,65.522525
65.57185,65.556
65.5832,65.587375
65.5874,67.2905
65.5914,67.366525
65.6017,69.613925
67.719425,70.246875
69.372675,70.277
70.246875,70.282375
70.277025,71.01015
70.2824,71.02575
71.010175,71.0639
71.025775,72.229525
71.7378,73.293875
72.22955,74.541675
73.293875,74.546625
74.546625,74.768025
74.768075,74.7847
74.78475,75.1791
75.179175,76.13375
77.98075,76.5975
78.0624,76.8826
78.082225,77.210275
78.1065,77.54075
78.111425,77.980725
78.139375,78.0822
78.16585,78.112
78.2801,78.287425
78.287475,78.30885
78.330225,78.3302
78.437575,78.464
78.464025,78.492425
78.475775,78.574725
78.57475,78.620075
78.6201,78.6504
78.65045,78.7186
78.658075,78.76585
78.718625,78.769925
78.76585,78.824
78.769925,78.87715
78.877175,78.929875
78.92995,78.947375
79.01055,79.01055
79.079275,79.12
79.120025,79.146
79.146025,79.187725
79.27075,79.270725
79.439475,79.439425
79.531725,79.5317
79.677275,79.67725
79.7607,79.74325
79.8587,79.760675
79.876425,79.85865
79.8973,79.876375
79.9022,79.90215
79.915675,79.91565
79.925325,79.9253
79.933675,79.93365
80.034,80.033975
80.043525,80.043475
80.169,80.14325
80.255275,80.169
80.29875,80.25525
80.30455,80.29875
80.35275,80.304525
80.427425,80.352725
80.44215,80.4274
80.484725,80.4847
80.529525,80.5295
80.949025,80.62925
81.230325,80.949
81.442125,81.0277
81.4596,81.2303
81.472375,81.442125
81.497575,81.4596
81.57225,81.49755
81.58375,81.572225
81.59745,81.583725
82.120525,81.597425
82.18005,82.120475
82.2006,82.180025
82.236,82.186975
82.2584,82.200575
82.27435,82.235975
82.2975,82.2584
82.44985,82.29745
82.455925,82.4498
82.4793,82.455925
82.5343,82.479275
82.564975,82.5342
82.621475,82.564975
82.828,82.621475
83.0733,82.828
83.07595,83.017975
83.30245,83.075925
83.3414,83.30245
83.356975,83.341375
83.3826,83.356975
83.396375,83.382575
83.4994,83.396275
83.567,83.451775
83.66635,83.499375
83.70705,83.5298
83.727975,83.567
83.739125,83.66635
83.75595,83.720225
84.09115,83.72795
84.105975,83.739125
84.108275,83.755925
84.2264,84.09115
84.4722,84.10595
84.4888,84.226375
84.51795,84.472175
84.8229,84.4888
85.35715,84.517925
85.7007,84.6913
85.741175,84.69595
85.7514,84.82285
85.85455,85.0744
86.00535,85.335075
86.072575,85.357125
86.08835,85.700675
86.47195,85.714325
88.154575,85.74115
88.166725,85.75135
89.71735,85.85445
92.79725,86.005325
92.8384,86.072575
92.85,86.08835
92.865925,86.47195
92.88095,86.566125
93.755225,88.15455
93.7765,88.1667
93.8975,90.0166
94.33415,92.797225
94.36925,92.838375
94.864175,92.849975
94.878925,92.880925
94.904175,93.755225
94.916725,93.776425
94.94715,93.8975
95.979075,94.334125
95.9918,94.369225
96.00325,94.864175
96.028175,94.8789
96.4112,94.904125
96.41845,94.916725
96.422325,94.947125
96.451175,95.9918
96.5085,96.003225
96.898,96.02815
97.1641,96.411175
99.82915,96.418425
99.852775,96.4223
100.16525,96.451175
100.184875,96.5085
100.206625,96.897975
100.20815,97.1641
100.26135,97.362275
100.286475,97.98905
100.69505,99.829125
100.72585,99.85275
100.79185,100.165225
101.228525,100.18485
101.249,100.197575
101.25245,100.206625
101.334625,100.208125
101.3852,100.2182
101.48265,100.2613
101.527125,100.695025
101.604625,100.725825
101.6105,100.7918
101.620675,101.2285
101.63195,101.248975
101.724225,101.252425
101.82095,101.3346
101.8554,101.38515
101.9005,101.54325
102.1069,101.604625
102.1183,101.607625
102.239525,101.6105
102.2636,101.620675
102.309775,101.7242
102.340425,101.820925
102.430975,101.855375
102.44765,101.9005
102.50085,102.00005
102.545375,102.1069
102.549625,102.118275
102.56235,102.120575
102.59705,102.239525
102.6571,102.30975
102.72815,102.3404
102.8054,102.43095
102.87345,102.447625
102.88675,102.5008
102.93185,102.545375
102.94595,102.5496
103.0287,102.56235
103.08665,102.59185
103.21935,102.657075
103.24235,102.728125
103.3267,102.80535
103.3318,102.87345
103.35295,102.8867
103.3647,102.93185
103.36715,103.040325
103.51015,103.219325
103.56145,103.2423
103.58295,103.3267
103.68955,103.3318
103.793125,103.35295
103.848325,103.3647
103.925875,103.367125
103.955125,103.510125
103.998675,103.56145
104.453825,103.582925
104.459225,103.6895
104.514325,103.7027
104.58745,103.730425
104.669275,103.793125
104.97205,103.8483
104.994275,103.925875
105.113475,103.955125
105.146775,103.998675
105.16455,104.396825
105.1837,104.4538
105.188925,104.4592
105.19705,104.587425
105.2123,104.669225
105.225025,104.972025
105.25725,104.994275
105.357125,105.14675
105.432375,105.16455
105.4352,105.1837
105.95085,105.18895
106.040425,105.197075
106.072175,105.212325
106.1233,105.225025
106.27185,105.25725
106.2962,105.3571
106.3212,105.435175
106.408925,105.950825
106.4982,106.040375
106.5622,106.07215
106.609625,106.115375
106.6198,106.12325
106.65735,106.271825
106.662675,106.296175
106.6752,106.3212
106.802375,106.39925
106.80785,106.408925
106.8303,106.4982
106.8875,106.562175
106.91335,106.6096
106.95065,106.619775
107.423975,106.657325
107.7788,106.675175
108.086025,106.721075
108.22705,106.782275
108.76275,106.80235
109.0435,106.807825
109.069275,106.830275
109.1223,106.8875
109.163175,106.913375
109.1831,106.950625
109.1934,107.4239
109.262675,107.754675
109.8193,107.778775
109.8503,108.086
109.871,108.22705
109.93565,108.7627
109.9419,109.043475
109.9632,109.06925
109.97975,109.1154
110.10285,109.122275
110.581475,109.16315
110.616425,109.193375
110.6343,109.26265
110.6429,109.318375
110.661175,109.8193
110.811125,109.871025
110.839075,109.93565
110.85005,109.9419
110.89495,109.963175
110.9056,109.979725
110.96685,110.10285
111.074975,110.3284
111.902875,110.58145
111.937225,110.6164
111.977575,110.642875
111.991025,110.661075
112.05485,110.811125
112.844575,110.839075
112.8609,110.85005
113.116825,110.89495
113.169125,110.9056
113.18825,110.966825
