SPK_SPKC05a (NA),SPK_SPKC08a (inhibited),SPK_SPKC08b (excited),SPK_SPKC12a (NA)
86.21755,6.159325,16.93005,23.54675
86.4224,6.1838,17.121625,23.56225
87.58015,6.23195,17.21715,23.69805
88.22885,6.242275,17.314525,23.84555
88.5447,6.366275,17.473175,23.943475
89.40235,6.397875,17.91175,23.975825
90.07645,6.409,17.94245,24.139875
90.083825,6.429125,17.963025,24.4816
90.29675,6.4515,18.070875,24.709375
90.39215,6.478225,18.15025,24.853025
90.420275,6.5024,18.17695,25.104425
90.87545,6.518225,18.233525,25.2197
90.941925,6.53905,18.323625,25.2452
93.588775,6.5651,18.388125,25.261725
93.65,6.58115,18.502275,25.274775
93.931525,6.5956,18.609175,25.3192
94.2846,6.647525,18.817175,25.5071
94.502075,6.67045,18.877675,25.576225
94.564425,6.69025,18.9359,25.881025
95.0159,6.75575,18.998425,26.29545
96.04295,6.804025,19.209175,26.443975
96.41985,6.867025,19.347225,26.4862
96.605575,6.88155,19.4049,26.899
97.1302,6.900475,19.522275,27.046275
98.247575,6.924025,19.6418,27.0625
99.068825,6.937025,19.668475,27.0973
99.073925,6.948125,19.8521,27.158925
99.0907,6.967225,19.8985,27.20025
99.27145,6.98245,19.9653,27.58455
99.738025,7.09765,20.077975,27.631
99.998,7.124225,20.288875,28.0662
100.192275,7.14905,20.364325,28.165925
100.2826,7.206975,20.52115,28.40745
100.286475,7.229775,20.565925,28.465825
100.51835,7.2423,20.59885,28.539175
100.580975,7.25655,21.0033,28.78165
100.80445,7.269875,21.0997,29.153225
101.73765,7.282925,21.24955,29.187125
101.79465,7.293025,21.27965,29.213675
102.6684,7.29995,21.318475,29.235175
102.936825,7.330425,21.425125,29.62505
103.56725,7.344425,21.56335,30.146875
103.751325,7.354675,21.6921,30.2225
104.232675,7.423425,21.771025,30.293
104.80555,7.445675,21.8629,30.754825
104.966525,7.495125,22.03655,30.914475
105.045075,7.50645,22.1419,30.9342
106.385975,7.523325,22.20805,30.989925
106.95255,7.5552,22.244775,31.33345
106.954475,7.57275,22.314425,31.43215
107.0156,7.587225,22.421375,31.442275
107.1599,7.594675,22.53255,31.483725
107.521325,7.60695,22.6682,31.7018
107.9838,7.62235,22.748075,31.756575
108.402575,7.641575,22.751275,31.86
108.467675,7.65605,22.846475,31.88155
108.74105,7.6692,22.901825,31.9495
109.03855,7.67695,23.051,32.94695
109.397075,7.686625,23.079275,33.15595
110.2013,7.70825,23.123125,33.1707
110.342325,7.724075,23.178125,33.29565
110.345575,7.747125,23.21535,33.779875
110.5329,7.77455,23.259925,33.8135
110.7955,7.792675,23.426375,33.83695
111.31795,7.81115,23.4865,33.851025
111.6114,7.82925,23.514925,34.5422
111.788025,7.835525,23.545825,34.667275
111.7978,7.867675,23.618925,34.6873
111.8204,7.885325,23.661425,35.193275
111.89935,7.899425,23.75685,35.56375
112.591775,7.938175,23.787925,35.6433
112.77965,7.9537,24.067825,35.6655
113.1954,7.9761,24.213825,35.758475
113.230925,8.036175,24.38505,35.937175
113.311225,8.083475,24.5533,36.0392
113.339025,8.107075,24.728125,36.12395
113.3902,8.207725,24.905925,36.129
113.415875,8.23425,24.932925,36.159925
113.547675,8.30485,24.939975,36.368425
114.27075,8.426475,25.122325,36.495725
114.309825,8.4558,25.192025,36.567975
114.3748,8.4819,25.305925,36.796525
114.42,8.504925,25.38755,36.8665
114.70255,8.5697,25.44215,36.896875
114.802575,8.595175,25.636725,37.255
114.8924,8.6444,25.7365,37.271
115.406825,8.680775,25.771725,37.288
115.4975,8.756975,25.91665,37.62485
115.781475,8.883075,26.131625,38.016375
116.48365,8.9056,26.158925,38.1003
116.53535,8.9456,26.288275,38.352125
116.598875,8.994975,26.5428,38.502125
116.621425,9.043675,26.609375,38.7789
116.995425,9.058075,26.756075,38.866025
117.0339,9.285475,26.757975,39.046825
117.715325,9.31515,26.856775,39.54725
117.772125,9.3482,26.969425,39.840925
117.7918,9.3621,27.17845,40.016375
118.1737,9.378675,27.2241,40.384925
118.866425,9.45985,27.36035,40.635
118.99525,9.5124,27.382125,40.6767
119.56885,9.550025,27.47085,40.8814
119.57395,9.602525,27.629875,40.916875
119.821325,9.621225,27.767175,40.93245
119.827875,9.63225,27.792275,40.94715
119.928,9.64965,28.227425,40.984925
119.949025,9.6732,28.246325,41.72685
119.96225,9.67965,28.27975,41.916975
119.979725,9.73085,28.325075,41.930075
120.024975,9.741175,28.351075,41.958925
120.0656,9.884075,28.39775,42.242025
120.259925,10.05215,28.45315,42.2763
120.491775,10.08725,28.585325,42.541375
120.75825,10.136825,28.694825,42.5508
120.831775,10.1469,28.961175,42.609925
121.13645,10.157675,29.00375,43.07775
121.1725,10.1709,29.1996,43.347175
121.29435,10.185225,29.361075,43.67165
121.4624,10.247925,29.381625,43.7
121.68155,10.320925,29.45225,44.190025
121.768075,10.34535,29.548525,44.555225
121.823075,10.358425,29.566675,44.582175
122.016425,10.38515,29.71925,44.963875
122.115025,10.504675,29.80475,46.772475
122.28655,10.653875,29.9677,46.800175
122.94185,10.786425,30.0689,47.050425
123.38585,10.895975,30.092325,47.47125
123.87625,10.92185,30.123975,47.91565
123.9309,10.93115,30.15145,48.1124
124.908325,10.936325,30.182725,48.18965
125.180975,10.9483,30.218,48.46385
125.19445,10.95895,30.413025,49.24635
126.169225,10.96935,30.4846,49.3933
126.259,11.27885,30.5016,49.467025
126.4979,11.4415,30.649125,49.494975
126.61855,11.547075,30.72095,49.54335
126.681475,11.6611,30.7857,49.714175
127.5882,11.796375,30.8483,49.72695
127.705,11.812175,30.875175,49.87125
127.887075,11.8488,30.973125,50.9997
128.23815,11.975025,31.022425,51.183575
128.894575,12.0044,31.03305,51.4243
129.2263,12.0347,31.139325,51.489225
129.919325,12.053175,31.219875,52.016375
130.861625,12.098175,31.23755,52.431625
130.924875,12.2412,31.266225,54.141275
131.242125,12.248725,31.284525,54.1484
131.317425,12.358075,31.32835,54.210625
133.120575,12.4219,31.474375,54.47585
133.4631,12.443075,31.583325,54.514325
133.5821,12.462425,31.619475,54.6189
133.7428,12.4954,31.791425,54.66675
134.119925,12.504125,31.86495,54.9523
134.124225,12.5219,31.87925,54.969675
134.2259,12.532825,31.906325,55.1103
134.417425,12.5461,31.965775,55.37435
134.6956,12.5714,32.00885,56.0456
135.0851,12.579275,32.02345,56.107425
135.17515,12.6066,32.034725,56.35145
135.1802,12.6271,32.07265,56.424475
135.261175,12.8554,32.095825,56.43985
135.268125,12.873025,32.164375,56.462025
135.487475,12.8888,32.22565,56.581225
135.575875,12.900425,32.245875,56.73705
136.00695,12.909725,32.314175,56.788375
136.0986,12.9185,32.327125,56.992975
137.0611,12.937325,32.41135,57.14925
137.21395,12.948175,32.43025,57.18805
137.339375,12.957175,32.4463,57.2238
137.47085,12.964725,32.476075,57.4847
138.3246,12.9672,32.49905,57.5923
139.07605,12.980425,32.522225,58.21725
139.76215,12.9877,32.5515,58.612175
141.093725,13.000375,32.59265,58.8305
141.2866,13.010775,32.760875,58.8462
141.3907,13.02255,32.7625,59.0515
141.823625,13.1081,32.770525,59.13525
142.0959,13.156225,32.7948,59.55295
142.562675,13.182275,32.87845,59.85685
143.76485,13.198425,32.94425,59.90765
143.83425,13.204,32.991175,60.187075
143.8915,13.2291,33.011575,60.387225
143.92525,13.24455,33.1676,60.402225
144.1712,13.249225,33.27345,60.73665
144.422575,13.26485,33.294025,60.789
144.465825,13.2685,33.359025,61.07535
144.9228,13.290125,33.4678,62.06275
145.255725,13.30045,33.497225,64.24025
145.45545,13.310075,33.6266,64.46775
145.57635,13.321325,33.67715,64.570725
145.58715,13.3237,33.87,64.5893
145.693425,13.3351,33.8822,64.717075
145.847725,13.425625,33.8945,64.8168
146.110175,13.4395,34.0411,66.01115
147.0726,13.467675,34.08205,66.199075
147.097625,13.48585,34.14195,66.6054
147.86675,13.512625,34.172425,66.756225
148.466475,13.5275,34.281025,66.77725
149.23125,13.54125,34.368025,67.002125
149.42535,13.548025,34.48085,67.02255
149.666725,13.556525,34.68805,67.07495
149.886075,13.575075,34.71755,67.1361
149.896225,13.58115,35.243925,67.5015
150.108275,13.59655,35.292175,67.57915
150.12395,13.60435,35.381225,67.60445
150.8969,13.6158,35.40175,67.8176
150.96285,13.632725,35.418025,67.881675
151.405975,13.639375,35.53265,68.1548
152.082175,13.649625,35.735725,68.2649
152.24025,13.673975,35.764325,68.29075
152.4415,13.804875,35.91735,68.583725
152.888575,13.895375,35.96315,68.598925
153.030825,13.91625,36.03595,68.744575
153.393,13.9258,36.289725,69.169775
153.399525,13.947375,36.335925,69.473
153.408825,13.9544,36.38055,69.94745
153.425575,13.97605,36.456675,70.3777
153.7113,13.99715,36.477175,70.782475
153.867675,14.012175,36.581825,71.1811
154.611425,14.017,36.638925,71.22085
155.2514,14.0322,36.79825,71.530825
155.559775,14.0503,36.8195,71.9326
155.6889,14.07655,36.911025,71.9733
156.78995,14.101575,36.94025,72.296975
157.1219,14.1188,37.0384,72.694225
157.519425,14.25315,37.061575,72.891
157.59895,14.267625,37.079525,73.267575
157.75255,14.308525,37.10595,73.415875
158.712425,14.329125,37.1251,73.786975
159.1178,14.340175,37.22555,74.1879
159.34765,14.368275,37.379575,74.688925
160.277475,14.3888,37.554675,74.743975
160.379225,14.409425,37.588725,74.93495
160.614175,14.57145,37.622075,74.969825
160.8377,14.5938,37.69175,75.340575
161.24055,14.618825,37.878475,76.823775
161.327525,14.6418,37.913625,77.06725
162.22375,14.669275,38.10095,77.07765
162.4766,14.6835,38.15415,77.56595
162.851175,14.721825,38.212925,77.670875
163.741125,14.83225,38.277075,78.124175
163.8705,14.871875,38.37615,78.451425
164.303225,14.8938,38.4015,78.8568
165.230925,14.912675,38.448175,79.098075
165.3455,14.9278,38.59305,79.2129
165.910275,14.9418,38.6536,79.296325
165.972725,14.95875,38.7125,79.3367
168.0149,14.9719,38.742275,79.494975
169.938425,14.998675,38.80055,79.5105
170.162475,15.009925,38.808975,79.6858
170.278925,15.020525,38.8906,79.758925
170.32085,15.1466,39.015425,79.89715
171.05275,15.161225,39.042175,79.970025
171.439675,15.201775,39.061,80.18825
171.601025,15.218725,39.2632,80.2489
172.3559,15.232775,39.284625,80.422775
173.506925,15.25995,39.349275,80.76775
173.840675,15.272575,39.450925,80.9429
173.843175,15.284275,39.46135,81.082175
174.374475,15.30175,39.50985,81.148475
174.9431,15.325025,39.54475,81.509575
174.950225,15.345325,39.566325,81.619275
175.037175,15.37645,39.670175,82.082075
175.64535,15.4032,39.715325,82.119125
176.43755,15.42025,39.763425,82.458175
176.531075,15.43585,39.938475,82.898725
176.9656,15.44185,39.96635,82.903525
177.587925,15.465325,40.0161,82.922875
177.9147,15.48935,40.066825,83.864275
178.727425,15.516475,40.092675,83.962
179.1478,15.531125,40.214675,84.2561
179.4674,15.61455,40.26405,84.39775
179.86485,15.6354,40.283125,84.948925
180.160025,15.67635,40.35195,84.977025
180.840575,15.70785,40.727575,85.2027
181.3669,15.723275,40.76785,85.235725
181.7928,15.7296,40.80115,85.291
182.088175,15.793825,40.8937,85.625825
182.572975,15.795625,40.9132,85.633925
183.805,15.9094,41.03105,85.6644
184.5903,15.9656,41.241475,86.199775
184.821225,15.9914,41.256625,86.21795
185.511925,16.0079,41.4294,86.680925
185.603875,16.031025,41.432375,86.784175
185.622125,16.044025,41.484975,86.8837
185.6616,16.06235,41.59135,87.078175
185.7421,16.08235,41.69895,87.106675
185.80195,16.111125,41.796475,87.11445
185.927325,16.142725,41.966125,87.1237
186.014875,16.1636,42.107325,87.635
186.11905,16.173275,42.160275,87.65385
187.411425,16.27845,42.176425,87.794
187.596725,16.3069,42.1841,87.92575
188.10415,16.331575,42.29775,88.146325
188.23395,16.3454,42.3525,88.68555
188.725525,16.361375,42.359175,89.149475
189.224875,16.370525,42.3844,89.193425
189.324875,16.381975,42.51025,89.204775
189.511075,16.404475,42.694375,89.325525
190.112075,16.4405,43.0249,89.402075
190.191175,16.46635,43.16335,89.431125
190.463175,16.4687,43.17795,89.794225
190.612275,16.5508,43.25335,89.862875
190.838,16.589875,43.402,91.4033
190.847975,16.63515,43.421225,91.5566
190.86825,16.688025,43.453625,91.602475
190.8972,16.7158,43.51215,92.148775
190.986,16.760025,43.53135,92.463275
191.8166,16.782475,43.557325,92.729875
191.877575,16.799325,43.5801,92.9292
192.009375,16.80475,43.584075,94.235075
192.205825,16.812325,43.7542,95.43495
192.2653,16.837925,43.775675,95.749825
192.4741,16.891425,44.00505,95.785525
192.504425,16.939875,44.0733,96.2307
192.562925,16.98085,44.128075,96.5274
193.040675,16.999225,44.4851,96.56405
194.1292,17.0121,44.645,96.5833
194.264125,17.050375,44.795475,96.597325
194.4441,17.087925,44.80145,96.9423
194.80915,17.102025,44.812575,97.3241
195.934825,17.13615,44.843025,97.8299
196.15575,17.150425,44.884725,97.8572
196.615825,17.2616,44.969825,98.20385
196.88125,17.2825,45.06785,98.22695
197.8867,17.30075,45.150075,98.727675
198.328875,17.3273,45.265675,98.762425
198.8559,17.343675,45.35105,99.48515
200.596525,17.37025,45.49185,100.512
200.695,17.456825,45.684475,100.8899
200.75605,17.476525,45.707475,100.9055
200.8548,17.49715,45.72035,101.186725
201.44545,17.507425,45.72355,101.36885
201.501775,17.526975,45.761175,101.54175
201.8692,17.5442,45.83455,101.569325
201.99095,17.5684,45.867675,102.03715
202.015725,17.577325,45.870225,102.503575
202.628275,17.587125,45.933825,102.529125
202.840425,17.615375,45.950925,102.576
203.106525,17.62945,46.20395,102.5827
203.2815,17.650525,46.293025,102.598275
203.5518,17.699425,46.33375,103.03315
203.8279,17.735075,46.3621,103.397225
203.9649,17.766775,46.36705,103.42415
204.117,17.800275,46.395625,104.311775
204.13345,17.80965,46.586575,104.32375
204.472225,17.821775,46.608525,104.4334
205.03675,17.83915,46.65565,104.74455
205.779075,17.8657,46.81765,104.78485
206.44515,17.875975,46.834425,104.83765
206.446625,17.8927,47.025975,106.821175
206.682825,17.910175,47.05825,106.86405
207.25545,17.93515,47.0748,108.30985
207.831075,17.955975,47.100975,109.1139
208.666225,17.98035,47.162225,109.2081
209.28285,18.0098,47.29535,110.20735
209.3799,18.0408,47.37125,110.35145
209.6083,18.068275,47.39195,110.366375
209.924825,18.095625,47.454375,110.58115
210.2331,18.107425,47.46835,110.898825
210.253825,18.12165,47.61485,111.0481
210.32475,18.136475,47.699575,111.107775
210.76825,18.17835,47.775425,111.27785
210.8516,18.1908,47.913675,111.3269
211.24345,18.210575,47.95855,111.371
211.3463,18.227525,48.031475,111.687575
211.51405,18.252625,48.1537,112.101575
211.607925,18.288525,48.354325,112.170325
211.642325,18.2989,48.433775,112.4519
211.815475,18.322625,48.5289,112.697975
211.926725,18.3399,48.545025,112.783
212.226625,18.372425,48.584925,112.87395
212.63845,18.4086,48.620125,112.906675
212.9334,18.432475,48.7517,112.924125
213.0074,18.455925,48.813325,113.186875
213.012825,18.470725,48.8329,113.21115
213.070625,18.494225,48.968025,113.272425
213.137375,18.52695,49.082825,113.6794
213.463025,18.543525,49.170575,113.783025
213.698875,18.57125,49.19295,113.88355
214.533425,18.607475,49.2215,113.938625
214.6415,18.63655,49.37895,114.186575
215.20385,18.659675,49.400025,114.2538
215.47655,18.696875,49.49815,114.55385
215.58375,18.73455,49.70715,114.6761
215.93185,18.77775,49.727575,114.686925
216.071425,18.84125,49.9664,114.81915
216.275125,18.899375,50.016775,115.12675
216.76345,18.937175,50.0355,115.410275
217.810525,18.95115,50.15255,115.5334
218.5248,18.9624,50.228425,115.69085
219.4924,18.9688,50.23415,115.73765
220.083325,19.002575,50.33955,115.7716
220.293,19.01285,50.634075,116.38055
220.3666,19.024575,50.755475,116.4772
220.5031,19.03955,50.851875,116.756875
220.575775,19.048475,50.8666,116.9464
220.7332,19.056125,51.115375,116.968875
220.8709,19.073925,51.15935,117.061075
221.0768,19.086675,51.183925,117.266825
221.252925,19.0963,51.25635,117.40255
221.275575,19.19775,51.283875,117.562025
221.298625,19.217,51.358625,117.58835
221.62025,19.313225,51.38155,117.667625
222.083475,19.326375,51.54445,117.70125
223.03455,19.3378,51.785775,117.70845
223.2734,19.36105,51.864475,118.058425
224.103275,19.38255,51.9222,118.449175
224.11535,19.3855,51.972375,118.638775
224.277275,19.399325,51.994325,118.7337
224.462075,19.41055,52.0091,119.07175
224.5947,19.42675,52.10735,119.281475
225.05225,19.434375,52.14485,119.409725
225.88015,19.450625,52.15555,119.709525
226.3461,19.46095,52.1872,119.7523
226.661,19.483475,52.43545,119.884
227.687425,19.498025,52.7972,120.27475
227.86565,19.5205,52.856175,120.280475
228.530275,19.531,53.04665,120.3368
228.914675,19.554525,53.076575,120.590375
228.968875,19.595525,53.142325,120.6159
229.087525,19.60355,53.426,121.34695
229.196725,19.75395,53.495375,121.4042
229.199275,19.78585,53.76325,121.725975
229.40925,19.81665,53.8579,121.737475
229.44385,19.8482,54.128275,121.770775
230.033225,19.882425,54.15935,122.04845
230.40045,19.8974,54.2281,122.614325
230.575375,19.91895,54.338275,123.311425
230.772475,19.932975,54.610775,123.37815
230.9324,20.0015,54.63585,124.0407
230.994525,20.037825,54.671725,124.106375
231.0073,20.322975,54.68585,124.365275
231.01105,20.38765,54.692675,124.62425
231.083325,20.623225,54.713075,124.680475
231.28945,20.6546,54.73615,124.965625
231.3649,20.675325,54.8253,125.015225
232.0244,20.69115,55.066575,125.369725
232.065275,20.72105,55.36895,125.81005
232.391875,20.7492,55.556475,125.853275
232.707075,20.768875,55.585725,126.25695
232.7512,20.80565,55.6099,126.38715
232.811975,20.8978,55.673225,126.887375
233.021,20.9279,55.82085,127.36895
234.412975,20.938275,55.8581,127.428675
234.574325,21.04505,55.96555,127.444925
234.680475,21.1147,56.0929,127.542675
234.777575,21.1346,56.2533,128.611525
234.9907,21.15045,56.31935,128.650525
235.004525,21.178575,56.37355,128.9279
235.10245,21.211025,56.4156,129.000125
235.4628,21.236525,56.685025,129.0901
235.7129,21.261675,56.779075,129.36325
235.89195,21.2852,56.861875,129.42305
236.22645,21.340625,56.9098,129.469975
236.62805,21.395825,56.9864,129.73955
236.696375,21.40245,57.176825,129.945225
236.704325,21.44725,57.303,130.541125
236.725175,21.4578,57.419575,130.8579
237.002275,21.516325,57.4886,131.176925
237.1467,21.554725,57.64985,131.2241
237.438875,21.582425,57.7954,131.41715
237.471225,21.6003,57.87655,131.4801
237.504725,21.623425,57.935875,131.8565
237.52495,21.638125,57.978075,131.875975
237.548675,21.647175,58.06275,132.03585
237.567025,21.6629,58.1688,132.1259
237.8913,21.6885,58.2166,132.193425
237.966775,21.702825,58.490925,132.761
238.04585,21.721675,58.57605,133.060725
238.504725,21.742075,58.61015,133.4351
238.815075,21.766775,58.814775,133.5216
238.92855,21.822475,58.838275,133.5823
239.103425,21.886725,58.915175,134.283275
239.5029,21.903125,58.9883,135.44555
239.733825,21.922275,59.047475,135.519925
239.9712,21.9546,59.13875,135.534975
240.40375,22.02955,59.228025,135.536
240.4409,22.056025,59.282175,135.5624
240.728175,22.06865,59.304125,135.59595
240.821625,22.0841,59.51195,135.6304
240.9076,22.093175,59.603025,136.05625
242.7746,22.1069,59.69045,136.22975
242.7797,22.125325,59.723975,136.26485
242.902925,22.136425,59.782925,136.9625
243.376975,22.145875,59.81585,137.89405
243.5973,22.16045,59.84135,138.252275
243.745275,22.17575,60.0675,138.559625
243.858425,22.1992,60.14665,138.795
244.3041,22.226225,60.3148,139.89745
244.454225,22.2429,60.346525,140.045675
244.768425,22.271625,60.434075,140.347975
244.9026,22.299175,60.513125,140.3946
245.130575,22.358,60.632375,140.736325
245.7056,22.422725,60.675625,142.167
246.00395,22.45025,60.769525,142.18085
246.119375,22.50395,60.866225,142.197725
247.031,22.506675,60.92285,142.302425
247.27565,22.527125,60.9472,142.4648
247.3296,22.538825,61.1605,142.475075
247.377775,22.557925,61.412075,142.817425
247.469175,22.576,61.56495,143.09535
247.52135,22.580225,61.59175,143.49035
247.641675,22.612175,61.596175,144.07855
248.569375,22.626025,61.633525,144.4352
249.12165,22.63055,61.71715,144.48045
249.42915,22.644075,61.915675,144.537525
250.3761,22.658,62.046675,144.69055
251.271,22.66355,62.38635,145.210625
251.331825,22.696425,62.40835,145.53875
251.739175,22.728525,62.42365,145.855575
251.788725,22.8169,62.460925,147.298975
252.4826,22.870475,62.57265,147.945525
252.53525,22.890875,62.58805,148.0477
252.65375,22.9008,62.6004,148.28505
254.491975,22.932025,62.61815,148.289525
254.5304,22.94105,62.672425,148.406825
254.614725,22.960725,62.7114,148.584625
254.872675,22.97285,62.730025,148.760525
254.9853,22.98815,62.859125,149.061925
255.2015,23.00445,62.94425,149.470175
255.47535,23.096425,62.9726,150.306975
256.1276,23.118325,63.093125,150.410775
256.223175,23.127975,63.1131,151.147225
256.3554,23.1388,63.11895,151.611075
256.4892,23.163375,63.1704,151.6527
257.0473,23.1849,63.3202,152.169275
257.052275,23.19425,63.3321,152.177125
257.191,23.209275,63.350825,153.276375
257.321225,23.22455,63.42985,153.337775
257.49325,23.244325,63.471125,153.469925
257.61385,23.28605,63.637,153.56865
257.814825,23.333925,63.829425,154.0474
258.303225,23.5023,63.928375,154.085375
258.454525,23.5301,64.06485,154.3277
258.74205,23.55535,64.090925,154.345075
259.12055,23.56755,64.2069,154.892475
259.59245,23.5885,64.228725,154.917
259.851275,23.616575,64.319875,157.0012
259.98775,23.634925,64.330375,157.0745
