SPK_SPKC01a (no effect),SPK_SPKC03a (no effect),SPK_SPKC12a (no effect),SPK_SPKC13a (no effect)
38.843325,7.387475,3.33085,29.044925
39.00505,7.4012,3.34695,29.16105
39.357975,7.42505,3.360375,29.275325
40.0011,7.4383,3.3894,30.001425
40.520575,7.5868,3.4113,30.1817
40.586225,7.613925,3.4266,30.2114
40.61965,7.644775,3.44755,30.8344
40.68915,7.676775,3.469975,31.405
41.1045,7.6828,3.491925,31.7089
41.1435,7.72135,3.52805,32.1804
41.2938,7.747625,3.56035,32.4779
41.405325,7.8215,3.606,32.726
41.8896,7.85005,3.636,33.018525
42.041475,7.8511,3.660325,33.083
42.329625,7.9052,3.681475,33.1094
42.68125,8.0447,3.7012,33.176775
42.69175,8.100825,3.71245,33.4001
42.72565,8.10565,3.775025,33.4719
42.91525,8.16485,3.79235,33.83995
43.083575,8.202275,3.80395,34.379525
43.5609,8.212225,3.81485,35.108525
43.57905,8.218325,3.83015,35.133525
45.390775,8.230575,3.84725,35.190075
45.400875,8.245825,3.878225,35.222475
46.152825,8.293625,3.89725,35.24515
46.30345,8.322125,3.92935,35.303475
46.37095,8.356025,3.958725,35.321975
46.420625,8.4674,3.99455,35.3465
47.07615,8.5443,4.025,35.4128
47.095725,8.592375,4.038525,35.4806
47.630675,8.60275,4.06085,35.572
47.706725,8.62435,4.072,36.16865
47.740825,8.679325,4.1386,36.18485
48.3896,8.70115,4.1605,36.247625
48.4114,8.71515,4.226575,36.32325
48.42205,8.74215,4.2782,36.369875
48.985475,8.76195,4.297125,36.458475
49.021725,8.7937,4.3345,36.489325
49.03655,8.82515,4.36975,36.58995
49.0454,8.84,4.385375,36.6552
49.054825,8.882425,4.40125,36.67885
49.0903,8.904025,4.418225,36.683775
49.09335,8.929575,4.434925,36.700925
49.126775,8.974625,4.452275,36.73705
49.532175,8.9893,4.469525,36.763475
50.799775,9.033125,4.497775,36.77835
50.942225,9.063675,4.50665,36.809275
51.079,9.135825,4.53235,36.881275
51.890575,9.17195,4.563625,36.939875
51.91505,9.315425,4.598075,37.260225
52.339,9.349475,4.6166,37.28845
52.384625,9.4109,4.6235,37.324425
52.4988,9.4172,4.6411,37.456625
52.7828,9.4635,4.6551,37.502
53.407525,9.561675,4.670825,37.5206
53.9958,9.5743,4.684425,37.5233
54.1417,9.608325,4.703425,37.6528
54.65425,9.617575,4.71425,37.857675
54.673625,9.736375,4.746125,38.105125
55.135025,9.78805,4.802325,38.5484
55.500025,9.811425,4.8115,38.985475
55.51505,9.83715,4.856725,39.39575
55.745175,9.8644,4.89425,39.40635
55.89935,9.9145,4.9434,39.439875
55.918175,10.167175,4.978675,39.580075
56.01195,10.223925,5.005925,39.585225
56.030925,10.2315,5.012925,39.60395
56.54245,10.23465,5.0416,40.282025
56.805375,10.2413,5.05575,40.514275
56.931525,10.2483,5.0845,41.05485
57.466425,10.249375,5.112375,41.2246
57.8077,10.271125,5.127925,41.8594
58.401375,10.339225,5.145975,41.8955
58.43565,10.349275,5.190225,42.12235
58.914775,10.438575,5.20305,42.535825
59.05065,10.491175,5.21385,43.16
59.48825,10.6166,5.2384,43.3805
60.18345,10.6846,5.264775,43.52665
60.260275,10.703125,5.280925,43.56085
60.6289,10.752875,5.286975,43.596075
60.6372,10.782475,5.29175,43.901225
60.679975,10.86085,5.3278,43.9207
60.695975,10.86895,5.334925,43.9353
60.72355,10.901575,5.344675,44.0922
61.0284,10.921225,5.362375,44.107375
61.3165,11.084775,5.41165,44.16405
61.396075,11.092725,5.4315,44.4381
61.4065,11.15105,5.433375,44.52085
61.425075,11.154325,5.44305,44.53025
61.6164,11.1829,5.47395,45.1329
61.6693,11.293925,5.490725,45.396575
61.92965,11.300775,5.551925,45.454725
62.038025,11.3084,5.5712,45.482575
62.1059,11.351425,5.58285,45.5047
62.2418,11.38715,5.58605,45.50745
62.3269,11.46395,5.60705,45.751525
62.44695,11.51765,5.61025,45.768625
62.47125,11.52695,5.648725,45.7871
62.54315,11.53255,5.674125,46.2863
62.560725,11.610175,5.697175,46.30785
62.582925,11.6623,5.753475,46.339175
62.6418,11.7316,5.78895,46.636475
62.667725,11.733025,5.82335,46.938575
62.727975,11.781225,5.8466,48.370425
62.737575,11.792475,5.871025,48.6877
63.287375,11.7946,5.8857,48.9739
63.365675,11.826925,5.901475,49.256525
63.414375,11.8522,5.91975,49.2895
63.834025,11.87665,5.93815,49.303875
64.2726,11.893575,5.96765,49.3547
65.4214,11.957275,6.010975,49.366775
65.444525,11.972075,6.0381,49.5745
65.587925,12.04515,6.059475,49.5827
65.933125,12.059,6.135325,49.6105
65.95285,12.094625,6.156025,49.63535
65.960725,12.155375,6.16835,50.036675
65.995025,12.227175,6.209225,50.43725
66.052575,12.24745,6.230625,50.751675
66.114575,12.281775,6.243275,50.8067
66.254725,12.3055,6.256175,50.879175
66.46455,12.3557,6.27185,50.95245
66.529775,12.44705,6.296,51.112675
66.56155,12.457025,6.329775,51.37525
66.578125,12.47535,6.474925,51.672575
66.87485,12.4929,6.503075,52.0185
67.69515,12.5569,6.538575,52.151575
68.33785,12.56205,6.569375,52.177275
68.361425,12.57885,6.580325,52.19755
68.6039,12.6453,6.583575,52.362475
68.924825,12.656575,6.5915,52.42175
69.081975,12.711575,6.59925,52.508475
69.095075,12.78615,6.611175,52.658175
69.434925,12.828825,6.61765,52.703975
69.77155,12.921875,6.63575,52.769875
69.806525,12.970975,6.667125,53.102275
70.24055,13.04645,6.68905,53.3547
70.2656,13.14135,6.721075,53.39415
70.27415,13.14535,6.750975,54.3746
70.334875,13.1653,6.80405,54.44945
71.166025,13.285325,6.8149,54.572775
71.255025,13.313475,6.82935,54.603375
72.032525,13.394075,6.839025,54.6136
72.044775,13.453125,6.85105,54.721625
72.071175,13.54555,6.872925,54.7238
73.03965,13.54965,6.88285,54.9551
73.181925,13.578675,6.89685,55.003425
73.24055,13.62665,6.907825,55.53625
73.247825,13.6513,6.9191,55.698675
73.3121,13.6625,7.00615,55.750625
73.33475,13.687475,7.02035,56.0302
73.728425,13.734425,7.077175,56.03975
