SPK_SPKC05a (late exc?),SPK_SPKC06a (inhi),SPK_SPKC07a (inhi),SPK_SPKC15b (inhi)
303.311475,302.14425,303.429925,304.1679
303.3149,302.1539,303.4698,304.176525
303.32945,302.162625,303.48365,304.19195
303.336575,302.1764,303.508475,304.272875
303.3521,302.184625,303.515325,304.287125
303.372825,302.1983,303.562175,304.294525
303.3869,302.221425,303.618275,304.310525
303.4757,302.2325,303.67915,304.341075
303.49905,302.25285,303.959275,304.3969
303.5277,302.277575,303.9791,304.43465
303.653925,302.30375,304.0827,304.4522
303.716525,302.3364,304.1111,304.5376
303.727875,302.36605,304.14415,304.568075
303.733625,302.389875,304.160875,304.5775
303.7446,302.40315,304.167875,304.60875
303.815925,302.410625,304.176525,304.6363
303.82125,302.440375,304.27285,304.65395
303.828375,302.450525,304.294525,304.66625
303.83115,302.4606,304.322225,304.7061
303.83695,302.4839,304.341075,304.7541
303.845175,302.497525,304.396875,304.77055
303.858125,302.5086,304.43465,304.8493
303.886125,302.5628,304.452175,304.860875
303.9227,302.571575,304.537625,304.867325
303.992575,302.58255,304.57745,304.88255
304.088875,302.60005,304.584725,304.958125
304.168625,302.6074,304.597275,304.987175
304.17375,302.639725,304.608725,305.04005
304.18095,302.652175,304.6363,305.060925
304.183575,302.6654,304.65395,305.075825
304.2033,302.6732,304.666225,305.09765
304.31505,302.681675,304.674675,305.105275
304.322975,302.6941,304.69085,305.119225
304.3542,302.7176,304.754075,305.155625
304.36775,302.73575,304.77055,305.18325
304.425375,302.7488,304.8493,305.199925
304.434825,302.773675,304.86085,305.232425
304.443275,302.7867,304.8673,305.239025
304.4557,302.7933,304.88255,305.2461
304.4662,302.80395,304.894175,305.275625
304.4761,302.817925,304.92245,305.28185
304.549375,302.82955,304.9581,305.333875
304.56065,302.851825,304.987175,305.3634
304.575475,302.867525,305.016675,305.379525
304.583375,302.880875,305.04005,305.4081
304.597875,302.891075,305.06095,305.46745
304.617975,302.901825,305.075825,305.4938
304.621875,302.911375,305.119225,305.5099
304.629225,302.943825,305.126225,305.536025
304.64555,302.956,305.155625,305.561225
304.648575,302.9708,305.18325,305.594425
304.6634,302.9788,305.199925,305.63725
304.764425,302.997225,305.2324,305.663825
304.768775,303.0087,305.239025,305.6787
304.77545,303.045275,305.2461,305.7308
304.7771,303.054075,305.266975,305.8429
304.78735,303.0648,305.275625,305.871925
304.792775,303.076325,305.31415,305.96895
304.8098,303.08745,305.333875,306.026575
304.8986,303.10135,305.363375,306.06365
304.90835,303.111875,305.379525,306.090525
304.9867,303.140175,305.408075,306.103
305.011725,303.1613,305.42285,306.1434
305.030925,303.1709,305.4674,306.199425
305.066525,303.178025,305.493775,306.2189
305.118775,303.19005,305.5099,306.242725
305.134225,303.21155,305.536025,306.32825
305.148325,303.221425,305.5612,306.36015
305.176425,303.23105,305.594425,306.376325
305.197025,303.2353,305.59595,306.3836
305.247025,303.242425,305.612525,306.425425
305.259525,303.2756,305.637225,306.4953
305.269675,303.288575,305.663825,306.514
305.2735,303.29965,305.6787,306.543625
305.281525,303.3403,305.7076,306.7168
305.2893,303.358475,305.730775,306.749525
305.2966,303.371375,305.8429,306.762375
305.303475,303.395525,305.856275,306.807575
305.432475,303.4639,305.871925,306.825475
305.45705,303.47815,306.026525,306.879925
305.49035,303.486225,306.063625,306.895525
305.564425,303.504525,306.102975,306.911425
305.6166,303.524525,306.143375,306.93155
305.632325,303.556575,306.1625,306.951375
305.636425,303.57295,306.199425,306.978725
305.64595,303.5848,306.218875,306.9932
305.6518,303.5936,306.2286,307.00785
305.6599,303.601025,306.242725,307.033725
305.670525,303.61205,306.2809,307.059525
305.6772,303.6194,306.328225,307.09065
305.8571,303.633175,306.36015,307.097775
305.862475,303.66805,306.376325,307.1168
305.87025,303.6817,306.383575,307.160925
305.9749,303.698175,306.39785,307.166375
305.98525,303.70705,306.425325,307.178025
305.991025,303.7145,306.44735,307.243925
306.109375,303.723525,306.4609,307.337825
306.1145,303.741475,306.495275,307.357075
306.2461,303.769625,306.527525,307.365475
306.263575,303.781575,306.543625,307.406575
306.281875,303.789925,306.565675,307.42165
306.388275,303.803175,306.572175,307.438475
306.40375,303.81195,306.590075,307.5116
306.5772,303.823075,306.604275,307.5553
306.5921,303.831875,306.6246,307.659975
306.6866,303.839975,306.64605,307.67875
306.72345,303.8494,306.7168,307.69145
306.749375,303.882175,306.72995,307.81125
306.755975,303.912375,306.7455,307.83855
306.76895,303.918075,306.74955,307.852825
306.77615,303.93495,306.762375,307.9016
306.789825,303.9518,306.779625,307.917725
306.852475,303.969075,306.80755,307.931425
306.858725,303.977125,306.825475,308.003775
306.90175,303.9854,306.84115,308.0833
307.063725,303.9921,306.857475,308.098575
307.12705,304.0358,306.8799,308.1475
307.151675,304.060125,306.8955,308.169425
307.1896,304.0787,306.911425,308.2373
307.19995,304.11835,306.93155,308.24845
307.3276,304.1287,306.978725,308.263275
307.50835,304.135725,307.033725,308.36855
307.51545,304.154175,307.08205,308.453525
307.520925,304.171325,307.10885,308.478825
307.527025,304.17875,307.160925,308.491525
307.5346,304.195625,307.178025,308.501925
307.5413,304.21365,307.20625,308.511975
307.547,304.223025,307.22475,308.529825
307.552075,304.2383,307.237225,308.567475
307.561375,304.245525,307.27355,308.585475
307.5691,304.26965,307.3378,308.6136
307.580225,304.2804,307.35705,308.627575
307.58785,304.30525,307.385375,308.639775
307.611725,304.314225,307.448325,308.68645
307.68905,304.3615,307.5116,308.712375
307.691775,304.36805,307.555275,308.71955
307.697725,304.385075,307.586875,308.739175
307.6999,304.39105,307.6125,308.778425
307.70645,304.401075,307.659975,308.7986
307.7116,304.40925,307.67875,308.836175
307.71585,304.421,307.69145,308.8483
307.71935,304.439775,307.7012,308.861825
307.722025,304.488575,307.7167,308.939575
307.725325,304.503475,307.72395,308.951275
307.74795,304.512725,307.81125,309.01685
307.895325,304.536975,307.83855,309.025725
307.961475,304.5528,307.901575,309.03425
307.9874,304.568425,307.931425,309.125025
307.999325,304.57975,307.962425,309.141875
308.0065,304.587,308.0833,309.158075
308.0096,304.602525,308.131725,309.201825
308.069775,304.6117,308.147475,309.243675
308.09035,304.6202,308.1694,309.28055
308.10035,304.626725,308.212375,309.29695
308.11625,304.6425,308.221875,309.309
308.122475,304.6694,308.237325,309.342875
308.13035,304.6932,308.2484,309.3593
308.1355,304.701825,308.263275,309.3994
308.23015,304.715125,308.3018,309.418825
308.249675,304.72335,308.347025,309.45505
308.26195,304.731275,308.36855,309.468375
308.351925,304.74435,308.453525,309.502625
308.377825,304.753925,308.478825,309.56535
308.38245,304.791625,308.491525,309.584475
308.38595,304.811325,308.501925,309.599375
308.39,304.818325,308.517775,309.671325
308.402025,304.830575,308.529825,309.6876
308.404275,304.84765,308.54305,309.7063
308.408175,304.86595,308.567475,309.72255
308.421475,304.877675,308.58545,309.740825
308.4985,304.886825,308.613575,309.7645
308.5183,304.908,308.62755,309.786225
308.5306,304.9145,308.649475,309.807775
308.55995,304.9248,308.66575,309.842675
308.574375,304.9365,308.686425,309.870275
308.620025,304.96475,308.712375,309.89775
308.630125,304.9723,308.719525,309.95455
308.6345,304.98695,308.7392,310.01605
308.64395,304.9964,308.757125,310.031175
308.71875,305.040225,308.778425,310.0559
308.7276,305.052575,308.7986,310.061575
308.740525,305.07325,308.83615,310.1116
309.067325,305.0927,308.848275,310.1318
309.162075,305.107,308.8618,310.1496
309.19955,305.12405,308.89455,310.163125
309.525975,305.131325,308.918875,310.1904
309.829725,305.150425,308.939575,310.2213
310.0614,305.180075,308.95125,310.30165
310.1169,305.20775,308.9787,310.34285
310.220925,305.220325,308.996525,310.367175
310.2374,305.2395,309.016825,310.3789
310.2514,305.26625,309.03425,310.395425
310.30785,305.271925,309.044475,310.404325
310.3408,305.279175,309.054175,310.4225
310.367475,305.308225,309.06145,310.452025
310.459075,305.319375,309.06665,310.47615
310.584,305.34035,309.08385,310.498025
310.590325,305.357,309.103925,310.5249
310.597425,305.3701,309.125,310.55525
310.616325,305.3935,309.14185,310.5939
310.622175,305.4025,309.1581,310.622875
310.662,305.411875,309.17365,310.635125
310.68085,305.430025,309.217375,310.655575
310.709825,305.446425,309.23225,310.6758
310.764425,305.457775,309.243625,310.6905
310.777875,305.4693,309.250875,310.71005
310.822175,305.4859,309.280525,310.74175
310.83525,305.5043,309.296925,310.76185
310.852275,305.513825,309.309,310.802925
310.870075,305.526525,309.342875,310.81255
310.91085,305.5373,309.3815,310.830275
310.9265,305.54775,309.3994,310.856175
310.934925,305.561725,309.4188,310.899125
310.97925,305.56925,309.4407,310.955475
311.10565,305.5794,309.455025,310.995675
311.162975,305.605425,309.468375,311.012025
311.18155,305.616875,309.479275,311.073575
311.1928,305.626875,309.502625,311.0942
311.253275,305.638725,309.52235,311.14855
311.2764,305.650575,309.542775,311.1823
311.313325,305.6603,309.565325,311.290725
311.33305,305.6635,309.584475,311.307275
311.3812,305.669225,309.59935,311.352075
311.3997,305.6877,309.6713,311.367075
311.437875,305.696975,309.687575,311.381325
311.448675,305.73435,309.706275,311.403875
311.46785,305.7429,309.750725,311.410325
311.4732,305.761375,309.7645,311.43015
311.48915,305.77225,309.786225,311.451875
311.493825,305.7898,309.80775,311.471775
311.508025,305.833775,309.8225,311.534975
311.525575,305.86265,309.8427,311.5472
311.556675,305.880225,309.855975,311.58335
311.581075,305.892975,309.87025,311.703075
311.6794,305.912525,309.884675,311.71675
311.688575,305.92005,309.89775,311.7375
311.7236,305.930775,309.990075,311.7634
311.731625,305.955825,310.000325,311.867775
311.73795,305.9642,310.01605,311.9131
311.762575,305.97985,310.031175,311.93515
311.766675,305.9892,310.04155,311.95495
311.779675,306.000425,310.055875,311.99795
311.78475,306.01035,310.06155,312.02245
311.79135,306.021875,310.068525,312.0475
311.797325,306.034125,310.0773,312.080075
311.805075,306.053725,310.1116,312.112
311.81965,306.0712,310.119975,312.1326
311.837025,306.10445,310.1318,312.1526
311.877325,306.1263,310.140675,312.1801
311.9125,306.146075,310.1496,312.263425
311.97465,306.1565,310.163125,312.278325
312.0191,306.165,310.180825,312.321475
312.027125,306.173675,310.1904,312.36955
312.0507,306.181975,310.2213,312.39325
312.1342,306.199125,310.24785,312.408625
312.1585,306.214825,310.263,312.4409
312.1662,306.27025,310.291975,312.56735
312.172725,306.283175,310.30165,312.579325
312.175275,306.3015,310.3186,312.599375
312.2058,306.31335,310.330475,312.62815
312.273775,306.3357,310.34285,312.6485
312.2832,306.347325,310.36715,312.660025
312.292675,306.373175,310.3789,312.705375
312.29715,306.384675,310.3954,312.735425
312.31595,306.404375,310.404325,312.747825
312.32545,306.413625,310.414325,312.784975
312.349925,306.427225,310.4302,312.802675
312.38355,306.436275,310.432525,312.8237
312.4083,306.45585,310.437775,312.882525
312.4294,306.477675,310.452,312.908225
312.520875,306.4872,310.47615,312.939225
312.55025,306.5089,310.498025,312.96545
312.576575,306.522325,310.524875,313.049525
312.660275,306.531025,310.55525,313.064375
312.69365,306.540725,310.5939,313.080175
312.7299,306.555475,310.601975,313.146825
312.7605,306.57625,310.622875,313.1671
313.015175,306.588375,310.65555,313.18595
313.123475,306.6117,310.666525,313.2067
313.14345,306.6399,310.675775,313.22395
313.188175,306.651175,310.701725,313.23555
313.368375,306.682025,310.72345,313.324625
313.397975,306.6948,310.76185,313.4
313.422075,306.704125,310.802925,313.4484
313.4286,306.755675,310.81255,313.466875
313.455175,306.77645,310.821375,313.49075
313.4617,306.7877,310.830275,313.515925
313.474025,306.8022,310.83975,313.535175
313.5942,306.844425,310.85615,313.54995
313.6253,306.85775,310.863675,313.561925
313.6477,306.87165,310.88395,313.574075
313.65925,306.89225,310.9158,313.619125
313.673975,306.9054,310.937525,313.6345
313.6815,306.919725,310.95545,313.6801
313.82625,306.94235,310.964225,313.732775
313.83595,306.9603,310.9869,313.817325
313.8436,306.972375,311.00355,313.827325
313.84555,306.984275,311.012,313.838425
313.848475,306.997275,311.0302,313.85755
313.855825,307.006375,311.04925,313.958975
313.862625,307.019975,311.094175,313.9868
313.875625,307.032875,311.1222,314.0142
313.8917,307.044525,311.14855,314.030625
313.949425,307.060325,311.17365,314.0779
313.955025,307.077475,311.1823,314.10235
313.959575,307.087175,311.2019,314.157925
313.964425,307.09755,311.211975,314.16615
313.970375,307.110575,311.22565,314.2715
313.975125,307.14995,311.235125,314.294825
313.98095,307.177775,311.244175,314.3273
313.983625,307.1918,311.2676,314.3419
313.988,307.204225,311.28125,314.38525
314.007975,307.22025,311.290725,314.400875
314.019725,307.23785,311.307275,314.413175
314.034375,307.248925,311.33445,314.4322
314.040725,307.261425,311.352075,314.454675
314.04615,307.29105,311.36705,314.489775
314.048725,307.306275,311.381325,314.50345
314.07155,307.317575,311.40385,314.53375
314.076575,307.32385,311.410325,314.5495
314.08085,307.336375,311.43015,314.57145
314.091075,307.352125,311.45185,314.6057
314.100825,307.3741,311.4619,314.626525
314.1243,307.4124,311.47175,314.6399
314.127575,307.419575,311.475925,314.670875
314.139225,307.44155,311.535,314.694825
314.1624,307.452575,311.547175,314.714425
314.179325,307.46405,311.58335,314.736925
314.1915,307.487675,311.616825,314.75465
314.19655,307.493825,311.703075,314.763125
314.206375,307.517675,311.71385,314.7684
314.22475,307.5211,311.716725,314.792
314.265325,307.5291,311.7375,314.823
314.27715,307.53795,311.7883,314.880725
314.302275,307.567675,311.80875,314.900975
314.319625,307.576575,311.81805,314.9314
314.323725,307.5892,311.832025,314.952675
314.333775,307.60525,311.848675,314.961675
314.3453,307.6141,311.867775,315.03545
314.4003,307.626125,311.88525,315.057375
314.4195,307.6351,311.9131,315.08595
314.492675,307.66615,311.935125,315.127825
314.4995,307.678275,312.0475,315.16195
314.5108,307.6892,312.080075,315.1717
314.536,307.701375,312.111975,315.205125
314.6899,307.717325,312.1526,315.2221
314.705225,307.748125,312.180075,315.245125
314.714225,307.7614,312.253925,315.281075
314.729725,307.76855,312.26215,315.2972
314.748475,307.788225,312.263425,315.313475
314.770225,307.798775,312.2783,315.37495
314.78595,307.813325,312.28665,315.41655
314.791025,307.8216,312.309825,315.43095
314.813275,307.830575,312.321475,315.4498
314.822875,307.83945,312.369525,315.4657
314.89045,307.849475,312.393225,315.4821
314.944175,307.888775,312.408625,315.529175
315.089475,307.900725,312.4409,315.53935
315.0928,307.91355,312.56735,315.5448
315.09815,307.95455,312.579325,315.55555
315.112775,307.96825,312.62815,315.573525
315.11575,307.986975,312.6485,315.617375
315.123225,308.001125,312.660025,315.681125
315.13475,308.00755,312.669025,315.70885
315.155025,308.0303,312.685775,315.7391
315.17065,308.057025,312.7054,315.821025
315.1798,308.062675,312.735425,315.85375
315.188225,308.072175,312.80265,315.8791
315.21215,308.08605,312.8237,315.9125
315.2204,308.09505,312.85165,315.9457
315.2425,308.102925,312.9082,315.97775
315.267425,308.114675,312.9392,316.0084
315.27025,308.1252,312.96545,316.045475
315.284,308.171175,312.983375,316.063725
315.288125,308.18185,313.049525,316.09445
315.299725,308.212175,313.06435,316.123375
315.32855,308.231675,313.08015,316.13825
315.333175,308.23935,313.09135,316.157575
315.33955,308.2642,313.103925,316.1844
315.357975,308.2731,313.1468,316.2104
315.370125,308.28865,313.167075,316.2312
315.39475,308.32125,313.18595,316.254925
315.406,308.3508,313.20665,316.433125
315.41615,308.390225,313.223925,316.48295
315.4232,308.4077,313.22865,316.5261
315.4261,308.420925,313.235525,316.545025
315.430475,308.437225,313.275925,316.57205
315.433275,308.451175,313.324625,316.645625
315.439975,308.46455,313.4,316.6795
315.44225,308.48935,313.4484,316.6979
315.448725,308.508625,313.46685,316.717475
315.45705,308.537825,313.490725,316.82705
315.470475,308.58005,313.515925,316.854725
315.501225,308.60165,313.535175,316.90125
315.525175,308.6148,313.549925,316.992375
315.527725,308.62825,313.5619,317.01515
315.531675,308.6422,313.574075,317.04035
315.54165,308.65175,313.588075,317.056875
315.549325,308.682625,313.6,317.078825
315.5579,308.693075,313.634475,317.123475
315.5608,308.720225,313.6801,317.146825
315.5684,308.73395,313.732775,317.210925
315.57885,308.75505,313.7589,317.254775
315.581925,308.77235,313.827325,317.2733
315.58575,308.785475,313.8384,317.300375
315.592725,308.8059,313.857525,317.3298
315.598825,308.8179,313.9081,317.4479
315.60475,308.83135,313.973775,317.46725
315.608725,308.843025,313.986775,317.504875
315.61375,308.852325,314.00025,317.5345
315.61715,308.86675,314.0142,317.606775
315.621725,308.90085,314.0306,317.6306
315.62655,308.92235,314.0466,317.6596
315.63345,308.930525,314.077875,317.7247
315.6403,308.94465,314.09525,317.7503
315.64675,308.95485,314.102325,317.7707
315.65155,308.9777,314.12365,317.807025
315.6991,308.996275,314.13855,317.836
315.775175,309.005775,314.157925,317.88415
315.802875,309.0263,314.16615,317.905425
315.813675,309.04555,314.18075,317.92325
315.829125,309.06035,314.245925,317.94055
315.847125,309.08,314.27145,317.9466
315.855775,309.1026,314.283275,317.9659
315.887075,309.12025,314.2948,317.981275
315.9561,309.130325,314.3131,318.002
315.966375,309.15405,314.327275,318.02465
315.98585,309.1681,314.341875,318.054575
315.993475,309.17925,314.355325,318.100975
316.006675,309.191225,314.38525,318.1247
316.013325,309.20905,314.40085,318.152725
316.0396,309.226175,314.41315,318.17285
316.04925,309.254125,314.4322,318.21
316.0927,309.275475,314.489775,318.231275
316.12375,309.28265,314.503425,318.253075
316.13555,309.290025,314.522875,318.2739
316.4076,309.3181,314.53375,318.299475
316.428225,309.331875,314.6057,318.318675
316.4699,309.3411,314.626475,318.33725
316.474475,309.3636,314.63985,318.3534
316.489075,309.3738,314.653625,318.366225
316.537575,309.39065,314.670875,318.3764
316.54655,309.413325,314.6948,318.388
316.555975,309.428325,314.714425,318.3934
316.56835,309.4451,314.75465,318.442275
316.58885,309.471825,314.763125,318.46615
316.606325,309.489325,314.768375,318.507525
316.613925,309.504275,314.78,318.530725
316.632975,309.5201,314.822975,318.589625
316.705275,309.530125,314.834425,318.609175
316.755075,309.551325,314.880725,318.618175
316.862125,309.567475,314.90095,318.6312
316.886825,309.6515,314.931375,318.641625
316.8937,309.666725,314.952675,318.673125
316.899675,309.689675,314.961675,318.71
316.912625,309.715625,315.03545,318.7289
316.916275,309.73465,315.057375,318.74525
316.92325,309.741925,315.085925,318.7809
316.92935,309.756375,315.0953,318.814975
316.932275,309.776975,315.127825,318.84155
316.943775,309.78685,315.142625,318.893125
316.947675,309.820325,315.16195,318.9184
316.974925,309.82845,315.183575,318.970275
317.042275,309.8674,315.2221,318.998025
317.065275,309.874,315.2451,319.016925
317.083275,309.887925,315.2644,319.053475
317.104525,309.8958,315.28105,319.0731
317.189325,309.906725,315.2972,319.1016
317.210225,309.9275,315.329625,319.133
317.3522,309.9364,315.37495,319.18975
317.469075,309.94965,315.41655,319.22655
317.4879,309.960675,315.4227,319.297575
317.501675,309.963275,315.43095,319.324575
317.55615,309.976925,315.4402,319.350325
317.66125,309.990425,315.4498,319.379975
317.682525,310.00945,315.465675,319.398925
317.7571,310.0203,315.4821,319.427225
317.765275,310.0314,315.50525,319.453375
317.775025,310.043675,315.5209,319.4651
317.825075,310.06325,315.55555,319.484875
317.849575,310.069475,315.580425,319.56255
317.858025,310.077975,315.590375,319.639225
317.87315,310.087575,315.600225,319.664075
317.87885,310.093475,315.65615,319.68175
317.897075,310.104475,315.681125,319.763775
317.915325,310.11395,315.70885,319.781575
317.921175,310.12215,315.7391,319.8577
317.9309,310.1329,315.7631,319.87945
317.942425,310.144825,315.821025,319.895275
317.95405,310.154375,315.85375,319.92755
317.965575,310.1759,315.930325,319.955175
317.96835,310.186375,315.945675,319.9838
317.9843,310.196775,315.97775,319.99935
317.994175,310.247225,315.993525,320.042125
318.005375,310.274325,316.0084,320.054375
318.009775,310.284,316.024575,320.097425
318.0208,310.299725,316.04545,320.1193
318.0317,310.311375,316.063725,320.147025
318.065175,310.336975,316.09445,320.166625
318.12275,310.345625,316.123375,320.185475
318.13975,310.3564,316.138225,320.20285
318.145225,310.369425,316.1844,320.2268
318.154925,310.382825,316.2104,320.243025
318.163175,310.38815,316.231225,320.2612
