SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11b
125.044725,110.511075,101.604425,106.3375,103.978925
125.682825,110.93125,101.628625,106.348025,104.009675
126.064975,110.953375,101.645575,106.36015,104.243275
126.272125,111.03065,101.655475,106.37815,104.276725
126.41255,111.0521,101.66275,106.38765,104.28935
126.46585,111.066075,101.67305,106.595025,104.305925
126.973375,111.181925,101.6823,106.624325,104.31545
127.182575,111.2125,101.68955,106.64005,104.3272
127.29095,111.810025,101.696275,106.650575,104.341225
127.45685,111.836725,101.705425,106.65615,104.384125
127.548775,111.9098,101.712325,106.675075,104.407175
127.55925,111.92735,101.7203,106.693425,104.421025
127.6625,111.945775,101.727325,106.702875,104.4441
127.9879,111.9585,101.7434,106.711275,104.45595
128.045175,111.962675,101.7743,106.720375,104.50145
128.157525,111.9744,101.780425,106.73035,104.519975
128.19455,111.97955,101.799625,106.73955,104.583975
128.259225,112.003575,101.808075,106.764325,104.62015
128.56345,112.035525,101.820775,106.788275,104.637025
128.60515,112.359975,101.835825,106.795975,104.653625
129.030225,112.379,101.862575,106.8146,104.768175
129.0982,112.396775,101.87695,106.8283,104.96195
129.224275,112.43305,101.891025,106.8385,104.9796
129.740275,112.450325,101.906075,106.851725,104.991725
129.818275,112.46495,101.921725,106.871325,105.00085
129.84955,112.490075,101.938125,106.884125,105.01475
129.89265,112.500825,101.9541,106.905975,105.0212
130.340225,112.549575,101.96845,107.276,105.03475
130.47625,112.570025,101.984225,107.283075,105.05775
130.791725,112.60355,102.007175,107.293175,105.266775
130.9352,112.9926,102.024175,107.303725,105.3244
131.0781,113.00415,102.04655,107.3135,105.39225
131.111375,113.01155,102.096625,107.334925,105.399675
131.141125,113.016225,102.129275,107.34395,105.404325
131.209075,113.0322,102.150075,107.359275,105.409775
132.135975,113.08255,102.16505,107.3611,105.46005
132.73125,113.204675,102.17915,107.376225,105.4713
132.88155,113.664325,102.1898,107.38435,105.53995
133.03195,113.66905,102.199875,107.3953,105.57725
133.528,113.67825,102.20985,107.405675,105.593425
133.719425,113.688425,102.2195,107.417325,105.64955
133.7704,113.692425,102.2288,107.4258,105.78595
133.9309,113.702125,102.247525,107.437125,105.8048
134.186375,113.70965,102.257875,107.4567,105.814725
134.56925,113.820625,102.26795,107.469425,105.823725
134.818025,113.88915,102.276975,107.712775,105.831325
135.221625,114.18055,102.2988,107.751625,105.83405
135.31005,114.2098,102.30795,107.768675,105.8409
135.668225,114.2309,102.321575,107.789,105.879475
135.996475,114.246375,102.335975,107.809275,105.915975
136.380025,114.26125,102.350875,107.823425,105.9784
136.41315,114.272975,102.361625,107.846675,106.0897
136.8344,114.406075,102.386075,108.197875,106.128325
136.875625,115.12815,102.39995,108.204575,106.1779
137.786125,115.142,102.425575,108.21915,106.184525
137.879725,115.1488,102.439975,108.228425,106.1916
137.94325,115.16255,102.4508,108.26715,106.2078
138.18315,115.17855,102.464775,108.286075,106.21475
138.35045,115.39795,102.4811,108.707175,106.2307
138.38715,115.803625,102.492325,108.7294,106.244125
138.7558,115.8167,102.53455,108.7386,106.2769
139.0396,115.835,102.550525,108.758725,106.293
139.159675,115.8689,102.5669,108.9242,106.3069
139.963075,116.677275,102.5876,109.030975,106.3166
140.272675,117.06495,102.61285,109.326875,106.5692
140.944925,117.07895,102.638225,109.349725,106.581325
140.9896,117.0893,102.65335,109.374675,106.587075
141.0922,117.19635,102.670875,109.55645,106.60515
141.5437,118.01695,102.68195,109.612675,106.615725
142.241925,118.055325,102.69245,110.080125,106.63195
142.625175,118.097875,102.71385,110.822,106.664225
142.7352,118.204075,102.72505,110.83375,106.683225
143.240375,118.432925,102.74075,110.8506,106.752025
143.7098,118.65285,102.755375,110.8744,106.778375
143.823475,118.699325,102.77995,110.9836,106.998525
143.87,118.724125,102.78695,110.99945,107.2353
143.94125,119.291225,102.79755,111.221125,107.255125
144.239125,119.362525,102.80425,111.229225,107.265075
144.261875,119.374125,102.812275,111.255275,107.324725
144.41365,119.39335,102.822975,111.3493,107.353125
144.450425,119.405375,102.83495,111.717475,107.368725
144.934075,119.435975,102.8452,111.85855,107.44395
145.23635,119.861475,102.8553,111.909375,107.496525
145.311975,119.8625,102.8757,111.9388,107.590675
145.69345,119.8808,102.887425,112.3449,107.6018
146.048075,119.89785,102.897725,112.4943,107.61655
146.21495,119.904775,102.91185,112.54125,107.643275
147.01125,119.922075,102.925525,112.5477,107.68915
147.324775,119.944575,102.941825,112.56115,107.698675
147.68295,119.994475,102.962575,112.5853,107.7423
147.744825,119.999275,102.972175,112.59785,107.778275
147.770975,120.01145,102.982875,112.95355,107.92885
147.79875,120.03635,103.01175,112.989,108.1255
148.2143,120.152225,103.02145,112.994625,108.14045
148.684675,120.15915,103.0382,113.00665,108.149375
148.8425,120.640075,103.068,113.01385,108.157625
149.172325,120.905025,103.0917,113.019925,108.16615
149.19225,120.958275,103.110025,113.025725,108.188375
149.246875,121.368925,103.12575,113.0323,108.244525
149.3726,121.376925,103.14065,113.040275,108.30825
149.572275,121.383775,103.164475,113.056675,108.351725
149.993425,121.388325,103.1853,113.06745,108.466025
150.4183,121.41015,103.20055,113.086025,108.65755
150.451025,121.42425,103.216675,113.107375,108.663075
150.914,121.429875,103.248775,113.133375,108.672925
151.002225,121.4464,103.2577,113.142975,108.676625
151.190575,121.4616,103.267325,113.152625,108.6836
151.45605,121.482425,103.2799,113.514125,108.691
151.4907,121.81515,103.2884,113.520175,108.698275
151.986,121.823625,103.295925,113.533375,108.714825
152.726875,121.83755,103.30375,113.55705,108.748275
152.8177,121.843175,103.326725,113.57155,108.77805
152.973725,121.8767,103.338775,113.576975,108.797425
153.0444,121.91595,103.351375,113.593025,108.821575
153.091125,121.933975,103.363075,113.61725,108.839775
153.153475,122.3664,103.37625,113.631975,108.8744
153.326575,122.3771,103.39085,113.642925,108.966175
153.384925,122.3816,103.407425,113.66325,108.984225
153.410875,122.38635,103.422475,113.68605,109.008625
153.597125,122.395825,103.437675,113.89665,109.095775
153.653925,122.422075,103.459275,113.90445,109.291125
153.90585,122.437925,103.476925,113.92605,109.297625
154.006725,122.467975,103.49795,113.948175,109.3027
154.200125,122.501875,103.516525,113.976775,109.3101
154.247725,122.802775,103.53835,113.997975,109.318475
154.4509,122.810925,103.564025,114.028775,109.337425
154.56935,122.826775,103.58365,114.295725,109.36085
154.5973,122.84555,103.591675,114.305975,109.40235
154.6296,122.849325,103.598375,114.31205,109.41755
154.82865,122.884275,103.60775,114.329375,109.447575
154.887725,122.906125,103.613425,114.33745,109.509725
154.912725,123.1999,103.6192,114.349325,109.532175
154.9952,123.220525,103.63245,114.36325,109.7845
155.149475,123.2302,103.6629,114.38565,109.81045
155.35645,123.241425,103.6695,114.398575,109.8242
155.40505,123.76325,103.680725,114.4131,109.837875
155.598575,123.777075,103.691375,114.432,109.848925
155.70665,123.824,103.71605,114.4422,109.8553
155.8737,124.4864,103.740025,114.4638,109.8727
155.894975,124.4962,103.75255,114.489825,109.886275
156.41485,124.508625,103.76315,114.5134,109.8977
156.559475,124.5188,103.831025,115.003625,109.9067
156.854975,124.54835,103.854225,115.018475,109.913975
156.997575,124.5795,103.90455,115.04145,109.92155
157.233125,125.126775,103.9162,115.13475,109.93535
157.3228,125.14765,103.926575,115.146475,109.945075
