SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b
3.36975,3.38255,3.137525,3.91395
3.387325,3.410025,3.162,3.9365
3.408275,3.460475,3.185275,4.02095
3.425275,3.4815,3.222075,4.197225
3.4597,3.492475,3.262575,4.20495
3.47605,3.531825,3.2883,4.2117
3.5071,3.543625,3.31085,4.218025
3.523075,3.571875,3.31725,4.25415
3.539975,3.585675,3.325175,4.290475
3.55375,3.5971,3.326325,4.33225
3.576575,3.612675,3.3347,4.354425
3.594425,3.6232,3.345,4.426
3.6175,3.632975,3.356625,4.67405
3.63525,3.6463,3.37545,4.693675
3.66725,3.658525,3.391975,4.7065
3.6884,3.67215,3.408525,4.714875
3.703275,3.68515,3.4196,4.723925
3.726825,3.709675,3.42755,4.7393
3.741325,3.724375,3.463025,5.07345
3.758725,3.792775,3.471625,5.0915
3.770075,3.9138,3.488275,5.10325
3.782375,3.924875,3.50835,5.11095
3.8038,3.9372,3.53775,5.119425
3.826175,3.94705,3.560175,5.133325
3.84035,3.958925,3.574525,5.151125
3.85555,4.017475,3.5912,5.195625
3.878925,4.03055,3.60775,5.2467
3.8967,4.0406,3.65105,5.650475
3.919375,4.05475,3.6707,5.668
3.942525,4.067175,3.6914,5.67585
3.961725,4.07915,3.71635,5.702275
3.98005,4.087775,3.739275,5.7224
3.9986,4.099575,3.77065,5.742975
4.03035,4.112475,3.792775,5.75975
4.05065,4.139525,3.81765,5.782225
4.079,4.15105,3.85205,5.983425
4.1025,4.1647,3.89955,6.00805
4.1219,4.1858,3.921625,6.041175
4.156,4.2205,3.9334,6.062675
4.177325,4.228325,3.956075,6.076875
4.1927,4.3017,3.974575,6.08815
4.204525,4.335275,3.98985,6.09925
4.2143,4.364175,4.011775,6.1083
4.26415,4.3918,4.031575,6.144575
4.2814,4.40295,4.038775,6.16375
4.300825,4.414275,4.056775,6.17885
4.327575,4.428725,4.06915,6.209375
4.348125,4.439325,4.10525,6.233025
4.365975,4.448175,4.137475,6.343125
4.38735,4.4608,4.16945,6.55745
4.41,4.4829,4.177675,6.571125
4.4363,4.50575,4.215675,6.579525
4.457825,4.51445,4.225025,6.63415
4.476075,4.525,4.241125,6.6686
4.50475,4.534625,4.24695,7.001175
4.522775,4.5603,4.263175,7.01235
4.542025,4.57115,4.2713,7.027325
4.557475,4.582575,4.282325,7.057075
4.5822,4.5959,4.293225,7.1486
4.600825,4.6092,4.30215,7.1728
4.625475,4.62585,4.317825,7.190475
4.637,4.64105,4.329475,7.2259
4.650475,4.652225,4.3455,7.279275
4.660825,4.6629,4.3677,7.299125
4.6713,4.79335,4.37955,7.3314
4.689025,4.807675,4.397575,7.40075
4.70635,4.8168,4.41535,7.458075
4.719075,4.84245,4.423425,7.511325
4.733975,4.866575,4.44095,7.53505
4.7517,4.879225,4.465075,7.5544
4.770275,4.892325,4.4852,7.568125
4.78305,4.904225,4.501225,7.5802
4.8026,4.92925,4.52485,7.596475
4.827275,4.94165,4.540725,7.613025
4.847525,4.954575,4.554225,7.63285
4.8694,4.976175,4.5923,7.6593
4.8869,4.98705,4.593475,7.697625
4.913925,5.00945,4.619025,7.7091
4.93755,5.021625,4.652025,7.745125
4.9676,5.032725,4.688525,7.799575
4.992525,5.106025,4.69945,7.8365
5.01585,5.14675,4.7077,8.3576
5.0351,5.220625,4.717775,8.4893
5.0498,5.265775,4.765725,8.493575
5.069325,5.294325,4.7722,8.514375
5.077375,5.3503,4.79155,8.703875
5.0886,5.36475,4.7983,8.722575
5.10575,5.37535,4.8059,8.741925
5.120225,5.38875,4.82835,8.784975
5.152,5.413375,4.837075,8.80145
5.168775,5.427275,4.8464,8.836275
5.187575,5.45285,4.86135,8.856775
5.204325,5.467825,4.87425,8.87335
5.230475,5.485425,4.89615,8.89235
5.2411,5.517925,4.916775,8.933825
5.256875,5.530225,4.932225,9.136225
5.285925,5.5457,4.962325,9.16045
5.31235,5.55635,4.98425,9.182125
5.3313,5.5677,4.9973,9.195
5.35115,5.796375,5.006475,9.210325
5.378325,5.812875,5.01955,9.2268
5.398975,5.82575,5.047025,9.25125
5.4193,5.83835,5.059275,9.25815
5.44075,5.8508,5.12975,9.276125
5.464725,5.86095,5.150025,9.287825
5.4841,5.888575,5.1584,9.29765
5.5036,5.928575,5.167675,9.309875
5.536025,5.9529,5.1744,9.32225
5.557375,6.13435,5.18705,9.33845
5.593575,6.16525,5.21645,9.364075
5.614,6.275075,5.23645,9.4713
5.643525,6.286675,5.26665,9.490275
5.65855,6.31385,5.2841,9.497875
5.666725,6.322475,5.30745,9.503275
5.674675,6.334975,5.322925,9.51565
5.6841,6.347925,5.3428,9.528775
5.697275,6.3579,5.35275,9.549925
5.706375,6.369175,5.367575,9.5673
5.713,6.38005,5.4006,9.5706
5.73695,6.3933,5.415175,10.33125
5.7595,6.40675,5.437375,10.343075
5.774025,6.4205,5.4632,10.37435
5.81065,6.429875,5.493575,10.428125
5.835175,6.452975,5.52045,10.528225
5.854,6.464575,5.540975,10.544925
5.882125,6.469925,5.5615,10.55705
5.907175,6.507425,5.584775,10.56775
5.93605,6.5243,5.5954,10.577175
5.95185,6.747025,5.614825,10.603575
5.97205,6.769025,5.6216,10.6151
5.9974,6.779075,5.635025,10.629025
6.0177,6.791325,5.673175,10.660575
6.04215,6.809525,5.67875,10.6784
6.0641,6.8194,5.698825,10.698675
6.0762,6.830775,5.7098,10.719125
6.085075,6.853775,5.7164,10.7481
6.0939,6.865725,5.72345,11.0942
6.1061,6.87565,5.730275,11.111625
6.115025,6.906,5.74135,11.13155
6.12385,6.92845,5.747175,11.232375
6.131525,6.9417,5.754575,11.37145
6.148925,6.95475,5.7727,11.4082
6.162025,6.96905,5.8074,11.435475
6.17895,6.9803,5.824075,11.460825
6.190175,7.0147,5.834075,11.47105
6.203125,7.02725,5.847475,11.492775
6.21755,7.03675,5.861725,11.511
6.229275,7.0479,5.8822,11.529875
6.23935,7.113,5.89825,11.563425
6.2491,7.125325,5.9348,11.583
6.265925,7.205775,5.949425,11.609375
6.28575,7.264025,5.962725,12.0765
6.310475,7.3991,5.984825,12.2302
6.3327,7.42635,5.992675,12.271075
6.3638,7.4388,5.999325,12.497625
6.382425,7.4479,6.004725,12.5375
6.40335,7.45585,6.011175,12.5711
6.425225,7.466825,6.015925,12.5861
6.44985,7.47725,6.0311,12.616125
6.51455,7.4877,6.0448,12.65855
6.54455,7.50755,6.06735,12.6927
6.556475,7.617275,6.087025,12.7281
6.568125,7.64455,6.097825,12.76075
6.5951,7.7072,6.12895,12.794025
6.62335,7.85355,6.14025,12.9008
6.64485,7.862475,6.156325,12.9881
6.66615,7.882575,6.1931,13.01065
6.6822,7.895375,6.20595,13.026775
