SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC05c,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC14a
410.8416,405.577575,420.5285,403.79225,404.958825,406.291375
410.994625,405.643025,422.047425,403.8581,404.999825,406.334925
411.038225,405.774675,422.422325,403.928675,405.005475,406.357
411.160875,405.8185,422.64645,403.94595,405.057275,406.397625
411.261925,405.86255,422.653425,403.9701,405.093075,406.424975
411.3058,405.904975,422.8469,404.067625,405.1291,406.4529
411.36315,405.9908,422.957275,404.11565,405.187475,406.51245
411.37975,406.0448,423.6878,404.125975,405.2496,406.57285
411.409225,406.104325,423.82845,404.17975,405.332925,406.6201
411.442825,406.15175,423.85615,404.20335,405.38275,406.664575
411.5123,406.190325,423.893525,404.216675,405.4274,406.773975
412.20805,406.230975,423.907275,404.253475,405.46655,406.808825
412.40125,406.2653,424.07985,404.282825,405.490425,406.8407
412.52195,406.336025,424.129975,404.30675,405.505825,406.90355
412.657275,406.377825,424.339275,404.315025,405.551275,406.971775
412.9628,406.447275,424.703975,404.32305,405.58275,407.044125
413.234775,406.487725,424.804075,404.3508,405.620475,407.085975
413.275975,406.516825,424.89075,404.376075,405.741125,407.10925
413.331825,406.583225,425.804975,404.383775,405.879825,407.191825
413.3725,406.6258,425.84645,404.436175,405.98315,407.268475
413.38295,406.664375,426.330225,404.46245,406.011,407.334025
413.426075,406.71975,426.4876,404.504075,406.118975,407.355825
413.560225,406.757325,427.018525,404.51825,406.1557,407.612725
413.632125,406.865675,427.152625,404.5291,406.222625,407.7709
413.643725,406.904675,427.77395,404.601175,406.29095,407.87555
414.178575,406.9199,427.785825,404.638725,406.329425,407.9192
414.256025,407.0065,427.847225,404.662825,406.422425,407.96095
414.32295,407.084375,428.363025,404.71385,406.5292,408.021125
414.454225,407.149775,428.58875,404.72125,406.56625,408.16385
414.6961,407.191375,428.692825,404.7445,406.6556,408.211975
414.721275,407.2506,428.77915,404.7659,406.69155,408.228525
414.85875,407.303525,428.823175,404.803725,406.7449,408.26345
415.15825,407.34705,428.857375,404.82575,406.7734,408.302175
415.849925,407.406625,428.933925,404.8608,406.81615,408.335375
415.929075,407.5705,429.3955,404.8905,406.848775,408.39125
415.9636,407.690925,429.7498,404.934775,406.929625,408.419475
415.98575,407.753475,430.1126,404.94465,406.950775,408.60775
415.998225,407.7989,430.466625,405.006675,407.02285,408.64
416.027875,407.860375,430.513225,405.109575,407.064,408.67975
416.17865,407.89465,430.613875,405.132375,407.086525,408.7545
416.244225,407.95385,430.81105,405.195275,407.126725,408.81365
416.25925,408.025975,432.320625,405.2057,407.16835,408.941825
416.2923,408.0811,432.4163,405.27965,407.225975,409.02915
416.381025,408.155925,432.448475,405.28105,407.2496,409.122375
416.39395,408.193125,433.073475,405.283875,407.27745,409.148425
416.45875,408.244175,433.378225,405.3279,407.3267,409.157375
416.4778,408.31705,434.4473,405.34515,407.356175,409.169025
416.56235,408.419075,434.477625,405.42875,407.395075,409.265325
416.629775,408.46995,434.571375,405.468775,407.4576,409.297425
416.74635,408.4942,434.648075,405.478825,407.49685,409.33435
416.773675,408.53695,435.990775,405.480075,407.532575,409.481925
417.085825,408.5743,436.51055,405.51375,407.593925,409.711775
417.1512,408.57645,436.6462,405.572975,407.64175,409.8097
417.211325,408.618075,436.99855,405.59825,407.6768,409.91335
417.37465,408.656625,437.3385,405.623675,407.7286,409.94415
417.4463,408.7211,437.359475,405.65995,407.75905,410.084175
417.6773,408.8561,437.384025,405.697125,407.802925,410.124275
417.77295,408.935925,437.61275,405.711075,407.918975,410.1963
417.884475,408.9846,437.6516,405.74485,408.0107,410.238225
418.161775,409.028525,437.832875,405.780775,408.140125,410.323025
418.299975,409.108075,437.93795,405.78275,408.159675,410.374
418.51885,409.14575,437.979375,405.800525,408.195025,410.4248
418.821275,409.261875,438.0925,405.851925,408.270275,410.4373
419.1622,409.31875,438.180725,405.91465,408.344575,410.5206
419.219375,409.3794,438.33645,405.947375,408.384275,410.568925
419.27785,409.430325,438.577475,406.092425,408.43235,410.637825
419.324,409.47065,438.644125,406.09375,408.45765,410.695525
419.546775,409.550025,438.758175,406.144975,408.547925,410.846075
419.5803,409.610975,438.761325,406.154725,408.602675,410.95005
419.754975,409.6433,439.52045,406.184,408.638375,411.0389
419.796375,409.70155,439.550125,406.19255,408.6605,411.148375
419.84435,409.8684,439.8776,406.247875,408.6964,411.184875
419.9143,409.8976,440.019925,406.3258,408.7208,411.2583
420.05515,409.9588,440.051725,406.3483,408.7781,411.408675
420.11375,410.00915,440.139275,406.34945,408.81405,411.466025
420.263175,410.09595,440.195525,406.389625,408.8633,411.488525
420.288025,410.162625,440.47865,406.427525,408.925425,411.50495
420.4568,410.224075,440.581875,406.462225,409.042825,411.642125
420.4986,410.26965,440.96525,406.4977,409.0992,411.773175
420.5623,410.312325,440.985025,406.54675,409.12685,411.8397
420.58115,410.406575,441.065375,406.6221,409.168375,411.925625
420.70225,410.44235,441.095225,406.638325,409.211025,412.06655
420.774225,410.471175,441.11225,406.70125,409.2368,412.1087
420.78625,410.6354,441.19355,406.7167,409.27965,412.17795
420.872825,410.716975,441.436725,406.798925,409.362325,412.206875
420.982575,410.8223,441.66095,406.867525,409.397325,412.24245
421.1671,410.84975,441.816325,406.885,409.4474,412.290825
421.30075,410.885275,441.95075,406.908425,409.499725,412.3881
421.4174,410.93585,442.074025,406.945375,409.54505,412.487925
421.4438,411.0253,442.22615,406.974975,409.58505,412.586125
421.4555,411.093775,442.361725,407.03795,409.64215,412.610625
421.486825,411.166425,442.55925,407.0433,409.6793,412.640025
421.5059,411.23525,442.85025,407.076675,409.770525,412.659275
421.564175,411.3338,443.26115,407.1087,409.809225,412.71045
421.898525,411.393525,443.34815,407.200125,409.9144,412.8112
421.931525,411.470825,443.402125,407.251025,409.9468,412.94585
421.948075,411.4982,443.539275,407.318475,410.044225,413.11815
422.0682,411.560625,443.6098,407.373125,410.06255,413.2091
422.102625,411.582925,443.9195,407.4015,410.088725,413.22815
422.1341,411.6386,443.9431,407.4095,410.13795,413.246875
422.145325,411.66485,444.04605,407.480375,410.20265,413.2683
422.1722,411.748425,444.211375,407.531125,410.229975,413.29855
422.189125,411.794575,444.33045,407.6926,410.298,413.3642
422.2027,411.83475,444.372125,407.719125,410.3339,413.62305
422.248725,411.911625,444.543375,407.73375,410.367575,413.717225
422.67805,411.9231,444.595775,407.758475,410.459475,413.753675
422.724875,411.97,444.605925,407.784175,410.507875,413.849425
422.819975,412.029,444.716275,407.84445,410.553325,413.9181
422.905575,412.0755,444.92125,407.869875,410.5588,414.02555
423.078875,412.12195,444.943225,407.881625,410.590175,414.0444
423.179125,412.18325,444.990625,407.95115,410.633375,414.05665
423.259975,412.28,445.06215,407.95785,410.681225,414.111825
423.381075,412.395575,445.3609,407.9909,410.687,414.16885
423.431425,412.431975,445.40465,407.99575,410.714975,414.2114
423.617375,412.499975,445.70885,408.0996,410.800075,414.244475
423.854375,412.543425,445.802325,408.119175,410.842625,414.49615
423.87,412.60465,445.94975,408.2574,410.863,414.52755
423.96995,412.64965,446.2706,408.30725,410.922525,414.547975
423.986425,412.68985,446.3109,408.325325,410.968475,414.580825
424.019275,412.73055,446.429425,408.365675,411.028125,414.6331
424.055925,412.78885,446.61515,408.4161,411.078625,414.658675
424.35005,412.81935,446.910075,408.4353,411.11705,414.69785
424.368775,412.888325,446.99775,408.464175,411.17645,414.7649
424.459525,412.928275,447.032075,408.4695,411.208925,414.787625
424.485175,412.95885,447.145375,408.493925,411.301375,414.834525
424.50225,413.021875,447.247775,408.495225,411.353475,414.865375
424.511125,413.083775,447.3142,408.5073,411.41265,414.929875
424.8669,413.120975,447.51995,408.656975,411.454775,415.094175
425.072475,413.162125,447.558325,408.66745,411.477225,415.26895
425.27335,413.24855,447.582025,408.692425,411.51075,415.408975
425.474875,413.303575,447.612275,408.703325,411.51605,415.44045
425.556875,413.321825,447.882775,408.746075,411.53685,415.53935
425.60925,413.4194,447.928,408.761,411.62175,415.60515
425.65,413.466175,447.979525,408.808425,411.655,415.659875
425.67975,413.531075,448.03875,408.816725,411.716775,415.704525
425.690925,413.59315,448.185725,408.84285,411.738975,415.755825
425.73075,413.711,448.2058,408.856575,411.830925,415.809575
425.8852,413.75345,448.445575,408.904225,411.895,415.88555
426.267775,413.805,448.47705,408.996,411.9245,415.9809
426.302775,413.83275,448.50615,409.06855,411.982025,416.0117
426.365,413.866025,448.945575,409.1445,412.0667,416.037575
426.412675,413.895625,449.1182,409.218075,412.0757,416.069475
426.426875,413.933675,449.151975,409.277475,412.124,416.13825
426.43295,414.00995,449.165,409.324075,412.160325,416.25705
426.448275,414.0439,449.2467,409.474575,412.240375,416.294675
426.49505,414.098875,449.3044,409.476325,412.301725,416.353925
426.499575,414.15945,449.312825,409.56125,412.3569,416.3943
426.5178,414.22225,449.484375,409.571,412.3901,416.43745
426.544875,414.261,449.6005,409.583025,412.4488,416.52305
426.55835,414.3752,450.2687,409.646,412.51035,416.622575
426.5845,414.447975,450.480325,409.7235,412.518175,416.644175
426.5959,414.4798,451.065475,409.7807,412.595525,416.698275
426.6296,414.5488,451.2079,409.816425,412.629225,416.734725
426.666075,414.60195,451.301775,409.844775,412.664875,416.82755
426.86095,414.6651,451.469975,409.92085,412.70605,416.92495
426.98175,414.720225,451.49025,410.11975,412.74925,416.9755
427.086575,414.77465,451.953725,410.135525,412.7832,417.022625
427.208775,414.860525,452.3024,410.222575,412.80605,417.08475
427.58755,414.884825,452.329225,410.241,412.856025,417.109925
