SPK_SPKC03a (inhi),SPK_SPKC04a (no response),SPK_SPKC16a (no opto-tagging)
315.310625,310.826675,316.986125
315.3517,311.171525,317.0602
315.40685,311.538125,317.0687
315.467375,311.88215,317.1047
315.659375,311.97345,317.2748
315.766325,312.1212,317.283975
315.814575,312.6566,317.367125
315.845525,312.74745,317.37095
315.897625,313.2245,317.421875
315.939975,313.261775,317.45385
315.966175,313.322925,317.52765
316.1653,313.36405,317.535325
316.20095,313.441675,317.53965
316.2539,313.4503,317.546975
316.3083,313.54115,317.632475
316.36785,313.572775,317.642125
316.409575,313.68215,317.64965
316.484575,313.715575,317.66015
316.527925,313.812675,317.696275
316.65895,313.9919,317.7076
316.7107,314.10645,318.11385
316.7591,314.16725,318.11885
316.79835,314.33655,318.1271
316.97505,314.437,318.340425
317.15295,314.486875,318.342175
317.2142,314.57195,318.348325
317.322225,314.611225,318.516175
317.3826,314.666825,318.5465
317.455025,314.7013,318.554825
317.517925,314.74085,318.5713
317.5706,314.89755,318.57655
317.637,315.068,318.58645
317.820675,315.154575,318.67265
317.896475,315.452825,318.70365
317.936275,315.557525,318.713925
318.164825,315.67815,318.782675
318.23805,315.9879,318.79885
318.289375,316.180375,318.805625
318.34915,316.4895,318.93905
318.420025,317.897125,319.04565
318.518875,318.7577,319.103225
318.56525,319.3999,319.11795
318.694125,319.8848,319.16895
318.72475,319.91195,319.22205
318.7432,320.07435,319.235225
318.89565,320.10735,319.250525
318.9495,320.1722,319.267525
319.00565,320.3735,319.33935
319.121175,320.5162,319.454175
319.266,320.585875,319.6108
319.3819,320.781225,319.64085
319.4179,320.854675,319.6871
319.6447,321.055225,319.728475
319.8166,321.115375,319.8676
319.8842,321.159775,320.04435
319.932375,321.203075,320.07635
319.957475,321.32635,320.4405
319.97745,321.344275,320.4692
320.020425,321.462775,320.5541
320.081075,321.5505,320.615625
320.1076,321.58035,321.0075
320.18165,321.6335,321.165375
320.214475,321.68795,321.1701
320.27495,321.800875,321.19775
320.306525,321.824,321.211475
320.34705,321.9351,321.327475
320.457775,322.285925,321.35755
320.4916,322.39875,321.449625
320.654375,322.692725,321.6267
320.798825,322.804475,321.636275
320.8537,322.836975,321.70505
320.903675,322.890575,321.711425
320.957175,322.984925,321.96285
321.142025,322.990825,322.0555
321.168,323.1792,322.08025
321.20505,323.46855,322.087625
321.23415,323.71575,322.16065
321.28365,323.84985,322.164225
321.29975,323.97905,322.17135
321.31185,324.431525,322.200575
321.327375,324.519175,322.2052
321.3706,324.678075,322.216325
321.3995,324.72275,322.227425
321.520775,325.077175,322.320875
321.604275,325.165975,322.3787
321.6393,325.26015,323.00365
321.732125,325.315175,323.045825
321.771675,325.44765,323.0493
321.947725,325.59605,323.1408
321.98185,325.681025,323.155575
322.086975,325.9372,323.318725
322.160175,326.0532,323.33585
322.203125,326.163925,323.466825
322.25645,326.28665,323.595775
322.321825,326.398075,323.6714
322.37615,326.749975,323.6874
322.39735,326.94475,323.7938
322.4137,327.298625,323.982075
322.452025,327.688125,324.1211
322.482,327.8316,324.12535
322.573925,327.949525,324.19875
322.600075,328.393975,324.206225
322.632675,328.63125,324.231875
322.652975,328.835975,324.323675
322.6749,328.895725,324.34065
322.722475,329.156825,324.392625
322.745675,329.35475,324.422325
322.884125,329.788825,324.42965
322.929125,329.834575,324.436875
322.969475,330.330275,324.5683
323.021,330.478975,324.6268
323.09625,330.7322,324.66475
323.16395,330.813025,324.668475
323.1922,331.197375,324.6717
323.24695,331.34005,324.677125
323.294475,331.40575,324.6911
323.345025,331.4786,324.792275
323.5224,331.5626,324.84375
323.57125,331.616375,324.85675
323.630525,332.0289,324.9632
323.668225,332.09205,324.9711
323.76235,332.244375,325.004475
323.8165,332.28215,325.0493
323.8473,332.387575,325.4708
323.8774,332.4425,325.61635
323.92275,332.54485,325.647175
323.97855,332.59105,325.653375
324.03045,332.643525,325.886175
324.092925,332.682175,325.88955
324.13755,332.69845,325.93325
324.19085,332.77845,326.0077
324.246325,332.818975,326.0125
324.304525,332.8644,326.16065
324.3952,332.913725,326.3112
324.46795,332.970125,326.38055
324.507775,333.020675,326.530775
324.54695,333.056775,326.691625
324.58355,333.0831,326.8758
324.616125,333.135025,327.15375
324.675575,333.226575,327.16405
