SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC09a
13.637775,43.157475,18.233675,25.21505
13.704275,44.075275,18.24555,25.24825
13.791375,44.14105,18.370675,25.2702
13.79725,44.164525,18.413375,26.0371
13.920375,44.2214,18.49835,26.150725
13.9537,45.19425,18.52415,26.166225
14.009175,45.5138,18.62815,26.192175
14.08375,45.695025,18.75065,26.2082
14.194,45.826625,18.822025,26.2099
14.288475,45.889075,18.9253,26.49825
14.399175,45.9795,18.936875,26.630025
14.533,45.992325,18.98565,26.669625
14.56065,46.025775,19.088325,26.677175
14.687675,46.1011,19.1256,26.909575
14.721525,46.157825,19.141325,26.96245
14.839675,46.184175,19.3264,27.02235
14.940175,46.441975,19.422,27.062
15.0399,46.84775,19.8141,27.1225
15.042975,47.0329,19.84135,27.245375
15.078675,47.192475,19.992375,27.446225
15.125125,47.254425,20.10765,27.476075
15.163225,47.39675,20.1199,27.687025
15.19465,47.619725,20.2054,27.760325
15.24095,47.6705,20.41285,27.819975
15.35205,48.052125,20.4213,28.027675
15.419375,48.108075,20.428275,28.152375
15.48385,48.2442,20.4364,28.21025
15.58065,48.31185,20.4985,28.244875
15.68975,48.421225,20.520875,28.2758
15.706675,48.718875,20.5614,28.819075
15.77935,48.8443,20.606625,28.836925
15.824575,48.9108,20.625325,28.88815
15.916675,48.98,20.686,28.91025
16.1477,49.139875,20.7231,28.98115
16.182875,49.2471,20.7545,29.450425
16.238775,49.29825,20.791475,29.472575
16.318925,49.3378,20.807875,29.520725
16.3992,49.3446,20.84455,29.5444
16.55425,49.407475,20.8699,29.5563
16.654175,49.595675,21.07005,29.64735
16.7657,49.96655,21.0928,29.6965
16.824225,49.99135,21.15395,29.7041
16.916275,50.043875,21.175675,29.8623
17.002275,50.123925,21.204975,29.966425
17.06235,50.1524,21.314275,30.060525
17.24535,50.223625,21.32765,30.811725
17.296275,50.503125,21.34305,30.94155
17.4059,50.5649,21.356,31.05185
17.42375,50.5761,21.3885,31.177925
17.50785,50.6765,21.48085,31.822275
17.6416,50.71645,21.494025,31.876775
17.75625,50.746075,21.503325,32.374825
17.803275,50.75345,21.554575,32.41775
17.9204,50.77165,21.566575,32.99755
18.113925,50.82075,21.5747,33.5916
18.148425,50.915925,21.6062,34.17635
18.205925,50.995025,21.629925,34.206225
18.2212,51.27205,21.720875,34.310975
18.3067,51.336425,21.82265,34.38325
18.3387,51.750425,21.8697,34.47585
18.4274,51.8549,21.97265,34.546325
18.52435,52.150825,22.140475,34.56395
18.56025,52.278375,22.161825,34.868625
18.76175,52.294375,22.183575,35.0592
18.88695,52.305525,22.4178,35.592125
18.92645,52.372825,22.621875,35.636225
18.945075,52.59385,22.6391,35.765975
19.02385,53.739175,22.6611,35.863175
19.158125,53.828725,22.74035,35.927025
19.325275,53.87845,22.758775,35.972
19.35285,53.914225,22.769475,36.084225
19.390275,53.996025,22.7809,36.1404
19.45945,54.468775,22.83255,36.20865
19.5424,54.801975,22.841525,36.273875
19.736,55.0579,22.911725,36.742825
19.823475,55.086625,22.98255,36.955975
19.842825,55.19625,23.0054,37.123575
19.915025,55.23965,23.103675,37.177975
20.1088,55.562875,23.18845,37.317525
20.136525,55.58595,23.246925,37.365375
20.202675,55.702625,23.346975,37.46385
20.368825,55.86465,23.3875,37.543025
20.42395,55.94925,23.404375,37.585675
20.45425,56.036,23.77765,38.0156
20.4838,56.24115,23.9967,38.441775
20.558425,56.54545,24.019725,38.6148
20.615175,56.62755,24.039775,38.63675
20.794575,56.6611,24.0528,38.688275
20.8368,57.1508,24.1097,38.868525
21.08715,57.158225,24.1164,39.112375
21.36345,57.3157,24.12615,39.15315
21.48985,57.3835,24.162925,39.481475
21.52245,57.43765,24.446075,39.522575
21.57405,57.520325,24.5012,39.87635
21.677325,57.52845,24.798375,39.9251
21.73715,57.6046,24.819525,40.089
21.797075,57.911825,24.94305,41.076975
21.865775,57.9183,25.00165,41.4604
22.120975,58.351725,25.3409,41.50195
22.22505,58.3968,25.4297,41.61695
22.352225,58.4055,25.682525,41.625625
22.479275,58.618275,25.78895,41.643125
22.5646,58.802375,25.803275,42.441075
22.6262,58.831175,25.86515,42.564825
22.6948,59.195175,26.02965,42.684825
22.8175,59.28715,26.05225,42.73255
22.938775,59.43395,26.098475,42.832825
23.00565,59.57275,26.111875,42.89665
23.0635,60.032875,26.13755,42.98385
23.183875,60.078425,26.201475,43.061175
23.251425,60.164375,26.57415,44.103975
23.275,60.222825,26.595475,44.155475
23.357875,60.941975,26.7868,44.16445
23.444325,61.207275,26.80225,44.206325
23.58565,61.865825,27.2218,44.2977
23.627475,61.912475,27.256175,44.70895
23.7205,61.924025,27.390175,44.730075
23.87425,62.011025,27.565,44.748325
23.976975,62.044975,27.881475,44.8292
