SPK_SPKC08a (inhibited),SPK_SPKC12a (inhibited),SPK_SPKC14a (short inhibition),SPK_SPKC14b (inhibited),SPK_SPKC16a (NA)
40.862675,24.61615,10.86245,9.6022,6.423475
41.0733,24.9128,10.887875,9.721825,6.474725
41.1462,25.0282,10.989675,9.7684,6.5935
41.414075,25.37015,11.01925,9.854575,6.60865
41.4822,25.959125,11.075175,9.871975,6.6955
41.581075,26.1378,11.135725,9.89505,6.733325
42.163175,26.379475,11.338125,10.0178,6.780875
42.243825,26.507225,11.41,10.0745,6.833775
42.32075,26.874525,11.428725,10.09735,6.869875
42.40435,27.00535,11.534875,10.42105,6.925225
42.654025,27.02595,11.57405,10.5039,6.972125
43.418,27.218325,11.67025,10.587775,6.986825
43.663425,27.571725,11.692025,10.6962,7.04145
43.85115,27.866725,11.754075,10.931975,7.07115
44.0308,28.276325,12.0091,10.976875,7.105825
44.34255,28.43885,12.0489,11.1885,7.1954
44.4887,28.8773,12.10405,11.22315,7.21195
44.6507,28.946175,12.12065,11.2384,7.23915
44.7461,29.095825,12.199325,11.353425,7.2964
44.903925,29.320025,12.440175,11.375575,7.341325
45.021175,29.959175,12.51715,11.489625,7.370525
45.2214,30.06265,12.8779,11.5197,7.427875
45.3281,30.392925,12.933575,11.65585,7.475925
45.9574,31.376325,12.95535,11.77015,7.641025
46.29815,31.572425,12.98035,11.906,7.64795
46.482375,31.672825,13.01965,11.938675,7.672275
46.881875,31.7396,13.071925,11.97275,7.7551
47.7034,31.787275,13.127,12.006625,7.78735
47.9573,31.93485,13.242025,12.082525,8.0382
48.158325,32.201475,13.31115,12.174925,8.059975
48.27105,32.339325,13.32695,12.186675,8.091275
48.45545,32.38285,13.343075,12.2452,8.098425
48.574475,32.490825,13.406475,12.313325,8.154775
48.7165,33.48965,13.51325,12.358075,8.17065
48.82055,33.6407,13.65535,12.50555,8.208975
49.336125,33.9013,13.8081,12.5331,8.250075
49.782125,34.010875,13.84625,12.662725,8.261925
50.41315,34.346525,13.907075,12.693525,8.32365
50.683025,34.940875,13.977525,12.7586,8.33035
50.78025,34.95395,14.0452,12.773075,8.40765
50.923575,35.025625,14.1306,12.842425,8.502125
50.960025,35.41495,14.2312,13.049025,8.505275
51.37855,35.455475,14.403575,13.197025,8.6026
52.0435,36.02255,14.425475,13.376875,8.658075
52.101825,36.049775,14.466275,13.41585,8.793675
52.435975,36.131425,14.566825,13.439,8.81755
52.603825,36.3035,14.663225,13.477925,8.886675
52.6191,36.324725,14.805175,13.5774,9.05195
52.942275,36.3456,14.8322,13.60835,9.097825
53.072275,36.619775,14.881075,13.723525,9.121925
53.334475,36.71765,14.95205,13.783,9.180875
54.0972,36.956475,14.992425,13.880525,9.20105
54.22095,36.97505,15.05675,14.007375,9.443125
54.54865,36.98985,15.096075,14.0762,9.577325
54.721725,37.007475,15.191125,14.110125,9.712975
54.974975,37.0528,15.238925,14.25985,9.8721
55.175725,37.153725,15.27085,14.30745,9.8781
55.51585,37.54465,15.39705,14.32645,9.95495
55.6967,37.581525,15.444775,14.3842,10.01355
55.8219,38.195675,15.569625,14.44195,10.497125
56.0547,38.366625,15.599325,14.4946,10.505425
56.102025,38.73485,15.6858,14.666625,10.577275
56.23805,38.936225,15.755575,14.707225,10.691825
56.59495,39.134725,15.85615,14.75585,10.804125
56.828825,39.259625,15.881825,14.854025,10.88325
57.058125,39.815425,15.918275,14.92565,10.893275
57.080325,39.922675,15.950475,15.149025,10.9559
57.3465,39.9502,16.01655,15.2929,11.02725
57.478025,40.012575,16.037375,15.553725,11.500525
57.65095,40.24915,16.0639,15.65985,11.558275
57.90075,40.324075,16.1592,15.71605,11.641575
58.523125,40.7635,16.2174,15.7906,11.6669
58.815175,40.775125,16.410775,15.989275,11.738975
58.9841,40.820075,16.4765,16.316225,11.741575
59.5461,40.831575,16.66925,16.347,11.85575
59.68485,41.119825,16.703975,16.370325,11.90875
59.883975,41.425625,16.895375,16.52265,12.082575
60.265025,41.763175,17.1046,16.58835,12.102875
60.638325,41.78055,17.13155,16.61915,12.185
61.711725,41.8627,17.17035,16.736575,12.1885
62.764575,41.8924,17.319325,16.807375,12.199275
62.881825,42.064525,17.359075,16.9306,12.205475
63.112175,42.191975,17.741875,17.0211,12.2101
63.2439,42.426775,17.797725,17.068425,12.22805
63.3328,42.468175,17.86325,17.244375,12.23505
63.584,42.47955,17.897275,17.41445,12.265375
