SPK_SPKC06a (NA),SPK_SPKC12a (inhibited)
127.7102,4.2404
128.18625,4.25165
128.344475,4.25635
128.4967,4.266725
129.0208,4.294675
129.044975,4.297875
129.049175,4.305825
129.108625,4.3284
129.116025,4.331675
129.223125,4.3358
129.2361,4.353725
129.323475,4.37215
129.48465,4.3905
129.55515,4.3988
129.633525,4.40885
129.71165,4.43035
129.722425,4.4435
129.73855,4.447625
129.87895,4.45665
129.925175,4.468825
129.99695,4.473525
130.052375,4.492425
130.3248,4.503425
130.70175,4.514325
131.101225,4.529975
131.2301,4.5495
131.259775,4.575325
131.27675,4.585325
131.611725,4.627025
131.761025,4.6424
132.2161,4.65735
132.490375,4.6609
132.52115,4.67285
132.559975,4.70075
132.64865,4.70905
132.665475,4.720675
132.7478,4.74275
132.85475,4.75145
133.059225,4.75665
133.328575,4.7712
133.4762,4.77625
133.510025,4.787425
133.5743,4.800325
133.636925,4.803
133.676725,4.805725
133.81965,4.830725
133.92065,4.840225
134.14605,4.844675
134.197,4.85155
134.244325,4.8963
134.2873,4.912
134.418825,4.930875
134.506975,4.9435
134.541,4.960575
134.60925,4.971875
135.224475,4.988475
135.25345,5.01245
135.35065,5.031975
135.407975,5.0589
135.44405,5.06525
135.583975,5.07275
135.63795,5.079225
135.792025,5.081875
135.92355,5.104575
136.06785,5.11845
136.304125,5.121625
136.309375,5.13855
136.400575,5.159225
136.41935,5.1899
136.572975,5.1996
136.665375,5.263575
136.715,5.280375
136.777075,5.285975
136.79105,5.313825
136.9428,5.3257
137.051175,5.3411
137.295325,5.344225
137.365725,5.366975
137.6468,5.378375
137.90315,5.38255
137.9371,5.42125
138.532375,5.43195
138.6854,5.442425
138.842125,5.450025
138.96265,5.465725
138.96965,5.482475
139.261625,5.494025
139.576,5.51985
139.812375,5.529125
140.0888,5.53275
140.168025,5.53835
140.339125,5.62255
140.400275,5.637875
140.411,5.6582
140.87245,5.66505
140.894725,5.6922
141.085075,5.695325
141.09495,5.71965
141.101325,5.7441
141.3854,5.760625
