SPK_SPKC01a (inhibited),SPK_SPKC04a (excited),SPK_SPKC07a (excited),SPK_SPKC12a (NA)
3.837675,5.2881,67.6751,7.1456
3.8832,5.3138,68.1108,7.153025
3.95545,5.3342,68.5483,7.16345
3.9825,5.351975,69.562575,7.190675
4.029175,5.3793,69.578475,7.21135
4.0332,5.427475,70.21865,7.2728
4.0981,5.45195,70.857525,7.3166
4.118125,5.469275,71.842275,7.32125
4.143925,5.480525,72.050625,7.330175
4.203725,5.556625,72.207975,7.3843
4.23425,5.604675,72.24615,8.5857
4.2903,5.637675,72.691275,8.826175
4.29395,5.689475,73.4729,8.836825
4.308775,5.7163,74.639325,8.839475
4.31365,5.754025,75.95755,8.841975
4.336025,5.809025,76.276875,8.844425
4.35455,5.825175,76.567125,8.847
4.366275,5.8594,77.7368,8.849625
4.40185,5.88825,77.73995,8.858
4.40965,5.937325,77.9035,8.86115
4.42455,5.948575,78.2377,8.87045
4.4414,5.991625,78.61905,8.877475
4.4629,6.007425,79.701225,8.881075
4.4916,6.020825,80.49015,8.8874
4.5,6.056225,80.8078,8.898575
4.519425,6.0818,81.002775,8.9118
4.55865,6.111075,81.31395,8.92105
4.580825,6.13925,81.4097,8.9248
4.590725,6.212375,81.5642,8.943875
4.6172,6.2319,82.358925,8.955775
4.641,6.382775,82.72785,8.96065
4.681325,6.507225,83.591875,8.9746
4.7471,6.65025,83.648725,8.98115
4.75785,6.674875,83.72605,8.98935
4.78155,6.7115,83.790175,8.99355
4.792575,6.74765,83.8466,8.99955
4.834625,6.760975,83.981725,9.0263
4.8804,6.814775,84.1932,9.036075
4.902475,6.842275,84.323775,9.046325
4.925175,6.989825,84.746575,9.053175
4.953975,7.093225,85.6511,9.064075
4.972675,7.19865,86.072275,9.075325
5.051825,7.248225,86.57725,9.0948
5.0607,7.265825,86.705625,9.09995
5.122925,7.287925,86.870675,9.120775
5.148725,7.3037,87.150825,9.12555
5.163475,7.3258,87.657675,9.1363
5.20925,7.34815,88.392775,9.148825
5.269475,7.39995,88.83545,9.157
5.297375,7.41375,89.152175,9.16555
5.3135,7.45425,89.77885,9.5509
5.328625,7.47365,90.416775,10.01885
5.360975,7.486675,91.121175,10.620925
