SPK_SPKC01a (inhibited),SPK_SPKC05a (inhibited),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC14a (inhibited),SPK_SPKC16a (inhibited)
2.75185,22.741225,3.8246,4.602975,42.4732,14.175525,71.9396
2.7734,23.0817,3.8701,4.655225,42.82325,14.19235,72.115075
2.79655,23.08925,3.9581,4.7969,43.229425,14.2678,72.178325
2.80975,23.108325,4.01005,4.8295,43.865825,14.364925,72.17955
2.827225,23.41015,4.043825,4.894725,44.0213,14.411925,72.365525
2.882175,23.7468,4.136375,4.92045,44.05285,14.570925,72.48035
2.918225,24.0192,4.1978,5.174675,44.117475,14.5959,72.51025
2.951475,24.24255,4.232525,5.1993,44.161975,14.75405,72.6416
2.988125,25.3659,4.271575,5.21585,44.20375,14.848475,72.987675
3.037425,25.369175,4.361075,5.316,44.662025,15.027925,73.1268
3.07985,25.42935,4.4174,5.392325,44.82005,15.10105,73.555325
3.094925,25.806525,4.464075,5.54865,45.003225,15.23585,73.586175
3.11145,26.198175,4.502975,5.5513,45.15365,15.48635,73.881975
3.13085,26.35505,4.5166,5.746525,45.159725,15.6928,74.13775
3.15925,26.699725,4.5551,5.80595,45.5636,15.8276,74.18515
3.19675,27.0167,4.59375,5.988475,45.6744,16.0541,74.22585
3.29,27.24455,4.631775,6.03195,45.691,16.1778,74.56375
3.3025,27.841325,4.646975,6.15715,45.71095,16.35165,74.8471
3.34185,28.735775,4.685425,6.206225,45.839075,16.503825,74.864125
3.3545,28.8099,4.711075,6.249325,45.914325,16.6489,74.903975
3.373675,28.878125,4.7927,6.3452,46.06615,16.769825,75.760075
3.401475,28.889325,4.807025,6.43295,46.268975,16.9064,75.9489
3.4223,28.907425,4.822425,6.487025,46.399175,17.181225,76.038925
3.464275,29.42825,4.8374,6.497375,47.248625,17.190225,76.54925
3.537525,30.02585,4.87415,6.564975,47.569475,17.205275,76.60735
3.5674,30.116975,4.895075,6.576,48.055525,17.66925,76.976775
3.575475,30.334425,4.920275,6.6175,48.58165,17.737025,77.147225
3.605975,30.75425,4.9445,6.619125,48.588275,17.801675,77.209625
3.620625,31.034275,4.9686,6.748525,48.6158,18.1086,77.2161
3.645925,31.4296,5.008225,7.0043,48.74815,18.124025,77.22595
3.6575,31.43805,5.032175,7.08625,48.813725,18.29905,77.277975
3.67345,31.5772,5.067125,7.148875,48.9986,18.327875,77.31445
3.69965,32.158175,5.0957,7.340575,49.3204,18.36995,77.375025
3.7181,33.036375,5.1036,7.366775,49.54405,18.539075,77.66615
3.722725,33.390725,5.11855,7.444775,49.585425,18.6684,77.744
3.746125,33.4645,5.142275,7.509775,49.620475,19.3885,77.833575
3.761125,34.11835,5.1685,7.624875,49.9452,19.481125,78.0051
3.78615,34.223725,5.1952,7.73305,50.19645,19.5768,78.010175
3.811825,34.67585,5.226325,7.758,50.33925,19.7583,78.1379
3.819075,35.722725,5.2897,7.784025,50.405125,19.78835,78.373875
3.84145,35.884975,5.336575,7.965575,50.9572,19.794,78.777625
3.857875,35.909,5.363225,8.103475,52.116725,20.101575,78.7917
3.8742,35.932775,5.389725,8.15675,52.1307,20.349775,78.8613
3.884825,35.949675,5.41355,8.208475,52.44425,20.412125,78.974525
3.886175,36.00505,5.43785,8.2646,52.888775,20.46355,79.09375
3.901925,36.007025,5.49855,8.3407,53.415125,20.47175,79.1387
3.9269,36.422925,5.537075,8.416475,53.9502,20.633925,79.18785
3.950125,36.523325,5.550275,8.452,54.43855,20.6748,79.286475
4.0033,37.6459,5.58,8.47625,55.830625,21.020125,79.315975
4.018275,38.5278,5.6046,8.522575,56.692225,21.41515,79.332075
4.037525,38.53625,5.668525,8.5472,57.203725,21.506675,79.4724
4.0582,38.573575,5.72135,8.567925,57.373075,21.5224,79.658
4.07565,38.66015,5.7697,8.669725,58.06,21.885475,79.6862
4.089325,38.672225,5.815425,8.7121,59.082225,22.010875,79.807875
4.109375,39.2173,5.8405,8.7842,59.1531,22.040975,79.9085
4.128975,40.03995,5.868825,8.868,59.287175,22.06575,80.05845
4.14195,40.046325,5.89945,8.9207,60.0381,22.07815,80.0953
4.1518,40.07345,5.928425,8.951175,60.153725,22.3213,80.124875
4.16185,40.1662,5.96515,9.016825,60.365925,22.3248,80.259075
4.195775,40.593175,5.993475,9.04285,62.563675,22.46855,80.3454
4.2569,40.728675,6.016575,9.1452,63.442725,22.611975,80.3878
4.26705,41.471175,6.0405,9.183,63.86755,22.676275,80.436275
4.290975,41.596375,6.07815,9.60305,63.8826,22.7586,80.57945
4.309925,41.819225,6.09295,9.816075,63.9101,22.867925,80.672725
4.3526,41.934675,6.20045,9.8493,64.00975,23.11,80.796975
4.520075,42.4325,6.229975,9.86525,65.2426,23.120375,80.812625
4.54685,42.83015,6.3226,9.89085,66.08155,23.163425,81.282
4.56765,43.0472,6.324625,9.9263,66.303475,23.2101,81.514775
4.60405,43.63235,6.382675,10.1761,66.409725,23.4549,81.536375
4.61735,43.99155,6.46815,10.29895,66.771475,23.4779,81.649275
4.638325,44.582675,6.506,10.367225,67.082725,23.7231,81.664825
4.653125,44.755975,6.545425,10.423725,67.364675,23.7765,81.725825
4.684025,44.915825,6.6303,10.464075,67.755375,23.7871,81.75585
4.70825,45.176375,6.722375,10.56025,67.7648,23.865825,81.77825
4.731125,45.184475,6.7559,10.600225,68.06325,23.996675,81.829075
4.75365,45.323,6.796175,10.748575,68.2066,24.047875,81.887675
4.810025,45.604575,6.82225,10.7676,68.572925,24.331725,81.91725
4.830725,45.702975,6.87885,10.846575,68.62795,24.485175,81.98485
4.854925,46.0755,6.9109,10.909325,68.86045,24.523875,82.0227
4.877575,46.433475,6.926875,11.03075,69.082775,24.5442,82.060475
4.899975,46.5202,6.951925,11.18705,69.1272,24.643125,82.077725
4.9222,46.941225,6.9772,11.312325,69.132425,24.698975,82.211125
4.97155,47.005625,7.0487,11.317925,69.21885,24.735925,82.2654
4.99485,47.0248,7.104775,11.614225,69.7781,24.781875,82.4669
5.056925,47.198975,7.14015,11.6575,69.8596,24.952525,82.491025
5.09805,47.738725,7.208875,11.98265,70.0984,25.2141,82.5176
5.1532,47.93475,7.237275,12.070225,70.18795,25.3239,82.550475
5.19505,48.05055,7.27275,12.1591,70.21565,25.542675,82.624975
5.1978,48.06265,7.293875,12.316775,70.22395,25.664225,82.66065
5.21075,48.097075,7.35755,12.587975,70.452025,26.3119,82.689975
5.23215,48.25725,7.37125,12.91395,70.516675,26.35485,82.7175
5.2678,48.341275,7.388725,12.9331,70.71675,27.0425,82.7676
5.2901,48.694875,7.40925,12.95925,70.993,27.156875,82.839325
5.31585,48.83215,7.455425,13.025775,71.09935,27.188875,82.883725
5.331525,49.27255,7.48515,13.19075,71.538825,27.24825,82.9431
5.367625,49.447725,7.52665,13.266475,71.811325,27.392675,83.101575
