SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
9.34435,49.465725,9.544125
9.39975,50.287925,9.5827
9.42225,50.90315,9.631275
9.5025,52.037125,9.689475
9.593775,52.107125,9.74225
9.639225,52.629775,9.7613
9.673475,53.977975,9.7858
9.678875,54.3142,9.862
9.7095,54.57475,9.883775
9.733925,54.91,9.894125
9.759175,55.739325,9.946175
9.788325,55.745625,9.9851
9.861175,56.69775,10.026325
9.9347,57.3951,10.08275
9.98915,57.4995,10.128575
10.066775,57.91495,10.17245
10.094925,58.1705,10.20585
10.127925,58.954225,10.2645
10.1524,59.422125,10.292375
10.17415,60.08855,10.307525
10.269775,60.65,10.33575
10.30305,61.248575,10.35955
10.356925,61.659875,10.39735
10.38595,62.431475,10.43405
10.46725,63.198575,10.459
10.543425,63.2329,10.48735
10.56065,63.72185,10.528675
10.58315,64.012125,10.56565
10.62935,65.9762,10.60225
10.845975,66.146575,10.65255
10.850375,66.899825,10.685625
10.87885,67.3408,10.724075
10.887075,67.34245,10.78465
10.895175,67.69765,10.817625
10.90495,67.724325,10.84875
10.912575,69.168625,10.884375
11.024225,69.52215,10.912825
11.12785,69.76825,10.948225
11.1415,70.77595,10.98955
11.150425,71.199725,11.066175
11.210075,71.92315,11.111325
11.236325,71.994075,11.188125
11.2414,72.2716,11.231775
11.26415,72.3387,11.2627
11.3016,73.066775,11.36445
11.328075,73.07675,11.42405
11.350525,73.2672,11.464125
11.47475,74.109325,11.522975
11.5007,74.188725,11.548225
11.556275,74.931425,11.570275
11.59725,75.86425,11.6621
11.684,76.281675,11.68755
11.76835,76.4765,11.73205
11.776875,78.0828,11.775525
11.783625,78.097525,11.827575
11.83755,78.1832,11.8904
11.8542,78.354175,11.923725
11.857875,78.513225,11.952325
11.88975,78.731075,11.97685
11.918725,80.149575,12.00825
11.932625,80.81405,12.061375
11.966575,81.271475,12.110225
11.981475,81.757725,12.1631
12.004975,81.791425,12.2065
12.0092,81.830275,12.25485
12.02815,81.99875,12.3186
12.03555,82.0366,12.36765
12.119125,82.6943,12.42125
12.1211,82.74005,12.4538
12.208025,82.746775,12.5025
12.3262,82.896125,12.588075
12.400125,82.924725,12.612325
12.489625,83.06645,12.65705
12.50755,83.113275,12.677425
12.5181,83.940625,12.71325
12.5998,84.286075,12.7417
12.719125,87.05455,12.777525
12.85955,88.6657,12.81645
12.8759,88.827325,12.91065
13.152225,89.46645,12.938025
13.181,89.471575,12.985575
13.185425,89.575075,13.040025
13.20965,90.003025,13.0816
13.25315,90.1148,13.13235
13.432475,90.296075,13.17575
13.59455,90.44455,13.207875
13.616075,90.7078,13.23855
13.674275,91.29135,13.316775
13.6835,92.23305,13.366375
13.686525,92.289475,13.410775
13.703075,92.490225,13.44335
13.749975,94.420325,13.486975
13.8836,94.5838,13.54775
13.947575,94.733575,13.5816
13.9763,95.024225,13.614375
14.09435,95.737275,13.659425
14.110725,97.47545,13.695425
14.121075,97.658975,13.7403
14.1917,97.9431,13.79115
14.204575,98.087175,13.845625
14.250425,98.769575,13.9202
14.26275,100.95955,13.9603
14.271225,101.103,13.9888
14.36015,101.107975,14.017
14.428825,101.512725,14.045125
14.4536,101.557825,14.0841
14.49625,101.731775,14.11755
14.53915,103.918,14.137075
14.61505,104.615575,14.16395
14.703725,105.5117,14.186325
14.83545,105.7206,14.25265
14.85645,106.12595,14.2735
14.8775,107.1614,14.295475
15.27255,107.30385,14.3137
15.36495,107.9825,14.3504
15.397025,109.4568,14.38845
15.44955,109.762375,14.466575
15.474375,110.95175,14.50715
15.5004,110.962125,14.5589
15.533025,111.1893,14.617375
15.62355,112.0839,14.666375
15.674675,113.29015,14.725325
15.6783,114.334125,14.763575
15.742825,114.4759,14.77905
15.7769,114.7157,14.805425
15.8052,115.4042,14.822625
15.849475,117.18375,14.83975
15.864025,117.2035,14.87525
15.889525,118.4433,14.937075
15.985225,118.736325,15.002125
16.056775,119.9439,15.04345
16.092475,120.178025,15.0897
16.1316,120.71325,15.132925
16.21375,123.8398,15.175675
16.267,124.303575,15.255425
16.306825,125.450275,15.347825
16.403725,125.5777,15.449075
16.43445,125.6171,15.499175
16.490625,126.320025,15.529025
16.49625,127.40375,15.62765
16.500125,127.753575,15.68045
16.63695,129.0335,15.697025
16.675975,129.699475,15.7134
16.836725,130.672275,15.724125
16.95955,130.770675,15.7446
17.029325,131.4317,15.775275
17.38975,132.401525,15.84445
17.436925,134.07215,15.898625
17.45065,134.082125,15.94435
17.48575,134.281875,15.991575
17.50495,134.56835,16.006325
17.545675,135.043575,16.016625
17.55485,135.16245,16.02805
17.5653,135.55675,16.044875
17.60515,135.73445,16.0552
17.621075,137.7349,16.073075
17.6311,138.413,16.09015
17.66435,139.052675,16.11455
17.924125,139.3753,16.14575
17.9519,140.224925,16.175425
17.973175,140.466375,16.22755
17.998425,140.504925,16.28015
18.041,141.582275,16.35695
18.05145,142.246975,16.4149
18.072275,143.58255,16.4678
18.111675,143.985375,16.5091
18.1455,144.512075,16.54635
18.151775,145.888875,16.58125
18.1989,146.4429,16.6089
18.212975,146.804975,16.662775
18.238475,146.861975,16.694475
18.261225,148.434475,16.713475
18.5004,149.136875,16.738275
18.599525,149.4776,16.759425
18.725475,152.23905,16.7882
18.7487,152.9021,16.864325
18.808575,154.5763,16.906
18.834775,154.70795,16.95125
18.85025,156.062175,16.990525
18.872175,156.600325,17.03245
18.9011,156.60665,17.0758
19.00795,157.588725,17.11095
19.021125,158.87775,17.1525
19.034775,159.13105,17.184125
19.048475,159.99685,17.24255
19.0727,160.088125,17.30105
19.118575,160.38365,17.36585
19.1285,160.82955,17.485575
19.189,161.048775,17.494475
19.2254,161.4084,17.5056
19.261825,161.467575,17.5145
19.3062,161.620525,17.539525
19.35575,162.341175,17.6612
19.42485,163.333975,17.728025
19.45465,163.925325,17.790725
19.4997,164.317975,17.829825
19.569125,164.346125,17.859025
19.58155,164.544425,17.906575
19.59845,164.659975,17.95735
19.75225,165.5873,18.06415
19.785425,166.00235,18.111475
19.798725,166.003425,18.163625
19.875,167.166525,18.218525
