SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC10b,SPK_SPKC12a
30.623775,17.62795,10.4869,63.0859
30.741875,17.8853,10.505325,63.096925
30.806475,18.297575,10.60245,63.109
30.996675,18.30275,10.68275,63.1173
31.242125,18.371275,10.768625,63.375175
31.539425,18.42175,10.949375,63.392375
31.71455,18.572325,11.0273,63.4129
31.948175,18.595925,11.294525,63.765625
32.317625,18.7857,11.316825,63.772525
32.362325,18.8353,11.3307,63.78195
32.545375,18.870775,11.360625,63.788075
32.854925,18.879425,11.364375,63.806325
33.118475,18.988025,11.386025,63.81625
33.1473,19.039225,11.42085,64.33295
33.31805,19.0664,11.724725,65.57075
33.5414,19.30365,11.763725,67.3502
33.690525,19.649675,11.790025,67.4825
33.853275,19.685625,11.792225,67.520625
33.943175,19.7262,11.8871,69.2213
34.2666,19.841625,11.962625,69.240525
34.375125,20.11325,11.996025,69.258675
34.622475,20.1241,12.025625,69.46275
34.701875,20.13485,12.043,69.48425
34.935825,20.143425,12.080225,69.514125
34.989625,20.2069,12.18425,70.3182
35.376475,20.26295,12.28015,70.32595
35.5849,20.32465,12.525,70.3398
35.67,20.373525,12.56955,70.655
35.9601,20.402275,12.647725,70.67855
36.072475,20.78125,12.757675,70.99555
36.1625,20.943975,12.8367,71.013375
36.32685,21.1745,12.9753,71.292875
36.420275,21.1939,13.0292,71.305025
36.921975,21.293075,13.0805,71.313075
37.378425,21.3559,13.11185,71.34685
37.6915,21.649,13.13825,71.713225
37.778975,21.681575,13.22545,71.72105
37.88245,21.75585,13.264125,71.7251
38.11695,21.892875,13.315675,72.072175
38.409575,22.071425,13.4064,72.093775
38.6204,22.17265,13.53105,72.451275
38.68305,22.2091,13.585225,72.463325
38.9411,22.247775,13.6588,72.8465
38.99655,22.4306,13.736475,72.8599
39.35175,22.455575,13.802425,73.168025
39.985825,22.50885,13.864025,73.245575
40.1019,22.55975,13.882975,73.6294
40.39795,22.612525,13.90115,73.69855
40.6091,22.689725,13.95335,74.194175
40.669125,22.73465,13.9966,74.4094
41.49685,22.762625,14.082975,74.428975
41.558725,22.78425,14.112375,74.71355
41.7376,22.8217,14.1829,75.117375
42.0672,23.0839,14.224375,75.124425
42.4155,23.4046,14.266625,75.138025
42.5072,23.449025,14.341175,75.46695
42.86895,23.4842,14.368375,75.884575
43.2174,23.525125,14.39595,78.067625
43.3121,23.62475,14.5048,78.08835
44.490825,23.6944,14.554075,78.169775
44.691175,23.909775,14.621225,78.2716
45.403675,23.941875,14.6831,78.289775
45.77,23.993525,14.874425,78.310975
45.95345,24.0347,14.91105,78.3374
46.085,24.0576,14.939825,78.733975
46.320325,24.16935,14.97355,78.942575
46.503075,24.171125,15.111775,78.950325
46.864625,24.19085,15.2326,78.955625
46.87395,24.498475,15.301225,78.964325
47.222675,24.70895,15.393425,78.9705
47.62465,24.75585,15.453825,79.15285
47.745525,24.8342,15.588575,79.15795
47.93865,24.857125,15.68275,79.1681
48.38415,25.3883,15.758475,79.282075
48.709725,25.404825,15.835775,79.297675
48.88695,25.420725,16.024975,79.3137
49.793375,25.5522,16.108325,79.331525
50.00185,25.567675,16.1404,79.33875
50.21615,25.586475,16.1601,79.3501
50.3633,25.8574,16.237225,79.3694
50.9269,25.908275,16.30245,79.423125
51.1397,25.9246,16.413975,79.437575
51.27365,26.02635,16.46765,79.557725
51.424175,26.28835,16.49555,79.9538
51.593225,26.298,16.5827,79.968075
51.610925,26.35765,16.6469,80.65405
51.856725,26.393825,16.699175,80.683225
51.9606,26.4136,16.793575,80.70335
52.215525,26.57455,16.8222,80.715625
52.3586,26.727275,16.8522,80.751125
52.619475,26.861,16.922825,80.823925
52.712925,26.9191,16.99575,81.415225
52.953875,26.9406,17.022325,81.449175
53.0746,27.0451,17.0362,82.5471
53.2849,27.0647,17.0423,82.5586
53.678925,27.119225,17.0554,82.565425
53.73965,27.139975,17.074375,82.579
54.166175,27.16765,17.1662,82.593375
54.751575,27.207775,17.185275,82.6087
54.841325,27.3514,17.25185,82.613625
55.086725,27.3753,17.29735,82.6225
55.17295,27.4261,17.6715,82.6436
55.45435,27.4551,17.685475,82.65285
55.560625,27.610075,17.891525,82.684425
55.6677,27.64695,17.9061,82.694
55.96035,27.73445,17.924875,82.713325
56.1145,27.760975,18.27015,82.729375
56.3786,27.85375,18.295325,82.75445
56.5127,27.865725,18.299475,82.765475
56.6138,27.9679,18.368925,83.17735
56.87615,28.033475,18.40675,83.200875
56.947725,28.12165,18.425925,83.2201
57.3052,28.1532,18.443675,83.29375
57.359525,28.5137,18.462275,83.774525
57.782425,28.5458,18.5237,85.359425
58.662775,28.55465,18.678,85.41615
59.086675,28.587525,18.6982,85.684975
60.270175,28.66925,18.7241,85.7164
60.3344,28.69105,18.7278,86.057325
61.449275,28.755175,18.785675,86.070125
61.82515,28.802025,18.80305,86.0831
63.2522,28.866875,18.873125,86.27285
63.36795,28.9399,18.9742,86.292375
64.101825,28.998,18.997275,86.314525
64.2797,29.26655,19.045225,86.3592
66.167375,29.287175,19.0664,86.6386
67.0472,29.337775,19.09865,86.650325
67.77295,29.3571,19.7438,86.670875
68.56585,29.392875,20.108775,86.7488
69.789025,29.413825,20.2669,87.1691
70.88145,29.435175,20.316375,87.20765
71.13225,29.457525,20.43685,87.2839
71.5333,29.472925,20.612775,87.645875
71.835475,29.536925,20.65545,88.292
72.260775,29.725825,20.68875,88.87225
72.568875,29.734475,20.77115,89.319775
73.148575,29.763825,20.814075,89.3485
74.167525,29.821075,20.8481,90.531875
74.83805,29.963875,20.937775,90.539025
74.91975,30.029425,21.069225,90.5833
76.64,30.13665,21.1035,91.122475
77.360025,30.195525,21.16955,91.609525
77.50845,30.468225,21.195025,92.042575
78.457,30.710725,21.2224,92.0472
79.286,30.788475,21.2746,92.05445
80.810825,31.11065,21.357,92.793075
82.369125,31.155225,21.3808,93.065825
83.630425,31.169275,21.522275,93.0759
83.871625,31.175525,21.85005,93.086775
85.2695,31.239275,21.873125,93.109375
85.39605,31.4928,21.8889,93.522375
85.4918,31.50925,21.9563,93.53355
85.61605,31.534525,22.1727,93.5538
86.253275,31.54805,22.180475,93.562125
86.4356,31.57655,22.20915,93.580325
88.85865,31.591775,22.2369,93.67285
93.885375,31.606975,22.347,93.693375
94.00545,31.627675,22.4556,93.717
95.396125,31.664125,22.531825,94.05465
96.26825,31.72245,22.6048,94.0727
101.839,31.891325,22.64205,94.08535
105.919,32.155825,22.762675,94.25265
113.405675,32.165675,22.76605,94.537825
114.239475,32.19215,23.13085,94.548825
116.58525,32.26205,23.18905,94.556075
117.4729,32.4179,23.2381,94.56555
118.652375,32.5815,23.2819,94.57505
122.007275,32.60285,23.39425,94.58935
122.48685,32.628775,23.41725,94.621075
123.28665,32.6443,23.489225,94.854675
123.600225,32.71265,23.574025,94.865575
124.078575,32.7696,23.625775,94.877975
130.211375,33.033725,23.6956,94.895625
130.632775,33.065075,23.7269,94.917525
132.597525,33.08075,23.94665,94.92465
133.509175,33.09185,24.0667,94.935175
137.12335,33.1008,24.0952,94.9431
139.89165,33.499525,24.169375,94.971825
142.4575,33.54315,24.245,95.234775
148.124625,33.57535,24.3221,95.249125
150.23055,33.592075,24.380275,95.255875
152.320625,33.606825,24.43815,95.26685
166.583525,33.7694,24.52655,95.27765
174.00375,34.07965,24.5445,95.28925
178.1485,34.09705,24.548075,95.314925
180.2214,34.1241,24.70605,95.56455
206.91505,34.141725,24.77525,95.594175
235.603425,34.2609,24.8342,95.92975
,34.343775,24.8849,95.93825
,34.56515,24.953425,95.94905
,34.583,25.062875,95.964775
,34.59805,25.145375,96.288425
,34.6745,25.374975,96.29635
,34.903125,25.400125,96.3047
,34.93775,25.423625,96.31225
,34.974675,25.43365,96.329725
,35.09725,25.84345,96.7219
,35.208425,25.8869,96.728725
,35.40195,25.972675,96.73695
,35.4453,26.2476,96.7502
,35.446375,26.454375,96.757275
,35.469475,26.49125,96.78435
,35.5004,26.573525,96.910625
,35.515275,26.737675,97.1779
,35.67605,26.8533,97.18685
,35.872975,26.907425,97.1965
,35.924075,26.9407,97.216225
,35.966325,26.97015,97.22765
,36.20395,26.9939,97.245075
,36.356975,27.018675,97.267825
,36.3982,27.042075,97.28825
,36.5126,27.078925,97.30995
,36.5552,27.3022,97.323125
,36.572375,27.48945,97.332725
,36.59415,27.530725,97.651675
,36.635725,27.557125,97.6612
,36.653025,27.620225,97.668725
,36.68775,27.8357,97.6807
,36.74655,27.901275,97.69765
,36.77885,27.9039,97.73135
,36.951775,28.00125,97.76715
,37.00655,28.133625,97.802375
,37.0246,28.151825,97.8287
,37.076275,28.20165,98.100775
,37.090625,28.2529,98.124025
,37.1246,28.450725,98.13755
,37.1517,28.670425,98.170375
,37.1662,28.9611,98.206125
,37.2584,28.9773,98.23985
,37.287475,29.239375,98.269325
,37.330775,29.4208,98.31205
,37.4089,29.4901,98.587275
,37.4869,29.6315,98.594275
,37.5046,29.711375,98.6073
,37.5312,29.736175,98.616525
,37.55035,29.76785,98.631625
,37.565375,30.146725,98.63765
,37.60655,30.213975,98.647925
,37.628225,30.30385,98.687975
,37.771575,30.400625,98.737675
,37.8058,30.432125,99.11285
,37.871975,30.4683,99.1214
,38.133675,30.480275,99.131125
,38.15695,30.550475,99.177525
,38.274325,31.110675,99.198725
,38.409825,31.1553,99.226075
,38.469725,31.205075,99.245925
,38.749525,31.383875,99.267975
,38.77755,31.4337,99.306875
,38.8124,31.4463,99.6362
,39.03475,31.47525,99.64655
,39.0512,31.538525,99.6696
,39.112525,31.666875,99.679075
,39.2099,31.706925,99.69895
,39.27915,31.727725,99.70685
,39.51745,31.7627,99.791775
,39.527025,31.8046,99.8216
,39.571175,31.985275,99.85145
,39.651525,32.205625,100.367775
,39.777175,32.430325,100.6886
,39.8304,32.58155,100.710875
,39.9544,32.753275,100.725325
,40.172,32.93485,100.7358
,40.209725,33.075075,100.7662
,40.2332,33.3902,100.84055
,40.28615,33.49955,100.9959
,40.2962,33.51545,101.019825
,40.321275,33.521125,101.24545
,40.3313,33.66375,101.2598
,40.35035,33.68825,101.277725
,40.8345,33.754525,101.315475
,40.86605,33.903525,101.339625
,41.051425,33.957525,101.7735
,41.069625,34.097075,101.8282
,41.10135,34.129225,102.250425
,41.155,34.206425,102.635575
,41.18545,34.223925,102.652825
,41.21685,34.22675,102.6671
,41.229925,34.2777,102.701325
,41.32615,34.488775,102.7162
,41.431275,34.587,102.730075
,41.449575,34.7608,103.00995
,41.75365,34.787475,103.49445
,41.780825,34.88845,103.5271
,41.791125,35.06575,103.57235
,41.79525,35.088625,103.6201
,41.804375,35.1055,103.9547
,41.8243,35.460525,103.966175
,41.888225,35.477625,103.9971
