SPK_SPKC07a (inh/exc),SPK_SPKC09b (no resonse),SPK_SPKC10a (exc),SPK_SPKC13a (inh)
10.0007,5.536825,4.297575,3.978825
10.0584,5.600075,4.3258,4.011225
10.07715,5.630075,4.363325,4.0372
10.099925,5.66115,4.400375,4.124825
10.194025,5.73315,4.450425,4.234625
10.33325,5.762625,4.45985,4.277125
10.349275,5.83865,4.470075,4.31015
10.444,5.8947,4.489825,4.366725
10.70705,5.95725,4.497275,4.402475
10.879875,5.9721,4.505225,4.43905
10.926325,6.0646,4.534225,4.449775
10.957175,6.074275,4.5458,4.455425
10.98555,6.0803,4.557175,4.471425
11.080425,6.08345,4.572225,4.477525
11.18925,6.08495,4.58425,4.48725
11.2124,6.100375,4.598275,4.4944
11.231725,6.103475,4.61985,4.504225
11.233925,6.1093,4.6488,4.52305
11.289575,6.121825,4.680825,4.5303
11.293825,6.129325,4.74265,4.53605
11.34015,6.140975,4.793425,4.54335
11.439225,6.155575,4.817275,4.555775
11.473525,6.172825,4.859975,4.564275
11.526075,6.19695,4.898275,4.5751
11.527675,6.20305,4.9334,4.583675
11.67405,6.24875,4.965825,4.607425
11.70055,6.26605,5.044775,4.62105
11.76335,6.272525,5.070975,4.633125
11.82915,6.286975,5.08825,4.6416
11.84975,6.30825,5.1267,4.6571
11.909325,6.3145,5.151175,4.665175
11.929375,6.32615,5.18,4.708325
11.95695,6.336075,5.20225,4.724625
11.999925,6.337975,5.2267,4.738775
12.032925,6.347525,5.269575,4.782475
12.034475,6.360525,5.30185,4.80835
12.067175,6.363075,5.334475,4.903675
12.099825,6.4092,5.37455,4.9383
12.253525,6.425675,5.40775,4.96905
12.29655,6.4364,5.4368,4.972175
12.331075,6.455175,5.5083,4.9868
12.36895,6.47205,5.5366,5.070875
12.4409,6.48535,5.563025,5.10385
12.475975,6.514,5.5978,5.135125
12.50515,6.52085,5.6652,5.1363
12.580175,6.56925,5.69675,5.167875
12.6234,6.580075,5.777625,5.2
12.639575,6.5812,5.820225,5.231725
12.700825,6.61505,5.860025,5.251325
12.819675,6.62595,5.898025,5.2754
12.918325,6.638575,5.9384,5.296725
13.108125,6.649625,5.96755,5.302225
13.15415,6.662625,5.9957,5.336
13.17915,6.69105,6.047975,5.372775
13.2232,6.706775,6.073375,5.40495
13.2591,6.7283,6.0809,5.4346
13.33235,6.773,6.09445,5.467025
13.35815,6.80185,6.1059,5.490375
13.42505,6.8103,6.120575,5.5221
13.45915,6.818675,6.14425,5.5835
13.5253,6.8492,6.1563,5.61985
13.566575,6.85685,6.164625,5.64755
13.60535,6.8647,6.1725,5.690475
13.6359,6.88665,6.1822,5.737875
13.83465,6.89175,6.191175,5.757225
13.968225,6.9247,6.197925,5.803425
14.255875,6.941575,6.214875,5.852575
14.29795,6.94915,6.2387,5.90555
14.304875,6.9663,6.24455,5.94595
14.3288,6.97205,6.253825,5.98635
14.373125,7.00745,6.26265,6.0276
14.4005,7.017775,6.2922,6.0725
14.4228,7.027525,6.309275,6.078875
14.463075,7.03975,6.327025,6.0868
14.55765,7.081625,6.37105,6.091725
14.6087,7.117825,6.37755,6.100225
14.6319,7.122375,6.40155,6.10515
14.78855,7.131625,6.411675,6.109825
14.831525,7.13695,6.4351,6.116475
14.95085,7.1553,6.452825,6.121675
15.12075,7.178575,6.48665,6.13295
15.20595,7.202925,6.495925,6.13945
15.738075,7.218275,6.520625,6.159725
15.776175,7.2389,6.536,6.16535
15.88605,7.264175,6.55145,6.171625
15.902575,7.267525,6.565275,6.182475
