SPK_SPKC07a (inh/exc),SPK_SPKC09b (no resonse),SPK_SPKC10a (exc),SPK_SPKC13a (inh)
120.4271,57.732875,49.069825,42.6459
120.492725,57.769425,49.084725,42.674175
120.6665,57.808075,49.104825,42.724125
120.702725,57.8261,49.170725,42.743625
120.753075,57.8374,49.20265,42.762975
120.804825,57.89165,49.228475,42.7776
120.840975,57.9068,49.262875,42.790125
120.8823,57.913675,49.29135,42.796075
120.913975,57.937075,49.3158,42.80125
121.196,57.99735,49.345425,42.81485
121.227825,58.07735,49.367525,42.820175
121.354025,58.112475,49.397525,42.824475
121.4196,58.17225,49.4216,42.86075
121.447825,58.281,49.477175,42.872825
121.551425,58.30735,49.500225,42.881525
121.5625,58.369475,49.519625,42.8939
121.5934,58.3923,49.543025,42.920325
121.6382,58.402375,49.565375,42.925975
121.6794,58.4194,49.59215,42.9423
121.735575,58.4316,49.6305,42.94865
121.83335,58.448525,49.68315,42.959475
121.86715,58.5204,49.7062,42.969625
121.936025,58.533375,49.73945,42.993925
121.965375,58.544275,49.76795,43.0196
122.0456,58.55655,49.80095,43.02765
122.2465,58.5753,49.834825,43.037625
122.28915,58.59705,49.866475,43.04875
122.3687,58.654225,49.887425,43.062225
122.4877,58.694925,49.922325,43.099025
122.5667,58.7396,49.982925,43.110725
122.6434,58.773525,50.002975,43.14385
122.69255,58.825125,50.038225,43.1524
122.717325,58.863075,50.05835,43.164525
122.753525,58.8945,50.069475,43.17935
122.8408,58.921375,50.0808,43.192525
122.91925,58.9525,50.095375,43.224325
122.9997,58.983325,50.1079,43.24275
123.0788,59.009125,50.120875,43.261725
123.1321,59.053525,50.1421,43.27835
123.17775,59.0615,50.150425,43.301025
123.2263,59.102275,50.177325,43.3272
123.4366,59.142475,50.1892,43.34355
123.519575,59.183925,50.200825,43.36425
123.7983,59.234125,50.23815,43.407925
123.80445,59.252575,50.252675,43.4956
124.032325,59.279425,50.2751,43.51895
124.076525,59.3286,50.295625,43.5488
124.08195,59.386625,50.311225,43.5664
124.17105,59.451375,50.334425,43.617475
124.342075,59.4974,50.3614,43.6528
124.38035,59.546275,50.38725,43.664625
124.484375,59.575425,50.42395,43.673275
124.518275,59.616725,50.455525,43.681825
124.711825,59.64815,50.507225,43.70975
124.80275,59.66495,50.52515,43.723575
124.847825,59.674125,50.5463,43.734025
124.950675,59.719,50.58155,43.742175
125.0744,59.735725,50.61785,43.782575
125.099375,59.755025,50.644775,43.793325
125.15205,59.8019,50.668025,43.81185
125.207325,59.829775,50.689025,43.82305
125.2349,59.8656,50.723875,43.83225
125.291925,59.88965,50.7521,43.855925
125.31815,59.9229,50.768325,43.86555
125.3504,60.0992,50.776475,43.8755
125.479025,60.151425,50.7865,43.8896
125.49505,60.19525,50.80725,43.9054
125.5836,60.210325,50.819075,43.949725
125.6194,60.22285,50.84725,43.96315
125.6536,60.254975,50.8585,43.984475
125.7784,60.273675,50.8965,44.0036
125.821125,60.31255,50.919,44.01555
125.9235,60.329075,50.9299,44.0366
125.94585,60.350375,50.956675,44.055325
125.9867,60.389425,50.982975,44.067675
126.024625,60.411175,51.0092,44.0746
126.09955,60.427375,51.028925,44.112075
126.115575,60.4783,51.0537,44.13385
126.1467,60.49425,51.086225,44.1606
126.249,60.507775,51.117775,44.202125
126.313675,60.55045,51.14865,44.24095
126.42005,60.600275,51.1751,44.266625
126.500075,60.63435,51.20555,44.27325
126.563775,60.6863,51.23345,44.279925
126.650925,60.7098,51.267025,44.298925
126.77515,60.748425,51.31315,44.3049
126.81815,60.822575,51.353425,44.334075
126.85645,60.8579,51.391825,44.3384
126.9656,60.90055,51.418,44.370575
127.00355,60.928125,51.44615,44.3882
127.07285,60.9411,51.48195,44.3952
127.123725,60.94545,51.51655,44.4025
127.1646,60.948775,51.5742,44.4197
127.194475,60.9701,51.604175,44.4359
127.2855,60.97875,51.651575,44.452375
127.43415,60.983225,51.693225,44.46175
127.555475,60.986525,51.722475,44.484125
127.663225,61.015725,51.76125,44.501575
127.700825,61.0496,51.790875,44.5126
127.771975,61.069625,51.801775,44.5325
127.8611,61.0765,51.811825,44.541025
128.10205,61.08345,51.8226,44.5601
128.13885,61.117225,51.83175,44.568475
128.1712,61.131925,51.843625,44.5895
128.249125,61.137875,51.8563,44.59645
128.33045,61.1398,51.867125,44.621875
128.350575,61.183275,51.87645,44.69025
128.392025,61.192875,51.88895,44.751975
128.433425,61.1998,51.9012,44.785325
128.47985,61.208775,51.912375,44.798875
128.6231,61.2244,51.92635,44.850175
128.78085,61.2478,51.936725,44.86575
128.9416,61.256375,51.95225,44.8887
128.960475,61.26075,51.964525,44.909825
128.982175,61.2679,51.976825,44.979975
129.02165,61.27545,52.02095,44.9919
129.150725,61.29405,52.07205,45.01425
129.217975,61.3022,52.15715,45.02505
129.4062,61.31935,52.179175,45.033525
129.4882,61.333775,52.212975,45.043575
129.55645,61.336075,52.241875,45.06855
129.5613,61.3486,52.277475,45.08255
129.676775,61.359925,52.302425,45.12545
129.707075,61.368775,52.325325,45.1519
129.794625,61.393025,52.3583,45.1725
129.98585,61.4045,52.38785,45.208125
130.028075,61.4254,52.426375,45.2171
130.04475,61.440625,52.465775,45.2306
130.080325,61.452575,52.4992,45.257075
130.187875,61.471425,52.527875,45.29745
130.314125,61.4831,52.550325,45.33595
130.34475,61.516975,52.570875,45.3632
130.423175,61.52545,52.6026,45.39005
130.5959,61.5676,52.630925,45.414425
130.728075,61.595375,52.655375,45.426975
130.7631,61.621325,52.669025,45.437575
130.79945,61.676325,52.68075,45.4606
130.87275,61.703875,52.691525,45.500475
130.9537,61.720125,52.6989,45.518625
131.03215,61.7429,52.73,45.53695
131.0639,61.7974,52.741175,45.561325
131.095975,61.82,52.76505,45.5855
131.189275,61.886875,52.7967,45.605925
131.29295,61.8937,52.8244,45.700725
131.33625,61.900925,52.839625,45.72385
131.41445,61.916175,52.85655,45.75655
131.726875,61.927975,52.87345,45.777525
131.766325,61.929725,52.884175,45.81865
131.868875,61.949125,52.900925,45.855
131.983925,61.95685,52.92495,45.8734
132.026925,61.96705,52.939975,45.92845
132.14815,61.9768,52.961225,45.98415
132.308625,61.997625,52.9872,46.02095
132.39385,62.020925,53.00265,46.060525
132.46615,62.036175,53.042575,46.094475
132.4979,62.0726,53.0603,46.12305
132.531725,62.100125,53.079225,46.192275
132.7138,62.13585,53.14235,46.24325
132.74875,62.17565,53.167175,46.2832
132.781825,62.214,53.1933,46.309125
132.887775,62.251875,53.2243,46.349475
132.9258,62.297175,53.247025,46.392875
133.014925,62.32955,53.287175,46.43265
133.055975,62.35265,53.328575,46.485725
133.18745,62.38065,53.349575,46.532525
133.288825,62.392775,53.3761,46.5727
133.3927,62.39765,53.41015,46.593875
133.5298,62.40415,53.43445,46.60245
133.621775,62.409975,53.46975,46.61075
133.766275,62.448625,53.49345,46.61785
133.8762,62.459,53.52265,46.62455
133.920025,62.4602,53.56,46.65875
133.96185,62.490225,53.6022,46.680325
134.04945,62.509325,53.642625,46.690175
134.087675,62.527425,53.681075,46.713075
134.239975,62.537225,53.7208,46.72195
134.314675,62.545175,53.758175,46.81635
134.44805,62.552875,53.79285,46.8443
134.48835,62.5606,53.814875,46.879125
134.5357,62.567175,53.84935,46.91205
134.627025,62.57275,53.862975,46.9516
134.67985,62.60175,53.88055,46.980075
134.76245,62.619275,53.90885,47.007225
134.816825,62.625,53.92645,47.03105
134.8612,62.6472,53.9444,47.066625
134.899175,62.65575,53.965775,47.09075
134.984125,62.7042,53.9901,47.128525
135.026625,62.7164,54.00475,47.162925
135.07295,62.76915,54.059725,47.209675
135.162975,62.8103,54.083525,47.24655
135.1988,62.862525,54.106,47.30425
135.515775,62.900475,54.131325,47.347525
135.59075,62.968825,54.16205,47.429175
135.627375,63.004475,54.1892,47.46755
135.70235,63.062725,54.219875,47.57745
135.777175,63.11915,54.246725,47.59265
135.99835,63.148525,54.269225,47.604
136.06125,63.193925,54.30315,47.617425
136.106875,63.226325,54.3435,47.6251
136.149025,63.2456,54.37465,47.6312
136.190725,63.271375,54.3907,47.6397
136.274175,63.302275,54.3992,47.644425
136.308275,63.312275,54.41495,47.650275
136.348425,63.330875,54.43335,47.6789
136.39025,63.346725,54.451775,47.688025
136.426725,63.359825,54.47795,47.6978
136.462125,63.3774,54.501325,47.7182
136.507175,63.41545,54.527525,47.74695
136.5534,63.44485,54.554125,47.785725
136.6091,63.48875,54.58555,47.81265
136.66525,63.51495,54.619725,47.838075
136.8855,63.557675,54.642075,47.8994
136.9562,63.6019,54.6771,47.921075
136.966875,63.6437,54.7047,47.9621
137.006125,63.67575,54.732275,47.987
137.102775,63.703875,54.760275,48.009025
137.144975,63.767025,54.78855,48.03105
137.17175,63.794625,54.82375,48.0976
137.30645,63.7996,54.8434,48.139425
137.3516,63.81365,54.874175,48.1648
137.38445,63.82535,54.90565,48.204025
137.518525,63.83585,54.9352,48.33805
137.561875,63.84415,54.967375,48.3717
137.6408,63.8712,54.993425,48.405375
137.688425,63.882525,55.017875,48.4409
137.724075,64.0305,55.048875,48.4777
137.77035,64.0559,55.07155,48.51665
137.8793,64.07975,55.096,48.52575
137.929525,64.130525,55.115325,48.5314
137.9554,64.197275,55.130825,48.541025
137.96375,64.227,55.138825,48.57115
138.0121,64.289075,55.14625,48.59375
138.016475,64.3232,55.1584,48.616575
138.069025,64.327275,55.166925,48.651625
138.120725,64.34985,55.1812,48.708775
138.164775,64.4005,55.191725,48.75845
138.212775,64.41865,55.21625,48.813125
138.2778,64.4398,55.2245,48.831625
138.307125,64.46545,55.23375,48.83925
138.33625,64.4955,55.247725,48.853675
138.369475,64.528525,55.26935,48.858675
138.43355,64.56375,55.2953,48.864625
138.464825,64.595475,55.3083,48.8707
138.500725,64.627,55.318575,48.8757
138.6764,64.667025,55.330025,48.894775
138.7031,64.69925,55.3764,48.901425
138.7258,64.7509,55.3892,48.9077
138.7849,64.771925,55.407975,48.9138
138.85115,64.889625,55.4207,48.91925
138.886275,64.9822,55.43325,48.926125
138.9552,65.052775,55.4827,48.93505
138.9909,65.070325,55.49925,48.95415
139.0367,65.108175,55.5179,48.963075
139.069825,65.118,55.533575,48.9705
139.15905,65.131125,55.5699,48.98185
139.2011,65.15,55.587375,49.00375
139.2335,65.1642,55.600625,49.01505
139.3219,65.183725,55.62165,49.024625
139.35725,65.204525,55.648125,49.070075
139.389125,65.22805,55.671875,49.08415
139.581875,65.2401,55.694725,49.1056
139.6254,65.2989,55.7179,49.151525
139.7133,65.32775,55.74105,49.1829
139.81495,65.3507,55.77225,49.22305
139.86155,65.38415,55.80475,49.2947
139.903225,65.40555,55.83505,49.31845
139.961075,65.445375,55.8696,49.354375
139.9908,65.51285,55.874725,49.447575
140.1211,65.547375,55.8987,49.486075
140.1648,65.589275,55.92685,49.5085
140.302075,65.625325,55.950025,49.52775
140.350925,65.683475,55.9556,49.575175
140.4958,65.712175,55.963975,49.5985
140.58775,65.745475,55.972875,49.624225
140.650925,65.76855,55.98435,49.6429
140.707425,65.77235,56.002625,49.6572
140.7495,65.78235,56.015725,49.672625
140.78745,65.787475,56.026725,49.6919
140.897625,65.800625,56.0557,49.724525
140.985525,65.80665,56.068275,49.753425
141.048625,65.8309,56.07575,49.776475
141.062875,65.8343,56.092325,49.8007
141.158575,65.843725,56.1076,49.87295
141.193175,65.85555,56.1196,49.909325
141.232075,65.884025,56.133075,49.942825
141.384925,65.929975,56.14615,49.9821
141.45455,65.942175,56.1898,50.002975
141.5626,65.96605,56.2007,50.0333
141.6862,65.980775,56.213225,50.047675
141.722975,66.0377,56.238,50.055375
141.821175,66.0502,56.25245,50.068225
141.9227,66.056475,56.273825,50.0791
142.01065,66.0696,56.288325,50.088775
142.156125,66.111625,56.3074,50.0952
142.195175,66.131,56.324425,50.109925
142.3557,66.1844,56.339275,50.11675
142.4401,66.2197,56.36215,50.126325
142.4672,66.254675,56.395325,50.1342
142.4752,66.285975,56.4146,50.163025
142.554975,66.365675,56.44945,50.184675
142.6745,66.41705,56.4655,50.194
142.75105,66.434225,56.48775,50.20505
142.826375,66.46,56.510325,50.2159
142.90595,66.484925,56.531225,50.230775
142.97955,66.508225,56.54425,50.241225
143.015875,66.52455,56.572475,50.25295
143.0618,66.5374,56.5891,50.283275
143.137825,66.57285,56.621275,50.29925
143.1746,66.590575,56.63875,50.31155
143.2501,66.61595,56.68465,50.3342
143.282025,66.637675,56.7046,50.352175
143.330275,66.72125,56.734325,50.39845
143.43595,66.76555,56.7679,50.42555
143.500675,66.807,56.8047,50.45325
143.624775,66.8344,56.836575,50.4804
143.675175,66.892775,56.855975,50.50505
143.703875,66.9058,56.871925,50.52575
143.74765,66.9206,56.888625,50.5538
143.772375,66.929,56.903075,50.62325
143.837725,66.938675,56.9249,50.64715
143.965525,66.984525,56.944075,50.669075
144.039675,66.99025,56.966425,50.708875
144.0778,67.0123,56.9861,50.725375
144.129725,67.020825,57.015425,50.72865
144.1667,67.035825,57.04795,50.747275
144.293875,67.0635,57.06795,50.7594
144.316375,67.07195,57.094825,50.76905
144.377175,67.0991,57.124625,50.773725
144.41865,67.129125,57.150325,50.778225
144.508325,67.136925,57.18395,50.781625
144.627725,67.1453,57.2129,50.7879
144.693025,67.147825,57.237525,50.793475
144.708725,67.157825,57.27455,50.8058
144.816825,67.168,57.303475,50.8173
144.931975,67.178475,57.356775,50.8321
145.039025,67.2438,57.390725,50.853525
145.1306,67.260125,57.4114,50.864075
145.21435,67.382175,57.4333,50.877975
145.25425,67.409275,57.4699,50.8905
145.33035,67.443625,57.513275,50.9088
145.43845,67.47525,57.55655,50.93075
145.486675,67.4992,57.58435,50.952
145.5282,67.54745,57.615325,50.991425
145.572475,67.575725,57.640425,51.009925
145.618,67.5961,57.674275,51.063175
145.64325,67.597875,57.7159,51.126875
145.662925,67.6238,57.74435,51.158875
145.704175,67.6744,57.78315,51.197025
145.738425,67.7227,57.80905,51.259
145.7746,67.76295,57.828125,51.2948
145.7842,67.799475,57.847275,51.315425
145.8168,67.9325,57.868175,51.338425
146.0199,67.9798,57.890775,51.3639
146.0584,68.0183,57.91185,51.382375
146.09785,68.042025,57.9419,51.405125
146.103775,68.08875,57.9746,51.4255
146.147625,68.11685,58.016475,51.45175
146.229925,68.1522,58.0483,51.483725
146.272075,68.165175,58.0776,51.546
146.304125,68.171525,58.0994,51.580825
146.38405,68.17825,58.120075,51.6431
146.479525,68.1847,58.1595,51.677325
146.52635,68.1913,58.19645,51.764375
146.582,68.203075,58.269325,51.792975
146.84735,68.2166,58.298775,51.801675
146.91465,68.221975,58.31885,51.812475
147.000125,68.229575,58.360025,51.82535
147.05265,68.24995,58.3929,51.82895
147.151775,68.279075,58.425625,51.8398
147.23055,68.3395,58.450675,51.860025
147.27185,68.371,58.47825,51.864925
147.309375,68.378275,58.504925,51.871675
147.366175,68.39485,58.5263,51.8794
147.400475,68.409175,58.573875,51.90155
147.43785,68.4319,58.609175,51.92175
147.55125,68.4436,58.635025,51.939975
147.672425,68.46835,58.65935,51.9471
147.754475,68.48615,58.68885,51.96265
147.784075,68.500175,58.715825,52.0066
147.89845,68.569,58.7534,52.01985
148.131575,68.5917,58.7947,52.033875
148.172025,68.622,58.82085,52.0496
148.216,68.657275,58.857575,52.0705
148.2388,68.699325,58.914,52.07985
148.252375,68.731575,58.939425,52.0996
148.2921,68.73715,58.9979,52.12145
148.336475,68.77115,59.0319,52.140525
148.4078,68.814275,59.0625,52.16465
148.460675,68.855925,59.095375,52.18565
148.5089,68.906925,59.131975,52.216125
148.5489,68.939475,59.1617,52.2427
148.5914,68.961425,59.194975,52.267175
148.64545,69.005775,59.230925,52.318325
148.73095,69.010025,59.266175,52.346225
148.770425,69.020225,59.285425,52.396525
148.7767,69.0295,59.3167,52.439625
148.8496,69.044275,59.35545,52.477725
148.90165,69.06725,59.3903,52.506025
148.939625,69.08245,59.4272,52.54895
148.994875,69.1184,59.474,52.5891
149.03685,69.1841,59.50055,52.619225
149.113,69.23105,59.53915,52.638
149.1735,69.259475,59.56845,52.655225
149.222425,69.306825,59.601675,52.672625
149.2525,69.3613,59.65125,52.67895
149.302575,69.404975,59.694275,52.686125
149.338,69.433625,59.72565,52.700575
149.3834,69.462175,59.75215,52.707825
149.4233,69.50375,59.7843,52.71285
149.6975,69.5512,59.819275,52.72815
149.8016,69.608925,59.845675,52.740075
149.8844,69.662475,59.876425,52.747225
149.927875,69.76655,59.901675,52.794625
150.005675,69.816475,59.933125,52.832175
150.035475,69.831725,59.957675,52.85305
150.27695,69.839225,59.9848,52.878875
150.4879,69.844325,60.006575,52.9047
150.498325,69.849025,60.03845,52.94095
150.526125,69.86015,60.058125,52.9698
150.571375,69.86935,60.0955,52.9913
150.60595,69.8879,60.125725,53.01895
150.751375,69.900725,60.146175,53.109575
151.017375,69.908675,60.16015,53.13575
151.033675,69.9452,60.199625,53.1825
151.064125,69.964525,60.221275,53.21785
151.1563,70.032425,60.2562,53.286925
151.231025,70.055075,60.2741,53.343775
151.2771,70.08765,60.351225,53.365425
151.45155,70.13755,60.3735,53.390975
151.573725,70.167975,60.39445,53.417
151.646375,70.2128,60.41245,53.45185
151.7196,70.26035,60.43355,53.5152
151.78235,70.30415,60.4645,53.539775
151.82335,70.359975,60.489975,53.583525
151.89905,70.38335,60.514825,53.6103
152.083225,70.39435,60.532975,53.65815
152.13475,70.42985,60.5563,53.717375
152.1981,70.45655,60.56835,53.7991
152.239425,70.482,60.586675,53.817
152.272025,70.5157,60.6174,53.83225
152.522925,70.5464,60.649825,53.8447
152.558025,70.5879,60.66925,53.85495
152.59185,70.612375,60.692625,53.863
152.7037,70.63485,60.718825,53.8705
152.7512,70.682375,60.746925,53.8795
152.793025,70.7108,60.77555,53.8889
152.833775,70.733925,60.822425,53.901125
152.908825,70.73535,60.85955,53.913525
152.94855,70.7748,60.8827,53.92645
153.020225,70.820875,60.9033,53.938
153.139375,70.855775,60.9229,53.949975
153.226,70.960275,60.93645,53.96715
153.269,70.994875,60.941725,53.984775
153.293025,71.0167,60.9469,54.0316
153.38125,71.03145,60.968875,54.046075
153.5468,71.050675,60.9896,54.090675
153.552975,71.058125,60.995825,54.1302
153.576775,71.07335,61.002075,54.1618
153.67155,71.0803,61.023675,54.192875
153.70585,71.08605,61.0377,54.221475
153.74535,71.093475,61.0591,54.261
153.8096,71.09905,61.084075,54.303625
153.851375,71.1068,61.096325,54.3468
153.9807,71.115375,61.114425,54.37535
154.03155,71.11975,61.128,54.38995
154.066775,71.127625,61.16165,54.3992
154.099125,71.133325,61.172275,54.413675
154.185875,71.158175,61.192725,54.4372
154.226675,71.165775,61.210075,54.4607
154.3067,71.197225,61.225575,54.480875
154.3602,71.219825,61.235875,54.51775
154.3747,71.230625,61.244975,54.548575
154.416725,71.2475,61.25675,54.58015
154.471675,71.30625,61.27775,54.6333
154.512575,71.32155,61.283625,54.652025
154.544575,71.3432,61.287925,54.687525
154.61695,71.367625,61.302275,54.710825
154.6193,71.43275,61.313175,54.73845
154.746475,71.472325,61.323375,54.770775
154.792575,71.51645,61.355325,54.805925
154.823625,71.568375,61.368575,54.842125
154.905,71.606675,61.3853,54.884
154.917825,71.67125,61.4008,55.01335
155.011475,71.705025,61.424425,55.05155
155.05735,71.768225,61.4411,55.08765
155.097875,71.78745,61.45915,55.1135
155.1241,71.810275,61.48015,55.121375
155.146975,71.8814,61.50945,55.1264
155.183125,71.93585,61.5315,55.14375
155.18535,71.985625,61.55435,55.15685
155.223775,72.015625,61.575675,55.166925
155.27065,72.096625,61.59405,55.1752
155.4622,72.149475,61.621925,55.204325
155.503075,72.213025,61.64095,55.2347
155.541425,72.24925,61.6753,55.24265
155.9979,72.26505,61.709975,55.258625
156.00715,72.27435,61.732975,55.279925
156.09075,72.289875,61.759975,55.292625
156.151975,72.308975,61.788225,55.30095
156.22175,72.31555,61.818025,55.311075
156.261525,72.321075,61.839725,55.3424
156.3076,72.325725,61.869375,55.36115
156.364625,72.342825,61.888725,55.392225
156.604625,72.349275,61.900875,55.435125
156.64845,72.358275,61.911175,55.451
156.68985,72.40175,61.921475,55.465175
156.7564,72.412175,61.92915,55.475875
156.826975,72.4435,61.936475,55.49295
156.865775,72.4471,61.94995,55.50295
156.886475,72.454775,61.976225,55.516675
156.9227,72.49265,62.02165,55.539575
157.08845,72.549625,62.0529,55.5706
157.125625,72.589525,62.075025,55.6061
157.136425,72.679175,62.104275,55.642075
157.2717,72.72755,62.131925,55.67545
157.481875,72.756775,62.1621,55.691075
157.51035,72.782525,62.201975,55.71145
157.58035,72.8642,62.23155,55.739275
157.61245,72.893625,62.26,55.7924
157.645225,72.93355,62.280275,55.848425
157.77145,73.003275,62.303675,55.87355
157.842675,73.049025,62.341975,55.89865
157.9563,73.0934,62.36825,55.92805
157.998575,73.108175,62.376975,55.938775
158.068175,73.13945,62.388575,55.951
158.1643,73.156975,62.392125,55.974675
158.192075,73.179425,62.395675,55.981725
158.231075,73.20165,62.4065,55.9915
158.37745,73.3223,62.41775,56.01495
158.416375,73.373675,62.430325,56.023175
158.478925,73.44475,62.440925,56.031975
158.530625,73.481675,62.456375,56.0371
158.614475,73.5635,62.4652,56.0646
158.873275,73.5887,62.48665,56.07895
158.9111,73.593575,62.499475,56.08615
158.953075,73.59505,62.514675,56.0979
159.056275,73.60765,62.52495,56.10625
159.336175,73.621975,62.55035,56.111625
159.387975,73.639275,62.563375,56.119
159.4289,73.643275,62.576025,56.124475
159.460325,73.7039,62.587625,56.13335
159.463225,73.71985,62.6102,56.1444
159.54395,73.737425,62.62405,56.15305
159.5737,73.7422,62.635275,56.1723
159.57795,73.7578,62.667275,56.18345
159.615875,73.760075,62.693975,56.19385
159.672,73.7667,62.74975,56.231
159.7175,73.7991,62.776475,56.2416
159.753275,73.829275,62.798425,56.2779
159.7891,73.870225,62.815225,56.303075
159.894825,73.907325,62.8433,56.311575
160.026925,73.921325,62.861475,56.3244
160.07035,73.974375,62.882175,56.36715
160.11725,74.053325,62.9004,56.38085
160.19165,74.08535,62.917125,56.3987
160.207075,74.125775,62.941825,56.4129
160.3285,74.282375,62.964225,56.4323
160.3694,74.297125,62.999025,56.452725
160.37065,74.319875,63.0274,56.5042
160.37695,74.326,63.069975,56.523
160.41015,74.329975,63.101325,56.547975
160.448225,74.344625,63.13125,56.578625
160.522875,74.35235,63.180725,56.6048
160.56635,74.3567,63.235725,56.6286
160.5753,74.36265,63.2631,56.711425
160.648025,74.369775,63.28335,56.74455
160.69825,74.3721,63.30425,56.783675
160.81335,74.377,63.322725,56.812575
160.87675,74.38965,63.359475,56.839075
160.939025,74.402225,63.37585,56.8613
161.0601,74.410975,63.3988,56.877125
161.122925,74.41985,63.42235,56.901625
161.30475,74.43565,63.4418,56.915875
161.347975,74.45725,63.47355,56.92995
161.428325,74.477675,63.50945,56.945925
161.50815,74.483675,63.536775,56.96415
161.5496,74.495075,63.567725,56.97915
161.5858,74.543175,63.6269,57.02365
161.62765,74.563,63.666425,57.064225
161.656875,74.609125,63.698375,57.1018
161.67095,74.666225,63.73015,57.140925
161.713975,74.743,63.7582,57.166425
161.840525,74.770425,63.77235,57.201975
161.917325,74.800725,63.786675,57.27945
161.996175,74.8493,63.796175,57.304
162.033975,74.88145,63.8062,57.322325
162.122925,74.912775,63.81935,57.336225
162.3228,74.95215,63.829375,57.35085
162.36465,75.012625,63.85245,57.3841
162.444275,75.066075,63.86615,57.395425
162.48215,75.124375,63.91895,57.411925
162.5062,75.165275,63.96865,57.46065
162.58305,75.2077,63.99625,57.53935
162.674775,75.297575,64.02445,57.568875
162.7886,75.35145,64.10205,57.59555
162.822375,75.384775,64.1286,57.66005
162.875575,75.413,64.1499,57.684625
162.9048,75.441025,64.17475,57.8062
162.9914,75.4534,64.20065,57.821425
163.071325,75.52485,64.237625,57.8359
163.14905,75.55875,64.284825,57.84955
163.241825,75.621825,64.350525,57.866875
163.309425,75.636025,64.378725,57.892825
163.445,75.652325,64.430925,57.9103
163.470875,75.6811,64.44725,57.9205
163.5455,75.691375,64.4726,57.9481
163.5809,75.720575,64.496225,57.97595
163.61745,75.7355,64.518525,58.036625
163.694625,75.7704,64.54255,58.061525
163.737375,75.802425,64.567575,58.11915
163.8454,75.847475,64.604475,58.149925
163.860525,75.914675,64.627425,58.18195
163.928225,75.935125,64.673375,58.230525
164.052475,75.96985,64.709375,58.25595
164.093,75.99925,64.744075,58.290175
164.13275,76.02025,64.771625,58.34465
164.3733,76.0493,64.800225,58.3767
164.383725,76.06035,64.8295,58.395075
164.412125,76.07165,64.8513,58.40965
164.446175,76.111825,64.879525,58.4201
164.478975,76.11875,64.912975,58.441975
164.5151,76.16025,64.955,58.46875
164.588275,76.194575,64.9873,58.48655
164.73165,76.22495,65.020625,58.506125
164.810225,76.234525,65.035475,58.521775
164.978625,76.258725,65.05835,58.533225
165.029925,76.355075,65.081,58.54845
165.060375,76.4,65.0982,58.562975
165.10185,76.43035,65.11295,58.5795
165.150225,76.48125,65.133775,58.596875
165.168075,76.507525,65.162175,58.622125
165.212725,76.532625,65.1859,58.650725
165.371975,76.54825,65.20885,58.679975
165.407575,76.56745,65.23675,58.78425
165.635875,76.617675,65.263325,58.813675
165.8004,76.6445,65.280425,58.852925
165.832775,76.6663,65.30115,58.90185
165.900425,76.70125,65.34735,58.929825
165.9764,76.75175,65.380875,58.9487
166.022525,76.832575,65.42135,58.9849
166.0645,76.8652,65.458125,59.0815
166.072025,76.908275,65.48825,59.11185
166.108075,76.9459,65.515775,59.193625
166.142475,77.0088,65.5434,59.24175
166.1687,77.04235,65.582525,59.2678
166.217525,77.0742,65.617975,59.3917
166.250875,77.10845,65.6441,59.435375
166.388575,77.137775,65.71395,59.479825
166.530625,77.186075,65.732925,59.523825
166.56945,77.229,65.7475,59.567825
166.617875,77.247625,65.771075,59.60895
166.63985,77.27015,65.781375,59.642325
166.691675,77.352325,65.790525,59.66925
166.7436,77.36215,65.80305,59.712925
166.796075,77.38615,65.8153,59.735225
166.8851,77.4035,65.832625,59.751375
166.8931,77.43085,65.852,59.772175
166.936,77.459525,65.917025,59.842475
166.97665,77.51225,65.931525,59.883575
167.00955,77.555075,65.939775,59.934225
167.03855,77.60685,65.955025,59.9594
167.090525,77.731675,65.9718,59.9894
167.133525,77.762875,65.981775,60.015375
167.25225,77.785575,66.0443,60.041075
167.3446,77.79095,66.06165,60.063925
167.5239,77.815475,66.085075,60.090775
167.5722,77.821575,66.10515,60.1165
167.620275,77.826025,66.156125,60.136025
167.665875,77.8293,66.173475,60.1655
167.712575,77.83595,66.2347,60.196575
167.75905,77.843325,66.260575,60.2127
167.799425,77.853725,66.2795,60.225225
167.881175,77.858975,66.2981,60.24645
167.9129,77.865925,66.33275,60.266225
167.979575,77.8709,66.3639,60.29115
168.006625,77.910225,66.40045,60.308825
168.024575,77.960725,66.422975,60.3473
168.0971,78.0543,66.440875,60.36235
168.215775,78.078325,66.471125,60.3872
168.29085,78.107875,66.502425,60.4124
168.321325,78.13655,66.529125,60.453925
168.353825,78.291125,66.55755,60.4782
168.3991,78.32805,66.57845,60.493025
168.43365,78.35295,66.59935,60.515125
168.526675,78.41435,66.659475,60.532825
168.6153,78.441825,66.688175,60.5606
168.68635,78.487025,66.726325,60.5754
168.689575,78.512425,66.767025,60.594125
168.76085,78.550675,66.79475,60.61645
168.80855,78.576325,66.829325,60.6305
168.8444,78.608675,66.860275,60.651225
168.923275,78.6271,66.892575,60.680675
168.96085,78.665,66.905225,60.6995
168.978,78.690925,66.9162,60.74585
168.999975,78.708875,66.92625,60.779225
169.129275,78.729225,66.9381,60.8102
169.21105,78.74845,66.949475,60.83335
169.25895,78.77325,66.9603,60.903175
169.3857,78.808925,66.9683,60.9214
169.4234,78.8359,66.9784,60.931025
