SPK_SPKC10a (excited),SPK_SPKC15a (inhibited),SPK_SPKC15b (inhibited),SPK_SPKC15c (inhibited)
75.548825,3.828375,17.078875,7.86795
75.608475,3.846425,17.11195,7.890925
76.21315,3.855025,17.1725,7.989125
76.268425,3.862975,17.316725,8.02145
76.71225,3.8974,17.3513,8.072975
77.39485,3.903525,17.407725,8.105425
77.54645,3.919775,17.436425,8.14375
77.628875,3.929375,17.482525,8.21215
77.740175,3.9786,17.5288,8.26095
78.0515,3.9974,17.6745,8.349275
78.207925,4.030125,17.9227,8.370725
78.416975,4.06215,17.9331,8.39985
78.48385,4.1026,18.30285,8.41705
78.60315,4.130925,18.360375,8.53685
78.87965,4.1544,18.51845,8.569075
78.92245,4.18145,18.57385,8.5881
79.235525,4.19025,18.777425,8.625675
79.555975,4.197625,18.850525,8.690675
80.222825,4.213125,18.9514,8.767225
80.26055,4.245675,19.04855,8.803125
80.319975,4.2599,19.148875,8.851525
80.66065,4.2778,19.533,8.9041
80.758225,4.316825,19.7994,8.953375
80.822,4.35445,19.8552,8.9963
81.417575,4.37395,20.1986,8.998775
81.677775,4.482225,20.352,9.155825
81.791925,4.518225,20.411625,9.187775
81.91085,4.561425,20.419775,9.24185
82.05065,4.59515,20.58835,9.287025
82.184075,4.6135,20.7061,9.30225
82.321,4.643625,20.763975,9.334925
82.4688,4.661825,20.96605,9.38565
82.551375,4.676175,21.17465,9.511225
82.565725,4.685625,21.470375,9.572225
82.688475,4.7042,21.81435,9.6019
83.457125,4.719725,21.84965,9.624275
83.4854,4.738425,21.865075,9.659625
83.7829,4.752875,22.005925,9.6802
84.0267,4.77755,22.2203,9.7188
84.373925,4.79295,22.3242,9.791775
84.45785,4.831175,22.394125,9.88155
84.6576,4.8531,22.694975,9.916975
85.1358,4.88155,22.866925,9.9311
85.586525,4.90745,23.264325,9.9939
86.9061,4.94215,23.36295,10.0337
86.93175,4.981575,23.402875,10.06235
87.3858,5.03085,23.5802,10.091825
88.043825,5.05505,23.738725,10.13485
88.16345,5.11965,23.839675,10.1831
88.67685,5.139075,23.887225,10.217375
88.75265,5.14915,23.917375,10.252325
88.896725,5.1593,23.97515,10.325475
89.036925,5.1687,24.0411,10.37155
89.4203,5.1947,24.0584,10.3999
90.00555,5.20325,24.077625,10.49
91.3313,5.217525,24.1942,10.51615
91.479575,5.231725,24.325025,10.537475
92.629625,5.2585,24.4247,10.567425
93.798925,5.275925,24.447975,10.584675
93.8379,5.34775,24.895375,10.6054
93.95135,5.363725,25.0663,10.626775
94.22775,5.3906,25.12275,10.674675
94.51545,5.411325,25.16875,10.699975
94.700025,5.42865,25.232875,10.735275
94.7995,5.459475,25.245425,10.815025
95.0053,5.49885,25.3076,10.8401
96.0274,5.55805,25.34925,10.876575
96.25655,5.595225,25.501825,10.899725
96.2698,5.6229,25.666425,10.93225
96.592,5.63695,25.69025,11.017775
96.87755,5.652175,25.8231,11.084675
96.948125,5.673575,25.9342,11.12145
97.710675,5.697075,26.062075,11.217075
97.88615,5.70995,26.183025,11.4151
98.012125,5.72495,26.201825,11.473775
98.055025,5.7504,26.4399,11.499725
98.4632,5.767975,26.893725,11.551375
98.703425,5.796325,26.957075,11.588575
98.83855,5.81265,27.1804,11.609675
98.9168,5.8239,27.2928,11.639225
98.953725,5.980625,27.30605,11.6523
99.064925,6.004225,27.325125,11.792125
99.1007,6.05925,27.3576,11.874125
99.1649,6.087825,27.412025,11.96155
99.4161,6.1243,27.44345,12.0222
99.5966,6.196475,28.19455,12.09735
99.9053,6.255975,28.520525,12.1643
100.1243,6.3219,28.662425,12.18535
100.133,6.336125,28.8558,12.233825
100.214625,6.3547,28.94925,12.27115
100.45545,6.375675,29.130775,12.3658
100.474075,6.3871,29.167125,12.398125
100.655175,6.409475,29.319975,12.4454
100.67195,6.452475,29.38455,12.475275
101.03575,6.457425,29.495375,12.551875
102.0225,6.51785,30.01465,12.674
102.054,6.5284,30.160925,12.7301
102.2415,6.543375,30.189825,12.75185
102.335775,6.5582,30.229575,12.7557
102.395575,6.58005,30.365625,12.7935
102.8332,6.60755,30.66515,12.7976
102.8627,6.645175,30.725975,12.862775
103.43675,6.681975,30.761975,12.896225
103.7096,6.72345,31.099725,12.921275
103.831125,6.76275,31.107325,12.953325
103.848675,6.842575,31.2233,12.975325
104.1458,6.877675,31.29645,13.097825
104.1989,6.8956,31.636725,13.151
104.8622,6.91275,31.69825,13.192225
104.8776,6.93525,32.043275,13.23745
105.073625,6.964775,32.2935,13.255725
105.114175,7.00395,32.456075,13.328075
105.185175,7.021025,32.7113,13.331025
105.39035,7.037,32.825575,13.36035
105.5194,7.05635,33.177725,13.402125
105.581725,7.074825,33.38565,13.42715
106.309175,7.08935,33.4327,13.460175
106.44105,7.1144,33.6435,13.49775
106.4696,7.141875,33.6767,13.560675
106.5757,7.172225,33.74965,13.5782
106.700575,7.2025,33.822675,13.6692
106.969975,7.27185,33.99235,13.7082
107.052,7.327025,34.310575,13.775175
107.5556,7.3612,34.357475,13.7977
108.1339,7.370975,34.37745,13.833325
108.31395,7.40495,34.385275,13.895175
108.38355,7.4221,34.38825,13.9294
108.433825,7.4406,34.41975,13.9462
108.45525,7.48355,34.437,14.00995
108.8855,7.514975,34.542875,14.03175
109.1877,7.5386,34.648725,14.07395
109.68515,7.568125,34.717525,14.105775
109.9379,7.61565,34.85465,14.199925
110.381775,7.639525,34.8833,14.22235
110.6765,7.68465,34.8938,14.2659
111.873975,7.7779,35.1651,14.297425
112.04515,7.7976,35.1885,14.377275
112.0747,7.85035,35.831725,14.39905
112.167525,7.87175,36.0533,14.5336
112.286325,7.885225,36.122875,14.580925
112.689775,7.89715,36.213475,14.6237
112.802475,7.907025,36.296275,14.6626
113.18385,7.9213,36.33255,14.700875
113.48725,7.9367,36.41005,14.725125
113.709125,7.9524,36.453325,14.748975
113.725875,7.9768,36.58075,14.778375
113.780275,7.995525,36.70955,14.779875
114.028525,8.0194,36.828875,14.8202
114.454425,8.067525,37.19815,14.849675
114.5251,8.109175,37.2029,14.87805
114.6016,8.164375,37.505975,14.977625
114.68025,8.2244,37.72965,15.0482
115.160625,8.25885,37.845725,15.109625
115.20515,8.28105,37.862575,15.1662
115.4199,8.3069,37.90585,15.220275
115.986,8.334,37.93555,15.241425
116.03025,8.35195,38.095525,15.247325
117.0819,8.388875,38.362125,15.328125
117.1255,8.4078,38.504775,15.363925
117.165075,8.42455,38.647725,15.399225
117.483825,8.442475,38.74085,15.498425
117.76505,8.460025,39.06815,15.530575
117.89765,8.487275,39.069175,15.5847
117.95485,8.5014,39.121575,15.612775
118.116225,8.5174,39.189125,15.71995
118.411225,8.539925,39.278575,15.800625
118.694825,8.549325,39.396725,15.8831
118.7729,8.573375,39.7936,15.9168
119.062875,8.61105,39.8608,15.9394
119.375675,8.629475,39.977675,16.044475
119.5948,8.649475,40.3386,16.0765
119.67395,8.688775,40.358425,16.10205
119.804025,8.7698,40.651775,16.1135
120.518925,8.80175,40.85795,16.18065
120.839375,8.823175,40.93085,16.214025
121.052275,8.853125,41.001375,16.23885
121.342325,8.878375,41.073975,16.36625
121.512875,8.897025,41.295125,16.431975
122.290925,8.91115,41.3576,16.4994
122.443225,8.92,41.80575,16.5386
122.475725,8.93465,41.94155,16.604775
122.5277,8.94395,42.017825,16.6419
122.860275,8.959025,42.11705,16.66495
123.180675,8.9659,42.39285,16.718975
123.393175,8.97805,42.5139,16.802675
123.488,9.00785,42.55455,16.818
123.5696,9.020625,42.624075,16.894125
123.81365,9.04925,42.679175,17.00915
124.01195,9.061275,42.9388,17.042175
124.083925,9.111,43.12425,17.144725
124.467375,9.143025,43.3469,17.2053
124.48275,9.158475,43.649375,17.238725
124.62315,9.1963,43.86805,17.267225
124.999775,9.220425,43.933075,17.293325
125.21535,9.2354,43.9498,17.3727
125.60445,9.253975,44.233825,17.505575
125.9312,9.2747,44.31495,17.56675
126.595525,9.3164,44.376525,17.599275
127.138175,9.390775,44.50305,17.643925
127.27155,9.425675,44.56915,17.70455
127.280675,9.4999,44.852975,17.72945
127.33025,9.5132,44.937975,17.7686
127.392075,9.53115,45.2179,17.7993
127.586875,9.550625,45.289425,17.85805
127.772075,9.56665,45.4892,17.889375
128.36995,9.58955,45.56955,17.99185
128.548475,9.62985,45.621175,18.0238
128.6122,9.645875,45.6595,18.101575
128.811,9.6701,45.872425,18.121225
129.424375,9.695825,45.9266,18.14475
129.469775,9.722575,45.975,18.17005
129.585175,9.7342,46.000175,18.3281
129.79355,9.75055,46.06325,18.343175
129.85135,9.7621,46.154125,18.465025
130.2723,9.77545,46.451775,18.492475
130.317,9.78875,46.6345,18.536775
130.6258,9.799525,46.7015,18.609525
130.867275,9.8142,46.8582,18.645175
130.995425,9.8303,47.0588,18.6781
131.1908,9.84575,47.099175,18.7091
131.2022,9.86655,47.135575,18.724875
131.39085,9.89585,47.228725,18.7439
131.7991,9.9465,47.33815,18.832275
132.200775,9.980675,47.3555,18.9802
132.6143,9.99875,47.650425,19.019
132.72045,10.035625,47.84365,19.07995
132.73425,10.0695,47.86105,19.126975
133.371975,10.0862,47.87235,19.16485
133.416125,10.1219,47.961725,19.1988
133.9845,10.13355,48.074475,19.222925
134.01915,10.144525,48.08775,19.2488
134.495075,10.157775,48.08965,19.309075
134.620075,10.1693,48.4584,19.34435
134.7072,10.196625,48.542625,19.3708
134.781275,10.208975,48.707925,19.400775
134.8526,10.22415,48.811675,19.431525
135.248125,10.2422,48.993075,19.46635
135.35735,10.267825,49.093625,19.4995
135.559475,10.287325,49.218125,19.61285
136.0216,10.305825,49.30795,19.64115
136.0318,10.327675,49.5037,19.69465
136.4515,10.35005,49.67465,19.774075
136.490325,10.3919,49.969975,19.824375
136.6324,10.425375,49.995925,19.951125
137.09435,10.503075,50.012875,19.990275
137.3181,10.538775,50.100225,20.030975
137.37695,10.5531,50.44135,20.072475
137.484675,10.56625,50.564225,20.11105
137.932275,10.5771,50.6594,20.165375
138.006175,10.591175,50.7062,20.2933
138.177025,10.60385,50.730475,20.321525
138.26555,10.6281,51.060325,20.446
138.325825,10.640925,51.086525,20.478
138.566375,10.655025,51.169825,20.5141
138.7626,10.683075,51.218575,20.556
139.2316,10.71895,51.26405,20.586425
139.27965,10.72995,51.418075,20.619025
139.326475,10.750325,51.4475,20.642175
139.6533,10.76475,51.897925,20.795825
139.77955,10.781325,51.94455,20.855275
139.890875,10.7979,52.0003,20.890725
140.01635,10.820125,52.08465,20.927425
140.096975,10.843425,52.349225,20.949575
140.260275,10.866325,52.374475,20.98845
140.471375,10.9156,52.7749,21.018575
140.585425,10.942825,52.8069,21.080975
140.667375,10.981675,52.902825,21.2176
140.76235,11.02555,53.2544,21.247225
140.7951,11.065925,53.279575,21.279175
141.19275,11.08115,53.7341,21.32495
141.264925,11.100625,53.788475,21.3523
