SPK_SPKC01a (no effect),SPK_SPKC09a (weak excitation),SPK_SPKC15a (no effect)
52.221375,18.733675,7.26115
52.479225,18.8493,7.29715
52.6218,18.959575,7.337325
52.817725,18.993575,7.377275
52.946875,19.177275,7.431575
53.10305,19.27585,7.484025
53.3056,19.5671,7.518375
53.34785,19.619025,7.562225
53.4649,19.73115,7.593875
53.509225,19.77225,7.628275
53.5696,19.8374,7.68235
53.72075,19.89505,7.743475
53.81005,19.9227,7.7871
53.84755,19.969075,7.812
53.998525,20.06395,7.864275
54.0868,20.1316,7.901125
54.1374,20.255475,7.924125
54.2218,20.294,7.9764
54.2896,20.489725,7.997575
54.398975,20.537075,8.014375
54.52385,20.568925,8.049825
54.639875,20.8233,8.07205
54.65975,20.96405,8.117725
54.74725,20.996925,8.137175
54.92695,21.0336,8.184025
55.0241,21.059225,8.2176
55.47985,21.0976,8.25325
55.6694,21.136325,8.30095
55.867825,21.16765,8.331575
56.1714,21.337525,8.3461
56.680375,21.426675,8.419425
56.746375,21.464075,8.4627
56.936075,21.519775,8.489475
56.95975,21.6106,8.5173
56.9858,21.630325,8.5458
57.080725,21.65195,8.56595
57.1226,21.67645,8.59735
57.225325,21.735125,8.609975
57.26175,21.818575,8.647125
57.2974,21.90445,8.690575
57.3683,22.144825,8.741525
57.410775,22.17515,8.76465
57.49295,22.254225,8.7936
57.657275,22.35965,8.839675
57.758575,22.391175,8.880125
57.847,22.42335,8.8963
57.988825,22.448075,8.95885
58.12145,22.473825,8.98715
58.1608,22.530075,9.022275
58.168025,22.605875,9.050375
58.336625,22.6819,9.1021
58.4458,22.71545,9.137275
58.5539,22.75625,9.147825
58.6735,22.781125,9.185225
58.734825,22.929825,9.218425
58.890275,22.964425,9.236325
59.0107,22.99955,9.26065
59.122875,23.02925,9.303025
59.26665,23.06325,9.325375
59.347125,23.11715,9.338775
59.423,23.143625,9.374475
59.48135,23.2009,9.395775
59.5283,23.23605,9.436975
59.593175,23.452925,9.46015
59.667,23.56595,9.5027
59.7887,23.66255,9.532025
59.8343,23.810325,9.56005
60.077425,23.842625,9.56735
60.2106,23.87375,9.621525
60.295075,24.0085,9.671
60.4089,24.055275,9.70785
