SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
33.097925,22.7184,21.331375,26.9953
33.29925,22.843425,21.482425,27.039575
33.365125,23.08555,21.709475,27.170875
33.540075,23.098875,21.935,27.2922
33.749325,23.246825,22.0342,27.400625
33.947025,23.428125,22.135525,27.673925
33.971825,23.481625,22.284375,27.913925
34.805175,23.600475,22.3321,27.965125
35.081475,23.753,22.4811,28.016125
35.600275,23.832275,22.7162,28.167125
35.741875,23.921875,22.8123,28.266675
36.1917,23.99115,22.9936,28.39415
36.26625,24.131825,23.095325,28.683725
36.286275,24.464325,23.227875,28.775475
36.379675,24.775525,23.25725,28.951
36.554225,24.98195,23.472125,29.2664
36.765625,25.0574,23.60005,29.377075
37.02395,25.084625,23.674225,29.535475
37.14045,25.1069,23.848825,29.64105
37.2837,25.12975,23.92035,29.851225
37.335775,25.161325,23.9697,30.01175
37.467025,25.24765,24.12225,30.134275
37.812125,25.34625,24.226925,30.329525
38.125475,25.456625,24.62635,30.4663
38.32735,25.632675,24.82095,30.693775
38.66615,25.7919,25.0384,30.833275
39.122825,26.059225,25.2922,30.98995
39.1477,26.118825,25.355625,31.03435
39.3339,26.147125,25.40405,31.164
39.45885,26.2807,25.634975,31.321275
39.522725,26.432475,26.09925,31.45785
39.6541,26.517175,26.1553,31.6264
39.77265,26.5514,26.312975,32.152
39.8258,26.751175,26.521075,32.329475
39.8692,26.9166,26.57895,32.461675
40.05675,27.04935,26.7039,32.5935
40.1414,27.152475,26.9176,32.7741
40.3526,27.618575,27.050025,33.0451
40.4665,28.223675,27.099725,33.16255
40.794475,28.30065,27.8223,33.284325
41.8305,28.473725,28.00895,33.39625
42.50675,28.513225,28.2468,33.600925
42.64745,28.691975,28.294775,33.84845
42.870725,29.064925,28.31885,34.04595
42.9575,29.1409,28.474675,34.15715
42.99745,29.247425,28.546025,34.2885
43.232025,29.448825,28.735625,34.4858
43.35175,29.53845,29.148125,34.735325
43.363275,29.672025,29.20585,34.871
43.413125,29.76785,29.2716,34.998175
43.836325,30.134575,29.521475,35.1183
43.911775,30.384925,29.703725,35.332275
44.527425,30.493475,29.784975,35.427075
44.7154,30.61795,29.885225,35.482575
45.107475,30.784775,30.033,35.800025
45.417675,30.9692,30.487225,36.08915
45.472775,31.13705,30.65045,36.143075
45.5138,31.3087,30.7569,36.426
45.621525,31.910475,30.865825,36.60625
45.712775,32.034325,31.126675,36.928025
45.97245,32.10865,31.37025,37.112675
46.211925,32.25835,31.888875,37.29715
46.4873,32.89535,31.951,37.6117
46.579475,33.006425,31.959325,37.8347
46.704175,33.66675,32.040375,37.943375
46.8601,33.775675,32.1335,38.084175
46.8791,34.093125,32.36615,38.199875
47.064525,34.255075,32.53265,38.363675
47.7096,34.390625,32.932525,38.50565
48.3363,34.642575,33.20265,38.85825
48.56535,34.762775,33.4066,38.978825
48.80255,34.9388,33.5772,39.12845
48.9425,34.945325,33.65765,39.26515
49.28825,34.958725,33.765875,39.574325
49.372125,35.065725,33.86885,40.386675
49.583875,35.2906,34.0647,40.56345
49.6855,35.48085,34.15395,40.6923
50.3867,35.488575,34.3374,41.2813
50.80445,35.6118,34.6835,41.469025
50.919575,35.722875,34.749775,41.584225
51.23155,35.734525,34.874525,41.80235
51.556075,35.983675,34.946875,42.181225
51.67575,36.143675,34.995325,42.335975
52.094925,36.3203,34.996575,42.4935
52.63115,36.532075,35.022475,42.58325
52.720475,36.733025,35.066425,42.72165
53.0989,36.962575,35.252775,43.169675
53.621,37.3369,35.371925,43.40235
53.675325,37.67705,35.480675,43.659425
54.035175,37.799325,35.48545,43.7802
54.172375,37.8854,35.50075,43.892575
54.381875,38.0233,35.5861,43.927375
54.617925,38.1682,35.65495,43.96425
54.9901,38.29265,35.733475,44.2316
55.1814,38.524875,35.7364,44.56865
55.2531,38.642225,35.743825,44.672375
55.53945,38.7761,35.7511,44.828075
55.764125,39.083625,35.7703,45.0848
55.965175,39.2023,36.032525,45.304775
56.163,39.501275,36.1582,45.4247
56.262725,39.811675,36.2357,45.782825
56.378375,39.8347,36.565125,45.98025
56.445625,39.85745,36.5849,46.2616
56.91865,40.18855,36.7951,46.45785
56.920275,40.305475,36.9417,46.6465
57.19335,40.390375,36.981075,46.808
57.36385,40.4328,37.1879,47.011275
57.60875,40.55405,37.43205,47.60735
58.03065,40.6284,37.665925,47.660125
58.4275,41.10825,37.695675,47.825575
58.4946,41.303275,37.9071,48.045925
58.723375,41.390175,38.021325,48.0873
58.9073,41.7521,38.172325,48.5811
59.554175,42.160525,38.2392,49.023825
59.6662,42.327575,38.2793,49.1042
59.674725,42.35585,38.41535,49.869975
60.010325,42.376325,38.74885,50.25845
60.017575,42.3849,38.860925,51.0821
60.0725,42.420375,38.95815,51.388875
60.094725,42.5955,39.04355,51.680125
60.10805,42.756025,39.171475,52.859225
60.55325,42.869675,39.228925,53.13955
60.723075,42.87475,39.368425,53.187175
60.77615,42.959825,39.5536,54.4106
61.108025,43.0992,39.7487,54.632575
62.105875,43.3603,39.8165,54.9096
62.3149,43.6403,39.84195,55.26855
62.724625,43.84815,39.84735,55.789875
