SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
152.214,167.4902,152.80265,186.607075,156.473575
152.2382,167.58245,152.817225,186.6217,156.500975
152.269425,167.67965,152.840975,186.640775,156.5508
152.283875,167.7323,152.852,186.6612,156.566275
152.295325,167.77095,152.85965,186.673525,156.597275
152.313575,167.926725,152.863,186.694425,156.6431
152.3353,167.931675,152.875725,186.9714,156.686825
152.347975,167.98965,152.887175,187.289,156.698775
152.3907,168.202075,152.898375,187.809425,156.808675
152.416225,168.216475,152.919575,187.829375,156.90325
152.446875,168.27235,152.939775,187.83975,156.915425
152.494175,168.325825,152.9512,187.852875,156.953675
152.51755,168.349175,152.96385,188.244825,156.9677
152.553925,168.678225,152.992475,188.275325,156.99525
152.58555,168.700575,153.003075,188.3079,157.025925
152.596275,168.752625,153.017725,188.33335,157.06875
152.6152,168.785575,153.03675,188.3646,157.094425
152.6206,168.821975,153.0504,188.3725,157.128425
152.626325,168.842475,153.1192,188.4203,157.146675
152.62875,169.048525,153.209925,188.440875,157.163575
152.633725,169.135625,153.231875,188.76355,157.176975
152.675875,169.216375,153.252175,188.7885,157.299675
152.69455,169.321775,153.281475,189.2363,157.307175
152.711375,169.703775,153.32365,189.251,157.3439
152.7262,169.774375,153.3495,189.7597,157.4411
152.739575,169.829875,153.355375,189.7758,157.457475
152.752775,169.892175,153.38035,189.79045,157.47055
152.76425,169.9125,153.40105,190.41745,157.482725
152.785925,169.923775,153.40855,191.5798,157.491625
152.82,170.011875,153.414325,198.8992,157.524225
152.841375,170.1211,153.4208,201.298825,157.572325
152.8705,170.182275,153.430425,201.771925,157.58345
152.912375,170.191075,153.443075,202.118,157.593325
152.9453,170.3074,153.45855,202.44415,157.63025
152.9621,170.516925,153.482575,203.232,157.6578
152.973675,170.707825,153.540375,203.255425,157.788875
152.979775,170.74005,153.57165,203.2715,157.80665
152.985625,170.83045,153.579975,203.28135,157.8506
153.004075,170.9264,153.594775,203.953475,157.8876
153.01375,170.951025,153.660125,204.27725,157.902125
153.020675,170.990575,153.676125,204.36175,157.906625
153.034775,171.0183,153.71195,204.702025,157.910725
153.042475,171.06055,153.7319,204.725175,157.9162
153.05195,171.148825,153.75835,204.890575,157.9207
153.07875,171.197725,153.7753,204.908025,157.928025
153.0883,171.4455,153.804275,204.930975,157.94915
153.1046,171.46865,153.878275,204.970625,157.9967
153.13165,171.759,153.89895,204.9866,158.095925
153.143275,171.813,153.9145,205.023525,158.141575
153.1563,172.019125,153.934075,208.2143,158.158075
153.1591,172.254325,153.95445,208.26005,158.18155
153.18315,172.29105,153.9863,209.327675,158.18815
153.209425,172.32975,154.017325,209.36055,158.19395
153.245525,172.3955,154.0359,209.412525,158.255425
153.270925,172.50065,154.05225,209.45035,158.275
153.306125,172.5959,154.10415,209.906975,158.30235
153.33305,173.005825,154.12125,210.34355,158.309275
153.3533,173.028475,154.1282,211.066675,158.319675
153.36675,173.108175,154.13635,211.42895,158.35335
153.374725,173.116525,154.1441,211.44255,158.3664
153.384275,173.345925,154.153225,211.460925,158.50965
153.385725,173.520875,154.180175,211.817575,158.54085
153.393425,173.593125,154.194425,211.849,158.5542
153.40165,173.65595,154.212525,212.013875,158.597275
153.40575,173.9727,154.254125,212.037775,158.6141
153.408675,174.020725,154.271825,212.4507,158.62565
153.421425,174.0836,154.292025,212.46235,158.655975
153.46255,174.09105,154.3286,212.472675,158.682675
153.478425,174.2452,154.3575,213.051575,158.7574
153.49195,174.36305,154.384125,213.070025,158.868725
153.521225,174.3725,154.405325,213.39915,158.91835
153.544175,174.473825,154.42615,213.435425,158.93065
153.5755,174.72675,154.46355,213.7155,158.949275
153.637975,174.733475,154.4932,214.4772,158.982075
153.6675,174.80135,154.508175,214.89105,159.0063
153.709175,174.984025,154.518375,214.930075,159.017475
153.730625,175.13235,154.528,214.953075,159.0284
153.74905,175.60265,154.535875,214.9732,159.034425
