SPK_SPKC01a (inhibited),SPK_SPKC02a (excited),SPK_SPKC04a (NA)
6.909575,6.943075,69.658425
6.9283,6.96035,70.163475
6.9643,6.99875,70.632825
6.97765,7.026125,70.8872
7.3188,7.069775,70.928175
7.405975,7.0965,70.937475
7.547075,7.117675,71.013675
7.74495,7.144325,71.127075
7.78005,7.163425,71.781675
7.815925,7.212575,72.10115
7.8376,7.229125,72.4726
8.1139,7.270025,72.559575
8.142525,7.29985,73.022925
8.17525,7.3251,73.119675
8.201275,7.363425,73.855975
8.46345,7.39165,73.86495
8.5262,7.41865,74.79395
8.7119,7.437975,75.0033
8.730925,7.4717,75.102875
8.758,7.51385,75.520325
8.79035,7.550475,75.552675
8.809125,7.56285,76.958825
8.82875,7.584575,77.1228
8.859675,7.627025,78.366875
8.9579,7.6602,78.614175
9.01085,7.690275,79.10405
9.053975,7.717625,79.1682
9.0854,7.733925,79.48765
9.10285,7.749975,79.946575
9.1293,7.78255,80.5178
9.235625,7.803025,80.70765
9.27425,7.843125,80.814575
9.307825,7.859075,81.034075
9.3259,7.876225,81.386775
9.353325,7.915725,81.6465
9.3597,7.93,81.6655
9.3919,7.935325,82.202575
9.427875,7.9692,82.267275
9.43475,7.9967,82.695075
9.495075,8.02525,82.7741
9.622375,8.07255,82.854275
9.649425,8.1026,82.9196
9.656825,8.1371,83.42115
9.671425,8.1569,83.679225
9.68905,8.184675,83.7704
9.718175,8.2199,84.309475
9.7385,8.25235,84.603625
9.791725,8.275225,84.895875
9.86055,8.32505,84.95145
9.91225,8.3489,85.479
9.99605,8.3659,85.6323
10.042275,8.39625,85.6575
10.09045,8.4035,86.01245
10.103275,8.4226,86.46195
10.1221,8.455425,86.53045
10.131725,8.46575,87.9263
10.139325,8.48415,88.05875
10.146125,8.51745,88.079575
10.17025,8.540925,88.22645
10.1879,8.554,88.386475
10.2352,8.565425,88.436125
10.40315,8.579925,89.768975
10.451325,8.590825,91.385625
10.48215,8.6113,91.453025
10.542725,8.64665,91.5375
11.21255,8.670325,91.991025
11.304575,8.710225,92.036375
11.33695,8.748275,92.38555
11.34585,8.774475,93.2263
11.40585,8.80675,93.5806
11.47505,8.831225,93.819275
11.493725,8.8685,94.524275
11.5186,8.887375,94.536025
11.532375,8.90715,94.555725
11.6117,8.98455,95.0376
11.627425,9.01345,95.33
11.644975,9.03485,95.615725
11.6708,9.132975,95.68815
11.68295,9.168325,96.098875
11.70445,9.214225,96.1112
11.7241,9.264025,96.7206
11.812675,9.2828,97.29205
11.840075,9.304725,97.68025
11.949,9.32365,97.9705
11.969075,9.349225,97.99985
12.252125,9.3746,98.766675
12.2577,9.394725,99.17615
12.279875,9.418075,99.179225
12.296725,9.44305,99.413225
12.30775,9.4733,100.227875
12.330075,9.5158,100.328675
12.342775,9.517425,102.084475
12.35335,9.560075,102.3854
12.359825,9.5893,102.6563
12.379725,9.6112,102.827825
12.4069,9.6445,103.117975
12.424925,9.6939,103.497625
12.5634,9.742975,103.612
12.581925,9.765975,104.655875
12.60665,9.797375,105.200325
12.623925,9.825925,106.165625
12.6461,9.876925,106.478025
12.668225,9.9036,106.527975
12.757075,9.923125,106.59875
12.78345,9.959275,106.62715
12.825975,9.9626,107.7953
12.842125,9.982725,107.8472
12.850075,10.014275,108.170625
12.871275,10.05875,108.358325
12.8939,10.082875,108.57435
12.909275,10.114125,108.65535
12.9212,10.1367,108.96695
12.93385,10.15915,109.3905
12.9492,10.18355,109.51905
12.970425,10.195325,109.542975
12.97805,10.224475,109.79485
12.9952,10.242225,109.85535
13.0248,10.2554,110.248425
13.08985,10.3063,110.669975
13.1085,10.35185,111.287075
13.1144,10.39335,111.602925
13.129525,10.413175,111.631175
13.165275,10.434975,111.992225
13.180725,10.465425,112.036475
13.19575,10.495325,112.917425
13.208225,10.5445,113.02125
13.23445,10.571475,113.210375
13.306725,10.61185,113.564275
13.335525,10.6432,114.272825
13.367675,10.67875,114.318375
13.398375,10.70635,115.360925
13.4171,10.72585,116.0155
13.426325,10.738725,118.08175
13.438075,10.75705,118.10515
13.456975,10.80685,118.28715
13.474825,10.8283,118.4103
13.4868,10.8569,118.508275
13.49545,10.8791,118.8991
13.515,10.918025,119.094625
13.52985,10.954925,119.4448
13.548475,10.959275,119.4948
13.569325,10.979825,120.70035
13.646525,11.019375,121.14935
13.692425,11.0514,121.578625
13.71985,11.076125,121.609075
13.74625,11.140325,121.85465
13.76175,11.16565,122.16455
13.79855,11.201575,122.4063
13.8141,11.20445,122.7262
13.831525,11.255625,122.76275
13.85825,11.29545,122.78775
13.8713,11.319425,123.55855
13.87745,11.322075,123.83615
13.903925,11.36795,124.0991
13.9243,11.41045,124.113025
13.958575,11.434125,124.40005
13.96165,11.4639,124.5323
14.015725,11.48685,125.223125
14.0425,11.521875,125.2853
14.084225,11.569475,125.757975
14.0865,11.6206,125.91165
14.1304,11.6472,125.9299
14.155925,11.68675,126.110525
14.185175,11.70905,126.4979
14.2033,11.727725,126.57385
14.22445,11.750125,126.655275
14.23815,11.776225,127.0387
14.25755,11.8019,127.0891
14.2847,11.83115,127.4333
14.297875,11.88975,127.54645
14.328525,11.974975,127.6155
14.35035,12.049475,128.436325
14.37935,12.070125,128.48245
14.392375,12.1413,130.5761
14.423025,12.158025,130.957825
14.44315,12.1735,131.298925
14.46565,12.20355,131.6388
14.509925,12.23155,132.5986
14.51665,12.253475,132.7138
14.541675,12.267775,132.840675
14.5807,12.2933,132.89085
14.6104,12.31825,134.84755
14.634625,12.3693,134.974575
14.649,12.392925,135.07865
14.661375,12.4476,135.1049
14.9717,12.465,135.163075
15.367025,12.5089,135.386075
15.401425,12.5569,135.403475
15.419425,12.5787,135.441975
15.4264,12.614675,136.460375
15.4415,12.64,136.805675
15.4569,12.6715,137.07595
15.57625,12.70135,137.136025
15.591025,12.784425,137.734125
15.610325,12.803975,138.0854
15.61945,12.847375,138.120475
15.893175,12.8724,138.61155
15.9633,12.895275,138.6659
16.12865,12.938925,139.0512
16.150575,12.9738,139.106425
16.15995,13.003175,139.162225
16.1773,13.032475,139.29035
16.18595,13.05615,139.668425
16.2187,13.113375,139.74235
16.22995,13.17055,140.593925
16.254175,13.196875,140.9629
16.3616,13.247725,141.14375
16.394225,13.2702,141.4711
16.453225,13.320425,141.533
16.485225,13.371175,141.59635
16.4989,13.3994,141.69865
16.520375,13.40785,141.83875
16.537175,13.439725,142.959475
16.5496,13.4672,144.1843
16.565325,13.485475,144.672025
16.581125,13.51745,145.122675
16.592625,13.575225,145.49835
16.61495,13.61205,145.6824
16.65035,13.65685,145.718325
16.677925,13.7088,145.9789
16.6915,13.732575,146.352175
16.705375,13.75465,146.651425
16.71795,13.7735,147.16805
16.7281,13.8239,147.670775
16.737975,13.882675,148.698175
16.75355,13.9136,148.8398
16.76765,13.950025,148.9667
16.7748,13.968425,148.983175
16.7952,14.031975,149.001875
16.818125,14.0516,149.195325
16.84275,14.066875,149.32905
16.900825,14.091425,149.3614
16.917725,14.1369,149.4181
16.925375,14.1748,149.8954
16.93535,14.20845,149.956925
16.94685,14.226725,150.724825
16.958275,14.25935,150.962925
16.9741,14.286975,151.079925
16.980675,14.324725,151.583325
16.98835,14.3828,151.89405
16.9957,14.4182,151.951375
17.007425,14.4398,152.4152
17.0091,14.460375,153.34105
17.021775,14.50145,153.935475
17.029725,14.5229,153.975425
17.04765,14.55095,154.00405
17.058525,14.57385,154.3789
17.067075,14.5781,154.501925
17.08235,14.601825,154.512375
17.09285,14.628075,155.09705
17.14315,14.650825,155.1503
17.160125,14.670825,155.160825
17.1655,14.704875,155.333975
17.19845,14.725525,155.452575
17.212075,14.788225,155.875575
17.22435,14.7892,156.64275
17.233675,14.807575,156.7639
17.243925,14.8436,157.493425
17.253725,14.884225,157.825875
17.265425,14.88765,158.004875
17.290675,14.9006,158.376975
17.4207,14.925675,158.5171
17.4307,14.939225,158.802275
17.452775,14.989625,158.8527
17.463425,15.023025,158.918675
17.4759,15.063075,159.1019
17.481025,15.068525,159.34325
17.490475,15.092975,159.384625
17.503625,15.117575,160.9166
17.513075,15.156575,160.9656
17.5252,15.1783,161.02215
17.54175,15.19475,161.457075
17.55315,15.2277,161.679525
17.56515,15.255875,161.941175
17.5767,15.296625,161.961875
17.589275,15.3109,162.064425
17.601125,15.329275,162.471825
17.608125,15.35525,162.6767
17.672725,15.37845,163.067475
17.72625,15.396375,164.2898
17.740975,15.440375,164.950725
17.752325,15.4636,166.3587
17.76875,15.48895,166.85115
17.785275,15.51135,167.63765
17.7953,15.529175,167.94655
17.813525,15.561725,168.575475
17.8256,15.5688,168.660925
17.8394,15.61815,168.797825
17.85015,15.63835,168.890025
17.87135,15.680475,169.55815
17.879875,15.701375,169.799275
17.895175,15.707725,169.809
17.944,15.74345,169.989825
17.973025,15.849675,171.430975
17.9905,15.903825,171.457075
18.000025,15.9099,171.89485
18.0129,15.97005,171.9188
18.0323,15.997575,172.51445
18.039325,16.026625,173.2094
18.059025,16.04105,173.28145
18.0699,16.119225,173.414675
18.080325,16.1299,173.496575
18.08545,16.158825,173.540425
18.09645,16.15995,173.606725
18.114125,16.17105,173.833775
18.119525,16.221825,174.082775
18.131425,16.283925,174.271675
18.140125,16.32775,174.4297
18.15235,16.353325,174.5717
18.161625,16.378425,174.887525
18.169875,16.391,174.93225
18.221,16.405875,174.9904
18.2513,16.451475,174.99935
18.274,16.4683,175.371475
18.30285,16.491075,176.41235
18.3208,16.50335,176.527225
18.328525,16.5259,176.972125
18.34505,16.5432,177.0067
18.3542,16.568275,177.594675
18.361375,16.590575,178.802475
18.368075,16.59575,179.042725
18.382225,16.610825,179.0533
18.389525,16.62435,179.1229
18.402925,16.712725,179.310025
18.412,16.731625,179.679275
18.419525,16.746225,179.746225
18.4263,16.776625,180.268625
18.442125,16.8044,180.36235
18.4509,16.820725,180.615825
18.499825,16.847325,180.631925
18.504475,16.8887,182.03015
18.513325,16.905925,182.76735
18.530475,16.9315,182.7812
18.5524,16.953525,182.92495
18.571825,16.99405,183.788975
18.58995,17.03555,183.9187
18.59945,17.06215,184.089925
18.609725,17.0839,184.195275
18.613425,17.1241,184.212025
18.63185,17.15305,184.57835
18.645675,17.1849,189.80615
18.6572,17.209225,189.82095
18.6704,17.23905,189.860325
18.6828,17.274525,189.8869
18.705425,17.3001,189.92825
18.722,17.3522,190.0684
18.8704,17.383825,190.3227
18.888275,17.41315,190.499975
18.8989,17.492925,190.539525
18.9079,17.515975,190.55505
18.919325,17.568375,190.628025
18.92755,17.58475,190.772875
18.944875,17.585725,190.916625
18.95395,17.615925,191.186075
18.96655,17.640475,191.2619
18.973275,17.65005,191.659175
18.982775,17.6767,191.66885
18.99225,17.7105,191.676075
19.02085,17.74825,192.159475
19.04425,17.77845,192.183525
19.0689,17.81845,192.5938
19.085975,17.84555,192.608025
19.09755,17.8619,193.0784
19.1194,17.86375,193.121125
19.134025,17.931625,193.15695
19.1496,17.964075,193.489475
19.173025,18.004575,193.794925
19.2063,18.024375,194.41925
19.2353,18.04795,194.534575
19.299725,18.0868,194.61945
19.34005,18.107725,195.026225
19.387475,18.15005,195.854725
19.4229,18.1776,196.520075
19.438475,18.179725,197.185575
19.546025,18.216725,197.41225
19.61065,18.258625,197.488825
19.63275,18.286075,197.549475
19.645175,18.338325,197.9028
19.66155,18.376,198.10945
19.66965,18.3977,198.52295
19.683025,18.43265,198.536675
19.694675,18.487625,198.97035
19.707775,18.5081,
19.71945,18.524625,
19.723325,18.573575,
19.739175,18.63305,
19.7428,18.659075,
19.7613,18.694325,
19.770125,18.738825,
19.786575,18.74525,
19.929225,18.781525,
19.9462,18.8062,
19.97975,18.830275,
20.042475,18.86255,
20.06505,18.8865,
20.087125,18.915975,
20.1152,18.95555,
20.139075,18.9859,
20.1503,19.010225,
20.172375,19.080225,
20.187475,19.111,
20.197975,19.129775,
20.2125,19.149625,
20.224075,19.171925,
20.233025,19.202975,
20.2501,19.2292,
20.25515,19.259325,
20.27415,19.3017,
20.2785,19.32385,
20.299175,19.35405,
20.3231,19.3782,
20.3342,19.409425,
20.3474,19.432475,
20.481625,19.45775,
20.50125,19.476575,
20.5152,19.5022,
20.530575,19.539425,
20.55075,19.553375,
20.569975,19.5779,
20.581475,19.606525,
20.5896,19.6379,
20.598525,19.672125,
20.6068,19.685025,
20.615025,19.696175,
20.6242,19.73095,
20.646575,19.7554,
20.6594,19.778275,
20.67705,19.80115,
20.698925,19.80245,
20.71795,19.833325,
20.741675,19.8603,
20.749625,19.89955,
20.764175,19.9225,
20.783675,19.939225,
20.7976,19.961275,
20.806925,19.9849,
20.8204,20.0125,
20.856225,20.044575,
20.867075,20.070025,
20.9005,20.094775,
20.9779,20.118725,
20.990725,20.1536,
21.004975,20.2314,
21.027775,20.256975,
21.0479,20.277175,
21.059675,20.327475,
21.073425,20.349075,
21.08685,20.3946,
21.09885,20.4305,
21.1106,20.467725,
21.126825,20.48575,
21.1395,20.51095,
21.160375,20.55735,
21.172275,20.599875,
