SPK_SPKC03a (excited),SPK_SPKC06a (inhibited),SPK_SPKC08a (weak inhibition),SPK_SPKC09a (inhibited)
69.312975,19.65835,59.950825,4.28525
69.515125,19.742225,61.03495,4.29165
69.94985,19.805175,61.159525,4.305325
70.2807,19.823175,61.5891,4.318625
70.7653,20.09145,61.8011,4.329775
71.154625,20.331725,62.658625,4.423975
71.4049,20.568275,62.737025,4.45325
71.762725,20.6789,62.893875,4.4882
72.041175,20.697275,62.9623,4.520625
72.67885,20.6987,63.4573,4.57205
72.8027,21.6409,64.09215,4.591275
73.08165,21.826,64.274875,4.608475
73.43055,22.2116,64.3102,4.615625
73.456025,22.371125,64.72725,4.6232
73.591525,22.47015,65.436175,4.68885
74.37205,22.803075,65.511475,4.696375
75.365,22.87535,65.5961,4.7255
75.531275,22.9038,65.843175,4.73775
75.637025,22.9332,65.868725,4.7474
75.920125,22.970425,66.019025,4.758125
76.3747,23.538575,66.5076,4.767725
77.244225,23.777725,66.734675,4.811975
77.4842,23.89945,67.2094,4.82005
77.691775,23.9012,67.591425,4.840425
77.8434,24.07925,67.77525,4.84785
78.40915,24.257175,68.5095,4.88295
78.92195,24.3922,68.69985,4.902725
80.32935,24.4219,68.9847,4.9205
80.51905,24.5395,69.340025,4.98565
80.5652,24.58715,69.36035,5.02165
80.841675,24.660975,69.785775,5.038325
80.932075,24.810575,70.515025,5.057875
80.9666,24.842025,70.62405,5.0799
81.36555,24.89495,71.96445,5.122125
81.43515,25.464875,72.314275,5.12875
82.04175,25.5298,72.528875,5.15155
82.1551,25.658625,72.855725,5.1697
82.1998,25.8241,73.0579,5.181
82.7559,26.1958,73.18065,5.21635
83.096225,26.2551,73.51395,5.23445
83.4065,26.457125,73.78155,5.269475
83.492225,26.483875,73.947525,5.285925
83.603375,26.984725,74.3241,5.298425
83.9791,27.021675,74.6505,5.3052
84.092,27.0277,75.204325,5.31825
84.272125,27.3836,75.4109,5.32795
84.300025,27.68495,75.780925,5.36575
84.46135,27.794975,75.784525,5.382125
85.151575,27.807325,75.7947,5.3928
85.799225,28.08885,75.816475,5.47135
86.08935,28.297075,75.861775,5.488625
86.3392,28.327775,76.212725,5.512225
86.434375,28.522875,76.287125,5.5384
87.60495,28.621575,76.745725,5.5724
87.98765,28.658975,76.8063,5.658075
89.007625,29.01295,77.364825,5.659275
89.073325,29.022375,77.61875,5.68405
89.294425,29.17315,77.73215,5.7107
89.3832,29.764225,78.1873,5.720775
90.6709,29.82045,78.21745,5.73005
