SPK_SPKC01a (no effect),SPK_SPKC09a (inhibited)
11.742325,79.49605
11.797075,79.5159
11.823475,79.767
11.859225,80.29665
11.8911,80.2993
11.928425,80.318125
11.97235,80.51835
11.987725,80.74525
12.0111,80.787825
12.052425,80.793175
12.079675,81.107675
12.121125,81.13275
12.14725,81.304825
12.179725,81.59505
12.19685,81.608775
12.230425,81.619225
12.252175,81.6564
12.300325,82.373625
12.344175,82.398575
12.360325,82.4353
12.371625,82.468425
12.4097,82.7043
12.456575,82.82615
12.48465,83.035075
12.518,83.0482
12.5752,83.0819
12.6104,83.093975
12.648325,83.114575
12.680375,83.2904
12.71055,83.441175
12.75145,83.44965
12.785875,83.48745
12.814675,83.49525
12.84315,83.556525
12.8975,83.59875
12.936275,83.635725
12.97765,83.764225
13.011275,83.907175
13.063625,83.931875
13.0923,84.142925
13.119325,84.164025
13.1674,84.272725
13.1897,84.680225
13.2324,84.697225
13.273325,84.714375
13.3187,84.72955
13.3788,84.808425
13.415775,84.880925
13.463925,84.956475
13.491175,85.095125
13.546,85.1047
13.57015,85.490175
13.5952,85.545125
13.620375,85.6951
13.648325,85.8701
13.658275,86.005375
13.719225,86.2897
13.783525,86.3028
13.810825,86.399475
13.8546,86.439075
13.87975,87.05325
13.90085,87.321075
13.930025,87.42815
13.950375,87.559975
13.977975,87.624525
13.995475,87.737175
14.026075,87.754675
14.04875,87.779725
14.087175,87.800525
14.12085,88.09405
14.13245,88.1943
14.232,88.230775
14.275825,88.294625
14.311825,88.309825
14.345275,88.60495
14.35845,88.621525
14.3924,88.646875
14.436775,88.66965
14.47105,88.6744
14.504275,89.20375
14.538675,89.238325
14.56635,89.4109
14.588475,89.448675
14.62525,89.494125
14.641575,89.5918
14.6697,89.62605
14.70985,89.709575
14.74845,89.7283
14.795875,89.84405
14.867125,89.927475
14.89435,90.02325
14.9474,90.110625
15.01275,90.524325
15.05145,90.53975
15.120725,90.626625
15.184725,90.652425
15.240225,91.01475
15.290375,91.0451
15.341225,91.076625
15.384275,91.101175
15.43135,91.204275
15.52435,91.2307
15.592325,91.314375
15.626825,91.35035
15.7,91.39465
15.73805,91.456875
15.814425,91.52165
15.86945,91.56045
15.888425,91.584025
15.95275,91.680675
16.0151,91.78885
16.06045,91.804575
16.120925,91.827025
16.160325,91.908425
16.225775,91.98645
16.339,92.062225
16.370075,92.11255
16.42235,92.127075
16.4731,92.135875
16.52695,92.146125
16.5768,92.22465
16.604025,92.302275
16.6628,92.329875
16.72875,92.367325
16.785975,92.37055
16.8083,92.54515
16.84215,92.5688
16.90675,92.5914
16.948725,92.59705
16.966725,92.651375
17.0052,92.717375
17.0507,92.847725
17.0648,92.894975
17.08475,93.07125
17.1055,93.112375
17.15135,93.1226
17.1876,93.143325
17.2162,93.153625
17.290975,93.1666
17.319825,93.20515
17.381525,93.2228
17.42625,93.246025
17.45885,93.280575
17.4901,93.482275
17.532025,93.497375
17.574325,93.53095
17.599125,93.552225
17.64465,93.558375
17.688425,93.5923
17.72355,93.60805
17.773125,93.651875
17.8185,93.66335
17.85735,93.862475
17.88675,93.88765
17.916975,93.955425
17.946925,94.0578
17.980825,94.156425
18.007975,94.45615
18.065725,94.5442
18.095875,94.676925
18.1446,94.68915
18.183175,94.7104
18.19895,94.784125
18.2271,94.7901
18.243375,94.82435
18.257825,94.84225
18.282675,94.896925
18.31115,94.9319
18.3581,94.966875
18.42245,95.07445
18.459725,95.152625
18.466725,95.261175
18.542725,95.279075
18.5644,95.321725
18.603,95.362175
18.628525,95.45115
18.660025,95.890625
18.685025,95.909475
18.71945,95.9371
18.739125,96.0134
18.7672,96.15275
18.784125,96.182525
18.82815,96.200525
18.84385,96.275775
18.85225,96.482125
18.888775,96.512775
18.92635,96.5311
18.953075,96.56335
18.979375,96.86785
18.9998,96.889975
19.0483,96.955725
19.0771,96.974675
19.110775,97.055575
19.124925,97.31085
19.1464,97.34935
19.182975,97.35815
19.215425,97.371325
19.2456,97.4262
19.292375,97.43925
19.324075,97.537875
19.337675,97.547875
19.36625,97.63445
19.389775,97.94955
19.429325,97.974725
19.4423,98.033175
19.475425,98.101
19.5045,98.142775
19.528625,98.155925
19.55485,98.388075
19.583125,98.452925
19.62425,98.68015
19.663975,98.7777
19.683925,98.84425
19.7093,98.970475
19.73435,99.0807
19.757675,99.125475
19.7887,99.154425
19.8417,99.171925
19.881325,99.2049
19.90615,99.260975
19.920225,99.328225
19.940625,99.34355
19.969325,99.367075
19.993225,99.423025
20.012475,99.437075
20.02965,99.448575
20.064625,99.49715
20.082375,99.5529
20.11505,99.6408
20.1433,99.709525
20.161175,99.843325
20.1941,99.9214
20.2342,99.965525
20.2845,100.02785
20.306075,100.1101
20.3264,100.13655
20.3567,100.15805
20.37505,100.190725
20.386925,100.201325
20.41855,100.277075
20.4635,100.30255
20.501025,100.3225
20.546525,100.44435
20.570675,100.48985
20.587225,100.51305
20.6118,100.552675
20.64515,100.641625
20.672875,100.894675
20.703175,100.906475
20.715225,100.91755
20.73905,101.014675
20.77565,101.052875
20.821125,101.069075
20.8918,101.085275
20.913,101.134925
20.97985,101.1513
21.0362,101.186275
21.079875,101.203775
21.113225,101.219225
21.149075,101.35695
21.172775,101.378
21.1937,101.49085
21.2193,101.5654
21.246975,101.575625
21.2797,101.585125
21.3083,101.6148
21.332125,101.636425
21.34815,101.64965
21.383725,101.70625
21.410575,101.733575
21.450175,101.77115
21.51115,101.826525
21.5218,102.0664
21.5382,102.083025
21.5587,102.124675
21.585325,102.131725
21.619275,102.17435
21.659375,102.193625
21.701675,102.48655
21.7453,102.52585
21.763375,102.66335
21.8005,102.7387
21.8274,102.8035
21.8732,102.837025
21.90655,102.86715
21.931375,102.92135
21.96485,102.950675
21.986725,103.035375
22.007375,103.055775
22.024975,103.08335
22.046725,103.13705
22.0618,103.161075
22.076,103.24315
22.10655,103.28305
22.12825,103.338275
22.14695,103.3519
22.175675,103.4101
22.1935,103.425525
22.231625,103.5975
22.259,103.634725
22.281925,103.66415
22.3018,103.69035
22.33225,103.711275
22.357225,103.77895
22.366825,103.78975
22.38945,103.853125
22.409775,103.868225
22.42625,103.977175
22.460125,103.989925
22.513625,104.01235
22.5468,104.09515
22.572975,104.1851
22.600675,104.206975
22.634125,104.221875
22.67075,104.26575
22.70155,104.286625
22.7418,104.304175
22.745125,104.38315
22.770775,104.402325
22.794375,104.4429
22.83205,104.5415
22.8622,104.566
22.9028,104.589025
22.93635,104.684325
22.96075,104.697175
22.9865,104.72065
23.0381,104.81805
23.100725,104.89715
23.105775,104.91275
23.14065,104.949425
23.15715,104.97045
23.17175,105.0074
23.199,105.018975
23.22765,105.04785
23.252025,105.097925
23.2906,105.164275
23.304025,105.199975
23.352075,105.3925
23.428975,105.442325
23.46515,105.4608
23.487125,105.564125
23.523225,105.583075
23.53755,105.61105
23.563725,105.626125
23.58385,105.669225
23.607375,105.729775
23.6363,105.739175
23.6591,105.817275
23.687125,105.877725
23.701675,105.888275
23.7335,105.897875
23.761825,106.019575
23.786625,106.066125
23.827175,106.14325
23.869475,106.194225
23.905425,106.202475
23.928675,106.2498
23.952075,106.308025
23.973325,106.341625
24.006375,106.392825
24.023425,106.42775
24.0263,106.49335
24.058375,106.51025
24.0817,106.5215
24.1205,106.547225
24.141375,106.556875
24.179425,106.783975
24.190525,106.81875
24.212025,106.837
24.2222,106.8895
24.243875,106.917175
24.257425,106.92885
24.26385,106.944725
24.303125,107.0037
24.3334,107.02245
24.366375,107.041525
24.407125,107.132925
24.45625,107.20885
24.486425,107.21915
24.50455,107.23845
24.52985,107.262475
24.579825,107.390775
24.635425,107.468575
24.672675,107.50215
24.688875,107.58425
24.717925,107.6239
