SPK_SPKC05a (inhibited),SPK_SPKC08a (excited),SPK_SPKC10a (no effect),SPK_SPKC12a (excitation + inhibition),SPK_SPKC12b (inhibited),SPK_SPKC14a (excited)
2.661625,4.10255,27.016775,7.459175,2.12605,9.039125
2.687525,4.124875,27.134725,7.507425,2.142875,9.116025
2.713175,4.245225,27.228525,7.5552,2.219,9.158725
2.749425,4.2617,27.253925,7.5856,2.2303,9.2621
2.770775,4.29115,28.043025,7.635525,2.242225,9.29765
2.79205,4.30915,28.1132,7.6638,2.25845,9.32955
2.805175,4.3309,28.1519,7.68865,2.278275,9.350175
2.825325,4.343225,28.216725,7.725275,2.310875,9.3514
2.8595,4.34935,28.3055,7.8009,2.323025,9.3812
2.89715,4.358,28.508725,7.853875,2.339125,9.397
2.93715,4.3985,28.596875,7.864725,2.381925,9.39945
2.979575,4.445425,28.7911,7.89045,2.402675,9.410025
2.999825,4.493625,29.02565,7.9532,2.42275,9.42125
3.03005,4.5259,29.24075,8.00095,2.43555,9.43815
3.09415,4.547425,29.367125,8.09765,2.455475,9.448525
3.123475,4.5919,29.5264,8.17635,2.4804,9.459875
3.132925,4.639425,29.792525,8.18775,2.518175,9.469175
3.1577,4.701275,29.893575,8.2123,2.570125,9.5011
3.1598,4.7463,29.965425,8.301425,2.58855,9.568025
3.19155,4.82,30.006825,8.384975,2.5994,9.61035
3.2173,4.882725,30.2934,8.43315,2.612175,9.65565
3.2384,4.910175,30.55455,8.4697,2.656025,9.69735
3.261575,4.961275,30.754925,8.5145,2.674875,9.73
3.29285,4.991675,30.796975,8.5473,2.7058,9.952575
3.3124,5.02875,30.9826,8.785825,2.718625,9.964125
3.35025,5.0635,31.015975,8.79005,2.75305,10.037225
3.363975,5.108425,31.036575,8.81915,2.77185,10.2829
3.380025,5.1403,31.043875,8.8459,2.83795,10.7747
3.3999,5.259675,31.0906,8.97595,2.851225,11.012375
3.41525,5.291125,31.26115,9.00845,2.867675,11.085825
3.437075,5.3169,31.292,9.0701,2.889325,11.337275
3.468625,5.349775,31.344225,9.1277,2.900675,11.379775
3.481,5.4029,31.374325,9.21485,2.91225,11.400325
3.497625,5.464175,31.6885,9.303675,2.912875,11.411075
3.512975,5.517,32.0629,9.37295,2.92265,11.417375
3.53295,5.555175,32.1631,9.527075,2.942775,11.434475
3.60875,5.60375,32.233575,9.570775,2.96075,11.440425
3.6256,5.63645,32.618675,9.646525,2.972275,11.4625
3.6386,5.65865,32.6603,9.67625,2.987375,11.463625
3.66335,5.6964,33.144,9.71565,3.009175,11.47725
3.688325,5.727475,33.1731,9.817325,3.023675,11.4914
3.737825,5.772675,33.230275,9.860975,3.07205,11.523925
3.7619,5.81995,33.466775,9.88105,3.087125,11.570575
3.796025,5.858725,33.67185,10.0007,3.1085,11.6018
3.82485,5.904275,33.7686,10.04255,3.12605,11.630475
3.846275,5.92825,33.7994,10.065275,3.1385,11.7387
3.869,5.9742,33.8099,10.110125,3.1628,12.3068
3.885325,6.006125,33.83055,10.175875,3.1889,12.315675
3.906975,6.104825,33.9471,10.222875,3.21995,12.32535
3.94395,6.152825,34.615175,10.245925,3.247075,12.337225
