SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
271.5866,254.5028
271.650975,254.680925
271.686625,254.8685
271.7158,254.958975
271.7358,255.046125
271.91575,255.215775
271.978825,255.339225
272.0283,255.442225
272.0576,255.706825
272.111025,255.918875
272.185775,256.044725
272.221275,256.126675
272.3314,256.226775
272.375525,256.32245
272.403825,256.439325
272.50335,256.55125
272.555525,256.878925
272.61365,257.03665
272.7244,257.122
272.7631,257.22755
272.81105,257.4236
272.843925,257.553925
272.884675,257.662775
273.070675,257.7082
273.1076,257.7821
273.15995,257.89695
273.2303,257.994225
273.261875,258.080225
273.414525,258.228075
273.46935,258.336325
273.526325,258.5156
273.655625,258.622925
273.73235,258.7119
273.831775,258.81645
273.879225,258.889775
274.004125,259.02305
274.0499,259.12525
274.09245,259.412025
274.13405,259.62215
274.185225,259.79735
274.23735,259.9238
274.28785,259.979425
274.3452,260.16155
274.3894,260.26845
274.4745,260.387325
274.579525,260.492825
274.6691,260.60975
274.721575,260.69075
274.78135,261.0226
274.819125,261.1307
274.882725,261.20935
274.924875,261.381425
274.965375,261.4736
275.011875,261.55425
275.093425,261.674125
275.213575,261.8181
275.382475,261.9561
275.43865,262.0564
275.544525,262.184525
275.6469,262.3866
275.79585,262.519825
275.922975,262.638975
275.957775,262.714725
276.0138,262.7684
276.172325,262.84315
276.22705,262.949
276.35005,263.01475
276.426275,263.102525
276.46795,263.19695
276.49615,263.38095
276.61695,263.563
276.704925,263.784
276.7408,263.911975
276.765375,264.0378
276.832425,264.144325
276.8995,264.21195
277.0316,264.352025
277.077125,264.482025
277.19465,264.54345
277.262225,264.6379
277.31915,264.97585
277.35445,265.08155
277.414525,265.1502
277.451725,265.240825
277.489625,265.31895
277.6231,265.563975
277.78175,265.667875
277.88585,265.741175
278.01785,265.82085
278.053075,266.428925
278.093975,266.59135
278.20165,266.663975
278.25615,266.7865
278.307775,266.83905
278.355125,266.963
278.419075,267.066475
278.459325,267.21475
278.567825,267.420075
278.607825,267.523325
278.686975,267.5932
278.78285,267.682925
278.97005,267.753875
279.15055,267.912375
279.255575,268.0111
279.306425,268.0968
279.34855,268.2059
279.391425,268.306275
279.604875,268.390075
279.6575,268.491675
279.703575,268.610175
279.7581,268.706875
279.86985,268.938425
279.92775,269.204975
280.0316,269.2896
280.13295,269.4111
280.216275,269.530425
280.3054,269.6301
280.349425,269.8234
280.5438,269.900475
