SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC07d,SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC14a
101.48285,101.697425,117.492,120.099475,102.9284,102.531925,102.839125,115.641425
101.49185,101.7093,117.576025,120.251825,102.936175,102.5498,102.84015,115.703575
101.518375,101.722225,117.795625,120.293125,103.00435,102.730825,102.903925,115.9224
101.5269,101.73455,117.820975,120.479975,103.01565,102.812875,102.93375,115.9698
101.5306,101.743575,118.0965,120.51445,103.067075,102.882675,102.9371,116.177
101.552125,101.758175,119.23825,120.640325,103.09505,103.023475,102.94015,116.396475
101.5668,101.767525,119.56315,120.78745,103.111225,103.03605,102.9754,116.497975
101.602475,101.781925,119.641325,120.8912,103.170775,103.06045,102.979575,116.70545
101.615175,101.79775,120.0845,121.02215,103.19385,103.176025,102.990825,117.152475
101.637675,101.80995,120.294875,121.287075,103.233325,103.2148,102.9987,117.3371
101.6804,101.822825,120.5684,121.54825,103.249425,103.2829,103.001425,118.017225
101.699875,101.8704,120.69005,121.5853,103.345025,103.301675,103.02635,118.569875
101.709525,101.89235,120.979825,121.722825,103.3688,103.364075,103.078875,118.888875
101.7245,101.90385,121.04,121.761875,103.435225,103.407225,103.08825,119.03215
101.750575,101.91515,121.242475,121.85465,103.61305,103.453475,103.09425,119.053975
101.764775,101.925375,121.793425,121.954925,103.673625,103.4936,103.101875,119.08245
101.7982,101.933575,122.00115,122.103375,103.814725,103.537175,103.159,119.43315
101.826725,101.941675,122.841975,122.24115,103.850225,103.5578,103.2007,119.524
101.83245,101.947975,123.219325,122.418175,103.948525,103.6412,103.2211,119.846175
101.848125,101.9571,123.62235,122.5076,103.965575,103.662425,103.2439,119.8906
101.856275,101.963575,123.7015,122.518475,103.98595,103.781575,103.29015,120.039325
101.865825,101.9687,124.115175,122.56255,104.080775,103.80545,103.3669,120.69235
101.879075,101.9729,124.5949,122.65335,104.5182,103.872375,103.409525,120.992725
101.885625,101.9767,124.7329,122.739425,104.579,103.92795,103.43245,121.06515
101.8976,101.9802,124.808925,122.806925,104.6315,104.060925,103.446525,121.3231
101.906375,101.983625,125.0032,123.2014,104.8406,104.1776,103.452475,121.398975
101.91595,101.98775,125.641875,123.63125,104.875925,104.1968,103.496775,121.407775
101.924375,101.994125,125.94605,123.813075,104.928425,104.223875,103.555875,121.511025
101.9383,101.99845,126.327075,123.848025,105.0919,104.247475,103.563,121.60745
101.9452,102.0037,126.500875,124.2012,105.121125,104.26615,103.583725,121.630075
101.948975,102.017725,126.97515,124.9694,105.16615,104.31515,103.589125,121.677
101.96405,102.0252,127.093225,125.112675,105.185975,104.336175,103.6117,121.691325
101.97065,102.031075,127.408875,125.987,105.20375,104.600775,103.633625,121.7337
101.9776,102.040225,127.4705,126.6123,105.36285,104.619175,103.654625,121.896175
101.982475,102.0535,127.5258,126.786,106.454375,104.6429,103.6702,122.282875
101.99285,102.059425,127.6877,126.915275,106.509875,104.82095,103.67615,122.316575
102.0065,102.082575,128.084025,126.949675,106.5782,104.84375,103.682525,122.371125
102.01985,102.213175,128.14365,127.258025,106.594,104.885325,103.851075,122.598875
102.0461,102.226525,128.5026,127.581825,106.6391,104.925825,103.89695,122.780975
102.056975,102.239475,128.8433,129.207075,106.65255,105.04095,103.961425,123.02065
102.079525,102.251275,129.312125,129.61115,106.663475,105.061625,103.978875,124.03375
102.102075,102.260475,129.489575,129.830275,106.6929,105.1113,104.023825,124.04035
102.10725,102.2706,129.653875,129.8618,106.7065,105.1174,104.053225,124.085525
102.1206,102.277425,130.330925,130.126075,106.78405,105.1361,104.217475,124.4947
102.134375,102.2841,130.489725,130.19385,106.843025,105.309425,104.232925,124.62505
102.141625,102.288325,130.561175,130.273475,106.89025,105.3272,104.366325,124.6436
102.15405,102.293225,130.678925,130.796525,106.9317,105.371875,104.422875,124.717
102.1626,102.29985,130.871875,131.406975,106.9475,105.388775,104.4358,124.975775
102.18175,102.30465,131.829175,131.982925,106.971125,105.428425,104.476025,125.352375
102.19795,102.3104,132.631175,132.4885,106.98745,105.5375,104.54505,125.834375
102.205275,102.3138,132.733675,132.736675,106.99895,105.558175,104.65915,126.0173
102.210675,102.317525,133.000125,132.77695,107.027425,105.569975,104.731625,126.350825
102.21795,102.324025,133.29065,133.332625,107.114625,105.5921,104.830975,126.465275
102.22165,102.33155,133.4912,133.63695,107.144125,105.639475,104.988575,126.6553
102.2274,102.3409,133.70145,133.803475,107.15725,105.690425,104.9968,126.71845
102.2358,102.35525,133.72865,134.58415,107.175175,105.82725,105.03605,126.736075
102.23925,102.441225,133.799875,134.739275,107.205075,106.226475,105.114875,126.75125
102.2423,102.51605,134.334875,134.771425,107.233575,106.273625,105.1289,126.829325
102.248525,102.529675,134.6187,135.1462,107.26585,106.289125,105.2307,127.27065
102.25655,102.5421,135.80775,135.16795,107.382075,106.35795,105.305825,127.469925
102.26485,102.5537,136.060825,135.4197,107.399,106.436525,105.357775,127.851575
102.276275,102.5596,136.47565,135.502,107.4104,106.519825,105.577875,127.967525
102.2829,102.5653,136.66495,135.7341,107.45205,106.57245,105.6091,128.011175
102.285325,102.57275,136.978625,136.557675,107.468425,106.6769,105.631275,128.4783
102.288375,102.58295,137.2112,137.200275,107.569975,106.709,105.658925,128.8276
102.2928,102.5885,137.253125,137.218175,107.5942,106.726325,105.755925,128.935
102.308825,102.595175,137.38375,137.645375,107.62095,106.74745,105.800075,129.828525
102.312625,102.60265,137.7593,137.857025,107.701925,106.77245,105.83795,130.082425
102.32675,102.623925,137.902425,138.63685,107.723875,106.81145,105.843525,130.13145
102.4011,102.63,138.29405,138.89475,107.76875,106.846225,105.865925,130.164725
102.42335,102.637475,138.581575,138.9031,107.83895,106.867175,105.883175,130.353275
102.433075,102.6439,138.708425,139.417225,107.9178,107.00675,105.896375,130.55805
102.436425,102.64965,139.254175,139.960375,107.941175,107.07995,105.911175,130.750175
102.469125,102.66,139.272175,140.016425,107.972725,107.1197,105.95895,131.305475
102.53525,102.780525,139.407075,140.0918,107.99455,107.1385,105.9779,131.351875
102.627,102.832275,139.524575,140.664575,108.05735,107.22365,106.06585,131.69595
102.63555,102.8738,139.742875,140.678625,108.201875,107.277275,106.070425,131.7709
102.641425,102.941925,139.8266,141.20985,108.28445,107.3445,106.076425,132.043225
102.647425,102.957875,140.361775,141.5563,108.474125,107.40435,106.112675,132.424975
102.72115,103.012675,140.521475,141.6827,108.50735,107.603375,106.1835,132.46575
102.7489,103.03435,141.2255,141.887625,108.527675,107.7029,106.185325,132.615625
102.76735,103.061875,141.775125,142.027325,108.595225,107.717575,106.189875,132.633525
102.778775,103.0771,141.884125,142.240825,108.661625,107.795,106.26955,132.6642
102.796,103.093575,142.608075,142.88105,108.702525,107.8439,106.3006,132.895225
102.816025,103.14015,143.3326,143.58345,108.720175,107.888375,106.324925,133.000675
102.83125,103.1543,143.49085,143.67955,108.7796,107.9117,106.386875,133.048725
102.84285,103.166925,143.535475,143.72145,108.869225,108.3377,106.44695,133.1727
102.851125,103.195525,143.820475,144.762925,108.925425,108.423775,106.4985,133.30015
102.86395,103.217025,144.07655,144.777225,108.973375,108.53785,106.515825,133.45445
102.86545,103.237275,144.32535,145.25375,109.0912,108.58175,106.5594,133.622625
102.88575,103.2553,144.36335,145.76085,109.247775,108.605025,106.603625,133.711525
102.909375,103.2663,144.56465,145.812675,109.459125,108.641075,106.66615,133.748425
102.9248,103.27645,145.299525,146.2577,110.415275,108.66345,106.685125,134.035025
102.931625,103.2948,145.356475,146.298425,110.459275,108.767575,106.77395,134.08245
102.955625,103.31145,145.482575,146.354075,110.485125,108.780925,106.851025,134.48615
102.96905,103.32815,145.645775,146.84675,110.499475,108.834375,106.894475,134.759225
102.98785,103.366225,146.137925,146.8597,110.524475,108.848425,106.903575,134.809625
102.998975,103.376525,146.6478,146.9079,110.54345,108.911575,106.97555,135.0856
103.019175,103.380925,147.012775,147.03895,110.552975,108.977075,107.07485,135.157325
103.03255,103.391725,147.10495,147.216475,110.6117,108.9958,107.161925,135.33245
103.0445,103.403675,147.6035,147.393325,110.638125,109.0056,107.18065,135.4632
103.0483,103.47365,147.664075,147.46855,110.671825,109.041875,107.237725,135.708575
103.057525,103.49945,147.9681,147.753925,110.710325,109.0941,107.330825,135.899875
103.06345,103.78985,148.033925,147.801075,110.73315,109.221575,107.36095,135.927725
103.08495,103.863975,148.189675,147.887975,110.7789,109.27265,107.3769,136.058525
103.092375,103.8915,148.945875,147.993025,110.80915,109.28085,107.42015,136.098675
103.109325,103.9516,149.2131,148.00395,110.8516,109.3142,107.47615,136.2104
103.12995,103.9771,149.4821,148.06325,110.863975,109.324075,107.530275,136.66315
103.13525,104.029625,149.616075,148.289925,110.876675,109.3392,107.535625,136.734225
103.14545,104.0527,149.848325,148.368775,110.896825,109.360275,107.5654,141.873425
103.164125,104.085625,150.155825,148.435825,110.9484,109.403475,107.603075,142.966875
103.177675,104.130625,150.38745,148.525325,110.99455,109.6127,107.60895,148.128475
103.185525,104.171925,150.408125,148.66655,111.030425,109.66135,107.6446,148.25675
103.1946,104.1843,150.80515,148.70195,111.0534,109.709725,107.66895,148.8291
103.23155,104.1914,151.642375,148.728975,111.077475,109.724325,107.697475,149.560675
103.30735,104.220925,151.7576,148.77805,111.08755,109.755175,107.734775,151.8233
103.312525,104.242,152.241775,148.8654,111.114575,109.923125,107.79735,152.0721
103.33845,104.262725,152.370875,148.96185,111.13465,109.96715,107.839275,152.12905
103.350775,104.29105,152.512275,149.16655,111.216625,110.01945,107.901175,152.328675
103.36395,104.331675,152.52125,149.2904,111.265175,110.034225,107.937675,152.6275
103.38095,104.342475,152.561075,149.4254,111.339775,110.05065,108.001125,152.79385
103.39995,104.36415,153.142125,149.47555,111.4097,110.12285,108.052275,153.20205
103.417325,104.3887,153.265225,149.5136,111.42785,110.139375,108.086625,153.7439
103.4321,104.467775,153.7107,149.54215,111.445025,110.15865,108.21975,153.83045
103.456475,104.489075,153.7697,149.57445,111.5149,110.248275,108.262625,154.1306
103.495175,104.520775,154.18275,149.59825,111.561325,110.299925,108.323575,154.3326
103.52235,104.5529,154.2021,149.62025,111.576575,110.35845,108.32465,154.455875
103.526725,104.5976,154.50695,149.6326,111.65265,110.425325,108.381075,155.672925
103.58405,104.615275,154.925475,149.665425,111.671625,110.43825,108.4378,155.810725
103.607225,104.6298,155.081775,149.756275,111.715725,110.520275,108.6452,155.900375
103.615975,104.65195,155.2555,149.8032,111.7474,110.648025,108.684775,157.1674
103.6298,104.705775,155.3544,149.8201,111.784225,110.67405,108.759575,157.5577
103.659,104.723975,155.422775,149.879925,111.8104,110.7701,108.771775,157.861825
103.6665,104.73725,155.4801,149.94855,111.830025,110.78045,108.813575,157.891025
103.674025,104.765475,155.6542,150.024375,111.850675,110.79955,108.8262,158.09805
103.682575,104.7999,155.9195,150.1786,112.001975,110.835175,108.83535,158.336275
103.72265,104.82405,156.093525,150.253775,112.054925,110.872025,108.96015,158.597775
103.73615,104.843575,156.196875,150.304075,112.10925,110.968125,108.994525,158.6925
103.7447,104.8649,156.2649,150.32205,112.174425,111.1231,109.002925,159.098625
103.7554,104.87805,156.71205,150.365175,112.185025,111.1737,109.0166,159.65155
