SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC07b,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC12a,SPK_SPKC14a
251.609675,253.168275,264.371675,263.3921,255.82565,252.6655,325.866025,259.596225,253.930875
251.62585,253.211825,264.696575,264.090275,255.916425,252.73535,329.1617,259.646625,253.956325
251.66215,253.21325,264.7157,264.332275,256.00005,252.81555,332.218225,259.71795,253.98305
251.6767,253.2525,264.723675,265.08115,256.012325,252.990625,333.459825,260.261775,254.005075
251.73045,253.25815,264.758625,265.217825,256.025325,253.00275,333.506575,260.4298,254.030225
251.77125,253.3296,264.800725,266.1629,256.1046,253.023325,337.321925,260.913475,254.079925
251.788325,253.346475,264.817375,266.4638,256.12835,253.09985,338.3823,261.05225,254.116275
251.872675,253.368675,265.318475,266.5923,259.920625,253.12055,338.395825,261.241375,254.149375
251.876125,253.460925,265.48565,266.6835,259.930575,253.14545,338.608475,261.459325,254.28405
251.897375,253.4804,266.351025,267.77805,259.965175,253.15695,341.007825,261.69355,254.290325
252.039725,253.4963,266.8841,267.791575,260.361025,253.2349,344.8061,262.274375,254.440825
252.041725,253.501775,266.983,268.03365,260.518375,253.351575,347.116525,262.414675,254.482975
252.051425,253.58105,267.144225,268.3592,260.666225,253.35685,347.536325,262.463,254.5294
252.071925,253.584175,267.330225,268.773425,261.257575,253.386125,347.56195,262.53355,254.5571
252.1004,253.797325,267.334325,268.821425,262.398325,253.5981,347.56955,262.7271,254.578975
252.10995,253.852825,267.35885,268.985275,262.4301,253.644925,347.576875,262.8754,254.5953
252.11155,253.9522,267.7666,269.13165,262.583025,253.66905,348.086825,263.206725,254.609975
252.143125,253.9761,268.134875,269.149575,262.65735,253.7272,348.90475,263.292375,254.63355
252.173425,254.048225,268.468,269.67705,263.05905,253.771025,349.4083,263.384225,254.6797
252.183875,254.1742,269.0945,269.82685,263.06285,253.779625,349.4549,263.562525,254.818375
252.190925,254.23785,269.888925,270.0927,263.10025,253.87275,349.6207,263.7134,254.833125
252.221825,254.399075,269.963425,270.327175,263.146275,253.969425,349.633825,263.851375,255.407075
252.247325,254.401525,270.4578,270.3907,264.276675,253.98925,349.6509,263.955175,255.478325
252.25845,254.4303,270.835225,270.664525,264.284175,254.027525,349.698625,264.363975,255.5984
252.27135,254.435175,271.93015,270.8336,264.32235,254.044175,350.257575,264.549625,255.640775
252.30495,254.52525,271.951825,270.9743,264.41685,254.159375,350.37845,264.714125,255.870475
252.307,254.541575,271.99385,271.4041,264.722275,254.17695,350.463875,265.04565,255.917275
252.317275,254.576275,272.204675,271.576875,264.73775,254.192475,350.780475,265.249375,255.9514
252.371075,254.602725,272.28495,271.745,264.7949,254.207125,350.7992,265.40965,255.98905
252.46535,254.610025,273.15605,271.94515,264.806225,254.2311,350.810275,265.524875,256.1721
252.4726,254.6238,273.17685,272.181225,264.847225,254.252225,350.820125,265.9075,256.207375
252.478875,254.634575,274.376275,272.204225,264.910875,254.302625,350.845575,267.616875,256.22705
252.494025,254.718625,274.574775,272.4681,264.92235,254.318075,350.849125,267.725575,256.2505
252.5022,254.84355,274.921375,272.8978,265.17325,254.344525,350.898325,267.886275,256.291625
252.5238,254.847125,274.937775,272.9235,265.5505,254.414225,350.929175,268.551975,256.314475
252.5447,254.941725,275.05835,273.953625,266.702,254.4576,350.9571,268.608025,256.3784
252.5997,254.948325,275.104425,274.607975,266.733675,254.506475,351.3186,268.700325,256.435675
252.6211,255.011375,275.177075,274.924525,267.773875,254.5576,351.334125,268.790575,256.4668
252.635125,255.213575,275.35935,274.99075,267.82845,254.587025,351.343775,269.017775,256.608
252.665775,255.22025,275.630375,275.317375,268.350975,254.6313,351.3718,269.077425,256.62795
252.728075,255.257625,275.65985,275.5213,269.3972,254.6595,351.400725,269.40765,256.67425
252.743725,255.28045,275.868525,275.53855,269.4326,254.67245,353.04055,269.416975,256.6995
252.76825,255.30535,276.98725,275.82205,270.37695,254.687375,353.312525,269.45955,256.720725
252.87705,255.5317,277.081,276.64505,270.39755,254.70725,357.9776,269.649925,256.737175
252.8891,255.535725,277.0898,276.87865,270.44105,254.719,360.866175,269.670075,256.760675
252.9147,255.63965,277.104825,277.1552,270.87645,254.748675,361.262775,269.7868,256.7772
252.919725,255.71215,277.123625,277.927425,270.908,254.75525,361.291025,270.415975,256.825375
252.926475,255.749775,277.13985,278.11975,271.007525,254.7571,361.311025,270.7609,256.865025
252.93035,255.76715,277.20645,278.165125,271.071475,254.768575,361.343175,270.970525,256.89495
