SPK_SPKC02a (inhibited),SPK_SPKC02b (excited),SPK_SPKC06a (no effect),SPK_SPKC15a (NA)
5.762,4.826225,2.6097,1.83145
5.8027,4.83985,2.644225,1.85605
5.89525,4.856275,2.6577,1.900675
5.995325,4.862225,2.694275,1.923825
6.11225,4.8669,2.707875,1.94565
6.1301,4.94175,2.717225,1.960475
6.14035,4.980825,2.729725,1.97935
6.15585,5.0025,2.740475,1.9915
6.167175,5.032,2.749575,2.016125
6.184875,5.037175,2.78145,2.026325
6.1992,5.06185,2.8239,2.04175
6.22325,5.07875,2.856925,2.051825
6.24385,5.112575,2.883975,2.06615
6.27775,5.1372,2.895825,2.087575
6.3113,5.16785,2.91025,2.096225
6.33775,5.188725,2.9503,2.10825
6.370675,5.211325,3.011075,2.121075
6.393975,5.2722,3.037525,2.13285
6.47545,5.27625,3.1251,2.150375
6.478925,5.31925,3.1439,2.16295
6.495075,5.3522,3.158875,2.178
6.557625,5.393525,3.176675,2.201025
6.610625,5.451725,3.210225,2.21625
6.644875,5.464425,3.233975,2.234675
6.684025,5.503875,3.287725,2.252475
6.8339,5.5541,3.329025,2.269575
6.8844,5.5939,3.37505,2.2823
6.9404,5.631,3.40525,2.31775
7.210925,5.672125,3.423425,2.335225
7.2768,5.70355,3.4758,2.35865
7.35445,5.72885,3.526575,2.384675
7.491,5.7762,3.56095,2.42895
7.554575,5.82325,3.592725,2.470525
7.602825,5.887875,3.616175,2.496675
7.6779,5.9301,3.68145,2.5208
7.7412,5.978525,3.729975,2.5499
7.854275,6.07565,3.757275,2.581125
7.95205,6.07875,3.7865,2.597925
8.018575,6.105625,3.829175,2.62725
8.106725,6.131525,3.860375,2.645575
8.148275,6.1495,3.8789,2.664425
8.184325,6.1539,3.899375,2.685275
8.2621,6.18205,3.927475,2.703825
8.347525,6.205025,3.942975,2.716275
8.496925,6.262025,3.965825,2.7307
8.60995,6.29445,3.9815,2.740175
8.644675,6.3217,4.003125,2.748225
8.657325,6.36835,4.0073,2.756925
8.660175,6.3951,4.018,2.762675
8.6809,6.423075,4.021575,2.773925
8.701025,6.426975,4.047325,2.7827
8.793225,6.4472,4.07925,2.7979
8.847975,6.500775,4.0991,2.812975
8.8939,6.5204,4.12495,2.819
8.9236,6.549525,4.154375,2.829275
8.957375,6.6054,4.182775,2.846725
8.97425,6.625925,4.23175,2.8597
8.988325,6.6517,4.290375,2.886575
9.031175,6.686725,4.3134,2.90745
9.070775,6.720425,4.3317,2.924875
9.101725,6.73305,4.37755,2.963025
9.131675,6.756875,4.413475,2.97735
