SPK_SPKC01a (no clear),SPK_SPKC02b (exc),SPK_SPKC07a (exc),SPK_SPKC09c (inhi),SPK_SPKC12b (exc),SPK_SPKC14a (exc),SPK_SPKC15a (inhi/exc),SPK_SPKC16a (inhi/exc?)
352.744075,358.82745,357.353975,351.736325,357.760975,352.50725,355.95205,357.6368
352.7802,358.94835,357.390625,351.757575,357.9002,352.533125,356.01075,357.79495
352.793875,359.47645,357.4231,351.779125,357.918025,352.5633,356.129525,357.821575
352.8228,359.6107,357.53235,351.8097,357.93425,352.59505,356.267775,358.104925
352.839625,359.75885,357.5937,351.84845,358.03855,352.61385,356.3921,358.394175
352.861825,360.037175,357.639575,351.870025,358.0618,352.630575,356.4648,358.44985
352.88965,360.168175,357.646625,351.891975,358.1071,352.673675,356.54305,358.53155
352.9194,360.56925,357.694025,351.9285,358.1862,352.6964,356.6772,358.539475
352.933825,360.656925,357.80855,351.96425,358.3534,352.72135,356.81665,358.547225
352.9732,360.71885,357.9437,352.072325,358.5715,352.8419,356.882475,358.56615
353.020325,360.7925,357.987725,352.10515,358.802775,352.8795,356.997775,358.580725
353.0682,360.8482,358.1395,352.13815,358.9152,352.89475,357.055425,358.63605
353.105775,360.87975,358.17435,352.156075,358.957725,352.96415,357.185025,358.68225
353.142925,360.8952,358.36145,352.184575,359.163075,352.9987,357.334875,358.830175
353.168975,360.909025,358.38485,352.230525,359.19075,353.00885,357.470675,358.893675
353.2024,360.950625,358.576625,352.249075,359.2417,353.016175,357.539825,358.95385
353.225425,360.98115,358.591225,352.28245,359.280525,353.0552,357.601875,359.002725
353.2497,361.0169,358.60755,352.30775,359.4022,353.079375,357.769225,359.239075
353.290975,361.048025,358.62705,352.338675,359.6313,353.1003,357.9106,359.403175
353.328425,361.122175,358.65055,352.362525,359.68575,353.12655,357.9812,359.45055
353.35185,361.18095,358.678975,352.398125,359.73655,353.168675,358.0481,359.63685
353.388325,361.217375,358.866625,352.445375,360.1198,353.2094,358.127325,359.72815
353.423625,361.24805,358.9672,352.486125,360.155575,353.233625,358.1395,359.83115
353.450025,361.34835,359.022175,352.5219,360.250625,353.2351,358.196075,360.19645
353.4789,361.379225,359.4303,352.54315,360.279225,353.291125,358.2621,360.2151
353.501625,361.445375,359.76285,352.566875,360.351975,353.33475,358.3314,360.5242
353.52485,361.75505,359.7793,352.595775,360.52635,353.372925,358.39595,360.5723
353.565875,361.824875,360.215375,352.62075,360.5619,353.414675,358.466925,360.5738
353.57965,361.95805,360.294725,352.7103,360.8379,353.4409,358.53545,360.582025
353.61635,362.03705,360.44545,352.7326,360.909775,353.4687,358.61415,360.589275
353.649,362.0603,360.5572,352.7513,361.07515,353.5004,358.673125,360.59065
353.697675,362.1559,360.582,352.78015,361.077625,353.524975,358.74485,360.594025
353.726575,362.2009,360.5945,352.804825,361.214275,353.546425,358.812575,360.627875
353.7517,362.2566,360.6162,352.822725,361.229875,353.583575,358.8893,360.6322
353.765775,362.8284,360.630875,352.830375,361.42385,353.60885,358.957225,360.752475
353.7821,363.738575,360.635875,352.8396,361.81325,353.63525,359.03495,360.84395
353.79765,363.753575,360.64905,352.846725,361.84815,353.675875,359.11465,360.889175
353.86075,363.785775,360.663925,352.866225,361.9014,353.805175,359.1807,361.086775
353.897275,363.8013,360.692275,352.8832,361.947175,353.900375,359.248475,361.1008
353.96705,363.8296,360.74355,352.890025,361.95605,353.923325,359.336875,361.239125
354.00815,363.853175,360.79315,352.91015,361.98385,353.9678,359.4161,361.29145
354.078375,363.883725,360.8356,352.954,362.020575,353.997375,359.480575,361.3774
354.12405,363.9141,360.855775,352.97955,362.116375,354.018075,359.54405,361.4538
354.13195,363.97795,360.865725,353.002025,362.24565,354.019875,359.67075,361.501325
354.13905,364.109325,360.88805,353.0247,362.4188,354.04105,359.74585,361.6776
354.16885,364.119875,360.90015,353.04045,362.483575,354.1318,359.820975,361.722275
354.205475,364.146175,360.933575,353.056725,362.598875,354.153225,359.889625,361.927375
354.227425,364.19575,360.96345,353.091525,362.65755,354.158525,359.97015,361.97255
354.2508,364.234225,361.016725,353.125625,362.705925,354.199125,360.19165,362.07195
354.264625,364.3153,361.06815,353.1543,362.779575,354.218025,360.264975,362.107875
354.292975,364.5184,361.137425,353.178225,362.83805,354.2597,360.377375,362.12415
354.3633,364.6465,361.19685,353.23335,362.996475,354.262975,360.444075,362.216625
354.388925,364.9284,361.22615,353.2385,363.039975,354.29165,360.505725,362.557075
354.440775,365.469275,361.33675,353.2604,363.09055,354.306475,360.578675,362.680725
354.4618,365.554975,361.387575,353.281225,363.11175,354.335825,360.786975,362.70945
354.4935,365.78245,361.395175,353.298775,363.147325,354.351125,361.00725,363.067375
354.509225,365.81495,361.56315,353.349625,363.317825,354.3764,361.08135,363.307375
354.60155,365.93785,361.763175,353.3918,363.570675,354.417675,361.140725,363.48595
354.6355,366.41455,361.948325,353.4077,363.632975,354.4359,361.27305,363.645575
354.671625,366.450925,361.990375,353.4408,363.6632,354.482875,361.340025,363.690625
