SPK_SPKC02a (inhibited),SPK_SPKC04a (inhibited)
14.81055,7.9235
14.85915,7.948275
14.926825,8.0298
14.966775,8.03815
15.04,8.052825
15.09095,8.07015
15.142275,8.118475
15.220125,8.12665
15.2794,8.1699
15.3315,8.193025
15.369,8.2201
15.4826,8.2586
15.5537,8.285875
15.600875,8.337875
15.6325,8.35235
15.673,8.3826
15.7001,8.40755
15.737,8.4293
15.745275,8.444475
15.787575,8.47605
15.85325,8.52855
15.87925,8.555275
15.924775,8.624725
15.95755,8.636
16.005875,8.6458
16.029975,8.673325
16.067175,8.755325
16.106925,8.773775
16.1558,8.796775
16.24295,8.833675
16.3007,8.91055
16.331725,8.93835
16.3603,8.98995
16.406775,9.04755
16.4891,9.091825
16.514525,9.12795
16.581875,9.150975
16.6105,9.2104
16.642325,9.322975
16.654025,9.343025
16.695425,9.374525
16.718525,9.414725
16.743425,9.433075
16.777125,9.4652
16.8281,9.4958
16.847625,9.540375
16.873225,9.68025
16.8939,9.70545
17.0066,9.72525
17.03145,9.7466
17.0362,9.7898
17.091625,9.8146
17.15985,9.84345
17.224825,9.868275
17.249175,9.901525
17.310175,9.920475
17.34775,9.9389
17.386025,9.9933
17.4675,10.025575
17.554675,10.0438
17.629075,10.074225
17.64865,10.080175
17.66715,10.10115
17.697075,10.129025
17.798625,10.14715
17.96355,10.151525
17.98575,10.17615
18.087625,10.190425
18.173975,10.213475
18.1948,10.229675
18.211,10.251725
18.24405,10.271975
18.2555,10.283525
18.339575,10.305925
18.400025,10.389775
18.4224,10.40495
18.454125,10.4205
18.52175,10.460725
18.569975,10.47145
18.6111,10.482375
18.613125,10.494125
18.697,10.506875
18.74585,10.5193
18.798225,10.5321
18.8288,10.539575
18.864275,10.554525
18.917525,10.57015
18.969575,10.584775
19.039325,10.606175
19.086125,10.623325
19.141125,10.64145
19.215875,10.650725
19.2453,10.7037
19.32025,10.747275
19.343075,10.768225
19.402875,10.7777
19.447325,10.83095
19.50045,10.847
19.54485,10.89115
19.583775,10.91725
19.640175,10.95375
19.69,10.968025
19.7165,10.9816
19.7361,11.006175
19.7686,11.054025
19.807325,11.07505
19.8306,11.1032
19.880625,11.130875
19.938175,11.154925
19.970675,11.17995
20.01665,11.207475
20.042225,11.231375
20.1108,11.237475
20.16285,11.276125
20.230425,11.29615
20.24165,11.31805
20.26645,11.370675
20.352475,11.3999
20.396275,11.417425
20.4298,11.43735
20.52635,11.452325
20.6656,11.4683
20.6972,11.493125
20.747575,11.51045
20.79485,11.557375
20.808625,11.566475
20.855775,11.57255
20.94455,11.6361
21.0003,11.65185
21.045525,11.668625
21.188725,11.69065
21.242075,11.717325
21.30325,11.851525
21.313175,11.87775
21.329,11.89315
21.373725,11.904975
21.41325,11.92605
21.455775,11.9468
21.47875,11.9669
21.544075,11.988975
21.595125,12.012625
21.6388,12.0232
21.710275,12.04435
21.74215,12.065975
21.780125,12.08945
21.819625,12.1402
21.875025,12.18785
21.90795,12.216125
21.97555,12.23475
22.01,12.253525
22.030625,12.25915
22.0908,12.265225
22.149275,12.2739
22.176275,12.282575
22.2817,12.283625
22.363425,12.318625
22.473125,12.341175
22.51695,12.3733
22.6201,12.45995
22.641875,12.47995
22.70765,12.496625
22.734225,12.526425
22.777325,12.5452
22.834925,12.572975
22.888475,12.59
22.92985,12.611425
22.959875,12.617925
23.017875,12.636225
23.037025,12.6428
23.0845,12.650275
23.124575,12.65805
23.254975,12.73655
23.287125,12.746
23.314225,12.758825
23.381925,12.771825
23.448625,12.784975
23.488775,12.814725
23.5158,12.8258
23.552425,12.847975
23.582575,12.86415
23.598,12.90295
23.626525,12.920975
23.655575,12.9643
23.68335,12.97045
23.727725,12.980025
23.752775,12.98315
23.8078,13.022075
23.88205,13.0328
23.9108,13.047475
23.933525,13.059525
23.967675,13.091825
24.044275,13.115225
24.073,13.148375
24.130275,13.1658
24.167175,13.18015
24.20665,13.195225
24.261475,13.21215
24.3327,13.2292
24.391375,13.2486
24.465025,13.27135
24.57535,13.31045
24.619825,13.3723
24.661975,13.393625
24.691,13.405475
24.715675,13.418375
24.727375,13.4281
24.754275,13.459675
24.7936,13.4846
24.830975,13.511825
24.879775,13.5334
24.8851,13.55905
24.8969,13.594875
24.9829,13.6267
25.051475,13.7099
25.109125,13.7316
25.13755,13.76525
25.17215,13.784925
25.217125,13.796225
25.24495,13.807925
25.307975,13.818475
25.340825,13.84865
25.40385,13.867575
25.468025,13.89165
25.512625,13.90645
25.5448,13.9245
25.54715,13.984625
25.577525,14.007625
25.61305,14.04955
25.6839,14.111175
25.724175,14.120275
25.870425,14.160275
25.905475,14.17445
25.957375,14.249525
26.006375,14.284925
26.0594,14.3074
26.153975,14.349425
26.1689,14.369475
26.1956,14.394025
26.220575,14.450825
26.281375,14.4652
26.322925,14.480925
26.378325,14.497475
26.407975,14.515375
26.49065,14.5353
26.53585,14.580125
26.5576,14.589425
26.58065,14.603175
26.60185,14.61275
26.6492,14.622575
26.7159,14.6303
26.787825,14.6419
26.83905,14.651925
26.856025,14.691675
26.9067,14.70515
26.9367,14.717375
26.997575,14.72905
27.0349,14.73975
27.0865,14.8043
27.15315,14.85165
27.173825,14.872125
27.226025,14.8919
27.2612,14.912525
27.314525,14.9481
27.352775,15.027475
27.391225,15.02875
27.4225,15.05385
27.46585,15.0821
27.504875,15.12445
27.5527,15.17
27.579375,15.2301
27.62765,15.27555
27.668625,15.2956
27.7226,15.3138
27.733275,15.3408
27.75715,15.405875
27.7836,15.428325
27.827325,15.5229
27.8749,15.549525
27.9265,15.5818
27.995475,15.62745
28.0456,15.64185
28.0882,15.66385
28.134175,15.716325
28.182575,15.72925
28.26485,15.74865
28.2807,15.773575
28.33585,15.81445
28.424925,15.888025
28.48255,15.9188
28.51805,15.93695
28.552675,15.964325
28.61175,15.970275
28.6825,15.997825
28.70925,16.034125
28.765,16.1006
28.814,16.119575
28.86925,16.13695
28.89675,16.156775
28.98245,16.170975
28.986425,16.195075
29.04215,16.22725
29.08395,16.237725
29.120075,16.269175
29.172975,16.28295
29.211575,16.322175
29.271525,16.4095
29.323475,16.452125
29.366625,16.469425
29.484775,16.48575
29.5422,16.49825
29.60175,16.5112
29.655975,16.530375
29.7078,16.546175
29.715125,16.57525
29.777725,16.5929
29.807275,16.646225
29.8086,16.664475
29.848225,16.675375
29.9078,16.680975
29.960925,16.68875
30.016825,16.7122
30.069475,16.727025
30.135725,16.7743
30.228175,16.80685
30.295875,16.84
30.3783,16.9091
30.4225,16.9228
30.5097,16.93705
30.537825,16.953825
30.541825,16.9785
30.6098,17.052375
30.6558,17.106275
30.688025,17.13575
30.770625,17.167825
30.814875,17.200475
30.848375,17.290475
30.90045,17.323275
30.9043,17.34585
30.938075,17.38565
30.968625,17.4097
31.028875,17.4418
31.07555,17.55765
31.14895,17.5759
31.197825,17.5916
31.2448,17.60555
31.38145,17.621825
31.423475,17.638625
31.49995,17.6525
31.6159,17.6713
31.64495,17.68515
31.6813,17.710675
31.716975,17.72215
31.750775,17.758625
31.769875,17.78585
31.7978,17.831025
31.8316,17.85495
31.93665,17.877675
31.95745,17.921375
32.00695,17.943125
32.0341,17.96355
32.160325,17.982025
32.194275,18.001675
32.245375,18.0189
32.269575,18.0502
32.310625,18.09495
32.425375,18.114225
32.4462,18.13745
32.50495,18.156175
32.52725,18.183725
32.557725,18.2105
32.5852,18.2266
32.6638,18.263675
32.700575,18.27675
32.722125,18.2916
32.725025,18.33125
32.777375,18.3426
32.8028,18.360025
32.829175,18.3846
32.849975,18.41145
32.89755,18.434225
32.939075,18.465225
32.9806,18.49225
33.047775,18.51815
33.093575,18.544
33.138025,18.568375
33.258525,18.586375
33.281025,18.618225
33.32865,18.640025
33.37205,18.669475
33.41305,18.70305
33.44885,18.70775
33.491275,18.73675
33.643075,18.7861
33.671675,18.81045
33.720525,18.837075
33.765525,18.85395
33.794375,18.886
33.8624,18.906375
33.901025,18.941675
33.924925,18.960825
33.96615,18.987075
34.005625,19.03945
34.0506,19.0444
34.06075,19.081275
34.10535,19.0915
34.130275,19.126075
34.151475,19.168675
34.164625,19.186
34.2279,19.202325
34.288175,19.2461
34.330325,19.288025
34.37735,19.34805
34.400125,19.380175
34.427775,19.410525
34.459,19.51655
34.52305,19.5202
34.579125,19.5362
34.619675,19.558525
34.67595,19.5835
34.701975,19.59865
34.7305,19.61565
34.7705,19.634325
34.81175,19.6545
34.852525,19.672375
34.880575,19.689575
34.919525,19.7089
34.949525,19.739775
34.9925,19.75355
35.030225,19.827125
35.073825,19.844325
35.103325,19.860225
35.1428,19.88695
35.168725,19.91085
35.211125,19.921825
35.23205,19.940875
35.2753,19.9556
35.308325,19.97435
35.329275,19.9898
35.39585,20.007975
35.447075,20.072325
35.510525,20.108875
35.563175,20.1386
35.6254,20.191025
35.654925,20.207375
35.691375,20.226725
35.7138,20.2731
35.764175,20.33135
35.794975,20.344225
35.8335,20.4072
35.88635,20.43155
35.94905,20.45145
36.03295,20.5145
36.064225,20.546275
36.094775,20.607575
36.135425,20.64395
36.1682,20.694975
36.1969,20.719125
36.30435,20.763075
36.3517,20.776075
36.353325,20.799125
36.38425,20.81465
36.448275,20.842325
36.49745,20.872675
36.520175,20.87595
36.545925,20.9179
36.570275,21.077575
36.611775,21.1081
36.661175,21.13655
36.7038,21.149825
36.73645,21.163625
36.777625,21.1836
36.8163,21.204625
36.848275,21.231725
36.943325,21.2597
36.986425,21.280275
37.028775,21.297925
37.0577,21.333625
37.089725,21.3793
37.150425,21.60205
37.153675,21.620075
37.160675,21.644225
37.192225,21.666075
37.326475,21.6792
37.42505,21.70015
37.4976,21.734775
37.53145,21.763475
37.552575,21.787925
37.583775,21.810075
37.5869,21.853625
37.6112,21.953775
37.646375,21.965975
37.669325,21.97745
37.703075,21.986225
37.736125,22.016275
37.858775,22.040275
37.90385,22.064725
37.939175,22.07825
38.037575,22.106475
38.10145,22.14875
38.1315,22.1652
38.152425,22.178325
38.17975,22.202775
38.228125,22.222975
38.278425,22.237575
38.3189,22.252775
38.358625,22.281025
38.391025,22.306225
38.410425,22.33315
38.44045,22.350325
38.503275,22.3662
38.52435,22.404875
38.623375,22.433
38.662425,22.462425
38.735275,22.51295
38.75335,22.53465
38.79045,22.551225
38.79735,22.578925
38.819425,22.58735
38.8374,22.600575
38.8626,22.6171
38.997525,22.656475
39.036175,22.67205
39.06665,22.69085
39.104075,22.704625
39.11045,22.733075
39.141525,22.7908
39.194625,22.8183
39.2351,22.8374
39.2468,22.86625
39.258725,22.9053
39.2758,22.922025
