SPK_SPKC08a (no response),SPK_SPKC09a (no response)
214.672,219.3602
214.69765,219.408925
214.7443,219.42875
214.77665,219.4329
214.804075,219.438125
214.80545,219.5985
214.835975,219.71035
214.847425,219.77415
214.8835,219.829925
214.928225,219.92
214.97815,220.0317
215.035125,220.054525
215.15285,220.079475
215.206975,220.20655
215.21555,220.22575
215.2516,220.2554
215.352925,220.429475
215.380075,220.4395
215.5154,220.49595
215.54545,220.532575
215.58465,220.558825
215.586025,220.96655
215.609,220.99535
215.654675,221.008225
215.70885,221.0272
215.740225,221.0697
215.7502,221.071075
215.7588,221.10375
215.801975,221.25635
215.8148,221.411625
215.8564,221.421925
215.9819,221.436425
216.067225,221.46525
216.109675,221.630675
216.148875,221.70715
216.161675,221.7897
216.18075,222.138575
216.21675,222.1506
216.22565,222.236625
216.299475,222.31415
216.327475,222.3168
216.42505,222.39005
216.474475,222.537675
216.47855,222.6157
216.5665,222.67235
216.56805,222.725275
216.6006,222.8153
216.735025,222.859475
216.765375,222.97395
216.841725,223.088475
216.971275,223.11265
217.0071,223.14865
217.037025,223.40655
217.06045,223.42985
217.185775,223.46
217.211925,223.502175
217.319625,223.629225
217.376,223.6422
217.431125,224.0669
217.458975,224.1067
217.474975,224.122225
217.5474,224.18215
217.6082,224.217725
217.6387,224.225975
217.68055,224.2598
217.693625,224.29265
217.7391,224.30615
217.75625,224.4815
217.824175,224.50875
217.88215,224.5512
217.9024,224.59055
217.945675,224.598375
217.9753,224.645
218.039125,224.7845
218.067375,224.812425
218.155225,224.861825
218.190475,225.0503
218.248825,225.070925
218.27715,225.187625
218.314075,225.19675
218.372575,225.2084
218.4304,225.319525
218.445925,225.335275
218.55375,225.41375
218.555125,225.430325
218.62465,225.523325
218.636525,225.537125
218.729175,225.56765
218.753375,225.68195
218.842325,225.721675
218.88005,225.88895
218.889775,225.908125
218.894875,225.984675
218.906275,225.9877
218.92885,226.0868
218.979775,226.100475
219.026875,226.19395
219.049425,226.27305
219.069,226.468575
219.13715,226.49625
219.200725,226.6703
219.261125,226.756325
219.270625,226.89865
219.274675,227.1322
219.3548,227.268125
219.356375,227.30005
219.419975,227.315175
219.424075,227.401425
219.43635,227.451225
219.458425,227.47955
219.4791,227.5088
219.528875,227.76275
219.57115,227.79825
219.6201,227.8217
219.69985,227.864125
219.76425,227.870375
219.8102,227.88715
219.8302,227.9031
219.859175,227.9489
219.89635,228.401875
219.9038,228.511625
219.931675,228.659625
219.9645,228.70295
220.023175,228.964875
220.07265,229.017225
220.15405,229.1539
220.17285,229.1709
220.19515,229.18875
220.297525,229.240725
220.3915,229.48725
220.419725,229.545475
220.483475,229.663875
220.5338,229.740075
220.636325,229.7554
220.683675,229.777125
220.72875,229.8338
220.743175,230.000925
220.8005,230.1081
220.831575,230.318975
220.87115,230.4064
220.9121,230.45975
220.972225,230.47545
221.007575,230.49645
221.098375,230.6362
221.135125,230.656725
221.1785,230.701325
221.3362,231.106875
221.378575,231.158725
221.48635,231.242325
221.51635,231.316975
221.555175,231.579375
221.59125,231.606225
221.661075,231.61555
221.755475,231.657375
221.813275,231.686775
221.89755,231.847325
221.95645,231.92365
221.976575,231.960275
222.038475,232.00345
222.05785,232.014725
222.09985,232.05105
222.169925,232.06005
222.2419,232.2168
222.284175,232.26385
222.366625,232.31605
222.3845,232.354425
222.38625,232.437075
222.39565,232.49825
222.3972,232.5039
222.460325,232.52065
222.498175,232.62
222.524525,232.709925
222.546525,232.819175
222.589875,232.851375
222.607275,232.9485
222.623775,233.07565
222.67435,233.0809
222.751325,233.125975
222.79355,233.454775
222.854225,233.521475
222.926675,233.53415
222.988025,233.587125
223.014775,233.5976
223.0745,233.6141
223.0946,233.667725
223.15475,233.6966
223.24115,233.754925
223.28855,233.892425
223.31985,233.93815
223.3498,234.092875
223.416875,234.1009
223.557,234.1169
223.604175,234.334575
223.664125,234.5693
223.6787,234.65595
223.7421,234.69955
223.791825,234.9749
223.8146,235.05355
223.85055,235.233175
223.869975,235.273925
223.96015,235.4334
224.06595,235.64055
224.096025,235.665475
224.1075,235.72375
224.16295,235.7807
224.1826,235.980125
224.208625,236.00925
224.267525,236.249525
224.29345,236.795775
224.3201,236.949875
224.411825,236.968075
224.494325,236.993075
224.5516,237.1214
224.618725,237.1823
224.7076,237.239875
224.750575,237.5794
224.79735,237.617425
224.8386,237.723825
224.885975,237.89525
224.930975,237.9094
224.963175,237.960725
225.006125,237.9853
225.017975,238.181375
225.0636,238.23195
225.0829,238.2689
225.152425,238.324825
225.189125,238.37525
225.2129,238.394625
225.270225,238.4655
225.33555,238.75315
225.3556,238.759475
225.4005,238.775925
225.406525,238.789025
225.4595,238.824125
225.4921,238.910775
225.5393,238.933575
225.577075,239.125225
225.602275,239.20845
225.679925,239.257575
225.709425,239.290625
225.765675,239.335325
225.781225,239.623175
225.83625,239.62585
225.861275,239.810425
225.884,239.8878
225.9658,239.97235
225.97955,240.1241
226.0831,240.23165
226.11595,240.4825
226.182125,240.5789
226.2102,240.622225
226.25445,240.7078
226.26605,240.734025
226.291575,240.752475
226.3446,240.843125
226.391275,241.117
226.417,241.165875
226.4748,241.314125
226.500875,241.4111
226.513075,241.4238
226.559075,241.4491
226.58395,241.551925
226.628625,241.5548
226.66935,241.742475
226.687275,241.802925
226.904425,241.86395
226.97055,242.08545
226.9944,242.164075
227.016675,242.279925
227.0185,242.29445
227.027,242.4368
227.100925,242.45275
227.16055,242.6952
227.168425,242.7216
227.205725,242.81865
227.236825,242.83535
227.268475,242.902275
227.32125,242.909225
227.33335,243.016825
227.34895,243.041375
227.37735,243.206675
227.414225,243.451575
227.479925,243.4758
227.4986,243.49645
227.5884,243.517075
227.6292,243.528075
227.692275,243.565575
227.73205,243.651175
227.823525,243.672325
227.839175,243.68105
227.856325,243.77945
227.86995,243.913325
227.941225,243.91985
228.0349,244.25645
228.128225,244.315575
228.168575,244.442275
228.2038,244.46945
228.3782,244.5233
228.38215,244.558775
228.4153,244.5947
228.465525,244.9496
228.5017,244.9823
228.518175,245.0659
228.61655,245.079875
228.6643,245.15305
228.697925,245.18565
228.705075,245.26985
228.711325,245.366625
228.7255,245.833
228.75525,245.85935
228.79745,245.869125
228.800425,245.895475
228.9166,245.9368
228.957775,245.995375
228.984825,246.03545
228.99575,246.074125
229.02785,246.09115
229.092225,246.125875
229.136025,246.313725
229.1542,246.3663
229.17255,246.40475
229.180375,246.45565
229.237625,246.55335
229.337275,246.5647
229.4223,246.58625
229.505575,246.66715
229.55075,246.6887
229.585725,246.76285
229.6553,246.829675
229.688475,246.830775
229.747125,246.87095
229.758425,246.884575
229.805375,246.895975
229.883275,246.899
229.942025,246.93
230.0287,247.0279
230.07065,247.1028
