SPK_SPKC11a,SPK_SPKC15a,SPK_SPKC15b
87.8571,7.730875,21.502
87.90995,8.054475,21.643675
88.3975,8.08505,21.7051
89.225625,8.096275,21.7642
89.65275,8.1218,21.968125
89.683825,8.2053,22.075325
89.798575,8.225675,22.123025
90.027225,8.247375,22.152475
90.0559,8.2527,22.196525
90.1825,8.2635,22.2297
90.218875,8.291925,22.268575
90.3362,8.307375,22.32025
90.415325,8.31965,22.3782
90.655725,8.34815,22.42255
91.119025,8.36415,22.4965
91.129925,8.3764,22.55405
91.52245,8.403875,22.608575
91.984525,8.436675,22.699225
92.035425,8.45595,22.81975
92.08665,8.5136,22.883225
92.41075,8.514625,22.917375
92.86685,8.532275,23.08475
94.202675,8.74655,23.136475
94.9565,8.7562,23.154775
95.170325,8.77485,23.25835
95.373725,8.800375,23.303925
95.429625,8.808975,23.4675
95.578375,8.8154,23.505975
96.03095,8.851425,23.5567
96.1705,8.889575,23.5851
96.4139,8.895675,23.69775
96.457925,8.986975,23.824525
97.112775,9.137075,23.86705
97.251625,9.1435,23.96055
97.28595,9.1585,23.9995
97.31705,9.194225,24.215375
97.5808,9.2046,24.239925
97.688875,9.206425,24.259775
98.314875,9.2103,24.2962
98.484325,9.21475,24.35515
99.274225,9.22755,24.426
99.831975,9.25765,24.46505
100.35305,9.340475,24.64345
100.37765,9.400975,24.78515
101.276125,9.43355,24.842675
102.041875,9.484625,24.940475
102.142375,9.610025,24.96325
102.575525,9.6344,24.9969
103.035675,9.929225,25.085
103.20445,9.943725,25.141575
103.38215,9.946475,25.2016
103.785575,9.950675,25.285925
104.215875,9.9679,25.457725
104.65525,10.3175,25.49105
105.299375,10.3566,25.556225
105.392875,10.364425,25.619
105.7953,10.3702,25.78125
106.178575,10.385625,25.8229
107.855825,10.40585,25.902775
107.879525,10.409925,25.922
109.02895,10.48875,25.94545
109.21835,10.49955,26.016275
109.482225,10.512875,26.1273
109.937325,10.7714,26.172925
110.620525,10.811375,26.307275
110.80925,10.825025,26.4692
112.0275,10.833225,26.490775
112.0595,10.848725,26.516475
112.69125,10.869675,26.5583
112.755175,10.913325,26.588625
113.2887,11.1795,26.65935
113.575825,11.18325,26.68315
113.70375,11.209025,26.70485
114.31075,11.212975,26.74375
114.856625,11.221525,26.771125
115.0486,11.235275,26.823625
115.238775,11.501,26.8429
115.879,11.5122,26.86765
115.9202,11.5205,26.899125
116.443,11.54275,26.93615
116.681875,11.559975,27.032025
117.50185,11.5732,27.132025
117.672775,11.682475,27.195975
117.881575,11.728875,27.25505
118.227525,11.749275,27.30885
118.3567,11.802525,27.345725
119.64135,11.8227,27.4832
119.9326,11.88075,27.5093
120.306725,11.8892,27.57715
120.5502,11.905325,27.659025
120.710725,11.9221,27.71125
120.7697,11.948175,27.74645
120.868225,11.964825,27.89685
121.14725,11.996525,28.033625
121.20345,12.01745,28.0707
122.0548,12.0291,28.122675
122.0813,12.3161,28.284075
122.3899,12.33155,28.312575
122.6352,12.339025,28.33015
123.25545,12.34185,28.384625
123.29765,12.37285,28.5494
123.31025,12.45345,28.580475
123.357125,12.58235,28.610775
123.54175,12.618025,28.643925
123.840075,12.629775,28.716125
123.881375,12.76975,29.157625
123.9741,12.80045,29.2106
124.352575,12.988,29.2515
124.561575,13.0148,29.278475
124.8661,13.019575,29.292575
125.03655,13.025425,29.298
125.1099,13.03775,29.340475
125.2175,13.04345,29.3635
125.48825,13.27285,29.454275
125.900925,13.277,29.491875
126.17715,13.28755,29.508925
126.499975,13.290225,29.59535
126.84085,13.296525,29.6157
126.8601,13.30595,29.646425
127.02335,13.3318,29.703175
127.05625,13.484475,29.73895
127.481725,13.7189,29.7832
127.907975,13.7369,29.86185
127.92495,13.906075,29.88145
127.99065,13.9339,29.936275
128.580475,13.94675,29.96365
128.951325,13.99165,29.9983
128.986825,14.00565,30.026
129.05925,14.00705,30.08155
129.30055,14.012775,30.116125
129.6795,14.0172,30.16275
129.8748,14.022275,30.242175
130.0036,14.04965,30.4308
130.04715,14.0896,30.4453
130.8028,14.25725,30.46275
130.84545,14.27235,30.489525
130.914025,14.283775,30.669325
131.030625,14.29345,30.687
131.181525,14.324075,30.71535
131.572525,14.353175,30.9197
131.832375,14.44145,30.928875
131.860575,14.46585,30.948
132.117325,14.4786,30.99865
132.35645,14.541775,31.153975
132.8553,14.574075,31.170425
133.09375,14.90025,31.198875
133.410325,14.91,31.3112
133.76015,14.917975,31.363875
133.875625,14.927025,31.401675
133.923625,14.9453,31.427575
133.968125,15.0101,31.54075
134.084725,15.10095,31.56135
134.6207,15.11165,31.658275
134.63885,15.120775,31.6871
134.645075,15.1336,31.71195
135.011625,15.16175,31.74725
135.034625,15.1718,31.776725
135.051575,15.303675,31.795675
135.07155,15.32755,31.818
135.422075,15.359925,31.863975
135.4422,15.36805,31.91315
135.47315,15.631325,31.93555
135.661975,15.672275,31.960675
135.678575,15.71405,31.9946
136.13385,15.84855,32.044725
136.390275,15.9294,32.07885
136.6869,15.9942,32.099425
136.984,16.064875,32.1266
137.07575,16.2122,32.146775
137.141325,16.222675,32.17985
137.388875,16.24175,32.195425
137.413075,16.2463,32.24165
137.5901,16.3532,32.28675
137.6474,16.372125,32.3104
137.8424,16.389775,32.352875
138.036625,16.428125,32.38765
138.106275,16.490025,32.45665
138.482375,16.645125,32.502075
138.618225,16.653575,32.530875
138.783125,16.6554,32.556475
138.81835,16.695625,32.5821
138.8729,16.704525,32.69815
138.911825,16.88425,32.720125
138.95665,17.251075,32.745025
138.99275,17.2643,32.7691
139.439775,17.39015,32.812475
139.9064,17.41235,32.838375
140.0194,17.422125,32.902875
140.204125,17.44665,32.9288
141.025325,17.551325,32.96045
141.095,17.64285,32.985225
141.32175,17.8387,33.01425
141.69675,17.848675,33.1361
141.732525,17.85645,33.160025
141.958125,17.860925,33.296
142.006275,17.8848,33.353275
142.030925,17.892325,33.462225
142.580875,17.90815,33.488475
143.107,17.952,33.7112
143.408,17.981225,33.7505
143.892425,18.13735,33.77825
143.941925,18.4103,33.8312
144.009925,18.515225,34.0033
144.065075,18.530325,34.066425
144.20585,18.535325,34.23835
144.4944,18.551525,34.36805
144.525875,18.5615,34.5039
144.812175,18.56995,34.55395
145.4016,18.641925,34.587025
145.540175,18.715475,34.673375
146.1494,19.047075,34.69625
146.2735,19.06485,34.718
146.3895,19.1184,34.7635
146.672625,19.164325,34.788825
146.788875,19.462075,34.82925
146.874075,19.48895,34.87395
147.213925,19.505425,34.92705
147.23305,19.529475,34.95555
147.529125,19.6938,34.9724
147.597475,19.737475,35.0887
147.8178,19.757525,35.1646
148.24985,19.8436,35.199975
148.302875,19.922325,35.3872
148.32075,19.99125,35.501875
148.370325,20.069325,35.5319
148.413775,20.0953,35.5599
149.1644,20.1622,35.5906
149.4877,20.171425,35.689125
149.895525,20.18615,35.896775
149.990275,20.227675,36.009725
150.5227,20.2292,36.03745
150.57655,20.3513,36.054325
150.842725,20.391325,36.112075
151.25405,20.46595,36.219025
151.35305,20.501425,36.24955
151.434325,20.57005,36.3418
151.458675,20.69715,36.3721
151.537275,20.712575,36.4737
151.864,20.7317,36.549775
151.900875,20.74685,36.597925
152.8226,20.8439,36.63675
153.3465,20.8706,36.670075
153.43085,20.8952,36.694475
153.61095,20.9495,36.719725
153.719775,21.036225,36.798875
153.885575,21.099375,36.827575
153.9977,21.1112,36.863
154.23825,21.126325,36.897875
154.3855,21.1668,37.01045
154.467875,21.206,37.1226
154.55715,21.2204,37.149425
155.89745,21.241775,37.1904
155.984825,21.315675,37.2425
156.700725,21.344775,37.399625
156.8368,21.369975,37.43035
156.895175,21.386825,37.5039
156.903325,21.435,37.54405
157.1801,21.4993,37.56775
157.294075,21.54205,37.736525
157.672375,21.5579,37.893725
157.708525,21.570525,37.954375
158.292225,21.594375,37.984725
158.530625,21.65865,38.036425
158.53635,21.6826,38.09715
158.859475,21.736625,38.1161
158.92995,21.743125,38.14215
158.955625,21.758,38.1609
159.0815,21.772275,38.20105
159.34435,21.7795,38.2248
159.38885,21.7881,38.304875
159.427775,21.90545,38.469325
159.79075,22.03615,38.49545
159.7972,22.0522,38.53875
159.814125,22.065725,38.5426
160.33145,22.105675,38.580625
160.346925,22.121125,38.64265
160.360775,22.135075,38.70525
160.450225,22.178275,38.833075
160.532675,22.19965,38.84375
161.203,22.311625,38.85195
161.2246,22.321525,38.889475
161.2693,22.327275,38.980775
161.29915,22.337625,39.0094
161.3227,22.351825,39.0474
161.583125,22.3549,39.07815
161.630525,22.400075,39.10355
162.1498,22.4329,39.14255
162.315275,22.571125,39.191875
162.73695,22.5958,39.34065
