SPK_SPKC01a (NA),SPK_SPKC01b (weak inhibition),SPK_SPKC03a (no effect),SPK_SPKC07a (excited),SPK_SPKC09a (excited),SPK_SPKC12a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC16a (inhibited)
3.950925,12.7747,43.850625,3.184,3.6425,16.623525,1.839025,13.887675
3.984875,12.963,43.860575,3.240475,3.8055,16.891525,1.8563,13.904525
4.0684,13.079275,43.99075,3.275475,3.820875,16.925625,1.86385,13.936125
4.1167,13.4112,44.00825,3.3189,3.847925,16.964375,1.8684,14.2661
4.15305,13.45775,44.360625,3.3567,4.094025,17.216925,1.8946,14.6279
4.177175,13.8408,44.750075,3.414075,4.11345,17.285825,1.900325,14.7541
4.20865,13.96575,44.902575,3.445625,4.16235,17.43595,1.91005,15.40845
4.292775,14.0294,45.447325,3.533075,4.2133,17.500575,1.931975,15.69235
4.370875,14.602525,46.420525,3.5718,4.274475,17.6873,1.95425,15.736025
4.393475,14.986225,46.507725,3.601975,4.31775,17.717,2.100025,15.98295
4.456275,15.282,46.560575,3.6405,4.34825,17.772925,2.10445,16.116275
4.472525,15.49865,46.9514,3.6808,4.37595,17.870025,2.135875,16.21365
4.507075,15.554175,47.020725,3.855625,4.412525,18.0497,2.1679,16.395325
4.583425,15.7412,47.037725,3.903425,4.452325,18.175025,2.181025,16.447275
4.643425,15.804075,47.1593,3.939075,4.484475,18.525075,2.185375,16.63455
4.66555,15.818525,47.26635,3.9836,4.54905,18.561425,2.2039,16.83455
4.68785,15.873025,47.403675,4.000625,4.567675,18.662425,2.22075,17.37685
4.806525,16.005825,47.712675,4.068525,4.6673,18.783575,2.230625,17.44845
4.858025,16.1142,47.773975,4.098825,4.7296,19.150175,2.247925,17.70155
4.91045,16.15245,48.3979,4.1268,4.89705,19.15735,2.291275,17.762175
4.952375,16.213075,48.437525,4.154725,4.9256,19.4633,2.298325,17.8582
4.97295,16.294275,48.632125,4.172975,4.945225,19.4774,2.342625,17.8848
5.003575,16.404875,48.675025,4.3395,4.95075,19.741075,2.38075,17.941025
5.087775,16.609075,48.84765,4.415875,4.98645,19.75515,2.421225,18.056225
5.1456,16.937225,48.892475,4.43545,5.00965,20.22985,2.455875,18.166875
5.1732,16.99595,48.90625,4.47105,5.0735,20.848275,2.47795,18.24165
5.206525,17.2177,49.340875,4.513625,5.0956,20.8945,2.52415,18.342475
5.259675,17.339525,49.463675,4.568075,5.1241,20.920925,2.565575,18.509925
5.330575,17.7436,49.52555,4.61375,5.147675,20.989975,2.6102,19.012
5.36055,18.00855,49.904675,4.6612,5.17525,21.13345,2.638325,19.09725
5.406825,18.138275,50.035525,4.694675,5.1867,21.24105,2.66055,19.452275
5.4402,18.350775,50.1275,4.734475,5.19535,21.29175,2.677525,19.599775
5.499775,18.39975,50.4992,4.775725,5.276875,21.403975,2.680125,19.64565
5.5353,18.457975,50.517225,4.888975,5.31965,21.6198,2.7008,19.893225
