SPK_SPKC01a (NA),SPK_SPKC05a (excited),SPK_SPKC05b (no effect),SPK_SPKC05c (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (excited)
9.151525,42.122825,8.4055,4.8808,5.1956,2.587925
9.1964,42.28135,8.519675,4.892475,5.2354,2.612325
9.23085,42.747475,8.63915,4.92185,5.266,2.624975
9.269375,43.12895,8.6827,4.932675,5.304825,2.63385
9.305625,43.394425,8.704825,4.9598,5.3338,2.669225
9.358925,43.478575,8.78005,4.978175,5.391475,2.70795
9.55275,43.7181,8.805875,5.00265,5.4306,2.741175
9.57815,46.749725,8.82265,5.019575,5.454925,2.787575
9.58215,46.8022,8.95425,5.032475,5.4865,2.829975
9.59285,47.5444,8.994675,5.084475,5.5153,2.846225
9.596575,47.673125,9.232925,5.1281,5.6116,2.87935
9.625775,47.9955,9.386925,5.1342,5.6751,2.899525
9.74525,48.027325,9.446625,5.170075,5.68025,2.929275
9.774425,53.03385,9.475525,5.181725,5.7269,2.986725
10.27125,53.810225,9.485725,5.219525,5.754025,3.007825
10.437125,55.870125,9.545675,5.243025,5.77775,3.056475
10.546775,59.261325,9.601375,5.2601,5.81515,3.137225
10.6239,60.87755,9.642,5.274875,5.855525,3.15545
10.6608,62.388475,9.6883,5.305575,5.86125,3.17075
10.674375,62.5918,9.72175,5.32915,5.884175,3.18585
10.744725,63.69185,9.879175,5.34345,5.9182,3.209475
10.788425,64.78705,10.066325,5.3902,5.9398,3.23235
10.7985,65.308375,10.07725,5.438725,5.9971,3.266375
10.941075,65.323675,10.222775,5.451825,6.014775,3.3588
11.2317,65.521925,10.52955,5.4776,6.02315,3.390375
11.3578,65.90915,10.588225,5.50365,6.0535,3.44585
11.4235,67.11905,10.62195,5.52235,6.1373,3.486725
11.694,67.284075,10.69775,5.54705,6.161125,3.506075
11.7102,67.7834,10.843925,5.577775,6.20645,3.529
11.738825,68.5271,11.0269,5.599075,6.21305,3.533
11.7942,72.0837,11.09965,5.614725,6.2358,3.5628
11.912125,73.349025,11.130975,5.6319,6.26725,3.59545
11.95915,76.082675,11.19105,5.642925,6.303675,3.628925
11.9953,76.65935,11.6797,5.664475,6.350025,3.66
12.1949,76.72,11.709975,5.6801,6.390475,3.679975
12.34575,76.723275,11.720525,5.6975,6.438625,3.693775
12.3539,77.261525,12.0214,5.7285,6.4955,3.703425
12.360075,77.963525,12.0465,5.749125,6.532575,3.724425
12.40905,78.520575,12.0847,5.770025,6.564175,3.742925
12.5578,78.847975,12.1253,5.7891,6.593575,3.765675
12.575475,79.217,12.1494,5.8166,6.7281,3.787625
12.68575,79.480925,12.3618,5.8381,6.842175,3.804375
12.69585,79.645875,12.461,5.868175,6.889525,3.815275
12.726375,79.7929,12.513225,5.88415,6.911275,3.8219
12.961675,79.9267,12.59495,5.938125,6.924175,3.83015
13.003975,80.012825,12.68125,5.952625,6.947475,3.854525
13.03145,80.169825,12.824275,6.01365,6.992725,3.9037
13.036725,80.375425,12.84645,6.044125,7.110275,3.92715
13.100375,80.4969,12.86215,6.0566,7.15835,3.933075
13.13385,80.5352,12.8855,6.104075,7.215,3.940775
13.250325,80.60805,12.90475,6.11515,7.262275,3.9603
13.3256,80.904325,12.94025,6.12435,7.338725,3.973775
13.3687,80.981575,13.0108,6.1545,7.4792,3.97865
13.388975,81.0494,13.03315,6.2412,7.488275,3.98905
13.40485,81.28165,13.054925,6.291975,7.499825,4.00965
13.471125,81.363375,13.134475,6.32045,7.5124,4.022425
13.49015,81.395225,13.19525,6.359,7.523875,4.048975
13.501775,82.0526,13.341425,6.3844,7.525575,4.0585
13.646675,82.715075,13.37405,6.426925,7.53635,4.0739
13.650175,84.07955,13.39955,6.4413,7.5769,4.0847
13.65655,84.099025,13.428875,6.44455,7.706175,4.095975
13.675725,84.205275,13.454675,6.4647,8.023025,4.100425
13.769,84.514725,13.47715,6.48155,8.031725,4.109575
13.782175,85.1086,13.56915,6.530525,8.04375,4.123975
13.8467,85.248975,13.602325,6.563575,8.0812,4.1364
13.9142,85.50205,13.64195,6.63925,8.185475,4.14495
