SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
103.496625,101.268625,103.1582,101.70935,101.104075,108.114525,101.10955,102.7346
103.505975,101.275625,103.206375,101.7565,101.119,108.277225,101.13285,102.759025
103.516,101.30665,103.242175,101.810275,101.1362,108.315775,101.1518,102.789475
103.575075,101.344675,103.353025,101.847375,101.16975,108.46835,101.16935,102.826325
103.67425,101.37805,103.39455,101.86535,101.176375,108.5765,101.17335,102.8762
103.697625,101.37995,103.43165,101.884175,101.185525,108.6255,101.178725,102.904325
103.7122,101.3916,103.46435,101.89075,101.207475,108.69925,101.18935,102.9304
103.8617,101.39995,103.50875,101.923075,101.219075,108.71605,101.19775,102.96095
103.94415,101.407675,103.5448,101.9674,101.246525,108.843875,101.20335,102.99205
104.04495,101.415025,103.581025,101.97545,101.26045,108.999375,101.208325,102.995
104.092375,101.424925,103.6948,101.99635,101.2786,109.180725,101.220375,103.0214
104.113125,101.435,103.736525,102.0004,101.29105,109.23335,101.23865,103.099125
104.14645,101.472125,103.790775,102.019475,101.30375,109.3908,101.2522,103.1256
104.179425,101.4902,103.8228,102.035375,101.327175,109.612825,101.286125,103.15025
104.22625,101.497325,103.8739,102.05845,101.338125,109.983125,101.2948,103.1556
104.290225,101.5055,103.9049,102.06485,101.353275,110.029,101.3161,103.2064
104.32165,101.5129,103.954675,102.08115,101.37295,110.497325,101.327725,103.243225
104.3545,101.528575,103.982725,102.1071,101.39625,110.531925,101.334775,103.27575
104.468825,101.53435,104.02225,102.129075,101.423425,110.53885,101.34715,103.3007
104.567925,101.54325,104.0643,102.1614,101.436725,110.6047,101.368225,103.346025
104.578375,101.559275,104.25755,102.178675,101.463,110.773625,101.385475,103.37505
104.61075,101.56775,104.294925,102.198775,101.487175,110.801875,101.40175,103.392225
104.6232,101.577375,104.34315,102.223525,101.51015,110.955775,101.418825,103.411425
104.719875,101.584975,104.374775,102.24795,101.539575,111.1025,101.446325,103.432025
104.7335,101.600975,104.420125,102.2664,101.5599,111.6524,101.465525,103.44495
104.74355,101.62395,104.496525,102.294225,101.609675,111.6611,101.4689,103.454225
104.820725,101.651875,104.525,102.313175,101.63755,112.487275,101.487375,103.485925
104.83115,101.65935,104.62265,102.352975,101.665725,112.501675,101.50205,103.521175
104.845625,101.671075,104.667975,102.369625,101.683325,112.586575,101.51735,103.572125
104.895525,101.6873,104.726075,102.393025,101.699075,112.864775,101.529675,103.599875
104.94315,101.69705,104.774975,102.435825,101.727875,112.940625,101.5467,103.615075
104.9964,101.716825,104.8232,102.455925,101.7392,112.962975,101.576025,103.636775
105.0638,101.7302,104.899875,102.489825,101.7952,113.17985,101.59485,103.66785
105.1014,101.749525,104.966875,102.521325,101.81205,113.649225,101.61055,103.709
105.12925,101.757025,105.01135,102.534075,101.842825,113.783125,101.627625,103.7316
105.193825,101.77745,105.055875,102.564675,101.876775,113.878075,101.645775,103.749475
105.219125,101.789775,105.11535,102.590225,101.8981,114.0408,101.6701,103.7685
105.30105,101.798875,105.16115,102.62445,101.91685,114.12915,101.69035,103.7961
105.31235,101.8427,105.2008,102.643225,101.9465,114.2679,101.709575,103.81725
105.325725,101.85065,105.251425,102.646725,101.97075,114.45975,101.725475,103.8496
105.361975,101.87985,105.309175,102.697825,101.99395,114.48825,101.73835,103.86885
105.46405,101.890075,105.36335,102.743625,102.009375,114.8114,101.758075,103.89745
105.47585,101.900425,105.43025,102.768225,102.0527,115.11805,101.79965,103.92885
105.48715,101.910275,105.471175,102.80265,102.07275,115.175475,101.813425,103.999625
105.491175,101.936225,105.516425,102.830725,102.0982,115.31485,101.8321,104.03435
105.57045,101.944475,105.594625,102.8402,102.118875,115.45865,101.895975,104.06035
105.608975,101.95245,105.635725,102.875975,102.139975,115.565275,101.911675,104.09705
105.62965,101.9667,105.680475,102.88085,102.1557,115.643375,101.9554,104.13
105.666725,102.009025,105.72485,102.94125,102.189275,115.68635,101.9747,104.173875
105.6848,102.03145,105.759625,102.981,102.2052,115.689925,102.00025,104.195275
105.7077,102.048275,105.809475,103.0128,102.237425,116.01485,102.0192,104.2386
105.737625,102.0745,105.867925,103.086825,102.26505,116.14555,102.03465,104.2692
105.77945,102.08405,105.902325,103.126075,102.279125,116.1641,102.046475,104.310975
105.791575,102.092875,105.942175,103.165375,102.300775,116.2336,102.074925,104.34505
105.808775,102.100775,105.98105,103.188275,102.32335,116.4074,102.091175,104.34965
105.846975,102.13935,106.031075,103.219725,102.34565,116.47835,102.101575,104.37385
105.895725,102.153725,106.063,103.271775,102.361175,116.56825,102.114175,104.400275
105.911825,102.162925,106.0957,103.29355,102.37465,116.76885,102.12205,104.439725
105.9274,102.1775,106.134425,103.3151,102.41725,116.8368,102.138825,104.468
105.964175,102.1862,106.168475,103.344425,102.468375,116.8997,102.14815,104.471825
105.99155,102.195275,106.248025,103.3989,102.496825,116.962625,102.157175,104.54085
106.01955,102.203425,106.27385,103.4321,102.5113,117.267825,102.171075,104.57125
106.0516,102.214775,106.305875,103.460925,102.5388,118.04225,102.18725,104.601825
106.064925,102.23505,106.309225,103.46845,102.5637,118.37115,102.202875,104.6366
106.074075,102.25275,106.35255,103.515025,102.58075,118.45175,102.217125,104.660025
106.100875,102.25835,106.3928,103.547175,102.605975,118.50255,102.21925,104.6709
106.12285,102.26685,106.445375,103.56705,102.620575,118.52715,102.243025,104.709475
106.13885,102.27275,106.517575,103.594,102.632275,118.66055,102.258075,104.7332
106.1491,102.28055,106.5889,103.616725,102.661925,118.698825,102.27615,104.748525
106.174875,102.290475,106.668525,103.645575,102.6875,118.8565,102.319875,104.77595
106.19565,102.298175,106.7002,103.6992,102.708225,119.137975,102.36195,104.794275
106.2127,102.32085,106.737425,103.7137,102.754825,119.209025,102.378,104.797625
106.224075,102.36425,106.789225,103.7339,102.79,119.26555,102.427875,104.826725
106.233325,102.3692,106.85825,103.745875,102.808075,119.278975,102.4576,104.861825
106.2917,102.3724,106.90025,103.771275,102.832875,119.5191,102.47115,104.8959
106.2987,102.38005,106.942,103.774275,102.860875,119.5342,102.486325,104.9238
106.3547,102.388525,106.99125,103.8079,102.868,119.629975,102.52605,104.9492
106.398675,102.435675,107.03805,103.817675,102.9044,119.675875,102.545275,104.9842
106.411975,102.4611,107.15375,103.844275,102.92665,119.74615,102.5722,105.0131
106.461025,102.46425,107.21175,103.876925,102.95015,119.8162,102.58745,105.017275
106.494725,102.47685,107.250025,103.9026,102.96295,120.317875,102.60585,105.0485
106.5283,102.4926,107.325075,103.924675,102.994725,120.4093,102.628375,105.081525
106.56975,102.504675,107.32865,103.957525,103.02305,120.537925,102.6454,105.16055
106.589375,102.5266,107.3788,103.97265,103.03715,120.695025,102.682175,105.194325
106.653375,102.537475,107.41115,104.008325,103.050025,120.975925,102.692525,105.230775
106.692175,102.54055,107.412325,104.043925,103.0638,121.024975,102.71215,105.254025
106.75765,102.55465,107.4548,104.049025,103.087525,121.0459,102.734575,105.31805
106.8073,102.5851,107.4672,104.074775,103.110725,121.7721,102.7505,105.343275
106.82855,102.5981,107.47565,104.101075,103.131775,121.8318,102.796325,105.395125
106.8917,102.625925,107.49755,104.105125,103.1545,122.126475,102.817825,105.433825
106.91735,102.6321,107.535,104.138475,103.172225,122.4057,102.840125,105.452875
106.929325,102.6447,107.604525,104.164175,103.21845,122.81465,102.854425,105.493025
106.953475,102.675825,107.6687,104.203275,103.248075,122.9758,102.873025,105.5321
107.075875,102.68945,107.7276,104.2316,103.274175,123.04995,102.891075,105.57555
107.100375,102.6965,107.73965,104.2633,103.293425,123.144525,102.9039,105.62095
107.128475,102.720775,107.811975,104.31215,103.314375,123.404875,102.923675,105.671725
107.15765,102.7494,107.855025,104.3483,103.336225,123.551425,102.953375,105.746925
107.17165,102.790325,107.94365,104.3704,103.349675,123.6237,102.96745,105.748675
107.18225,102.80175,107.978125,104.410375,103.3753,123.688525,102.9923,105.80475
107.194075,102.812775,108.0145,104.440225,103.386225,123.752725,103.035975,105.85225
107.250875,102.824075,108.031825,104.47505,103.3999,123.8215,103.05275,105.8805
107.262325,102.838275,108.067075,104.5022,103.41385,123.9881,103.073975,105.92315
107.28125,102.84755,108.13345,104.511,103.437525,124.0066,103.1294,105.962675
107.3432,102.8632,108.2347,104.5555,103.466975,124.04155,103.149225,106.005775
107.391975,102.8666,108.2634,104.57615,103.49445,124.104875,103.171475,106.07775
107.403875,102.876075,108.308575,104.60555,103.513875,124.4157,103.1795,106.130475
107.43475,102.8879,108.3395,104.671075,103.536,124.46715,103.20275,106.188375
107.458625,102.8985,108.370675,104.688925,103.550975,124.500225,103.204175,106.225325
107.557275,102.925425,108.389025,104.7113,103.562475,124.5412,103.228675,106.3004
107.598425,102.93795,108.39835,104.72435,103.5827,124.642025,103.23055,106.389525
107.625975,102.9738,108.4374,104.745675,103.60205,124.9325,103.261775,106.431625
107.639375,102.989,108.5117,104.761175,103.634,125.154675,103.288825,106.533525
107.654775,103.012875,108.54945,104.7805,103.669175,125.22905,103.30865,106.5957
107.68305,103.033375,108.58365,104.812625,103.6931,125.616675,103.330025,106.651275
107.718525,103.0444,108.618225,104.824375,103.705625,125.686425,103.345725,106.686525
107.764575,103.074425,108.6495,104.8563,103.72265,125.750825,103.36205,106.715075
107.777025,103.11115,108.6877,104.883875,103.741975,125.908775,103.37845,106.728025
107.85345,103.124725,108.73365,104.897375,103.783675,125.9362,103.4034,106.750575
107.869375,103.183025,108.7773,104.9313,103.800725,125.98095,103.424625,106.785325
107.9146,103.1988,108.82815,104.9657,103.83835,126.09365,103.4435,106.81755
107.9914,103.22275,108.872875,104.977325,103.868325,126.149275,103.477275,106.9329
108.0079,103.249725,108.927475,104.98325,103.90245,126.41065,103.510525,106.97005
108.03015,103.277125,108.9955,105.014875,103.921725,126.53785,103.5839,106.977825
108.0816,103.289625,109.039625,105.046275,103.9508,126.6123,103.587175,107.02945
108.1672,103.315275,109.0877,105.09845,103.974375,126.63575,103.61405,107.053
