SPK_SPKC04b (inhib),SPK_SPKC07a (inhi),SPK_SPKC12a (inh),SPK_SPKC15b (inh)
28.76145,74.5713,28.965525,11.4458
28.803875,74.6013,28.977125,11.4691
28.81275,74.68385,29.091175,11.5438
28.8614,75.1131,29.15495,11.6087
28.884125,75.181475,29.275275,11.660825
28.911925,75.2169,29.3133,11.722075
28.9655,75.27275,29.40255,11.74985
28.977125,75.45445,29.74115,11.771575
29.091175,75.59815,29.842825,11.8025
29.15495,75.851775,29.878175,11.882475
29.275275,75.927,30.3818,12.024875
29.3133,76.741775,30.5553,12.1671
29.40255,77.07845,30.5803,12.20395
29.74115,77.101075,30.6531,12.465725
29.842825,77.44095,30.81525,12.555475
29.878175,77.491375,30.834,12.657625
30.3818,77.519825,30.8525,12.722225
30.4213,77.5538,30.87485,12.7472
30.5553,77.577125,30.9896,12.7795
30.5803,77.931,31.0254,12.886925
30.596875,77.938925,31.164975,13.039325
30.6531,77.96555,31.198575,13.107675
30.81525,78.046125,31.23835,13.213675
30.834,78.095,32.0574,13.27885
30.8525,78.381925,32.132725,13.2978
30.9896,78.48005,32.6014,13.334775
31.0254,78.65045,32.62355,13.430325
31.164975,79.37725,32.656725,13.551375
31.198575,80.585175,32.704975,13.744675
31.23835,80.64815,32.755325,13.835
32.0574,80.69675,32.84225,13.9251
32.1327,81.0318,33.0004,13.986375
32.6014,81.36115,33.2543,14.103975
32.62355,81.75625,33.4086,14.1938
32.656725,82.089925,33.512775,14.270775
32.704975,82.416925,33.53945,14.3171
32.755325,82.6499,33.7791,14.52395
32.842225,82.831075,34.163075,14.568225
33.000375,83.20905,34.250975,14.678725
33.254275,83.223275,34.682325,14.902225
33.408625,83.2804,34.7075,15.04635
33.512775,83.341025,34.835575,15.19065
33.53945,83.352575,36.249825,15.2126
33.7791,83.40655,36.27005,15.26975
34.163075,83.43355,36.2867,15.3358
34.250975,83.51115,36.3154,15.405575
34.682325,83.65865,36.3401,15.489475
34.7075,83.755,37.149625,15.534875
34.835575,83.8102,37.895575,15.60735
34.876425,84.233925,37.9266,15.64825
36.24985,84.2643,37.949175,15.6783
36.27005,84.302375,37.999125,15.88465
36.2867,84.35815,39.293675,16.0532
36.3154,84.630575,39.512575,16.1521
36.3401,84.71465,39.634575,16.173675
37.149625,84.805975,39.783375,16.228025
37.89555,85.494825,41.287475,16.260875
37.9266,85.8428,41.51165,16.37405
37.949175,86.23975,41.52155,16.399275
37.999125,87.332675,42.0718,16.486625
39.293675,87.4668,42.08545,16.517925
39.512575,87.9122,43.676225,16.537025
39.634575,88.4852,44.00835,16.65965
39.78335,88.571875,44.932925,16.75215
41.28745,88.663625,45.329825,16.7985
41.51165,88.815,45.9352,16.8181
41.52155,89.057,46.05655,16.84335
41.580475,89.09405,46.683475,16.89645
42.0718,89.121675,46.72745,17.03125
42.085475,89.15205,46.82065,17.06935
43.6762,89.30385,46.8807,17.16795
44.00835,89.3318,47.189225,17.332975
44.932925,89.64915,48.0027,17.4858
45.3298,89.700075,48.259075,17.5231
45.9352,89.75175,48.35405,17.561
46.05655,89.838475,48.380875,17.6328
46.683475,89.85715,48.416075,17.68805
46.72745,89.88415,48.44775,17.7711
46.82065,89.965425,48.4615,17.903725
46.8807,89.9853,48.8579,17.96675
47.189225,90.020625,49.0049,17.986925
48.002725,90.0927,49.194875,18.040575
48.259075,90.176575,50.737925,18.134325
48.35405,90.49695,51.746775,18.22095
48.380875,90.89955,51.8687,18.317675
48.416075,91.2814,51.88845,18.406175
48.447775,91.552325,51.8995,18.4868
48.4615,91.607,51.916525,18.58985
48.8579,91.6445,51.934125,18.7939
49.004875,92.426825,51.956825,18.822675
49.194875,92.88475,51.976775,18.857325
50.737925,93.024775,52.00605,18.958
51.746775,93.359425,52.0402,19.15135
51.8687,93.407275,52.112,19.1747
51.888475,93.507125,52.2133,19.20935
51.899525,93.8315,52.2929,19.3766
51.916525,93.8512,52.484575,19.44075
51.934125,93.882975,52.507825,19.5205
51.956825,93.929825,52.91115,19.55315
51.976775,94.293225,53.0265,19.590725
52.00605,94.604975,53.277825,19.64725
52.0402,94.661825,53.326325,19.787175
52.112,94.7403,53.343575,19.862875
52.2133,95.5258,53.3571,19.891
52.2929,95.92725,53.389575,19.911025
52.484575,95.99895,53.404175,19.972925
52.507825,96.2538,53.4507,20.117875
52.91115,96.341425,53.574475,20.150975
53.0265,97.13205,54.101075,20.22705
53.27785,97.80185,54.167725,20.2676
53.326325,98.371,54.2475,20.301825
53.3436,98.68505,54.423775,20.399775
53.3571,98.719975,54.53785,20.4463
53.389575,99.077225,54.578225,20.519425
53.404175,100.110825,54.60705,20.7101
53.4507,100.8628,54.639775,20.835425
53.574475,100.927425,54.652325,20.850175
54.1011,100.960275,54.872575,20.8844
54.247525,100.99535,55.020975,20.903175
54.423775,101.0452,55.201675,20.926725
54.53785,101.2028,55.228375,20.95975
54.578225,101.367475,55.247125,21.317275
54.639775,101.397775,55.34305,21.379275
54.652325,101.42885,55.6138,21.4911
54.872575,102.035725,55.6709,21.519025
55.020975,102.1291,55.72155,21.5612
55.201675,102.69145,56.6389,21.683875
55.228375,102.734625,56.85855,21.7266
55.247125,102.7673,56.941,21.9051
55.34305,102.808275,57.128425,22.012325
55.613825,102.895175,60.392725,22.078575
55.6709,103.158575,60.759625,22.1254
55.72155,103.24255,61.87435,22.178375
55.803,104.596675,61.92255,22.22965
56.6389,106.313675,62.487175,22.33285
56.85855,106.48085,62.553025,22.368
56.941,106.5907,63.109725,22.441975
57.128425,106.63635,63.186025,22.4729
60.392725,106.7107,63.215425,22.537725
60.759625,106.744925,63.301725,22.6045
61.87435,106.7813,63.33235,22.640375
61.92255,106.870575,64.20875,22.683825
62.487175,107.05805,64.3583,22.74375
62.553025,107.1345,64.42895,22.7779
63.109725,107.199825,64.647275,22.82995
63.186,107.75185,64.78675,22.874925
63.215425,107.885525,65.00175,22.937025
63.30175,107.961375,65.130925,23.0213
63.33235,108.3348,65.154875,23.121775
63.680175,108.434425,65.2067,23.163725
64.20875,108.661875,65.2595,23.197475
64.3583,109.161025,65.27965,23.355075
64.428975,109.64865,65.3417,23.387125
64.647275,110.59355,65.39195,23.421475
64.786725,110.6511,65.5488,23.5045
65.00175,110.8674,65.628225,23.5636
65.130925,111.14295,65.684175,23.652475
65.154875,111.161275,65.753725,23.725575
65.2067,112.50085,65.8048,23.836925
65.2595,112.620775,65.99295,23.876075
65.279625,112.645625,66.029,23.906225
65.341725,113.247025,66.1131,23.97655
65.39195,113.778175,66.248275,24.019
65.5488,114.39805,66.29805,24.060775
65.628225,114.4613,66.328075,24.10795
65.684175,114.489725,66.431675,24.145175
65.75375,114.537825,66.52445,24.228625
65.8048,114.55875,66.777875,24.267975
65.99295,114.607775,67.065925,24.337475
66.029,115.845425,67.173375,24.36995
66.1131,116.098875,67.22365,24.422475
66.248275,116.14265,67.311325,24.464325
66.29805,116.193975,67.3444,24.503975
66.328075,116.2536,67.3726,24.5584
66.431675,116.295025,67.387525,24.597475
66.52445,116.3983,67.42425,24.66095
66.77785,117.210925,67.59825,24.7058
67.0659,117.935075,67.65485,24.77305
67.1734,118.4687,67.685725,24.824575
67.223675,119.02105,67.724625,24.921375
67.311325,119.040475,67.74825,24.9613
67.3444,119.236275,67.8565,25.104575
67.3726,119.485175,67.97,25.13435
67.387525,119.55665,68.15145,25.157625
67.42425,120.096375,68.519625,25.23985
67.59825,120.15815,68.57355,25.321375
67.65485,120.245,68.92155,25.360875
67.685725,120.28485,68.97875,25.3876
67.724625,120.41625,69.040825,25.47985
67.748275,120.55205,69.060625,25.538125
67.8565,121.103275,69.093275,25.61325
67.97,121.16935,69.147075,25.671775
68.15145,122.307875,69.2025,25.693125
68.519625,122.60355,69.25305,25.722475
68.573525,122.668475,69.326075,25.783475
68.921575,123.37205,69.638725,25.827475
68.97875,123.421475,69.97335,26.27525
69.040825,123.4518,70.118275,26.28145
69.060625,123.5668,70.47035,26.34355
69.093275,123.828925,70.640025,26.39055
69.147075,123.879325,70.8467,26.452
69.2025,123.913175,70.9238,26.522025
69.25305,123.943675,70.98285,26.593375
69.326075,124.003025,71.2275,26.705375
69.638725,124.30185,71.5828,26.747275
69.973375,124.3756,71.994675,26.7772
70.118275,125.029,72.0455,26.846625
70.121125,125.138175,72.1443,26.96905
70.470375,125.78685,72.490775,27.05775
70.640025,126.10175,73.135575,27.0993
70.651475,126.148275,73.193175,27.124975
70.846675,126.542575,73.2617,27.2048
70.9238,126.605075,73.392825,27.3134
70.98285,126.631225,73.4415,27.598325
71.2275,126.6973,73.74065,27.683575
71.5828,126.775725,73.9597,27.864725
71.9947,127.068,74.08065,28.787875
72.045525,127.129425,74.205375,28.950225
72.144325,127.1542,74.46155,30.3948
72.480625,127.218525,74.546125,30.6182
72.490775,127.2862,74.5713,30.8321
73.135575,128.25715,74.601275,30.86515
73.193175,128.735825,75.113075,31.032575
73.261725,129.608925,75.18145,31.10195
73.39285,129.846275,75.216875,31.207025
73.441525,129.9215,75.27275,32.0527
73.74065,129.937925,75.45445,32.0958
73.959725,129.95565,75.59815,32.120925
74.08065,129.982825,75.851775,33.431925
74.205375,130.03015,76.741775,34.097175
74.46155,130.116425,77.078425,36.273825
74.546125,130.3465,77.10105,36.343075
74.571325,130.375875,77.440925,36.4975
74.601275,130.395075,77.5198,39.343175
74.68385,130.437975,77.553775,39.6471
75.1131,130.518925,77.577125,40.919875
75.18145,130.61805,77.931,41.209225
75.2169,130.7958,77.9389,41.490725
75.27275,131.1703,77.965525,41.5367
75.45445,131.6415,78.046125,43.641275
75.59815,131.67035,78.095,43.67585
75.851775,131.723,78.3819,43.994025
75.926975,132.006025,78.48005,44.876625
76.741775,132.063775,78.650425,44.981175
77.078425,132.106025,79.377225,45.0068
77.10105,132.471825,80.503975,45.29505
77.44095,132.88905,80.585175,45.389
77.49135,133.113275,80.648125,45.578975
77.5198,133.162975,80.696725,45.90355
77.553775,133.23215,81.0318,45.950525
77.577125,133.505425,81.36115,45.99255
77.9389,133.54825,81.756225,46.063825
77.96555,133.59635,82.089925,46.50485
78.046125,133.976225,82.416925,46.62425
78.095,134.2282,82.649875,46.6987
78.3819,134.295275,82.831075,46.738425
78.48005,134.64065,83.1796,46.777625
78.65045,134.68595,83.20905,46.891575
79.37725,134.7025,83.22325,47.173425
80.503975,135.17635,83.2804,47.21405
80.585175,135.666275,83.341025,47.293
80.648125,135.735525,83.352575,47.32105
81.0318,135.996175,83.40655,47.384275
81.36115,136.0307,83.433525,47.524325
82.089925,136.554775,83.51115,47.5582
82.416925,137.6806,83.65865,47.6064
82.649875,138.464575,83.755,47.6601
82.831075,138.541025,83.810175,47.73815
83.179625,139.02115,84.2339,47.76525
83.20905,139.053475,84.2643,47.810175
83.223275,139.111675,84.302375,47.9089
83.2804,139.150425,84.358125,47.941225
83.341025,139.277075,84.630575,47.998925
83.352575,139.4936,84.714625,48.122275
83.40655,139.6716,84.805975,48.214575
83.433525,140.09745,85.494825,48.2496
83.51115,140.236125,85.8428,48.2736
83.755,140.2536,86.23975,48.2944
83.8102,140.29945,87.332675,48.326675
