SPK_SPKC05a,SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC11b
16.55705,55.1627,17.216525,7.1661
16.577375,55.58075,17.311975,7.17385
16.718825,55.628075,17.3431,7.187625
16.862775,56.041525,17.358025,7.197025
16.89075,56.248475,17.393275,7.201375
16.93255,56.25825,17.40415,7.20705
17.26755,56.2766,17.429775,7.2155
17.327975,56.36565,17.46245,7.225075
17.36665,56.8195,17.50075,7.232025
17.41355,57.4062,17.5711,7.24715
17.4546,57.785625,17.647175,7.257825
17.4743,57.898825,17.683825,7.2656
17.4833,58.14805,17.795225,7.2719
17.6642,58.53305,18.296575,7.278175
18.16875,58.56155,18.30575,7.283525
18.202975,58.59445,18.47455,7.2901
18.2137,58.904875,19.222175,7.296325
18.2736,59.064625,19.28955,7.301825
18.37435,59.2112,19.69635,7.3081
18.396625,59.25835,19.925925,7.317175
18.574225,59.546425,20.1559,7.3262
18.84395,59.65815,20.82,7.33235
18.880525,59.946325,21.049,7.345075
18.92365,59.97675,21.156925,7.358475
19.025075,60.013725,21.239525,7.366075
19.0348,60.358775,21.34765,7.373625
19.074325,60.4076,21.3819,7.384225
19.174875,60.445275,21.68165,7.391625
19.462925,60.466775,21.792525,7.400275
19.4834,60.7431,21.8931,7.411
19.65545,60.7941,22.2481,7.420375
19.857275,61.206175,22.79175,7.434025
20.117625,61.223025,23.22035,7.441325
20.225275,61.3183,23.247475,7.4495
20.376525,61.665225,23.252925,7.461675
20.3992,61.864275,23.755975,7.472875
20.520175,62.1128,24.46125,7.484325
20.52945,62.436325,24.767875,7.49185
20.689525,62.6561,24.793925,7.50185
20.706125,62.825,25.107575,7.5122
20.761325,63.07105,25.18605,7.5225
20.79845,63.1112,25.5896,7.531625
20.838475,63.329425,25.646175,7.543675
20.852475,63.5186,26.077125,7.560025
20.866725,63.53975,26.613375,7.568675
20.89065,63.883725,26.61805,7.580525
20.938675,64.00395,26.804,7.594225
21.0798,64.007975,26.8199,7.5993
21.123875,64.0367,26.9441,7.609275
21.15725,64.124625,27.282675,7.622075
21.192775,64.363,27.3391,7.627525
21.21405,65.37415,27.3514,7.632525
21.375575,65.81725,28.8706,7.64005
21.4856,65.8682,29.093025,7.646075
21.5985,66.3101,29.1104,7.650175
21.621625,66.376825,29.87835,7.658175
21.628925,66.623725,29.9767,7.664525
21.6319,66.645025,32.698125,7.6698
21.93625,67.0796,33.025875,7.674625
21.964725,67.59195,33.059725,7.6803
21.983675,67.694475,33.5983,7.69085
22.0086,67.8088,35.430025,7.701475
22.0897,68.074075,35.899875,7.70705
22.317075,68.09175,37.001575,7.7146
22.432525,68.162575,37.40385,7.7235
22.454975,68.4049,38.0756,7.734025
22.491425,68.589925,39.149125,7.739875
22.720125,68.644775,39.22195,7.75955
23.05035,68.729025,39.559375,7.768225
23.06975,68.925675,40.00815,7.77545
23.1483,69.06485,40.7764,7.782475
23.17925,69.24755,42.098875,7.790925
23.191475,69.4483,43.7192,7.80415
23.34835,69.605575,43.7939,7.8134
23.436225,69.6435,44.4123,7.8231
23.4403,69.65825,44.630525,7.83415
23.927125,70.020575,45.150525,7.84655
23.970525,70.0651,47.87455,7.860925
24.005975,70.121725,49.40665,7.869075
24.020575,70.33155,49.492275,7.878825
24.05155,70.376875,53.64055,7.88905
24.210075,70.434075,53.8492,7.89375
24.292075,70.970025,54.386625,7.901825
24.331175,71.024825,55.118025,7.910075
24.351025,71.051625,55.29795,7.918025
24.508925,71.248925,57.0392,7.925175
24.58965,71.515825,57.05025,7.9355
24.6305,71.5541,57.40985,7.94925
24.9061,71.58135,57.43945,7.958475
25.022675,71.715,57.7304,7.9683
25.159725,71.813275,58.394625,7.9741
25.623175,71.844,58.511625,7.993325
25.750175,71.860325,61.706125,8.008775
25.810175,72.27705,63.0734,8.012525
25.828475,72.5432,63.63515,8.017375
25.97775,72.59115,64.171475,8.021925
26.039725,72.642075,64.901775,8.02465
26.21245,72.9205,64.954075,8.03135
26.323925,72.980275,65.396875,8.034275
26.4398,73.195675,65.808275,8.04395
26.46265,73.483275,66.027675,8.048025
26.596525,73.5062,67.59875,8.056475
26.711225,73.957375,67.639925,8.06355
26.898075,74.1083,67.6964,8.0694
27.04205,74.125125,68.144175,8.079625
27.09895,74.20075,68.168975,8.0869
27.2753,74.327725,68.185875,8.0979
27.3127,74.46135,70.0099,8.103075
27.38,74.63895,70.3601,8.1099
27.55025,74.82265,70.393075,8.116175
27.574775,74.8361,70.39555,8.125175
27.618275,74.84695,70.466425,8.12865
27.880775,74.8661,70.55945,8.1326
27.887425,75.187625,71.0087,8.140075
28.120725,75.40925,71.368625,8.143725
28.14645,75.4607,71.556175,8.148625
28.220025,75.503225,72.09245,8.153725
28.30215,75.716175,72.5979,8.158175
28.379,75.84165,72.652175,8.16715
28.3976,75.871,73.6005,8.1768
28.41135,76.664725,73.841475,8.184775
28.764325,77.138225,73.959175,8.196425
28.8239,77.453025,74.470225,8.200375
28.838575,77.5264,74.4944,8.204175
28.937075,77.61215,74.8485,8.21075
29.039425,77.819625,74.8571,8.217075
29.127075,77.959875,74.9105,8.2257
29.189875,78.21185,75.4065,8.23335
29.28925,78.23505,75.8842,8.23795
29.519525,78.314925,76.589925,8.244425
29.68215,78.36135,77.31805,8.2538
29.92325,78.38095,77.6194,8.26205
29.991525,78.49335,77.65405,8.2744
30.058525,78.865975,78.318375,8.282375
30.1334,79.01445,80.5512,8.287925
30.19715,79.5709,80.555375,8.29465
30.3878,79.68785,80.569225,8.30195
30.788475,79.879175,80.838975,8.307575
30.90695,79.963575,80.965,8.31475
30.93925,80.218525,81.008675,8.3199
30.9714,80.427125,81.0911,8.330525
31.0219,80.459025,81.113625,8.338675
31.140725,80.604325,81.15235,8.344725
31.184975,80.72915,81.18205,8.35085
31.2226,80.8469,81.46255,8.3716
31.28305,80.9295,81.47165,8.37675
31.369,81.007175,81.51865,8.386325
31.40275,81.0446,81.610875,8.394325
31.4557,81.064625,81.69295,8.403325
31.475,81.089925,81.73265,8.414725
31.49615,81.1138,81.8017,8.4235
31.6337,81.146375,81.846175,8.43655
31.666375,81.22755,81.887025,8.443075
31.68005,81.357925,82.02415,8.45065
31.7884,81.386475,82.043,8.457725
31.8637,81.4289,82.061725,8.465175
31.96715,81.450075,82.069725,8.469925
32.4577,81.536975,82.08295,8.4776
32.514725,81.576125,82.09705,8.4815
32.68765,81.704725,82.141975,8.486075
32.737525,81.85965,82.20465,8.4909
32.7394,81.93605,82.243375,8.49615
32.839875,82.021625,82.276075,8.500375
32.868925,82.066175,82.324075,8.50655
32.970875,82.227025,82.38565,8.51355
33.004025,82.4328,82.396475,8.519725
33.112575,82.46875,82.45535,8.5304
33.14295,82.481425,82.479075,8.536075
33.225825,82.48945,82.485625,8.546875
33.3243,82.494475,82.49735,8.55325
33.360925,82.5098,82.51115,8.56235
33.43985,82.52985,82.519,8.567625
33.475575,82.549225,82.533375,8.5767
33.48615,82.7678,82.546225,8.584275
33.506,82.827975,82.567125,8.588575
33.548025,83.17595,82.61165,8.5971
33.569525,83.200125,82.67855,8.6051
33.5887,83.610325,82.740925,8.6101
33.60905,84.024875,82.766425,8.6144
33.647075,84.0362,82.776175,8.623675
33.68695,84.0592,82.800375,8.6316
33.900825,84.0957,82.835375,8.6398
34.1794,84.12275,82.8792,8.647
34.29215,84.15455,82.9503,8.65305
34.442325,84.25315,82.995425,8.65895
34.474925,84.506525,83.05175,8.669675
34.5037,84.525,83.09655,8.67915
34.806475,84.615875,83.133,8.688075
34.944725,84.634225,83.148225,8.70685
35.17755,84.667225,83.171325,8.7243
35.22805,84.69785,83.221025,8.741625
35.425575,84.7375,83.2601,8.753225
35.50225,84.7771,83.309975,8.764625
35.6057,84.83015,83.353575,8.77045
35.80735,84.903075,83.4838,8.780025
35.9227,85.042275,83.551825,8.789675
35.93765,85.1022,83.6465,8.79705
36.12195,85.187425,83.6853,8.807925
36.193675,85.223725,83.762425,8.8152
36.2526,85.386275,83.805925,8.8306
36.7158,85.5091,83.846425,8.83975
36.818125,85.62655,83.86685,8.85395
37.039325,85.637925,83.903775,8.86035
37.116775,85.6977,83.951425,8.866575
37.293775,85.750075,84.02175,8.874325
37.370125,85.952425,84.043175,8.88385
37.379475,86.016275,84.053225,8.891725
37.563125,86.0458,84.0801,8.89595
37.65265,86.091875,84.086925,8.905175
37.755525,86.1291,84.092,8.910975
37.7814,86.1574,84.121025,8.91805
37.7957,86.182625,84.136125,8.92405
37.830925,86.212,84.181725,8.933325
37.853625,86.312925,84.217225,8.942925
