SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
17.796625,10.09355,61.589075,111.9159,82.432125,11.809625,12.6694
17.8877,10.1587,61.83595,112.713375,82.927325,11.8703,12.78685
17.97805,10.220175,62.720325,113.63965,83.425425,11.949325,12.893125
18.429575,10.314275,64.2714,113.74685,85.149575,12.27525,12.973625
18.599225,10.36355,64.643075,114.023075,87.2566,12.58315,13.026475
18.772375,10.48415,66.1496,114.058025,87.3214,12.66005,13.237675
19.1334,10.616375,66.545125,114.066225,87.64035,13.332475,13.2911
19.390875,10.659575,68.115425,114.275225,89.098325,14.152325,13.622825
19.675225,10.7239,69.35345,114.54345,89.92,14.24075,13.91935
19.717225,10.773075,69.859575,114.887775,90.160975,14.25395,13.960175
20.22495,10.840875,70.631975,114.9894,90.79635,14.45425,14.08615
20.407875,11.12925,71.122025,115.285075,91.243725,14.7777,14.1089
20.48615,11.21635,71.32055,115.35245,92.396375,15.0875,14.175475
20.592225,11.2604,73.906175,115.664925,94.678725,15.091725,14.182075
20.870725,11.461025,74.102825,115.67315,94.886125,15.1409,14.411975
20.9508,11.5712,74.259275,115.700975,94.906625,15.270225,14.429975
21.06695,11.604975,75.635875,116.493025,95.369725,15.34965,14.440425
21.161975,11.652475,77.4071,116.54095,95.83185,15.562275,14.46475
21.228325,11.857325,79.521825,117.136425,96.309175,16.04935,14.679825
21.482675,11.98075,80.261225,117.412125,96.745175,16.475225,14.874275
21.597275,12.0443,81.5331,117.61075,96.8686,16.568325,14.98705
21.66975,12.136325,81.574625,117.98765,97.79105,17.83915,15.1323
21.81695,12.167825,83.420675,118.000775,98.125275,17.8532,15.195725
21.98305,12.250675,84.551125,118.141,98.5725,17.863875,15.305975
22.051025,12.295175,86.445775,118.315,98.70425,17.883,15.349675
22.218425,12.3525,86.98265,118.32585,98.765075,17.92335,15.38145
22.436475,12.400075,87.6773,118.49225,98.980375,17.963725,15.608425
22.5932,12.445075,88.115725,118.7781,100.022275,18.82725,15.61185
22.734975,12.557925,90.156725,118.9732,100.4615,18.85115,15.61665
22.898325,12.593225,90.332375,119.116925,100.972625,19.04095,15.628725
22.99205,12.9122,93.004475,119.5419,101.1034,19.1654,15.718325
23.05085,12.943975,94.757125,120.4676,101.691675,19.376675,15.7313
