SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3218.82385,3209.972175,3204.7062,3202.0566,3210.29115
3218.84845,3210.149875,3204.717575,3202.118075,3210.465175
3218.8909,3210.31025,3204.810775,3202.120475,3210.604975
3218.900675,3210.33685,3204.8189,3202.124625,3210.6511
3218.917775,3210.37225,3204.9091,3202.13735,3210.7648
3219.13855,3210.41985,3204.9172,3202.139825,3210.836775
3219.16325,3210.51255,3204.923325,3202.154025,3210.915925
3219.206225,3210.801975,3205.0029,3202.16705,3210.933575
3219.53625,3210.8385,3205.044,3202.17445,3210.94255
3219.64795,3210.861025,3205.0555,3202.180375,3211.05785
3220.6587,3210.8763,3205.1723,3202.2232,3211.217
3220.853425,3210.896375,3205.1892,3202.230375,3211.233375
3221.26185,3210.9336,3205.25945,3202.28855,3211.266675
3221.314175,3210.9664,3205.31635,3202.31815,3211.31515
3222.061475,3211.05055,3205.357575,3202.3253,3211.324575
3222.096025,3211.055,3205.5459,3202.333225,3211.337225
3222.158225,3211.188625,3205.7207,3202.348625,3211.409175
3222.215725,3211.220625,3205.8363,3202.38225,3211.534125
3222.7365,3211.469425,3205.9123,3202.408675,3211.847775
3223.068225,3211.61345,3206.0181,3202.441575,3211.950175
3223.4279,3211.6839,3206.15615,3202.44905,3212.0339
3223.4885,3211.719675,3206.15845,3202.503925,3212.436525
3224.19725,3211.908,3206.237975,3202.527625,3212.59435
3224.473425,3211.91635,3206.3193,3202.565575,3212.817925
3224.59435,3211.97205,3206.328575,3202.584625,3212.88075
3224.70555,3212.003075,3206.331375,3202.63595,3212.8958
3225.077575,3212.008525,3206.502975,3202.64435,3213.315925
3225.09645,3212.0364,3206.604825,3202.65115,3213.54475
3225.201675,3212.221925,3206.6104,3202.737425,3213.872675
3225.32915,3212.471875,3206.672525,3202.7479,3213.960325
3225.570175,3212.477725,3206.856775,3202.781025,3214.039175
3226.024175,3212.584725,3206.9245,3202.787125,3214.0909
3226.04685,3212.721875,3206.945625,3202.801725,3214.180775
3226.0742,3212.7251,3207.0031,3202.83515,3214.25755
3226.6737,3212.904925,3207.0052,3202.87685,3214.339125
3226.7703,3212.9966,3207.0375,3202.88645,3214.38155
3227.1298,3213.00655,3207.071025,3202.930925,3214.57775
3227.298075,3213.231725,3207.082725,3202.954175,3214.63295
3227.333025,3213.31595,3207.118275,3202.970775,3214.6597
