SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
511.7769,540.66255,609.667125
511.80215,540.670175,609.919125
511.817475,540.787075,610.1505
511.82825,540.851375,611.04075
511.84805,540.888975,611.100675
511.86875,541.154,611.18835
511.894425,541.244625,611.201975
511.940975,541.363775,611.536925
511.972675,541.51175,611.6388
511.998525,541.52365,611.840825
512.0189,541.827375,611.993175
512.105175,541.842025,612.0112
512.12245,541.95495,612.10595
512.130325,541.976625,612.352275
512.154025,542.0372,612.8082
512.161325,542.110175,612.83105
512.181675,542.19825,613.06555
512.19385,542.279725,613.079125
512.203175,542.332875,613.5809
512.223125,542.46865,613.74935
512.23545,542.5236,614.079075
512.246525,542.684,614.640425
512.26485,542.87565,614.746975
512.278475,542.8864,615.457925
512.2897,542.888475,615.64915
512.308875,542.91335,615.931775
512.342725,543.0112,615.944
512.40125,543.180725,615.983425
512.567925,543.202975,616.1021
512.577625,543.258025,616.4414
512.58665,543.5269,616.60115
512.5963,543.561,616.6319
512.6085,543.73825,617.3995
512.6197,544.047625,617.46245
512.6306,544.079275,617.7404
512.653,544.140875,618.10625
512.681725,544.280525,618.20435
512.696975,544.3283,618.686175
512.708425,544.4025,618.709425
512.75525,544.491575,618.81065
512.77475,544.6707,618.823675
512.783225,544.680475,618.9366
512.8177,544.80175,618.966575
512.993,544.8302,619.028925
513.015275,544.8446,619.244325
513.132475,544.8772,619.389675
513.232575,544.887825,619.583725
513.252725,544.907225,619.77145
513.264175,545.037875,620.19105
513.279825,545.21885,620.6268
513.29275,545.254875,620.743725
513.30735,545.2618,620.942725
513.321675,545.359,620.965975
513.342525,545.44445,621.46865
513.357925,545.54475,621.624025
513.379775,545.86505,622.02395
513.388625,545.89855,622.15225
513.398525,545.925275,623.071325
513.42935,545.933,623.4329
513.47905,545.9911,623.806375
513.511925,546.0546,623.9777
513.536775,546.277175,624.06155
513.543075,546.3241,624.3478
513.5722,546.37085,624.825875
513.62505,546.4032,624.8461
513.7219,546.430775,625.048925
513.7495,546.48725,625.086175
513.763675,546.50505,625.13825
513.779625,546.5233,625.30705
513.794825,546.6685,625.489775
513.806375,546.691025,626.560175
513.8205,546.7118,626.7782
513.8355,546.7253,626.956925
513.8551,546.851475,627.452825
513.866375,547.1292,627.5461
513.903625,547.259625,627.65585
513.9294,547.3095,627.92805
513.942,547.349375,627.986
513.954675,547.4485,628.2692
513.96485,547.498525,628.453375
513.973925,547.587225,629.05705
513.9978,547.719525,629.18015
514.018025,547.845375,629.2924
514.03005,547.90445,629.590575
514.054625,547.9693,630.297275
514.0778,548.02515,631.0849
514.090275,548.165925,631.1743
514.110725,548.1735,631.54095
514.136925,548.201125,631.56335
514.229775,548.2328,631.751525
514.247525,548.3141,631.955575
514.257325,548.43,632.58565
514.27485,548.489625,633.012725
514.292225,548.550625,633.18295
514.306975,548.592575,633.2694
514.3211,548.650975,633.895675
514.33645,548.7575,634.304825
514.350025,548.76565,634.31745
514.3844,548.94875,635.106425
514.3969,549.082475,635.1156
514.4102,549.31905,635.3254
514.43765,549.43115,635.52265
514.46215,549.469975,635.7401
514.47745,549.489125,635.795075
514.538825,549.597225,636.043875
514.563425,549.65625,636.6836
514.592625,549.70525,637.612575
514.62195,549.722025,638.431025
514.635125,549.729675,639.187525
514.648875,549.793925,639.36915
514.656875,549.822625,639.393325
514.67335,549.8333,639.42805
514.690175,549.91285,639.47375
514.701725,550.21115,639.713025
514.7109,550.3311,640.010675
514.718725,550.498275,640.073275
514.7387,550.552125,640.25115
514.753925,550.6343,640.376825
514.763575,550.69845,640.5582
514.777275,550.926225,641.344
514.7885,550.96305,641.388075
514.80265,550.973775,641.7214
