SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
6.847225,10.91875,5.52635,99.243,57.74275
6.960775,10.99715,5.544775,99.393325,58.270425
7.03655,11.029075,5.60045,99.6886,58.6516
7.243475,11.0573,5.6134,100.08595,58.654475
7.27095,11.11705,5.65175,101.18395,58.741875
7.276875,11.1435,5.7719,102.058725,58.934825
7.29,11.218925,5.7931,102.09505,58.990125
7.323575,11.29205,5.82065,103.03345,60.67735
7.366475,11.299125,5.870675,103.5471,60.964575
7.4308,11.4201,5.8988,103.7801,61.814125
7.452975,11.52035,5.919625,107.692725,62.178025
7.475525,11.592475,5.946875,107.823925,62.970575
7.5587,11.745225,5.99315,109.152725,63.041825
7.615275,11.7916,6.023225,110.0366,63.909
7.6723,11.82355,6.055075,110.1489,64.811825
7.678375,11.843925,6.0764,111.319225,65.8252
7.68395,12.02305,6.105825,111.369675,66.4281
7.720575,12.067675,6.132175,111.672875,67.387525
7.847275,12.1342,6.19125,111.727375,67.530925
7.877425,12.2196,6.209225,111.9825,67.925825
7.90555,12.3641,6.235825,112.1662,68.604625
7.915325,12.4124,6.259825,112.246175,69.021075
7.96805,12.495925,6.2788,112.4368,69.284475
8.033525,12.515125,6.30305,112.661475,69.640475
8.09705,12.554975,6.357075,112.968425,69.70475
8.1649,12.597975,6.361825,113.04595,69.739475
8.237475,12.6787,6.3872,113.500125,70.120675
8.26675,12.869275,6.426775,113.61215,70.4143
8.3332,12.962275,6.4668,115.745625,71.727175
8.4695,13.2936,6.497525,116.0213,71.82155
8.4835,13.30665,6.544525,116.5448,72.253475
8.57395,13.355475,6.5603,117.17135,73.873425
8.715375,13.398475,6.5884,117.6242,73.903725
8.778075,13.417675,6.611025,119.506325,74.1602
8.89275,13.461425,6.660875,119.993475,74.27445
8.997375,13.46245,6.6746,120.0753,74.31
9.0449,13.618025,6.684025,120.3061,74.559625
9.1032,13.770225,6.7002,121.05395,74.890925
9.11135,13.848275,6.7093,123.3701,75.090725
9.150775,13.88245,6.75525,123.51615,75.532825
9.225175,13.9591,6.812225,123.761775,76.990475
9.229575,14.090775,6.83755,124.4925,77.195975
9.31425,14.348325,6.930425,126.7354,77.271925
9.31595,14.3533,6.97245,126.757225,77.56345
9.365875,14.367925,7.037075,128.3938,77.808275
9.3752,14.410125,7.054175,128.523025,77.845925
9.486325,14.48495,7.0824,130.659525,77.880625
9.72975,14.658175,7.115675,132.205175,78.281275
9.78295,14.747825,7.13465,132.25475,78.573025
9.893325,14.84385,7.161575,132.90315,78.779025
9.9775,15.0544,7.183375,133.17595,79.07585
10.05965,15.3769,7.235225,133.630475,79.142475
10.098675,15.452625,7.252125,133.954325,79.30065
10.248375,15.7855,7.2795,134.0807,79.688625
10.335475,15.867375,7.29785,134.118,80.635175
10.344325,15.944675,7.3133,134.142,80.752975
10.44305,15.948275,7.36115,135.669975,80.9371
10.65845,15.97205,7.373725,135.721225,81.067
10.67825,16.0429,7.526325,135.809925,81.139775
10.82875,16.1569,7.5655,135.996875,81.3034
10.845725,16.30675,7.579775,136.689525,81.344175
10.856575,16.449175,7.594975,137.3376,81.599325
10.8694,16.5748,7.621125,137.399525,82.097575
10.91935,16.58215,7.6384,137.623475,82.76285
10.940775,16.926375,7.68105,137.697,82.963575
10.950025,16.936725,7.79115,140.026975,83.786325
10.9696,17.00645,7.82735,140.555525,84.215375
10.98005,17.009025,7.8513,140.876625,84.35005
11.20755,17.115025,7.8708,140.933225,84.681275
11.25625,17.1878,7.896875,141.60045,85.3255
11.27065,17.252725,7.947225,142.180025,85.385525
11.3059,17.25675,7.984325,142.57395,85.777525
11.3312,17.602675,8.148875,142.83895,85.87135
11.38025,17.707075,8.24355,143.054275,86.648325
11.4185,17.735375,8.25975,143.128225,86.702125
11.45125,17.73695,8.261925,143.845775,86.7873
11.471625,17.73965,8.273,146.6611,87.087925
11.4802,17.75745,8.295875,146.86825,87.2093
11.5679,17.884875,8.3147,147.665525,87.4154
11.693975,17.89375,8.3401,147.87215,87.931325
11.719325,17.952275,8.36865,148.039775,88.19095
11.7979,17.989975,8.383875,148.8471,88.38385
11.895,17.997575,8.428325,150.115225,88.511475
11.942025,18.094475,8.486625,150.207275,89.0101
11.972775,18.105325,8.5446,150.404925,89.409575
12.0202,18.188775,8.571675,151.0365,89.8173
12.051025,18.234725,8.61615,151.672025,89.87665
12.085675,18.236875,8.63385,152.71565,90.0592
12.15095,18.356375,8.710475,153.842125,90.616775
12.1741,18.445125,8.728825,154.5292,90.938575
12.223125,18.4771,8.768225,155.301825,91.535625
12.307875,18.483875,8.896075,155.31365,91.86565
12.50865,18.623825,8.93975,155.366375,92.337075
12.513675,18.659075,8.967,155.653475,92.3645
12.56265,18.707475,8.986575,155.951475,92.4229
12.574675,18.819125,9.005425,156.653675,93.514775
12.617975,18.850375,9.01665,156.658025,93.81545
12.62125,19.092475,9.032025,157.04205,93.8611
12.666075,19.2356,9.0455,157.232325,94.018325
12.67985,19.503525,9.0589,158.3355,94.0977
12.69915,19.636725,9.069475,158.38705,94.206075
12.7537,19.63865,9.075875,158.55565,94.718525
12.758625,19.650225,9.082825,158.891125,94.89295
12.762575,19.7049,9.086125,158.9222,94.981575
12.79005,19.7707,9.104675,158.92325,95.1523
12.793175,19.8714,9.11525,158.98635,95.2275
12.933575,19.922725,9.124725,159.06095,95.528175
12.959825,19.95485,9.13905,159.26585,95.613825
13.04335,19.98265,9.195375,159.564475,96.05365
13.0593,20.0576,9.232525,159.60125,96.5031
13.065675,20.093325,9.257325,160.1572,96.707475
13.122575,20.16245,9.32475,160.178775,97.2599
13.148375,20.188425,9.37245,160.234975,97.666725
13.201675,20.481525,9.38655,161.211075,97.80505
13.241875,20.5531,9.42495,162.04085,97.94885
13.252275,20.67675,9.4389,162.047925,97.9911
13.264625,20.764825,9.467975,163.281325,98.07805
13.273225,20.860475,9.489625,163.453425,98.225525
13.293025,21.015775,9.5113,163.638625,98.352675
13.403425,21.14195,9.529175,163.909325,98.473575
13.4486,21.486475,9.5545,163.92055,98.513825
13.45985,21.533,9.582575,163.943025,98.7006
13.472375,21.591275,9.6634,163.9908,98.704525
13.4831,21.7019,9.69245,164.420875,98.758025
13.497025,21.9234,9.777575,165.06245,98.791325
13.557675,22.172325,9.808925,165.1108,99.068225
13.721025,22.2192,9.84195,165.1872,99.165975
13.723625,22.228575,9.8711,165.323925,99.3499
13.75405,22.3722,9.925725,165.38585,99.657275
13.7739,22.41155,9.9561,165.644325,99.815075
13.8188,22.668525,9.98015,166.162625,99.9
13.82995,22.7165,9.9923,166.200375,99.994825
13.882275,22.933225,10.00045,167.513575,100.142775
13.891625,22.947575,10.010425,168.101875,100.1484
13.910775,23.04115,10.027975,168.77205,100.2583
14.108775,23.119075,10.05065,169.153875,100.36455
14.181925,23.19745,10.086175,169.465,100.552725
14.198575,23.25705,10.10065,170.3385,100.730975
14.20985,23.35265,10.12,170.354525,101.560475
14.2489,23.4092,10.14085,170.396075,101.58455
14.4326,23.6576,10.20425,170.673925,101.726025
14.482825,23.845175,10.225625,170.905075,101.948725
14.507875,23.97065,10.24945,171.344225,102.0293
14.52305,24.029925,10.274425,171.401425,102.336125
14.560775,24.094525,10.32775,171.589825,102.42815
14.777075,24.146525,10.3645,172.25305,102.519
14.79365,24.225725,10.40265,172.63605,102.565225
14.89385,24.25015,10.433225,173.054025,102.651925
15.111225,24.3804,10.45185,173.383425,102.79395
15.1378,24.438525,10.46055,173.413775,102.906475
15.168725,24.85825,10.469925,173.490825,102.91825
15.190925,24.876375,10.500925,173.813625,103.26115
15.2442,24.882725,10.517875,173.919025,103.72895
15.3379,25.047175,10.533275,173.9837,103.944325
15.374125,25.226675,10.555775,174.0023,103.985775
15.607175,25.32235,10.58635,174.095575,104.47645
15.6117,25.36075,10.622025,174.588575,104.653425
15.647425,25.3997,10.6371,175.2624,104.730025
15.7676,25.441175,10.652,175.596225,104.84125
15.8153,25.462925,10.66085,175.80785,104.98335
15.9231,25.488,10.678775,176.49745,105.006425
15.965925,25.494975,10.696275,177.2508,105.084175
16.0937,25.677075,10.7607,177.283425,105.1289
16.11585,25.753625,10.780025,177.3533,105.1951
16.1402,25.7912,10.8008,177.47335,105.42755
16.153725,25.837425,10.820875,177.660225,105.491925
16.213975,25.850175,10.828175,178.29415,105.53595
16.23415,25.908275,10.86095,178.681975,105.883375
16.24175,26.010775,10.930925,179.239025,106.11795
16.253625,26.15405,10.94105,179.5952,106.17795
16.268175,26.179775,10.962075,179.961725,106.23705
16.371975,26.215425,10.981175,179.96645,106.526675
16.3867,26.24775,11.00665,180.3668,106.5551
16.53385,26.275625,11.027575,180.618225,106.59385
16.550675,26.317275,11.044925,181.061775,106.707425
16.574325,26.319475,11.06825,181.375175,106.75685
16.580375,26.348575,11.090475,181.59965,106.79825
16.61615,26.3499,11.166725,181.64305,106.898625
16.64385,26.5154,11.182275,182.1863,107.085475
16.7041,26.530725,11.245625,182.603675,107.112675
16.7473,27.1157,11.2733,182.8185,107.5118
16.774625,27.176375,11.2974,183.281525,107.591275
