SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC08a
237.7436,210.6838,208.268825,202.869625
237.8924,210.70305,208.2906,202.87715
237.98765,210.8699,208.3054,202.884
238.0372,210.890375,208.35225,202.893075
238.039975,210.93865,208.403325,202.900625
238.110025,210.980425,208.484725,202.9218
238.28625,211.228975,208.5836,202.952425
238.912025,211.29595,208.613,202.9738
238.95895,211.30355,208.6612,202.997925
239.0964,211.314225,208.700825,203.0145
239.216475,211.4021,208.715825,203.021025
239.24945,211.407575,208.749375,203.059375
239.62435,211.45565,208.780925,203.097775
239.8752,211.4608,208.90075,203.114675
240.85205,211.529575,208.923275,203.1269
241.156,211.587375,208.948125,203.141025
241.9958,211.598575,208.97865,203.15495
242.275375,211.76515,209.043975,203.19165
242.814875,211.7894,209.065,203.276725
242.873675,211.8568,209.088525,203.284975
243.026775,211.943475,209.1337,203.3327
243.3108,211.958875,209.162,203.35605
243.353675,212.108025,209.2143,203.3736
243.605275,212.138125,209.24685,203.3863
243.630025,212.386075,209.275375,203.395725
243.64925,212.4312,209.3367,203.399475
243.75785,212.61935,209.339325,203.405775
244.28745,212.732975,209.36095,203.415125
244.378125,212.77925,209.37765,203.423975
244.437125,212.792425,209.396925,203.436625
244.479375,212.856,209.41115,203.448875
244.6426,212.87985,209.434475,203.46275
244.72875,213.0287,209.444325,203.4735
244.901825,213.06395,209.455375,203.475125
245.28225,213.1023,209.4603,203.488725
245.89435,213.142375,209.473225,203.497025
246.4413,213.1967,209.61885,203.5176
246.60655,213.2448,209.63945,203.527925
246.69155,213.305225,209.65545,203.565825
247.005575,213.434875,209.667275,203.57585
247.07005,213.5614,209.678,203.57745
247.104975,213.61315,209.705025,203.584325
247.12065,213.664,209.744375,203.59195
247.735725,213.692,209.7639,203.626025
247.918875,213.7123,209.79095,203.655225
248.7617,213.821775,209.9434,203.6902
249.006275,213.831625,209.96715,203.7018
249.218725,213.9482,209.988125,203.719925
249.304025,214.055875,210.0001,203.730775
249.408125,214.17865,210.011075,203.744125
249.438425,214.2136,210.02245,203.75745
250.054175,214.2541,210.040575,203.7711
250.4301,214.334875,210.05375,203.8194
250.447525,214.3572,210.068375,203.847325
250.6403,214.3935,210.07495,203.96895
251.071475,214.4616,210.095325,204.0042
251.124725,214.597575,210.113925,204.028025
251.59265,214.653875,210.123675,204.04725
251.62655,214.732625,210.145125,204.06395
251.89705,214.886475,210.155825,204.0817
251.945625,214.939525,210.18615,204.107975
252.132125,214.9467,210.1969,204.1266
253.118625,214.967725,210.2104,204.15335
253.53165,215.029575,210.22555,204.2018
254.5835,215.063925,210.243425,204.2227
254.7262,215.106475,210.282375,204.2481
254.806325,215.180775,210.301925,204.2726
255.113525,215.3976,210.3227,204.305475
255.13225,215.636675,210.334675,204.320375
255.43935,215.6617,210.3613,204.367525
255.572775,215.681325,210.48185,204.3934
255.657675,215.87565,210.508275,204.46705
256.18865,215.9762,210.53155,204.481
256.379675,215.983625,210.55075,204.51555
256.7154,216.39115,210.573775,204.5531
256.773975,216.495525,210.58535,204.70165
256.899725,216.5138,210.62,204.73095
257.45665,216.548825,210.673225,204.77365
257.568725,216.952975,210.7145,204.830075
257.839025,216.99295,210.7279,204.848675
257.945775,217.00795,210.964275,204.87135
258.0118,217.216975,211.027025,204.91225
258.443575,217.2337,211.3455,204.94165
258.7049,217.263225,211.36875,205.0091
258.731725,217.3443,211.417,205.0471
259.066825,217.437075,211.443,205.08215
259.20225,217.58475,211.46485,205.12285
259.376425,217.642,211.48255,205.158025
259.418725,217.66745,211.503675,205.27755
259.480875,217.703375,211.5242,205.316725
259.568125,217.86545,211.539175,205.32895
259.61995,217.9396,211.5629,205.358425
259.7078,217.957925,211.820475,205.3719
259.7909,218.129775,211.858675,205.385425
260.064,218.150025,211.890275,205.398775
260.238425,218.4304,211.9966,205.41715
260.3828,218.44765,212.0296,205.439725
260.445925,218.48055,212.089175,205.594075
260.786575,218.552375,212.120325,205.628275
260.93965,218.786275,212.37945,205.6418
260.9752,218.80325,212.39305,205.6486
261.322925,218.83485,212.4218,205.650025
261.436575,218.920975,212.4529,205.665675
261.518825,219.012725,212.495725,205.67155
261.687625,219.0277,212.536625,205.685125
261.695,219.066625,212.5568,205.69325
261.89855,219.135425,212.58175,205.705925
262.1421,219.53095,212.786425,205.719525
262.6783,219.5899,212.802125,205.76605
263.014,219.5995,212.81225,205.81145
263.043375,219.844625,212.8353,205.848375
263.10175,219.8634,212.846875,205.903325
263.22975,219.8758,212.86775,205.9334
263.238175,219.89985,212.889025,205.97785
263.451125,219.946075,212.974175,205.990225
263.456325,220.1263,213.003875,205.998475
263.49675,220.1619,213.026525,206.0072
264.0597,220.21355,213.042775,206.030125
264.205525,220.250125,213.08875,206.03895
264.56275,220.260125,213.1202,206.047375
264.69475,220.3281,213.1393,206.056625
264.7846,220.585475,213.1645,206.0851
264.966525,220.621175,213.185275,206.117875
265.125475,220.679925,213.233925,206.12745
266.4485,220.6946,213.291325,206.13865
266.452375,220.720775,213.316275,206.14935
266.611375,220.87195,213.352,206.1561
266.917825,220.877625,213.3831,206.17395
267.046875,220.97535,213.40065,206.186375
267.068075,221.001875,213.417525,206.200725
267.3731,221.109725,213.4447,206.25015
267.5088,221.1178,213.479225,206.2571
267.781225,221.1616,213.544875,206.281275
268.177425,221.241675,213.569425,206.317425
268.878225,221.254575,213.604325,206.351375
269.318925,221.481275,213.630825,206.413375
269.506225,221.5098,213.676025,206.438975
269.7006,221.55765,213.732025,206.474025
269.792675,221.617225,213.751525,206.50865
269.839225,221.652775,213.800175,206.522975
270.529375,221.799025,213.837675,206.541025
270.736225,221.844225,213.867525,206.5585
270.927925,221.896475,213.8968,206.591475
271.280875,222.058975,213.952775,206.60665
271.291575,222.09025,214.03395,206.627375
272.00815,222.1484,214.230975,206.651525
272.16725,222.1562,214.388175,206.70385
272.343025,222.185275,214.412525,206.8231
272.423025,222.268,214.422775,206.85985
272.4362,222.380725,214.45385,206.89885
272.4786,222.50225,214.48535,206.918625
272.63485,222.588,214.49435,206.96915
272.8209,222.751875,214.502925,206.980475
273.017925,222.837075,214.520725,206.990325
273.27685,223.051575,214.539075,207.0009
274.024575,223.244675,214.54715,207.012075
274.036825,223.268325,214.57065,207.039275
274.10005,223.310075,214.618525,207.095675
274.2827,223.38705,214.7003,207.141875
274.28725,223.39585,214.722475,207.147075
274.383,223.451675,214.737475,207.162275
275.205225,223.49545,214.751975,207.178875
275.257425,223.570325,214.77675,207.1971
275.606075,223.71855,214.870175,207.20775
275.648475,223.81535,214.889275,207.2171
275.690875,223.838425,214.908325,207.228525
275.974575,223.9127,214.938925,207.259325
276.45585,223.949575,214.9821,207.361525
277.185475,224.075725,215.0275,207.3683
277.29675,224.12225,215.082425,207.381075
279.153125,224.151075,215.10615,207.387575
280.347875,224.19435,215.1728,207.39945
280.62545,224.261675,215.219425,207.412025
280.656175,224.294,215.269325,207.4264
280.684725,224.364125,215.36495,207.431275
280.729825,224.430875,215.3876,207.43855
281.089825,224.53655,215.469625,207.453
281.1142,224.553825,215.52685,207.470525
281.195875,224.616375,215.60365,207.492825
281.33525,224.6529,215.62985,207.593475
281.940225,224.6786,215.646675,207.70795
281.964775,224.68975,215.651075,207.7162
281.970675,224.735525,215.699675,207.724575
281.9737,224.791975,215.736225,207.73285
282.215375,224.821875,215.782825,207.73915
282.2692,224.938625,215.796575,207.750425
282.360425,224.97825,215.834875,207.76495
282.415175,225.085,215.855525,207.776975
282.5261,225.150525,215.8765,207.83135
282.547975,225.367025,215.89165,207.8436
282.762,225.466975,215.90835,207.863525
282.95005,225.550875,215.95835,207.869175
283.001875,225.627175,215.99695,207.876225
283.153925,225.631525,216.065025,207.90255
283.183525,225.6717,216.335175,207.9116
283.673025,225.78145,216.562675,207.9185
283.75905,225.8113,216.586725,207.925775
284.1553,225.842925,216.5978,207.9334
284.292675,225.8669,216.617675,207.9443
284.604075,226.221575,216.887275,207.9577
284.67015,226.2994,216.922425,207.9777
284.859675,226.35075,216.94575,208.0482
284.99295,226.38735,217.132925,208.10025
285.025,226.435675,217.188425,208.1111
285.1548,226.52125,217.24185,208.133875
285.162025,226.601725,217.702625,208.141825
285.376175,226.610275,217.967175,208.151775
285.45045,226.76195,217.991525,208.1608
285.8098,226.795675,218.1318,208.163775
285.86815,226.821475,218.17295,208.170125
286.02575,226.87315,218.284125,208.22985
286.09175,226.884425,218.35045,208.2434
286.7144,227.025425,218.461725,208.263825
286.953475,227.0685,218.542475,208.30145
287.1285,227.098175,218.882425,208.3273
287.294075,227.185575,218.902125,208.330175
287.352725,227.211975,218.944475,208.33735
287.626375,227.231575,218.968175,208.348375
287.6315,227.293975,218.995525,208.356475
287.687825,227.30645,219.0313,208.365075
288.29885,227.329625,219.1492,208.383375
289.030775,227.37295,219.179125,208.393175
289.1845,227.523175,219.225425,208.421525
289.47245,227.563975,219.49785,208.51745
289.567325,227.66,219.532475,208.60705
289.5933,227.703975,219.640175,208.669325
290.725125,227.712775,219.900875,208.69405
290.79825,227.765875,219.9513,208.708525
290.8082,227.799925,220.3245,208.725875
290.89125,227.86825,220.50715,208.746625
290.9722,228.0675,220.533325,208.7581
291.90805,228.09635,220.569625,208.76835
292.0645,228.10295,220.587325,208.7796
292.096925,228.216625,220.603425,208.8047
293.263225,228.471675,220.615575,208.821575
293.301825,228.53355,220.634825,208.847525
293.617475,228.617675,220.65165,208.8634
293.86645,228.6891,220.6631,208.876075
294.093425,228.72175,220.676125,208.915225
294.510025,228.833825,220.688075,208.9446
294.9296,228.996075,220.713725,208.95595
295.000675,229.023225,220.722525,208.96215
295.03885,229.028,220.73725,208.975325
295.155025,229.103325,220.76855,208.99465
295.205025,229.1203,220.80315,209.01475
295.772975,229.130775,220.8387,209.039775
296.17035,229.142275,220.859275,209.061175
296.367475,229.213125,220.869375,209.0774
296.410875,229.48465,220.881175,209.09055
296.476775,229.51215,220.898175,209.0923
296.929225,229.516825,220.910125,209.105375
297.58595,229.54545,221.11425,209.1221
297.63585,229.6149,221.12585,209.13765
297.650525,229.7407,221.144075,209.1532
297.697275,229.99395,221.194425,209.166425
297.76845,230.01965,221.204325,209.1857
298.2145,230.0275,221.208,209.21115
298.263725,230.0445,221.21235,209.23115
298.31875,230.0635,221.222175,209.256925
298.66955,230.087325,221.234525,209.28125
299.4459,230.1198,221.24465,209.36775
299.5368,230.221375,221.259225,209.38695
299.8361,230.264225,221.271475,209.40075
299.850225,230.297775,221.318325,209.4218
300.46885,230.4582,221.394325,209.4457
300.709225,230.4776,221.412575,209.4569
301.3454,230.743875,221.443325,209.466375
302.503775,230.789025,221.453075,209.469475
302.52635,230.808775,221.463825,209.47425
302.606175,230.829625,221.505025,209.488075
303.7493,230.870175,221.536325,209.521925
303.799875,230.9921,221.61235,209.563075
303.997125,231.0039,221.623875,209.64275
304.064625,231.035925,221.66595,209.664925
304.443,231.0413,221.741975,209.6743
304.475425,231.134875,221.7611,209.6823
304.80315,231.211425,221.7724,209.69805
304.83455,231.284,221.781675,209.7002
304.85475,231.302325,221.806525,209.707975
304.89465,231.316075,221.815775,209.716725
305.11175,231.36925,221.837275,209.73235
305.12595,231.494475,221.856475,209.753725
305.273725,231.66625,221.90595,209.783375
305.460925,231.714475,221.925175,209.832325
305.524425,231.746125,221.938,209.862775
305.612475,231.806825,221.9607,209.89675
305.660225,231.8619,221.9657,209.9071
305.7282,231.864325,221.97455,209.915875
306.931575,231.918075,222.002625,209.92175
307.04125,231.93705,222.0069,209.926275
307.28935,231.99435,222.031675,209.9364
307.3977,232.04745,222.04125,209.9444
307.47915,232.1379,222.06365,209.953275
307.49955,232.172625,222.079825,209.961175
307.675,232.240275,222.090925,209.97435
308.013575,232.27695,222.11525,209.98785
308.126225,232.3421,222.127875,209.999925
308.6844,232.44715,222.139975,210.0028
308.7862,232.471725,222.161975,210.019825
308.954925,232.544775,222.227625,210.03735
309.06425,232.573875,222.2468,210.0486
309.159075,232.656175,222.255825,210.075975
309.433925,232.7408,222.281425,210.0905
309.680125,232.9144,222.28975,210.1023
309.8246,232.9209,222.298775,210.13025
310.170375,232.977775,222.3091,210.145475
310.195475,233.01855,222.330825,210.16795
310.413425,233.055325,222.3612,210.177825
310.468,233.120075,222.37645,210.19025
310.578425,233.171525,222.4224,210.207
310.6132,233.323875,222.439,210.24275
310.817425,233.4251,222.4556,210.267225
310.824175,233.52435,222.498125,210.294675
311.0608,233.561675,222.52255,210.32075
311.476,233.56915,222.836775,210.346875
311.485125,233.64885,222.849975,210.377725
311.82885,233.656225,222.861825,210.429275
311.871175,233.68695,222.87145,210.55275
311.9979,233.714575,222.88,210.567675
312.09035,233.72995,222.8992,210.59485
312.2636,233.773275,222.909425,210.613325
312.3564,233.828425,222.917825,210.64
312.404925,234.041775,222.9286,210.667775
312.539575,234.08585,222.938075,210.782875
312.59095,234.109125,222.959275,210.864925
313.031675,234.1969,222.98075,210.93995
315.378575,234.3119,222.99505,210.968225
315.453225,234.48245,222.9996,210.97415
316.222325,234.513275,223.011025,210.9848
316.280175,234.612425,223.014925,211.0266
316.4752,234.84635,223.017475,211.1023
316.5672,234.92415,223.035225,211.2546
316.600375,234.99335,223.047525,211.272075
316.84385,235.0892,223.076925,211.31725
316.8721,235.104375,223.111275,211.3575
316.9586,235.161975,223.1224,211.3774
317.08145,235.2731,223.135925,211.41925
317.1579,235.374525,223.242325,211.436525
317.258375,235.44805,223.2535,211.450475
317.48495,235.494225,223.277075,211.4642
317.587375,235.59835,223.29025,211.47735
318.24535,235.7185,223.346,211.512625
318.45245,235.737575,223.37025,211.526125
318.46095,235.84065,223.40635,211.53455
318.5786,235.86555,223.4177,211.535925
318.609825,235.893925,223.439975,211.54465
318.656125,235.94065,223.46265,211.5516
318.668775,236.0862,223.471925,211.5614
318.76805,236.115025,223.48885,211.570125
319.19755,236.20845,223.50905,211.5856
319.211325,236.37695,223.51775,211.60145
319.289475,236.398975,223.559025,211.620275
319.42075,236.40735,223.57645,211.644075
319.7651,236.437125,223.59545,211.71025
320.032375,236.47615,223.612075,211.777325
320.501475,236.53215,223.6877,211.79495
321.1409,236.572425,223.724475,211.817525
322.135525,236.58125,223.783675,211.8359
322.186825,236.620325,223.822325,211.852875
322.383025,236.730525,223.8373,211.8762
322.5323,236.765575,223.85315,211.893725
322.601925,236.772375,224.088725,211.917925
322.69815,236.923925,224.10665,211.92965
322.88035,236.979425,224.120975,211.948
323.095075,237.278375,224.13405,211.96645
323.4527,237.2968,224.14345,211.995675
323.526,237.314925,224.157425,212.01345
323.561025,237.349225,224.1611,212.03515
323.6758,237.371925,224.166025,212.057775
323.73605,237.68275,224.1894,212.087775
323.87505,237.689325,224.21905,212.106475
323.98655,237.718225,224.30005,212.194175
324.058025,237.8014,224.3485,212.25555
324.0886,237.827125,224.3633,212.30085
324.17845,237.879025,224.374425,212.321825
324.22775,237.9139,224.403275,212.471575
324.5007,237.945225,224.557575,212.523575
324.616975,238.171025,224.56795,212.5454
