SPK_SPKC10a (exc),SPK_SPKC10b (exc),SPK_SPKC11a (inhi),SPK_SPKC13a (exc),SPK_SPKC14b (inhi)
261.839675,255.052325,251.989575,254.43175,252.1182
261.91085,255.081625,251.99595,254.455325,252.133775
262.015425,255.108325,251.998075,254.480775,252.1523
262.2176,255.137275,252.00405,254.494975,252.1681
262.281525,255.156025,252.008925,254.524475,252.177875
262.373925,255.22105,252.0748,254.5441,252.1912
262.40185,255.2535,252.08945,254.5689,252.21025
262.472225,255.3885,252.107925,254.586825,252.220025
262.509975,255.443175,252.14165,254.634425,252.239225
262.53185,255.4993,252.1623,254.64635,252.253225
262.562325,255.52005,252.192475,254.669125,252.27235
262.6024,255.522525,252.2433,254.7482,252.332725
262.652075,255.53835,252.282925,254.806,252.43085
263.016475,255.6571,252.3121,254.8455,252.471375
263.025425,255.706725,252.34985,254.886525,252.4824
263.049025,255.760875,252.4171,254.934125,252.50725
263.0655,255.814,252.451175,254.9818,252.514775
263.104725,255.863375,252.462925,255.003225,252.523425
263.145625,255.891625,252.469325,255.023,252.5327
263.197125,255.939225,252.48825,255.0464,252.5454
263.206525,255.9905,252.505125,255.068725,252.55905
263.426625,256.15045,252.510775,255.098075,252.574475
263.65275,256.198375,252.51715,255.12485,252.6017
263.72165,256.21565,252.55605,255.14365,252.6399
263.744575,256.2375,252.689525,255.163925,252.672725
263.781575,256.256125,252.71595,255.189525,252.693125
263.896225,256.28215,252.744125,255.21215,252.70955
263.94105,256.327875,252.77525,255.241275,252.7326
263.958275,256.5627,252.883825,255.261375,252.7442
264.002775,256.58015,252.966275,255.344325,252.77445
264.060025,256.5912,252.983175,255.4067,252.87975
264.1381,256.6023,253.012475,255.45895,252.94145
264.2062,256.62605,253.04475,255.5144,252.9912
264.3731,256.68395,253.0623,255.5227,253.0136
264.4349,256.713825,253.070275,255.572275,253.02505
264.6769,256.72315,253.127925,255.597975,253.041925
264.717675,256.77585,253.15215,255.619075,253.0577
264.77925,256.802525,253.19735,255.6678,253.0947
264.942175,256.867375,253.232225,255.693275,253.145
264.9575,257.0149,253.250025,255.78275,253.1836
264.99,257.0318,253.264275,255.802675,253.2138
265.112925,257.0474,253.296275,255.833325,253.240225
265.16395,257.057825,253.3204,255.906525,253.26165
265.218975,257.071775,253.355575,255.941275,253.278825
265.293625,257.08625,253.35785,256.019225,253.36035
265.524925,257.127275,253.38235,256.05895,253.3939
265.650575,257.162225,253.40015,256.115325,253.4061
265.73245,257.19425,253.413425,256.1393,253.424075
265.908925,257.243975,253.445425,256.16585,253.4468
265.9482,257.44715,253.459525,256.1904,253.45905
265.987925,257.469525,253.475225,256.203925,253.4765
266.26605,257.4885,253.499525,256.23645,253.50225
266.358575,257.501725,253.519875,256.2709,253.52045
266.513525,257.5108,253.550225,256.313025,253.53415
266.629925,257.54915,253.558775,256.368525,253.55065
266.734875,257.579,253.6249,256.424025,253.572275
266.82275,257.619275,253.648325,256.4814,253.586375
267.106425,257.685875,253.6584,256.55335,253.61155
267.1748,257.727175,253.66795,256.58265,253.6284
267.2229,257.74375,253.67555,256.598375,253.645475
267.263575,257.778725,253.68385,256.6222,253.653425
267.4512,257.829275,253.6916,256.65555,253.660575
267.665225,257.8567,253.6957,256.6759,253.669475
267.7966,257.894425,253.706225,256.70705,253.67755
267.856875,258.0061,253.724725,256.72835,253.6858
268.035975,258.08605,253.73455,256.743275,253.69215
268.12845,258.150075,253.742975,256.77775,253.696875
268.214525,258.179225,253.7487,256.8145,253.702575
268.244175,258.223075,253.753825,256.8732,253.707925
268.335275,258.2558,253.7696,256.94795,253.71205
268.46615,258.26875,253.7809,256.99055,253.7182
268.50865,258.285575,253.792775,257.0395,253.72345
268.66195,258.320225,253.805225,257.087975,253.733575
268.78625,258.351375,253.8198,257.1103,253.7399
269.3682,258.37915,253.828175,257.127175,253.74495
269.4529,258.402075,253.8385,257.142675,253.74985
269.53765,258.426025,253.85505,257.165525,253.755975
269.77195,258.47105,253.872475,257.2229,253.7613
269.829575,258.5075,253.88245,257.262775,253.7678
270.133475,258.569,253.8926,257.321725,253.774125
270.1668,258.738025,253.908975,257.369475,253.79465
270.1778,258.772725,253.921225,257.450625,253.807675
270.2235,258.7918,253.9525,257.53985,253.8151
270.6196,258.806475,254.0658,257.58115,253.84865
270.639625,258.836,254.159725,257.605325,253.858275
270.65555,258.8584,254.200725,257.625625,253.877825
270.672375,258.887675,254.3296,257.64375,253.8889
270.69695,258.909775,254.3531,257.661775,253.903525
270.754875,258.912425,254.361475,257.690725,253.915175
271.011675,258.944975,254.374125,257.700975,253.92805
271.245725,258.9783,254.3909,257.71555,253.943
271.286275,259.01935,254.398525,257.742,253.95785
271.306725,259.078725,254.405975,257.75625,253.977225
271.33625,259.081025,254.4136,257.786475,254.003475
271.365275,259.1241,254.418225,257.8204,254.047425
271.492875,259.180575,254.421625,257.850825,254.074175
271.554575,259.215975,254.426175,257.9268,254.1025
271.589025,259.255275,254.4341,257.9863,254.151875
271.6489,259.26995,254.43735,258.056475,254.1935
271.797275,259.328775,254.441,258.109625,254.291425
271.9085,259.40395,254.4469,258.121325,254.320725
271.9255,259.4572,254.450225,258.1303,254.334025
272.037075,259.50275,254.453975,258.1465,254.345575
272.13765,259.536575,254.46235,258.16695,254.36045
272.15815,259.56395,254.465975,258.18695,254.370975
272.19555,259.582175,254.4707,258.207025,254.383825
272.2825,259.61225,254.47995,258.223775,254.394275
272.4677,259.6337,254.488775,258.244325,254.403375
272.482725,259.6531,254.495125,258.26375,254.4121
272.5233,259.659275,254.4997,258.29285,254.418675
272.618875,259.68545,254.50495,258.328425,254.4245
272.731675,259.7461,254.51445,258.362325,254.430275
272.832175,259.77625,254.52025,258.38215,254.434375
272.869025,259.79335,254.5232,258.4181,254.439875
273.145775,259.818125,254.5284,258.452425,254.447575
273.329275,259.84515,254.53445,258.47895,254.453175
273.36205,259.8635,254.538725,258.5243,254.45945
273.4278,259.89185,254.54815,258.58215,254.465125
273.72075,259.9388,254.552725,258.645075,254.4705
273.73935,259.965575,254.560475,258.7176,254.4764
273.779625,259.988275,254.579025,258.7626,254.482275
273.824025,260.0312,254.58865,258.844975,254.488175
273.86055,260.051425,254.60755,258.85445,254.492675
273.949625,260.076075,254.62075,258.8699,254.498175
274.016375,260.09155,254.636725,258.894125,254.5025
274.2138,260.134925,254.6517,258.918475,254.507975
274.23645,260.158675,254.659525,258.942025,254.514275
274.284125,260.173375,254.67175,258.9744,254.53335
274.309,260.187525,254.67925,259.0167,254.53915
274.330375,260.2741,254.690725,259.089525,254.55075
274.36265,260.39255,254.705725,259.12575,254.55645
274.592825,260.40975,254.721325,259.1546,254.56285
274.620875,260.440125,254.77325,259.18035,254.580475
274.702475,260.4788,254.814375,259.200375,254.5992
274.801225,260.5084,254.859875,259.292425,254.61955
275.107875,260.59145,254.9099,259.388175,254.643575
275.24665,260.66975,254.951275,259.440325,254.663
275.297925,260.7295,254.985175,259.47675,254.69145
275.348475,260.756225,255.002375,259.496525,254.707925
275.548575,260.784925,255.02625,259.512875,254.729875
275.582725,260.79735,255.039725,259.53945,254.77645
275.65595,260.808575,255.05135,259.555525,254.8412
275.663775,260.81625,255.05955,259.583175,254.8733
275.732825,260.8368,255.069325,259.620425,254.89535
275.8761,260.85815,255.076775,259.6847,254.91075
275.9598,260.87405,255.083175,259.724925,254.9329
276.027975,260.913725,255.094875,259.755625,254.952925
276.075075,260.948475,255.10335,259.779425,254.972675
276.139125,260.95385,255.11675,259.80245,254.9889
276.2048,260.983325,255.132275,259.8461,255.005475
276.271375,261.06745,255.143125,259.909275,255.025325
276.317175,261.196825,255.15435,259.94575,255.040875
276.358725,261.22845,255.1689,260.0393,255.048925
276.420675,261.240725,255.18135,260.081825,255.06225
276.4913,261.2644,255.1945,260.108875,255.077175
276.648075,261.276025,255.20325,260.13325,255.091875
276.752925,261.307825,255.220025,260.1511,255.103675
276.864775,261.3412,255.2453,260.1698,255.119725
276.91165,261.360475,255.26345,260.186225,255.13835
276.9866,261.399625,255.29245,260.314275,255.148725
277.030825,261.420925,255.335875,260.399475,255.1594
277.06505,261.428525,255.38905,260.423075,255.172825
277.240475,261.457625,255.4654,260.43715,255.18585
277.304125,261.500725,255.50505,260.450975,255.2007
277.6295,261.5482,255.5419,260.473925,255.2205
277.68075,261.663775,255.557425,260.50945,255.2564
277.837,261.7728,255.57025,260.537,255.285175
278.157375,261.79095,255.580025,260.594575,255.345975
278.227675,261.808475,255.5932,260.62075,255.46475
278.266625,261.81925,255.60395,260.7005,255.504025
278.2997,261.841,255.6155,260.74465,255.519775
278.36805,261.86145,255.62445,260.76785,255.536125
278.5436,261.90845,255.6365,260.78195,255.543875
278.5592,261.944575,255.656225,260.792675,255.555625
278.61685,262.044075,255.665025,260.8052,255.565775
278.670375,262.091275,255.67525,260.8281,255.5765
278.77645,262.165025,255.692425,260.844225,255.5858
278.94555,262.309525,255.707825,260.8596,255.59445
279.076975,262.39565,255.722625,260.892525,255.614025
279.2253,262.417575,255.736225,260.92325,255.6278
279.2553,262.432,255.75425,260.941425,255.64105
279.261725,262.435375,255.764475,260.968925,255.662125
279.272225,262.446675,255.773475,260.9992,255.689775
279.31565,262.46555,255.786575,261.05865,255.735625
279.46505,262.478775,255.795825,261.1074,255.7541
279.6097,262.480225,255.81045,261.179925,255.76995
279.66245,262.493675,255.849175,261.247875,255.786
279.703525,262.5368,255.8883,261.28335,255.806275
279.751575,262.557075,255.920475,261.314175,255.82235
279.7989,262.57605,255.971575,261.3508,255.850025
279.867275,262.65825,255.999275,261.384975,255.87295
280.0671,262.8084,256.044625,261.410625,255.8957
280.075775,262.882175,256.047175,261.43245,255.920825
280.16955,262.90325,256.1277,261.45775,255.9605
280.26165,262.931225,256.138525,261.47805,256.028
280.395525,262.947375,256.158425,261.538,256.088375
280.45015,262.963125,256.179,261.609675,256.121275
280.506225,262.976625,256.1916,261.703975,256.144
280.598825,263.038725,256.199775,261.76885,256.1597
280.637725,263.103325,256.218525,261.778925,256.188475
280.645925,263.127625,256.24495,261.7921,256.199
280.681175,263.12965,256.27025,261.804875,256.211425
281.0119,263.1555,256.284625,261.827175,256.227375
281.072375,263.178675,256.29775,261.839375,256.2512
281.422475,263.2295,256.3279,261.8587,256.267575
281.481275,263.253,256.344425,261.900975,256.28675
281.52425,263.271325,256.3788,261.936225,256.375375
281.68625,263.296375,256.478075,262.00215,256.49045
281.6991,263.314525,256.606875,262.030275,256.53135
281.710225,263.326725,256.6261,262.05295,256.5588
281.7686,263.3474,256.644575,262.07235,256.5655
281.810675,263.37335,256.653,262.107575,256.57495
281.9546,263.387975,256.662625,262.129225,256.6012
282.087125,263.416775,256.671175,262.15525,256.616325
282.194625,263.435775,256.687225,262.20605,256.644225
282.23025,263.471625,256.6922,262.2485,256.655825
282.3955,263.482925,256.70035,262.3226,256.665525
282.485575,263.4856,256.7083,262.38115,256.677175
282.499825,263.591525,256.7185,262.397225,256.688175
282.63785,263.6361,256.7369,262.418625,256.701225
282.7968,263.648725,256.767675,262.43325,256.713025
282.8465,263.691325,256.79125,262.442075,256.73575
282.85095,263.693525,256.8213,262.4841,256.748825
282.911875,263.70065,256.90435,262.5074,256.761125
282.93245,263.7094,257.0186,262.590125,256.81105
282.959475,263.723,257.0668,262.6752,256.847825
282.9793,263.735125,257.070775,262.741875,256.919475
283.251425,263.747675,257.081875,262.807325,256.959475
283.405625,263.83665,257.089625,262.886825,256.995225
283.420425,263.890225,257.103875,262.94045,257.021925
283.445725,263.9109,257.1093,262.9711,257.04475
283.460075,263.921425,257.116975,262.98585,257.06535
283.644625,263.9248,257.1269,262.9945,257.071925
283.820775,263.935425,257.13425,263.02925,257.076525
283.84355,263.9499,257.142925,263.053,257.08705
284.062075,263.96395,257.15855,263.0844,257.113125
284.248,263.996875,257.1912,263.1087,257.12115
284.275,264.01765,257.336225,263.128225,257.132525
284.30755,264.1027,257.479425,263.140175,257.141575
284.431675,264.1603,257.5203,263.154225,257.156925
284.48145,264.1817,257.53255,263.17415,257.1736
284.54325,264.221125,257.55045,263.1998,257.204275
284.66355,264.230275,257.567875,263.2123,257.245875
284.714525,264.237875,257.5725,263.249525,257.2935
284.741325,264.24565,257.5825,263.266875,257.352475
284.8333,264.25875,257.587875,263.295,257.4153
284.9643,264.2707,257.594625,263.334825,257.456
285.110525,264.28475,257.60075,263.3796,257.548075
285.199975,264.354775,257.607575,263.419575,257.56495
285.2509,264.408025,257.617375,263.45375,257.573925
285.52755,264.481325,257.6291,263.50725,257.582175
285.613025,264.566525,257.6342,263.546025,257.59295
285.74075,264.61195,257.638775,263.61185,257.6059
285.844725,264.684525,257.643725,263.6456,257.61645
285.90925,264.718725,257.647725,263.654975,257.625075
285.9236,264.766075,257.651475,263.670825,257.633925
285.945175,264.833,257.667475,263.682575,257.640875
286.011325,264.861025,257.673375,263.702575,257.648175
286.100725,264.89725,257.682525,263.714625,257.65315
286.161825,264.946175,257.6881,263.73555,257.658725
286.408525,264.9634,257.700125,263.7493,257.6644
286.502325,264.97485,257.70935,263.772175,257.67235
286.56835,264.987825,257.718375,263.801075,257.684025
286.627675,265.0085,257.73475,263.820775,257.689575
286.7466,265.0589,257.74795,263.856425,257.6954
286.83725,265.08105,257.758975,263.892075,257.701875
286.86315,265.1021,257.776325,263.910075,257.715775
287.015825,265.126825,257.78265,263.964775,257.720625
287.195125,265.149475,257.799575,264.064275,257.72905
287.2119,265.18375,257.817475,264.1347,257.736975
287.2306,265.2027,257.8469,264.165975,257.753975
287.2687,265.227725,257.874075,264.1738,257.760975
287.442025,265.243325,257.903725,264.225425,257.775675
287.47185,265.2849,257.94085,264.247025,257.781575
287.8194,265.32235,258.073975,264.258375,257.790125
287.863475,265.354475,258.0951,264.304,257.8041
287.942975,265.430375,258.1152,264.321525,257.816325
287.987125,265.451275,258.12785,264.3859,257.841775
288.335025,265.508425,258.139475,264.46155,257.86335
