SPK_SPKC01c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a
541.287275,543.550375,547.993925,542.178675,543.181825
541.3067,543.573325,548.04335,542.182075,543.225475
541.329825,543.59605,548.116725,542.19125,543.238475
541.34585,543.613075,548.357525,542.194225,543.25155
541.367025,543.63225,548.428575,542.201775,543.31725
541.3956,543.651475,548.45105,542.23695,543.333875
541.405925,543.670625,548.472825,542.241225,543.365225
541.417075,543.75365,548.569725,542.250975,543.40265
541.421475,543.783425,548.645975,542.25805,543.424175
541.42775,543.793625,548.8538,542.272675,543.435325
541.432675,543.817825,548.882625,542.2793,543.451
541.4366,543.901225,548.97615,542.2848,543.471225
541.440375,543.92225,549.015075,542.309475,543.50935
541.44505,543.951575,549.069325,542.310775,543.529175
541.447675,543.96985,549.0785,542.340125,543.547725
541.45045,544.054025,549.11525,542.350125,543.558625
541.4531,544.1161,549.126975,542.370775,543.582525
541.4561,544.153775,549.13275,542.3792,543.603275
541.460275,544.1667,549.162975,542.391225,543.623925
541.4653,544.202075,549.192725,542.42645,543.648625
541.469275,544.226725,549.222225,542.4583,543.6651
541.472375,544.2518,549.2617,542.485925,543.692425
541.510525,544.28055,549.3294,542.521275,543.7115
541.52835,544.30265,549.3672,542.5402,543.73395
541.542075,544.390775,549.436025,542.573675,543.749975
541.555175,544.409725,549.46995,542.589475,543.79275
541.5602,544.420525,549.49675,542.600975,543.801125
541.566625,544.433825,549.500775,542.60615,543.820625
541.5851,544.451875,549.5108,542.6151,543.84115
541.606025,544.4785,549.536,542.6225,543.88575
541.617325,544.561225,549.548425,542.629475,543.912575
541.655025,544.58375,549.553075,542.64175,543.933075
541.671175,544.599875,549.565425,542.647,543.95395
541.694075,544.613275,549.648275,542.66435,543.971725
541.7198,544.658575,549.66895,542.6938,544.000375
541.745225,544.691525,549.71035,542.7395,544.023425
541.777225,544.7168,549.763025,542.761575,544.0952
541.790375,544.7808,549.80525,542.7804,544.10915
541.79885,544.798575,549.87395,542.8025,544.12355
541.806125,544.82055,549.900625,542.81485,544.173075
541.819925,544.8341,549.974025,542.81885,544.189775
541.828875,544.854425,549.97545,542.82225,544.202325
541.83985,544.89655,549.9786,542.85205,544.221175
541.853475,544.9577,549.981025,542.896975,544.2404
541.8697,544.971125,550.000925,542.901275,544.2676
541.88695,544.980425,550.00865,542.918125,544.284475
541.904225,544.99175,550.029525,542.925675,544.33735
541.922425,545.02565,550.21615,542.937025,544.38765
541.938525,545.039275,550.22845,542.948575,544.3946
541.95345,545.060275,550.23575,542.95115,544.405
541.968,545.089275,550.292825,542.966125,544.422425
541.98295,545.14345,550.35775,543.018375,544.46325
541.999325,545.200975,550.437575,543.055225,544.47735
542.021475,545.223975,550.63485,543.1008,544.501625
542.036425,545.23495,550.639125,543.13555,544.5551
542.05485,545.26305,550.6515,543.159175,544.570975
542.07845,545.273675,550.705725,543.183875,544.599425
542.113675,545.3457,550.761425,543.2138,544.62865
542.1315,545.35665,550.826375,543.248625,544.66525
542.14435,545.370525,550.92145,543.27275,544.683725
542.150175,545.379825,551.047425,543.29235,544.71125
542.15815,545.40405,551.0608,543.294275,544.7337
542.160675,545.414325,551.068425,543.33905,544.751225
542.166475,545.496875,551.08745,543.377275,544.76385
542.1777,545.5195,551.09165,543.399175,544.784475
542.181125,545.533325,551.15085,543.415725,544.807225
542.18385,545.547425,551.203875,543.4291,544.82485
542.193925,545.5894,551.311775,543.45025,544.84765
542.1968,545.636225,551.344225,543.480275,544.8673
542.199125,545.657075,551.46305,543.498425,544.88675
542.201325,545.671575,551.47275,543.545225,544.9033
542.20375,545.6909,551.50355,543.565575,544.919825
542.206275,545.74035,551.515875,543.579175,544.962875
542.209825,545.7555,551.7017,543.597275,544.97195
542.212275,545.7712,551.72905,543.619075,544.98375
542.220775,545.79155,551.926325,543.6362,544.9896
542.227175,545.8051,552.05725,543.659025,545.00435
542.232075,545.825575,552.124175,543.67825,545.0156
542.23665,545.862525,552.154375,543.69305,545.054725
542.246325,545.9042,552.172025,543.708325,545.062
542.249875,545.92705,552.280975,543.731375,545.07555
542.25275,545.938475,552.3032,543.745825,545.0942
542.258475,545.945325,552.4966,543.755725,545.135525
542.261225,545.986075,552.622475,543.78095,545.156475
542.267325,546.0143,552.6572,543.802125,545.19945
542.278175,546.0304,552.783725,543.808525,545.2156
542.2937,546.035925,552.8165,543.82195,545.238075
542.29945,546.0499,552.83955,543.86805,545.272225
542.30375,546.0563,552.974475,543.89335,545.289675
542.30725,546.064675,552.998475,543.912275,545.309875
542.312425,546.116175,553.355625,543.943125,545.319275
542.31855,546.151125,553.37715,543.96125,545.327225
542.3223,546.1682,553.42905,543.990775,545.33675
542.32575,546.199825,553.706725,544.01255,545.357025
542.3377,546.21655,553.76005,544.049,545.3768
542.347275,546.231575,553.765925,544.067925,545.405775
542.349975,546.25445,553.772725,544.08565,545.464125
542.35345,546.272225,553.962175,544.099,545.476625
542.3572,546.29615,554.119225,544.1132,545.490125
542.36035,546.333625,554.251625,544.134675,545.519
542.3683,546.407225,554.28435,544.151525,545.532525
542.372025,546.4224,554.390925,544.1713,545.547025
542.375525,546.502275,554.506075,544.17875,545.57105
542.378825,546.52805,554.550125,544.19765,545.5918
542.3824,546.542825,554.702825,544.215275,545.62405
542.395575,546.566175,554.78635,544.24525,545.6457
542.4016,546.5839,554.84115,544.27735,545.6818
542.408525,546.597625,554.8851,544.2941,545.70635
542.41775,546.631175,554.994675,544.31585,545.72415
542.4288,546.6411,555.018125,544.335275,545.727525
542.4441,546.717275,555.0855,544.354325,545.73295
542.4634,546.743075,555.09705,544.372075,545.7563
542.474575,546.76645,555.23585,544.38145,545.77645
542.48615,546.795875,555.25785,544.410275,545.79675
542.496975,546.81845,555.3795,544.423,545.81315
542.5086,546.888175,555.38945,544.445375,545.8357
542.52345,546.9484,555.6306,544.47255,545.86155
542.542525,546.9696,555.645325,544.50785,545.925
542.559875,547.0564,555.6656,544.5134,545.949775
542.57345,547.07855,555.689875,544.5187,545.95985
542.587625,547.13715,555.72105,544.529125,545.9683
542.594925,547.154875,555.791,544.537975,545.976325
542.60275,547.17595,555.89985,544.586875,546.01705
542.616625,547.194125,555.924125,544.60325,546.04915
542.632,547.20995,556.03455,544.6125,546.1021
542.643775,547.2826,556.129225,544.623075,546.118075
542.658125,547.3073,556.135425,544.6355,546.14595
542.671075,547.35965,556.153375,544.643075,546.161375
542.68295,547.437825,556.162475,544.6749,546.1891
