SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
31.296525,66.085,4.356275,5.002275,7.688075
31.609675,66.301775,4.42565,5.019725,7.7007
31.638875,66.377375,4.5175,5.0794,7.716325
31.660275,66.650675,4.559325,5.120575,7.7402
31.7525,66.7555,4.6012,5.138625,7.763525
32.235175,66.9222,4.624575,5.210125,7.78635
32.516475,67.27025,4.637575,5.244075,7.8056
32.722975,67.3263,4.69555,5.27305,7.819675
32.7921,68.089525,4.70235,5.318975,7.85005
32.812325,69.827225,4.72485,5.404125,7.88845
32.93015,69.868025,4.7654,5.4629,7.899075
33.12415,70.88545,4.784575,5.47615,7.928025
33.449925,71.781875,4.812675,5.491375,7.9322
34.0089,71.8142,4.821675,5.519425,7.94915
34.47135,71.917025,4.847975,5.535425,7.98145
34.513075,72.254175,4.854575,5.564575,8.042475
34.51445,72.395275,4.868575,5.600675,8.146225
34.61905,72.429725,4.916975,5.651675,8.199475
34.90015,72.64115,4.955525,5.706675,8.2178
34.974175,72.87235,4.993625,5.7456,8.230675
35.02405,72.9086,5.0267,5.807025,8.332625
35.101725,73.2493,5.054425,5.863775,8.351325
35.311625,74.259175,5.133375,5.8902,8.3668
35.432475,74.446025,5.1434,5.969825,8.385475
35.4483,74.550025,5.18175,5.999275,8.422
35.50475,75.1822,5.23445,6.0164,8.4243
35.5719,75.406625,5.262875,6.0437,8.4554
35.5784,75.549175,5.394475,6.094225,8.549675
35.830325,75.62065,5.4358,6.181775,8.5606
35.894,75.681525,5.465925,6.198375,8.569075
36.0738,76.469175,5.512775,6.203475,8.593675
36.3061,77.9723,5.521475,6.238425,8.609025
36.430075,78.1266,5.52915,6.274075,8.64345
36.503325,79.145725,5.5477,6.295525,8.6626
36.5481,79.1657,5.567075,6.306025,8.70505
36.70595,79.48085,5.653975,6.33105,8.8083
36.8149,79.517025,5.697725,6.369025,8.8793
37.1667,80.0358,5.730275,6.407225,8.88685
37.202775,80.852375,5.764425,6.44085,8.8965
37.2889,82.236025,5.81855,6.52155,8.951975
37.3479,82.6342,5.865425,6.53605,8.970775
37.51195,83.194,5.903975,6.628775,8.9832
37.610525,83.281,6.01665,6.65015,9.00105
37.72415,83.284025,6.1088,6.668825,9.0395
37.92605,83.6856,6.140475,6.71715,9.051825
38.112475,84.038575,6.19785,6.766725,9.06265
38.825925,84.04675,6.215575,6.813225,9.1559
38.95875,84.307775,6.268325,6.8373,9.21025
39.0301,84.44585,6.2921,6.88845,9.2459
39.169825,84.465025,6.319825,6.923475,9.30625
39.797825,84.517725,6.352775,6.984775,9.32385
39.89475,85.4952,6.3589,7.0226,9.358
40.3427,85.848475,6.426725,7.111525,9.409875
40.469225,86.10125,6.458625,7.136075,9.429875
40.51705,86.482975,6.481425,7.158075,9.503875
41.62625,86.855525,6.525175,7.184875,9.57
41.7402,87.6906,6.5586,7.244525,9.603675
41.803425,87.9394,6.6008,7.269325,9.625925
41.8939,87.9926,6.62985,7.316,9.722025
41.922225,88.4164,6.669225,7.4015,9.72885
42.00845,88.637175,6.777875,7.4459,9.7522
42.3545,89.12435,6.8108,7.520725,9.76515
42.5142,89.623275,6.843225,7.70545,9.78155
42.598275,89.628975,6.91425,7.718425,9.838
42.891575,89.858575,6.94325,7.736575,9.887975
43.56905,90.85455,6.9796,7.746225,9.956425
43.666575,91.37505,7.040725,7.761925,9.9773
43.754,92.1065,7.1028,7.8076,10.102325
44.0076,92.547,7.17765,7.8598,10.12055
44.69465,94.93065,7.2163,7.951575,10.1363
44.8885,95.338375,7.265375,7.9969,10.16165
45.19425,95.8551,7.269425,8.1712,10.1998
45.227125,96.0037,7.308075,8.185925,10.2292
45.9106,96.108175,7.3275,8.230525,10.243375
46.2407,96.39365,7.333,8.2565,10.2863
46.250375,96.41395,7.37005,8.2695,10.383725
46.309875,97.032325,7.45015,8.32405,10.4026
46.354425,97.601725,7.480675,8.3381,10.415075
46.44035,98.0584,7.5238,8.364825,10.425825
46.4537,98.079175,7.650875,8.38165,10.454575
46.4985,98.21195,7.69955,8.394325,10.527225
46.792075,98.419125,7.72225,8.417,10.54045
46.8634,99.065,7.741075,8.442325,10.578175
47.021075,99.4366,7.7494,8.469575,10.765775
47.088025,100.027075,7.7586,8.53385,10.854575
47.120625,100.31975,7.769925,8.554025,10.8732
47.19065,100.5864,7.789325,8.5786,10.91995
47.47755,100.9004,7.796525,8.598125,10.991375
48.0411,100.9883,7.8214,8.62265,11.055075
48.438675,101.6357,7.8414,8.659,11.184575
48.76545,102.3773,7.843675,8.721325,11.2204
49.0816,102.482625,7.8861,8.780775,11.23255
49.458175,102.724,7.896875,8.806825,11.278075
49.833525,102.9424,7.947625,8.828925,11.451525
50.192,103.2475,8.024375,8.88665,11.50625
50.22095,103.842875,8.0733,8.9151,11.563975
50.3635,104.348275,8.14065,8.95235,11.59205
50.5569,105.0335,8.148,9.03275,11.725225
50.784675,105.18875,8.18915,9.066075,11.73785
50.830525,105.274725,8.21435,9.09605,11.877525
50.85555,106.338625,8.22065,9.121125,11.947275
50.9239,108.4789,8.241775,9.165575,11.97105
51.08455,109.1872,8.26465,9.1868,12.0097
51.7683,110.32895,8.2854,9.206425,12.0444
51.8087,111.47615,8.2938,9.23645,12.08035
51.852075,111.510225,8.309975,9.2863,12.23995
51.88975,111.5747,8.353425,9.302175,12.311125
52.6564,111.6803,8.3862,9.32025,12.327125
52.852975,112.3018,8.4121,9.36515,12.3771
53.498725,113.031675,8.432175,9.39935,12.41205
53.794625,113.042525,8.453975,9.45265,12.4937
53.79905,113.279725,8.504125,9.5254,12.555675
53.974025,113.2963,8.51975,9.57545,12.581325
54.032475,114.63705,8.524875,9.597075,12.611475
54.314925,114.77545,8.557225,9.640675,12.6794
54.44105,114.777275,8.571125,9.655225,12.702825
54.5845,115.131975,8.605,9.6813,12.74045
54.9401,116.2128,8.642425,9.744475,12.75515
55.17925,116.40145,8.652975,9.766825,12.804
55.209625,116.478775,8.71395,9.7862,12.86365
55.798025,117.334,8.718825,9.806825,12.88115
56.14905,117.75135,8.7353,9.8483,12.94685
56.515425,117.849025,8.7396,9.8745,12.973675
56.55635,118.095,8.820575,9.898625,13.080575
56.728875,118.1952,8.84865,9.937775,13.1194
56.96305,118.522725,8.865175,9.97715,13.14
57.15645,118.673775,8.8804,10.020375,13.157075
57.320375,119.082525,8.92605,10.0838,13.21485
57.361825,119.463275,8.947,10.09815,13.265875
57.678675,119.4904,8.98645,10.122925,13.363975
57.74405,119.524175,9.0249,10.152275,13.3945
57.780425,119.611675,9.06325,10.162675,13.4116
57.83055,119.75865,9.07755,10.191925,13.431825
58.1344,119.82755,9.118625,10.210525,13.461125
