SPK_SPKC03a (late inhi),SPK_SPKC11a (inhi)
345.153875,351.4504
345.171,351.4974
345.1925,351.524725
345.2145,351.567875
345.233575,351.601225
345.25475,351.6028
345.28195,351.617325
345.3019,351.66435
345.336325,351.67415
345.346775,351.71955
345.37855,351.734875
345.400625,351.827
345.417425,351.848375
345.4342,351.910675
345.452675,351.943175
345.472575,351.982
345.48765,352.008625
345.5167,352.035725
345.535525,352.0735
345.5654,352.140175
345.58345,352.186475
345.608775,352.289825
345.6183,352.313625
345.634175,352.36555
345.649775,352.3831
345.6708,352.4096
345.687775,352.424425
345.720975,352.437475
345.74595,352.465075
345.776675,352.514525
345.801175,352.570825
345.820225,352.592475
345.831375,352.631
345.853225,352.650325
345.88175,352.6614
345.901575,352.6967
345.917325,352.70215
345.9319,352.762225
345.949,352.78595
345.961,352.81405
345.97795,352.869925
346.00985,352.896725
346.027175,352.9291
346.0462,352.94025
346.0661,353.055125
346.0815,353.079625
346.1033,353.1156
346.115275,353.13235
346.127425,353.1595
346.142025,353.17625
346.153775,353.195575
346.207325,353.2218
346.22055,353.234125
346.267475,353.299925
346.2844,353.352425
346.30115,353.36335
346.32735,353.38905
346.3596,353.41845
346.37565,353.4701
346.38705,353.51875
346.394675,353.58055
346.41125,353.618525
346.4231,353.6287
346.433575,353.661675
346.44585,353.688025
346.467175,353.718475
346.4784,353.760375
346.501,353.9257
346.527525,353.95165
346.542675,353.969825
346.55375,353.99105
346.562725,354.015075
346.59705,354.0502
346.632025,354.08055
346.641025,354.11305
346.66645,354.142275
346.680725,354.18565
346.6958,354.2029
346.720375,354.2514
346.73405,354.277725
346.746025,354.301725
346.7671,354.353175
346.83095,354.40675
346.841075,354.496125
346.853975,354.526825
346.906625,354.568575
346.9315,354.60355
346.951225,354.617125
346.9844,354.6531
347.000675,354.71595
347.014925,354.8028
347.03055,354.8053
347.044125,354.959025
347.06,355.00215
347.0746,355.0999
347.08895,355.1096
347.102825,355.1373
347.11885,355.158975
347.1344,355.22055
347.153875,355.245225
347.191425,355.2612
347.215675,355.4213
347.243875,355.455725
347.28685,355.508175
347.295975,355.54165
347.32255,355.565775
347.351925,355.58215
347.37865,355.697175
347.3998,355.75645
347.41245,355.829125
347.426175,355.865775
347.4452,355.902925
347.455,355.984075
347.470975,356.030325
347.489425,356.061025
347.5223,356.089975
347.56005,356.12455
347.580825,356.14285
347.59965,356.16085
347.609425,356.1887
347.63565,356.215
347.647975,356.29035
347.6567,356.329725
347.669525,356.372225
347.727975,356.401425
347.7712,356.5058
347.7794,356.54975
347.83,356.6091
347.852225,356.630625
347.883675,356.707925
347.903975,356.749725
347.920275,356.780675
347.93145,356.83205
347.943225,356.873425
347.95155,356.90125
347.966875,356.920075
347.97725,357.037425
347.991225,357.0729
348.0029,357.09405
348.015025,357.11555
348.0275,357.150175
348.045975,357.26635
348.07925,357.3005
348.1116,357.3282
348.128,357.3442
348.1725,357.3759
348.18415,357.402
348.19735,357.432325
348.2198,357.52775
348.2388,357.563875
348.263725,357.59805
348.281875,357.6152
348.302475,357.643925
348.316775,357.6812
348.334875,357.7241
348.354775,357.75325
348.3765,357.857375
348.3955,357.892975
348.40655,357.9201
348.436675,357.951075
348.450625,358.011175
348.475675,358.169375
348.48445,358.206175
348.520875,358.24035
348.55085,358.277725
348.566575,358.31335
348.587675,358.4969
348.616225,358.53755
348.640525,358.5609
348.657125,358.7853
348.691975,358.8178
348.714575,358.849075
348.76095,358.897175
348.780225,358.958375
348.8003,359.1268
348.8151,359.174125
348.8324,359.2231
348.86995,359.266575
348.924275,359.294425
348.9348,359.3437
348.9574,359.501525
348.974575,359.54565
348.98625,359.594725
349.000075,359.6619
349.013075,359.71355
349.046125,359.77315
349.060225,359.865725
349.072725,359.9213
349.0863,359.97475
349.10465,360.0119
349.116275,360.12655
349.13845,360.167575
349.148475,360.23785
349.1599,360.27425
349.1689,360.357925
349.178925,360.396725
349.19675,360.4275
349.207725,360.5914
349.221725,360.692225
349.2507,360.73925
349.261075,360.81575
349.27435,360.887475
349.311925,360.919875
349.3444,360.9618
349.36075,361.0329
349.37115,361.070025
349.38565,361.132825
349.44375,361.26185
349.4627,361.318725
349.48545,361.39555
349.49485,361.4385
349.501975,361.523175
349.521675,361.572225
349.545325,361.6365
349.599375,361.664975
349.629725,361.71365
349.646825,361.730175
349.718825,361.761475
349.7306,361.80025
349.7461,361.86695
349.77275,361.921925
349.80845,361.9709
349.821475,362.036375
349.83405,362.107275
349.88075,362.1489
349.926325,362.18795
349.961775,362.278075
349.981175,362.455675
350.026975,362.5013
350.05185,362.57375
350.116925,362.6424
350.1371,362.745575
350.1549,362.8229
350.181125,362.866625
350.19195,362.919375
350.222625,362.994425
350.2558,363.095375
350.30955,363.213375
350.368075,363.26705
350.389575,363.33325
350.404225,363.401275
350.45285,363.447125
350.5248,363.5457
350.541625,363.61855
350.583375,363.692775
350.6108,363.756575
350.629475,363.807375
350.646475,363.86885
350.66085,363.901625
350.717475,363.95155
350.74355,364.012
350.776475,364.115475
350.78715,364.3264
350.858925,364.3402
350.91585,364.38515
350.941225,364.437975
350.951025,364.4927
350.962775,364.540325
351.053875,364.5797
351.14085,364.608925
351.15185,364.671925
351.158875,364.732775
351.194775,364.791275
351.21625,364.852775
351.224175,364.938575
351.28875,365.031675
351.2978,365.091
351.348725,365.1374
351.36215,365.194225
351.39945,365.295975
351.412775,365.38955
351.474375,365.4736
351.481425,365.506425
351.49645,365.560175
351.513925,365.564625
351.5247,365.64105
351.53185,365.67975
351.541325,365.70975
351.553425,365.7546
351.572225,365.8001
351.593625,365.879075
351.60285,365.92495
351.614425,365.96335
351.62125,366.041075
351.638525,366.064425
351.646575,366.12145
