SPK_SPKC10a (no opto-tagging)
150.087775
150.117125
150.3224
150.44265
150.5278
150.635475
150.737375
150.8694
150.99305
151.153425
151.199725
151.249325
151.322925
151.393625
151.55675
151.6704
151.771025
151.824025
151.913925
151.980075
152.10135
152.140625
152.243325
152.4323
152.5093
152.5531
152.613225
152.6528
152.6946
152.783125
152.897725
152.96895
153.081975
153.1615
153.244775
153.30155
153.424475
153.51405
153.57085
153.64755
153.775275
153.88185
153.985675
154.218075
154.2738
154.3608
154.46155
154.511125
154.561025
154.596525
154.639125
154.698825
154.765425
154.825825
154.8888
154.945375
154.994025
155.1154
155.24575
155.378625
155.4146
155.48335
155.588075
155.67105
155.736475
155.802775
155.840825
155.891775
156.08525
156.159625
156.245325
156.330725
156.378525
156.5181
156.602725
156.722075
156.790575
156.825675
156.87135
156.946575
157.01045
157.067425
157.1165
157.276575
157.435025
157.517725
157.598125
157.69375
157.75375
157.829075
157.91685
158.024875
158.10505
158.14395
158.233475
158.336175
158.393575
158.4822
158.548325
158.66675
158.7138
158.7707
158.8059
158.870175
158.96775
159.081275
159.138225
159.2155
159.32495
159.417175
159.4595
159.5259
159.6206
159.7036
159.808575
159.98675
160.053475
160.0964
160.178425
160.249675
160.2993
160.391825
160.559675
160.609725
160.6521
160.73705
160.769575
160.82335
160.872875
160.921775
160.980175
161.04745
161.111875
161.155975
161.21385
161.301525
161.380525
161.426125
161.472575
161.521275
161.5564
161.61065
161.653725
161.686525
161.756425
161.885675
161.94565
162.013775
162.05525
162.096225
162.17105
162.206
162.271825
162.3034
162.35615
162.3944
162.459125
162.5581
162.641525
162.685225
162.790725
162.8551
162.919875
162.9826
163.0281
163.095725
163.1312
163.154225
163.19925
163.2696
163.307725
163.384925
163.42765
163.466025
163.531975
163.595
163.638325
163.671475
163.822425
163.865425
164.032475
164.093075
164.179
164.252375
164.3363
164.453325
164.501075
164.5386
164.585325
164.6546
164.69815
164.7385
164.77285
164.814225
164.8523
164.898175
164.93575
165.03335
165.10345
165.1666
165.262225
165.318175
165.386225
165.46695
165.563025
165.656625
165.75895
165.883925
165.91325
165.965675
166.0123
166.038425
166.097125
166.15545
166.269875
166.318475
166.3622
166.406075
166.43645
166.48125
166.562725
166.584775
166.66105
166.685675
166.77485
166.825275
166.882275
166.92725
166.96435
167.016775
167.0446
167.07655
167.11335
167.183725
167.216525
167.3001
167.361025
167.476525
167.536375
167.646225
167.68165
167.7234
167.752375
167.883825
167.9244
167.996525
168.21985
168.284225
168.406075
168.49815
168.57155
168.639175
168.69
168.74735
168.8025
168.869575
168.98255
169.069025
169.11675
169.159325
169.217475
169.249625
169.316625
169.40565
169.471325
169.5315
169.581375
169.66485
169.736925
169.84425
169.932125
169.999275
170.1022
170.183025
170.277675
170.365525
170.45815
170.51885
170.686075
170.8386
170.92425
171.016675
171.0839
171.116475
171.142975
171.243425
171.315775
171.4383
171.5967
171.68985
171.741325
171.84345
171.932175
172.053775
172.123325
172.21355
172.2483
172.328775
172.380525
172.4231
172.481625
172.544375
172.5854
172.630675
