SPK_SPKC05a (excited),SPK_SPKC07a (excited),SPK_SPKC08a (inhibited),SPK_SPKC13b (no effect),SPK_SPKC16a (excited)
13.4222,12.7867,10.84255,4.3297,4.065525
13.606725,12.819675,10.8986,4.37825,4.170275
13.62625,12.9263,10.953525,4.44295,4.203125
13.889075,12.98155,11.087575,4.489925,4.22105
13.91635,13.03625,11.225425,4.547,4.26675
13.923075,13.1261,11.280325,4.615225,4.281125
13.960225,13.2497,11.396475,4.7056,4.288175
14.01245,13.331375,11.470625,4.726025,4.342375
14.07255,13.47825,11.53305,4.746225,4.40945
14.16525,13.5248,11.588325,4.77455,4.456275
14.2729,13.713475,11.632025,4.7974,4.50095
14.356175,13.914575,11.726075,4.812625,4.5275
14.652775,14.126,11.78635,4.856475,4.5666
14.6866,14.350575,11.846125,4.8653,4.5917
14.71515,14.441625,11.90255,4.8709,4.5991
14.75265,14.470475,11.935325,4.875525,4.610925
14.7902,14.5003,11.97195,4.887125,4.635725
14.8568,14.594025,12.017,4.90195,4.69225
15.16315,14.650025,12.08845,4.9179,4.762225
15.18505,14.941725,12.1912,4.9442,4.7934
15.320525,15.012625,12.2467,4.97915,4.83495
15.61275,15.115725,12.30725,5.0058,4.948
15.65135,15.311975,12.347,5.0487,5.109075
15.7048,15.414225,12.38045,5.0825,5.15645
15.83845,15.514825,12.413075,5.124025,5.18515
15.890075,15.63675,12.447025,5.154825,5.19055
15.945375,15.7752,12.490275,5.1758,5.196075
16.0167,15.842025,12.576475,5.2117,5.20965
16.234525,15.879175,12.662025,5.249475,5.215075
16.267975,15.916575,12.7389,5.26875,5.241425
16.320825,16.0963,12.8045,5.28005,5.25035
16.349575,16.14245,12.8913,5.3064,5.255275
16.401025,16.1699,12.9678,5.3128,5.260175
16.462275,16.2227,12.981825,5.33795,5.30295
16.518225,16.268075,13.02,5.360125,5.39905
16.574725,16.4437,13.118425,5.39305,5.407925
16.629025,16.63025,13.232575,5.4672,5.425475
16.7051,16.71935,13.304025,5.497275,5.432225
16.784975,16.764225,13.369925,5.54645,5.4455
16.817075,17.072025,13.4329,5.577575,5.4876
16.8607,17.1022,13.4709,5.578575,5.5197
16.8818,17.155475,13.55495,5.6106,5.542325
16.926325,17.3353,13.64955,5.65115,5.570525
16.996125,17.39915,13.75085,5.674075,5.5787
17.042275,17.47515,13.829125,5.71615,5.5864
17.12,17.65745,13.900425,5.747,5.6194
17.1552,17.71145,14.02725,5.78495,5.62655
17.18305,17.742425,14.1628,5.832275,5.64715
17.2639,17.782475,14.243975,5.8601,5.66805
17.327225,17.859575,14.446875,5.88225,5.68035
17.51265,17.932425,14.476675,5.909475,5.6927
17.55205,18.011875,14.555725,5.937725,5.793025
17.83555,18.06325,14.66685,6.013875,5.867275
17.8628,18.35795,14.731425,6.034125,5.881475
17.9137,18.419725,14.992325,6.056675,5.883375
18.0529,18.47325,15.140625,6.089075,5.905
18.101375,18.49995,15.258375,6.1211,5.933825
18.110925,18.5312,15.372375,6.16235,5.9541
