SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC14a,SPK_SPKC15a
210.4145,202.649025,209.8958,251.78665,241.414575,212.975025
210.69065,202.68955,209.92145,254.007225,241.585825,213.039125
210.723825,202.713975,209.931975,254.0524,241.68115,213.041775
210.97505,202.740775,210.8647,254.429925,242.170675,213.113025
211.270825,202.776375,211.170875,254.528075,242.763275,213.242425
211.85965,202.77805,211.2518,254.72285,243.5714,213.497875
211.88755,202.805425,211.591425,254.81885,244.53705,213.501
211.9458,202.836975,211.5972,254.878875,244.56635,213.6231
211.9987,202.8663,211.660875,256.51905,245.093175,213.6602
212.0232,202.89725,211.73945,256.5472,245.14115,213.883175
212.04745,202.92995,211.917825,258.751775,245.608025,213.9231
212.065725,202.950375,212.2636,258.9248,246.9657,213.92665
212.1823,202.981475,212.85145,260.102875,247.004475,214.097875
212.2414,203.006725,212.953325,262.785475,247.111525,214.24995
212.38115,203.0271,213.461025,262.838,247.282075,214.25275
212.4079,203.054775,213.511675,263.9852,247.583225,214.40395
212.432425,203.120325,213.5966,264.03215,247.61595,214.6683
212.45435,203.14475,214.09365,264.642625,248.228425,214.670625
212.4781,203.17385,214.1389,264.77275,249.9076,214.762275
212.52925,203.202625,214.3801,265.24935,250.498225,214.76485
212.55005,203.224725,214.4277,266.72995,250.871675,214.948875
212.928275,203.259825,214.724025,267.5993,250.930725,214.953125
212.977925,203.282575,215.309725,268.237575,251.434575,215.123225
213.037825,203.3139,215.624425,268.386125,251.5957,215.125925
213.4877,203.346725,216.0131,268.61065,251.71955,215.1976
213.5024,203.374975,216.379475,268.8553,251.7866,215.534425
213.52345,203.40595,216.6497,269.0223,252.2327,215.584425
213.603475,203.42725,217.221025,269.692225,252.99505,215.9603
213.64205,203.487625,217.327475,269.960375,254.01675,215.9631
213.7068,203.5199,217.613025,270.03255,254.5281,215.9655
213.72425,203.571325,217.6691,270.715,254.7119,216.049575
213.74045,203.6108,218.01345,270.88545,254.722875,216.1901
213.7509,203.6361,218.40035,272.1725,255.243125,216.225525
213.8089,203.657125,218.454725,272.33065,255.63775,216.301675
213.87385,203.725425,218.763175,272.6871,255.744525,216.3093
213.9106,203.757825,219.195025,273.489275,256.51905,216.419225
213.95535,203.78895,219.2327,273.52125,257.07975,216.441425
214.041425,203.81945,219.61225,273.6347,258.924825,216.5567
214.121875,203.865375,219.6303,274.2289,260.256425,216.72035
214.157925,203.912225,220.167225,274.5658,260.597725,216.75145
214.256225,203.932375,220.716,274.675175,262.7855,216.754925
214.795275,203.958825,220.7251,275.281025,264.004325,217.0324
215.5767,203.975275,221.0637,275.460225,264.032175,217.111975
215.661775,204.0055,221.122075,278.305875,264.56785,217.219325
215.829475,204.039975,221.1853,278.643975,264.69065,217.261425
216.03395,204.0861,221.603475,279.2462,264.77275,217.31205
216.1206,204.112275,221.878975,279.414775,265.768325,217.591225
216.219675,204.1589,221.927175,279.48725,265.837575,217.83265
216.492625,204.183975,222.148075,281.397125,267.229975,217.9316
216.697125,204.2285,222.20545,281.9017,267.460425,217.96605
216.811325,204.267325,222.4226,282.456425,268.237525,217.969225
217.120925,204.3079,222.8917,283.010575,268.386125,218.02495
217.1403,204.34865,224.045525,283.81265,268.610625,218.2012
217.15295,204.366325,224.3572,284.276425,268.855325,218.346275
217.177425,204.38005,224.685475,287.2541,268.96335,218.3819
217.196425,204.4197,224.692525,287.9802,269.7749,218.5948
217.729725,204.44855,225.1453,289.073025,269.96035,218.5993
218.131925,204.479725,225.181825,291.983,270.88545,218.68035
219.19445,204.504125,225.22005,292.190975,272.330675,218.6829
219.49525,204.531925,225.52405,292.98285,272.687125,218.737
219.538375,204.557675,225.57695,293.207625,272.717175,218.779425
219.54595,204.594525,225.60125,293.880125,273.521225,219.1188
219.57505,204.624125,225.620625,293.93125,273.634675,219.1249
219.641525,204.668375,225.67985,294.258925,274.615025,219.2506
220.147375,204.7021,226.02885,295.372325,275.15255,219.535275
220.2697,204.733825,226.046675,296.673025,275.31305,219.5382
220.2829,204.7635,226.07885,297.028825,275.342875,219.541325
220.353025,204.79915,226.174925,297.232625,275.362725,219.64125
220.364425,204.830025,226.2989,297.5962,275.87,219.66605
220.415225,204.8688,226.6013,299.160725,278.305925,219.893525
220.435225,204.903625,226.651125,300.2846,278.35175,219.89855
220.4582,204.9239,226.696975,300.373175,278.48315,219.97095
220.806425,204.95865,227.039175,300.9114,278.732925,220.004075
220.8387,204.9803,227.064475,301.648175,279.246225,220.053775
220.869525,204.985575,227.153125,301.657675,280.941,220.175175
220.96275,205.0066,227.157075,301.96125,281.801475,220.202875
220.9749,205.035075,227.2065,302.7055,281.873175,220.2771
221.2676,205.061675,227.485475,303.997225,282.2949,220.344925
221.324475,205.08665,227.508575,304.65735,283.921575,220.362475
221.39085,205.111325,227.553975,305.606725,286.77365,220.42965
221.435475,205.136725,227.586225,305.6565,287.159375,220.60745
222.327625,205.18355,227.65095,308.10265,287.212375,220.817525
222.347,205.220225,227.8795,308.1552,287.254075,220.843375
222.3991,205.2408,227.8989,309.8932,287.775775,220.879275
222.446525,205.266575,228.250175,310.01735,287.787875,220.88265
222.473725,205.3281,228.25905,310.37085,288.253775,220.975525
222.54725,205.418,228.35745,310.419275,288.3613,221.0175
222.8347,205.445775,228.672675,311.114875,289.07305,221.18045
223.9607,205.462625,228.746325,311.175425,289.9276,221.18335
224.394525,205.473025,229.052775,311.351575,291.873125,221.33525
224.44835,205.500825,229.066175,312.9661,291.983,221.39055
224.789875,205.526175,229.0947,313.4678,292.712825,221.440525
224.83535,205.569425,229.153375,314.07705,292.8328,221.5259
225.1152,205.58695,229.186075,314.342175,292.849125,221.611625
225.1596,205.62385,229.50685,314.393,292.865675,221.6831
225.277225,205.641225,229.53025,314.696725,293.395375,221.840275
225.2905,205.68625,229.54805,315.0273,294.08685,221.893
225.405175,205.71105,229.82305,317.715975,295.372325,221.9273
225.55425,205.73345,229.88565,317.986275,296.912475,221.9817
225.5764,205.779975,229.898475,318.025175,297.232625,222.25285
225.601125,205.8161,229.959125,318.2539,297.366825,222.289125
225.6317,205.835425,230.201775,319.005175,297.596175,222.297975
225.655825,205.8555,230.211025,319.725875,297.638075,222.41485
225.7434,205.88315,230.541125,320.284875,297.6617,222.783725
226.171275,205.9081,230.56555,321.2255,300.373175,222.786475
226.1996,205.925325,230.576775,321.623275,301.251875,222.7914
226.273375,206.011325,230.59355,322.4406,301.67035,222.8572
226.30345,206.03465,230.85715,322.457425,301.681275,222.860675
226.338025,206.05995,230.903,322.570675,301.784175,223.12995
226.356925,206.093025,231.19795,323.012875,302.614425,223.221875
226.624475,206.15525,231.2881,323.739625,303.796675,223.224825
226.67835,206.1768,231.30385,323.8211,304.52,223.230875
226.704025,206.20165,231.371725,323.984675,305.141525,223.27185
227.105925,206.23905,231.385475,324.42975,305.56105,223.388075
228.350275,206.261775,231.3946,325.439425,305.6565,223.44415
228.3982,206.2871,231.422825,325.736225,306.564425,223.5753
228.68915,206.316625,231.5182,325.7598,307.777925,223.57825
228.7783,206.33865,231.693725,326.00165,309.893225,223.630625
228.847675,206.358075,231.7392,326.03835,311.075475,223.648375
228.872475,206.381675,231.833625,326.375,311.175425,223.688
229.201075,206.4135,231.86425,326.505575,311.201175,223.722175
229.2774,206.46065,231.943725,326.606325,311.6917,223.95175
229.334825,206.50335,232.239175,326.93915,312.214,223.9882
229.381825,206.54075,232.6105,327.491575,314.365075,223.99235
229.448975,206.57615,232.630475,328.005175,314.43715,223.99515
229.515375,206.6092,232.65815,328.214575,315.290875,224.277075
229.567625,206.6404,232.952225,328.673925,315.530775,224.4014
229.611525,206.665225,232.96605,329.056125,316.976325,224.4077
229.630925,206.69885,232.985625,329.873025,318.11445,224.5732
229.684075,206.73185,233.009775,330.4562,318.14745,224.644525
229.94365,206.7695,233.308425,331.0485,318.253875,224.714125
229.966525,206.788325,233.33575,331.6697,318.26705,224.791025
229.98735,206.810625,233.384,332.420075,318.645075,224.794475
230.055675,206.854,233.66125,332.939125,319.121975,224.9564
230.09555,206.876625,233.700225,332.96015,320.171575,225.12845
230.148075,206.912525,233.712375,333.431825,320.713075,225.159725
230.55195,206.938425,233.77425,334.23615,321.17385,225.194625
230.563725,206.977975,233.799025,334.40795,321.225475,225.2376
230.57705,207.00715,234.16425,334.5427,321.97765,225.2563
230.587875,207.035825,234.21565,334.6654,322.039025,225.602025
230.595,207.071875,234.286525,335.0836,322.457375,225.618125
230.69195,207.126975,234.637725,336.562,323.0401,225.62135
230.758525,207.157075,234.9927,336.69385,323.04805,225.664325
230.7887,207.18655,235.05265,337.412,323.7396,225.739625
230.812025,207.226675,235.21685,337.78145,323.863175,225.74305
230.827275,207.271725,235.373375,337.9883,325.4707,225.8322
230.98925,207.29295,235.896425,338.206575,325.56565,225.96875
231.21015,207.323975,236.0081,338.875675,325.7362,226.07465
231.24145,207.35275,236.373625,338.935925,326.001675,226.192425
231.260675,207.381525,236.7042,339.029875,326.038325,226.195
231.2768,207.43005,236.734025,339.497425,326.352375,226.2686
231.312975,207.45945,237.000725,339.55355,327.4465,226.2754
231.3898,207.493175,237.1064,340.189125,327.9852,226.300625
231.447225,207.530425,237.72915,340.21965,328.1969,226.367675
231.493925,207.588325,238.09845,340.32665,328.21455,226.37315
231.54805,207.62075,238.382575,341.134875,328.364525,226.588475
231.586875,207.652675,238.46665,341.6075,328.4691,226.6299
231.600525,207.690675,238.51905,341.950275,328.7993,226.6955
231.631475,207.72225,238.635125,342.04675,329.05615,226.698275
231.65635,207.7535,239.0336,343.8987,329.386275,226.86955
231.68685,207.76955,239.039875,343.933225,329.873025,226.8752
231.760825,207.850175,239.078475,343.95735,330.031625,227.1441
231.78485,207.894175,239.47475,344.193825,330.06265,227.146975
231.844475,207.91745,239.8062,344.853675,330.456175,227.149025
231.936125,207.9293,239.867175,345.193125,331.048475,227.222025
231.963075,207.948525,239.90255,345.81705,331.877625,227.4753
232.006625,207.999575,240.138175,346.226075,332.93915,227.478575
232.257225,208.02325,240.15365,346.37215,334.23615,227.4814
232.287975,208.050025,240.181525,346.87545,334.7696,227.484075
232.3261,208.080925,240.220525,349.662775,335.145225,227.532125
232.4007,208.116325,240.315525,350.086375,335.782375,227.535
232.44725,208.14425,240.337125,350.21215,336.220025,227.572925
232.500825,208.19725,240.6002,350.802075,336.562025,227.592475
232.656225,208.216275,240.66155,350.91085,336.69385,227.646125
232.691225,208.2425,240.9172,352.498725,336.9822,227.8836
232.755825,208.27555,241.468925,352.60565,337.050225,227.886025
233.161725,208.282975,241.497225,352.921875,337.146025,227.991525
233.4021,208.301675,241.52515,352.94485,337.59565,228.054725
233.44995,208.31825,242.043575,354.432175,338.875675,228.0943
233.502525,208.350925,242.073375,354.532925,338.959525,228.17765
233.748575,208.3852,242.123225,354.741425,339.4974,228.217175
234.582375,208.4152,242.158125,356.005625,339.881125,228.222025
234.64175,208.438575,242.193,356.217325,340.21965,228.2696
234.706125,208.469375,242.483375,356.27945,340.6468,228.34865
234.8697,208.4888,242.49945,357.3228,341.044175,228.42665
234.9889,208.50945,242.513275,357.4436,341.60515,228.602075
235.10065,208.537,242.54355,357.966625,342.04675,228.68925
235.1254,208.57855,242.60435,358.135575,342.468275,228.78555
235.169,208.608025,242.856475,358.54725,343.8987,228.864675
235.207125,208.629875,242.9059,359.480925,344.103975,228.914975
235.365,208.689325,243.352525,359.661275,344.3156,228.948125
235.4061,208.713575,243.367775,360.26115,344.37855,228.951225
235.456125,208.733025,243.408325,360.307575,344.875325,228.96245
235.4809,208.74955,243.7276,,345.39735,229.2287
235.506175,208.772625,243.742775,,345.420475,229.23335
235.5278,208.837475,243.7702,,345.45595,229.322075
235.564925,208.869825,243.838725,,345.6759,229.3296
236.00545,208.891,243.875625,,345.695075,229.460425
236.023325,208.9324,244.15365,,345.75135,229.497325
236.063725,208.955875,244.242975,,346.2834,229.5145
236.07695,209.010975,244.2823,,346.3063,229.560175
236.134125,209.055375,244.56535,,346.651525,229.625375
236.175025,209.0659,245.010725,,346.8754,229.667025
236.26255,209.092175,245.043325,,349.4503,229.72095
236.642125,209.110675,245.0687,,349.68,229.8649
237.75405,209.133575,245.100075,,349.745925,229.914275
237.80055,209.165675,245.432575,,350.4276,229.91755
238.193575,209.18915,245.46225,,350.5015,229.9569
238.399875,209.210825,245.4723,,350.714325,229.959825
238.44655,209.236025,245.642175,,352.189425,230.07965
238.458675,209.262525,246.034775,,352.4987,230.1402
238.48405,209.28445,246.05455,,352.5484,230.19065
238.50335,209.307175,246.1038,,352.944825,230.223475
238.50875,209.327075,246.120025,,352.98385,230.29285
238.609275,209.3437,246.205075,,353.53425,230.514275
238.7399,209.39055,246.541975,,353.8917,230.518625
239.101125,209.421625,246.6186,,354.484575,230.53185
239.12645,209.4639,246.668,,354.50935,230.534825
239.1775,209.49715,246.97695,,354.5882,230.575575
239.3556,209.526425,246.993075,,354.614175,230.67395
239.62935,209.5534,247.0262,,354.944575,230.692125
239.8985,209.580375,247.08235,,356.14015,230.695275
240.220075,209.6237,247.097375,,356.154275,230.739325
240.294325,209.6538,247.2005,,356.21735,230.743175
240.313325,209.6936,247.2863,,356.405625,230.801925
240.33685,209.718825,247.5316,,356.78965,230.8061
240.353025,209.747025,247.5892,,356.854625,230.848325
240.428725,209.76905,247.63465,,357.00495,230.882525
240.5237,209.79995,247.7455,,357.183525,230.930675
240.705175,209.839075,248.12765,,357.282875,231.06725
240.7747,209.8716,248.4156,,358.2471,231.094025
240.8124,209.891825,248.693275,,359.56215,231.28375
240.875775,209.913825,248.717,,359.612375,231.33325
240.896625,209.9387,248.781175,,359.6433,231.3367
240.914825,209.9599,248.81165,,359.789575,231.448075
240.94555,209.99725,248.955825,,,231.5112
241.0039,210.031925,248.9669,,,231.5363
241.024525,210.06935,249.29475,,,231.586075
